project_id,project_name,first_commit_date,last_commit_date,repos,stars,forks,contributors,contributors_6_months,new_contributors_6_months,avg_fulltime_devs_6_months,avg_active_devs_6_months,commits_6_months,issues_opened_6_months,issues_closed_6_months,pull_requests_opened_6_months,pull_requests_merged_6_months,project_id_1,num_contracts,first_txn_date,total_txns,total_l2_gas,total_users,txns_6_months,l2_gas_6_months,users_6_months,new_user_count,active_users,high_frequency_users,more_active_users,less_active_users,multi_project_users
MasCn8A_o8kC9nGKtRvM7adeF71m8wFcEXGqiwXJdFM=,Clover,2020-09-25 09:00:03.000000 UTC,2023-08-31 07:19:55.000000 UTC,43.0,198.0,107.0,35.0,0.0,0.0,0.0,0.0,,1.0,,9.0,,MasCn8A_o8kC9nGKtRvM7adeF71m8wFcEXGqiwXJdFM=,70.0,,,,,,,,,,,,,
bFo7I5DiugfNYOO5SbAghUg3g5-lpiT5FIAUW741Cdc=,Rari,2020-09-17 17:43:50.000000 UTC,2022-10-25 22:09:23.000000 UTC,50.0,1309.0,354.0,45.0,0.0,0.0,0.0,0.0,,,,,,bFo7I5DiugfNYOO5SbAghUg3g5-lpiT5FIAUW741Cdc=,57.0,,,,,,,,,,,,,
YUqht7zi8uSZwoiM1EcIyq7qPZQarV7QIjrHnkucs_8=,Tornado Cash,2019-07-17 21:26:50.000000 UTC,2022-08-08 14:49:45.000000 UTC,39.0,2113.0,1649.0,57.0,0.0,0.0,0.0,0.0,,,,,,YUqht7zi8uSZwoiM1EcIyq7qPZQarV7QIjrHnkucs_8=,47.0,,,,,,,,,,,,,
pB0PO6kCu0DGduFEuLFdZn2lUorevgWMbo4fZfa1fyE=,Ren,2018-06-26 05:36:50.000000 UTC,2023-04-14 15:08:35.000000 UTC,69.0,1204.0,652.0,52.0,0.0,0.0,0.0,0.0,,2.0,,,,pB0PO6kCu0DGduFEuLFdZn2lUorevgWMbo4fZfa1fyE=,88.0,2021-11-01,152.0,1378226363.0,1.0,,,,,,,,,
z6jp0rQNhHIRyLKOZkkqF00C6fTkfIGDoRn1LCnuJYg=,Multichain (Anyswap),2020-06-24 06:26:35.000000 UTC,2023-07-11 06:36:56.000000 UTC,37.0,711.0,882.0,37.0,0.0,0.0,0.0,0.0,,2.0,,2.0,,z6jp0rQNhHIRyLKOZkkqF00C6fTkfIGDoRn1LCnuJYg=,63.0,2021-12-01,263.0,174462592.0,70.0,34.0,13770410.0,17.0,4.0,4.0,0.0,0.0,4.0,4.0
u0wSrUU-Aa7iN0KZg8VrjNWOZ6ywuJrAbVEPYej9KhQ=,pNetwork,2015-12-14 17:05:31.000000 UTC,2024-01-22 11:47:16.000000 UTC,57.0,1825.0,1010.0,71.0,3.0,1.0,0.0,0.3333333333333333,9.0,4.0,1.0,2.0,1.0,u0wSrUU-Aa7iN0KZg8VrjNWOZ6ywuJrAbVEPYej9KhQ=,79.0,,,,,,,,,,,,,
JJcf9txLJXFqk2GQ4xbQKbo8z0F1nCLo1bzHAT6jcrQ=,Liquality,2018-08-30 12:29:34.000000 UTC,2024-02-26 23:47:47.000000 UTC,50.0,455.0,378.0,46.0,3.0,0.0,1.1666666666666667,2.5,654.0,15.0,,179.0,134.0,JJcf9txLJXFqk2GQ4xbQKbo8z0F1nCLo1bzHAT6jcrQ=,60.0,,,,,,,,,,,,,
JGeDyNHH6QCFwyTjHD4pnu6ZY-fiEhk31FoqmEzCZXc=,Wanchain,2017-07-10 03:04:08.000000 UTC,2024-01-23 05:41:35.000000 UTC,59.0,545.0,314.0,60.0,3.0,2.0,0.1666666666666666,1.0,47.0,,,2.0,1.0,JGeDyNHH6QCFwyTjHD4pnu6ZY-fiEhk31FoqmEzCZXc=,72.0,,,,,,,,,,,,,
R53-wLqj8yHCechqELqPqy_f6z_DeiCW5VoruScVFiA=,Kenshi,2021-11-15 19:41:43.000000 UTC,2024-02-26 22:22:53.000000 UTC,30.0,57.0,22.0,7.0,4.0,3.0,0.6666666666666666,1.3333333333333333,544.0,,,74.0,67.0,R53-wLqj8yHCechqELqPqy_f6z_DeiCW5VoruScVFiA=,36.0,,,,,,,,,,,,,
dpBN87cdr2ACkKrJ_Vs0K8gc8jawibFWaeiGoQNjw-o=,NFTEarth,2023-01-09 06:30:17.000000 UTC,2024-02-27 00:55:06.000000 UTC,55.0,20.0,12.0,12.0,4.0,0.0,2.3333333333333335,3.1666666666666665,746.0,1.0,4.0,2.0,1.0,dpBN87cdr2ACkKrJ_Vs0K8gc8jawibFWaeiGoQNjw-o=,203.0,2023-02-01,7392.0,5179643463.0,579.0,4958.0,2410215049.0,290.0,155.0,204.0,0.0,21.0,183.0,160.0
