slug,month,full_time_developer,part_time_developer
0x-splits,2022-02-01 00:00:00.000000 UTC,0,3
0x-splits,2022-03-01 00:00:00.000000 UTC,1,2
0x-splits,2022-04-01 00:00:00.000000 UTC,1,2
0x-splits,2022-05-01 00:00:00.000000 UTC,0,3
0x-splits,2022-06-01 00:00:00.000000 UTC,0,3
0x-splits,2022-07-01 00:00:00.000000 UTC,1,1
0x-splits,2022-08-01 00:00:00.000000 UTC,3,0
0x-splits,2022-09-01 00:00:00.000000 UTC,1,2
0x-splits,2022-10-01 00:00:00.000000 UTC,3,0
0x-splits,2022-11-01 00:00:00.000000 UTC,0,2
0x-splits,2022-12-01 00:00:00.000000 UTC,0,2
0x-splits,2023-01-01 00:00:00.000000 UTC,2,1
0x-splits,2023-02-01 00:00:00.000000 UTC,0,1
0x-splits,2023-03-01 00:00:00.000000 UTC,0,2
0x-splits,2023-04-01 00:00:00.000000 UTC,2,1
0x-splits,2023-05-01 00:00:00.000000 UTC,3,0
0x-splits,2023-06-01 00:00:00.000000 UTC,2,0
0x-splits,2023-07-01 00:00:00.000000 UTC,0,3
0x-splits,2023-08-01 00:00:00.000000 UTC,1,1
0x-splits,2023-09-01 00:00:00.000000 UTC,0,2
0x-splits,2023-10-01 00:00:00.000000 UTC,0,5
0x-splits,2023-11-01 00:00:00.000000 UTC,0,3
0x-splits,2023-12-01 00:00:00.000000 UTC,2,3
0x-splits,2024-01-01 00:00:00.000000 UTC,0,3
0xeigenlabs,2021-05-01 00:00:00.000000 UTC,0,1
0xeigenlabs,2021-06-01 00:00:00.000000 UTC,1,1
0xeigenlabs,2021-07-01 00:00:00.000000 UTC,1,2
0xeigenlabs,2021-08-01 00:00:00.000000 UTC,1,3
0xeigenlabs,2021-09-01 00:00:00.000000 UTC,0,3
0xeigenlabs,2021-10-01 00:00:00.000000 UTC,0,3
0xeigenlabs,2021-11-01 00:00:00.000000 UTC,1,1
0xeigenlabs,2021-12-01 00:00:00.000000 UTC,1,2
0xeigenlabs,2022-01-01 00:00:00.000000 UTC,3,2
0xeigenlabs,2022-02-01 00:00:00.000000 UTC,1,1
0xeigenlabs,2022-03-01 00:00:00.000000 UTC,1,1
0xeigenlabs,2022-04-01 00:00:00.000000 UTC,1,1
0xeigenlabs,2022-05-01 00:00:00.000000 UTC,1,1
0xeigenlabs,2022-06-01 00:00:00.000000 UTC,1,1
0xeigenlabs,2022-07-01 00:00:00.000000 UTC,1,0
0xeigenlabs,2022-08-01 00:00:00.000000 UTC,1,1
0xeigenlabs,2022-09-01 00:00:00.000000 UTC,1,0
0xeigenlabs,2022-10-01 00:00:00.000000 UTC,1,1
0xeigenlabs,2022-11-01 00:00:00.000000 UTC,1,0
0xeigenlabs,2022-12-01 00:00:00.000000 UTC,1,0
0xeigenlabs,2023-01-01 00:00:00.000000 UTC,0,1
0xeigenlabs,2023-02-01 00:00:00.000000 UTC,1,0
0xeigenlabs,2023-03-01 00:00:00.000000 UTC,1,0
0xeigenlabs,2023-04-01 00:00:00.000000 UTC,0,1
0xeigenlabs,2023-05-01 00:00:00.000000 UTC,1,0
0xeigenlabs,2023-06-01 00:00:00.000000 UTC,1,1
0xeigenlabs,2023-07-01 00:00:00.000000 UTC,1,0
0xeigenlabs,2023-08-01 00:00:00.000000 UTC,1,0
0xeigenlabs,2023-09-01 00:00:00.000000 UTC,1,0
0xeigenlabs,2023-10-01 00:00:00.000000 UTC,1,0
0xeigenlabs,2023-11-01 00:00:00.000000 UTC,1,1
0xeigenlabs,2023-12-01 00:00:00.000000 UTC,1,1
0xeigenlabs,2024-01-01 00:00:00.000000 UTC,1,2
0xproject,2017-04-01 00:00:00.000000 UTC,0,1
0xproject,2017-05-01 00:00:00.000000 UTC,1,2
0xproject,2017-06-01 00:00:00.000000 UTC,0,2
0xproject,2017-07-01 00:00:00.000000 UTC,2,1
0xproject,2017-08-01 00:00:00.000000 UTC,1,2
0xproject,2017-09-01 00:00:00.000000 UTC,1,2
0xproject,2017-10-01 00:00:00.000000 UTC,1,4
0xproject,2017-11-01 00:00:00.000000 UTC,3,0
0xproject,2017-12-01 00:00:00.000000 UTC,3,3
0xproject,2018-02-01 00:00:00.000000 UTC,3,4
0xproject,2018-03-01 00:00:00.000000 UTC,3,4
0xproject,2018-04-01 00:00:00.000000 UTC,2,5
0xproject,2018-05-01 00:00:00.000000 UTC,3,5
0xproject,2018-06-01 00:00:00.000000 UTC,2,5
0xproject,2018-07-01 00:00:00.000000 UTC,1,8
0xproject,2018-08-01 00:00:00.000000 UTC,6,3
0xproject,2018-09-01 00:00:00.000000 UTC,3,5
0xproject,2018-10-01 00:00:00.000000 UTC,5,5
0xproject,2018-11-01 00:00:00.000000 UTC,6,3
0xproject,2018-12-01 00:00:00.000000 UTC,5,6
0xproject,2019-01-01 00:00:00.000000 UTC,0,2
0xproject,2019-02-01 00:00:00.000000 UTC,3,15
0xproject,2019-03-01 00:00:00.000000 UTC,1,18
0xproject,2019-04-01 00:00:00.000000 UTC,0,11
0xproject,2019-05-01 00:00:00.000000 UTC,6,8
0xproject,2019-06-01 00:00:00.000000 UTC,3,10
0xproject,2019-07-01 00:00:00.000000 UTC,4,7
0xproject,2019-08-01 00:00:00.000000 UTC,4,7
0xproject,2019-09-01 00:00:00.000000 UTC,3,9
0xproject,2019-10-01 00:00:00.000000 UTC,0,16
0xproject,2019-11-01 00:00:00.000000 UTC,5,16
0xproject,2019-12-01 00:00:00.000000 UTC,6,16
0xproject,2020-01-01 00:00:00.000000 UTC,2,12
0xproject,2020-02-01 00:00:00.000000 UTC,4,14
0xproject,2020-03-01 00:00:00.000000 UTC,4,16
0xproject,2020-04-01 00:00:00.000000 UTC,2,19
0xproject,2020-05-01 00:00:00.000000 UTC,3,14
0xproject,2020-06-01 00:00:00.000000 UTC,1,15
0xproject,2020-07-01 00:00:00.000000 UTC,2,13
0xproject,2020-08-01 00:00:00.000000 UTC,1,11
0xproject,2020-09-01 00:00:00.000000 UTC,1,12
0xproject,2020-10-01 00:00:00.000000 UTC,4,13
0xproject,2020-11-01 00:00:00.000000 UTC,3,12
