slug,month,maus
lodestarfinance,2023-06-01 00:00:00.000000 UTC,850
kromatika-finance,2022-09-01 00:00:00.000000 UTC,309
treasureproject,2023-11-01 00:00:00.000000 UTC,74625
treasureproject,2023-12-01 00:00:00.000000 UTC,8124
treasureproject,2024-01-01 00:00:00.000000 UTC,11388
treasureproject,2023-05-01 00:00:00.000000 UTC,9393
sushi,2023-12-01 00:00:00.000000 UTC,42455
gmx-io,2023-06-01 00:00:00.000000 UTC,16976
gmx-io,2023-03-01 00:00:00.000000 UTC,57951
layer-zero,2023-04-01 00:00:00.000000 UTC,387238
layer-zero,2023-11-01 00:00:00.000000 UTC,60539
wormhole,2023-07-01 00:00:00.000000 UTC,1519
radiant-capital,2022-10-01 00:00:00.000000 UTC,51064
hop-protocol,2022-04-01 00:00:00.000000 UTC,4442
hop-protocol,2023-07-01 00:00:00.000000 UTC,2307
1-inch,2024-01-01 00:00:00.000000 UTC,41885
1-inch,2023-03-01 00:00:00.000000 UTC,76556
1-inch,2023-05-01 00:00:00.000000 UTC,72640
1-inch,2023-01-01 00:00:00.000000 UTC,19533
1-inch,2023-10-01 00:00:00.000000 UTC,43004
lifinance,2023-05-01 00:00:00.000000 UTC,36146
celer,2023-05-01 00:00:00.000000 UTC,4531
angle-protocol,2023-10-01 00:00:00.000000 UTC,12834
yieldprotocol,2022-04-01 00:00:00.000000 UTC,5371
fraxfinance,2022-10-01 00:00:00.000000 UTC,10350
radiant-capital,2023-10-01 00:00:00.000000 UTC,25733
sushi,2022-03-01 00:00:00.000000 UTC,28970
sushi,2023-08-01 00:00:00.000000 UTC,70985
sushi,2022-01-01 00:00:00.000000 UTC,27195
sushi,2022-02-01 00:00:00.000000 UTC,28333
sushi,2022-09-01 00:00:00.000000 UTC,70789
sushi,2022-06-01 00:00:00.000000 UTC,34953
dopex-io,2022-10-01 00:00:00.000000 UTC,47498
radiant-capital,2023-03-01 00:00:00.000000 UTC,55143
radiant-capital,2022-09-01 00:00:00.000000 UTC,10696
pancakeswap,2023-10-01 00:00:00.000000 UTC,11846
dopex-io,2023-04-01 00:00:00.000000 UTC,4030
xy-finance,2023-08-01 00:00:00.000000 UTC,25048
xy-finance,2023-12-01 00:00:00.000000 UTC,2355
livepeer,2022-09-01 00:00:00.000000 UTC,5910
livepeer,2022-10-01 00:00:00.000000 UTC,11497
traderjoe-xyz,2023-06-01 00:00:00.000000 UTC,101527
traderjoe-xyz,2023-07-01 00:00:00.000000 UTC,72282
camelotlabs,2023-05-01 00:00:00.000000 UTC,92792
ragetrade,2023-01-01 00:00:00.000000 UTC,12822
uniswap,2023-03-01 00:00:00.000000 UTC,229340
velaexchange,2023-02-01 00:00:00.000000 UTC,49066
holograph,2023-09-01 00:00:00.000000 UTC,48072
plutusdao,2023-05-01 00:00:00.000000 UTC,4300
equilibria-xyz,2023-03-01 00:00:00.000000 UTC,5540
stargate-finance,2023-06-01 00:00:00.000000 UTC,605872
stargate-finance,2023-02-01 00:00:00.000000 UTC,58974
stargate-finance,2022-03-01 00:00:00.000000 UTC,2264
lido,2023-06-01 00:00:00.000000 UTC,6651
arb-id,2024-01-01 00:00:00.000000 UTC,602
uniswap,2022-07-01 00:00:00.000000 UTC,28626
aave,2022-08-01 00:00:00.000000 UTC,15720
aave,2024-01-01 00:00:00.000000 UTC,10456
aave,2022-12-01 00:00:00.000000 UTC,30542
aave,2023-03-01 00:00:00.000000 UTC,23339
de-bank,2023-06-01 00:00:00.000000 UTC,9494
traderjoe-xyz,2023-04-01 00:00:00.000000 UTC,69713
biconomy,2024-01-01 00:00:00.000000 UTC,64
abracadabra,2023-06-01 00:00:00.000000 UTC,31932
silo-finance,2023-05-01 00:00:00.000000 UTC,1685
woonetwork,2023-08-01 00:00:00.000000 UTC,14610
woonetwork,2023-06-01 00:00:00.000000 UTC,22909
metamask,2023-07-01 00:00:00.000000 UTC,47749
metamask,2023-03-01 00:00:00.000000 UTC,71870
metamask,2023-01-01 00:00:00.000000 UTC,20297
mux-world,2023-02-01 00:00:00.000000 UTC,6495
mux-world,2023-06-01 00:00:00.000000 UTC,2240
safe-global,2023-06-01 00:00:00.000000 UTC,4573
curve,2022-06-01 00:00:00.000000 UTC,5763
traderjoe-xyz,2023-11-01 00:00:00.000000 UTC,19299
aave,2023-04-01 00:00:00.000000 UTC,9178
across,2022-12-01 00:00:00.000000 UTC,5973
across,2022-08-01 00:00:00.000000 UTC,6768
jones-dao,2023-04-01 00:00:00.000000 UTC,5541
beethoven-x,2023-02-01 00:00:00.000000 UTC,25796
beethoven-x,2023-10-01 00:00:00.000000 UTC,7794
beethoven-x,2023-01-01 00:00:00.000000 UTC,33290
socket,2023-11-01 00:00:00.000000 UTC,79299
camelotlabs,2023-06-01 00:00:00.000000 UTC,32872
connext,2023-02-01 00:00:00.000000 UTC,9308
zerion,2024-01-01 00:00:00.000000 UTC,3461
zerion,2023-03-01 00:00:00.000000 UTC,9615
zerion,2023-07-01 00:00:00.000000 UTC,5823
gainsnetwork,2023-03-01 00:00:00.000000 UTC,8259
maker-dao,2021-10-01 00:00:00.000000 UTC,4831
maker-dao,2024-01-01 00:00:00.000000 UTC,17400
maker-dao,2022-10-01 00:00:00.000000 UTC,30303
winrprotocol,2023-08-01 00:00:00.000000 UTC,3861
paraswap,2024-01-01 00:00:00.000000 UTC,41604
paraswap,2023-03-01 00:00:00.000000 UTC,23418
paraswap,2023-06-01 00:00:00.000000 UTC,34931
zeroex,2023-11-01 00:00:00.000000 UTC,38029
stargate-finance,2022-08-01 00:00:00.000000 UTC,8161
radiant-capital,2023-08-01 00:00:00.000000 UTC,45801
angle-protocol,2023-06-01 00:00:00.000000 UTC,53819
umbra,2024-01-01 00:00:00.000000 UTC,3401
velaexchange,2023-04-01 00:00:00.000000 UTC,24634
aperture-finance,2023-10-01 00:00:00.000000 UTC,133
plutusdao,2022-12-01 00:00:00.000000 UTC,19245
jones-dao,2022-10-01 00:00:00.000000 UTC,11792
1-inch,2023-09-01 00:00:00.000000 UTC,38280
lifinance,2022-11-01 00:00:00.000000 UTC,22615
yieldprotocol,2022-03-01 00:00:00.000000 UTC,7056
fraxfinance,2023-05-01 00:00:00.000000 UTC,4950
gainsnetwork,2023-02-01 00:00:00.000000 UTC,10916
layer-zero,2022-11-01 00:00:00.000000 UTC,15977
thales,2023-05-01 00:00:00.000000 UTC,630
treasureproject,2021-12-01 00:00:00.000000 UTC,5609
livepeer,2022-07-01 00:00:00.000000 UTC,374
livepeer,2023-07-01 00:00:00.000000 UTC,726
thales,2023-10-01 00:00:00.000000 UTC,549
arbitrumexchange,2023-04-01 00:00:00.000000 UTC,2255
ragetrade,2022-12-01 00:00:00.000000 UTC,13103
tornadocash,2023-06-01 00:00:00.000000 UTC,4276
sperax,2023-02-01 00:00:00.000000 UTC,6602
voltz-protocol,2023-03-01 00:00:00.000000 UTC,1207
hop-protocol,2023-12-01 00:00:00.000000 UTC,1423
treasureproject,2022-08-01 00:00:00.000000 UTC,7792
overnight,2023-07-01 00:00:00.000000 UTC,681
aave,2023-05-01 00:00:00.000000 UTC,5199
curve,2022-12-01 00:00:00.000000 UTC,16827
biconomy,2023-01-01 00:00:00.000000 UTC,1834
lodestarfinance,2023-08-01 00:00:00.000000 UTC,1874
lodestarfinance,2023-09-01 00:00:00.000000 UTC,1058
fraxfinance,2023-08-01 00:00:00.000000 UTC,3546
gmx-io,2023-08-01 00:00:00.000000 UTC,16189
traderjoe-xyz,2023-12-01 00:00:00.000000 UTC,42039
across,2022-10-01 00:00:00.000000 UTC,7874
beethoven-x,2022-07-01 00:00:00.000000 UTC,5541
beethoven-x,2023-08-01 00:00:00.000000 UTC,15547
beethoven-x,2023-12-01 00:00:00.000000 UTC,6649
vertex-protocol,2023-12-01 00:00:00.000000 UTC,7196
saddle-finance,2021-11-01 00:00:00.000000 UTC,280
uniswap,2021-10-01 00:00:00.000000 UTC,4806
connext,2022-04-01 00:00:00.000000 UTC,1458
arbitrumexchange,2023-03-01 00:00:00.000000 UTC,3404
zerion,2022-06-01 00:00:00.000000 UTC,5439
lodestarfinance,2023-04-01 00:00:00.000000 UTC,2585
maker-dao,2023-04-01 00:00:00.000000 UTC,31612
paraswap,2023-02-01 00:00:00.000000 UTC,11643
umbra,2023-09-01 00:00:00.000000 UTC,4371
rainbow,2023-01-01 00:00:00.000000 UTC,288
jones-dao,2023-09-01 00:00:00.000000 UTC,595
fraxfinance,2023-03-01 00:00:00.000000 UTC,3083
fraxfinance,2023-09-01 00:00:00.000000 UTC,1913
ragetrade,2023-08-01 00:00:00.000000 UTC,6739
dopex-io,2023-06-01 00:00:00.000000 UTC,1957
omni-swap,2023-06-01 00:00:00.000000 UTC,20055
umamidao,2022-03-01 00:00:00.000000 UTC,983
livepeer,2023-11-01 00:00:00.000000 UTC,1046
sperax,2022-12-01 00:00:00.000000 UTC,9692
gainsnetwork,2023-11-01 00:00:00.000000 UTC,6484
aave,2022-04-01 00:00:00.000000 UTC,6120
curve,2022-11-01 00:00:00.000000 UTC,14614
dodoex,2022-01-01 00:00:00.000000 UTC,1318
gravita-protocol,2023-12-01 00:00:00.000000 UTC,1322
curve,2022-04-01 00:00:00.000000 UTC,1618
silo-finance,2023-08-01 00:00:00.000000 UTC,1077
compound-finance,2023-08-01 00:00:00.000000 UTC,605
beethoven-x,2021-09-01 00:00:00.000000 UTC,4234
beethoven-x,2024-01-01 00:00:00.000000 UTC,6787
cowri,2022-12-01 00:00:00.000000 UTC,9399
camelotlabs,2022-12-01 00:00:00.000000 UTC,5627
axelar,2023-09-01 00:00:00.000000 UTC,6782
zerion,2022-09-01 00:00:00.000000 UTC,4304
paraswap,2022-12-01 00:00:00.000000 UTC,3353
1-inch,2021-10-01 00:00:00.000000 UTC,3107
celer,2023-03-01 00:00:00.000000 UTC,5105
fraxfinance,2023-10-01 00:00:00.000000 UTC,1914
thales,2024-01-01 00:00:00.000000 UTC,2060
tracer-protocol,2022-11-01 00:00:00.000000 UTC,1843
tornadocash,2023-05-01 00:00:00.000000 UTC,2275
de-bank,2023-12-01 00:00:00.000000 UTC,2341
woonetwork,2023-09-01 00:00:00.000000 UTC,13510
