project_slug,num_repos,num_contracts
ren,71,2
aave,157,20
aura,12,14
lido,182,2
rari,53,0
wido,15,2
aelin,10,0
celer,97,5
cowri,36,9
curve,73,14
galxe,14,2
sushi,96,11
umbra,1,2
x-dao,2,9
yearn,142,0
1-inch,153,5
abacus,11,1
across,18,7
arb-id,2,17
axelar,73,5
decent,23,0
dinngo,50,1
dodoex,38,23
gelato,142,5
gmx-io,9,43
socket,26,17
sperax,14,13
thales,21,39
vesper,18,0
zerion,47,1
zeroex,16,2
aloe-ii,15,1
anyswap,52,2
bitkeep,9,2
connext,85,10
crustio,121,0
d-hedge,42,4
de-bank,48,1
eqbtech,1,6
gitcoin,188,0
granary,4,2
olympus,42,0
omnibtc,37,0
omnisea,0,2
rainbow,57,2
rodeofi,0,9
rubicon,35,2
sablier,36,1
stackup,10,0
synapse,24,12
uniswap,59,6
unsheth,3,2
uxuycom,8,4
x-token,13,0
arbirise,1,1
balancer,55,14
biconomy,60,6
defiedge,10,6
dopex-io,14,64
guildxyz,53,2
hashflow,8,4
livepeer,182,4
metamask,254,4
neondapp,1,6
nftearth,153,5
o-3-swap,50,0
open-sea,76,6
paraswap,31,5
umamidao,13,25
valioxyz,1,1
we-piggy,12,0
wormhole,77,9
0x-splits,19,1
acrypto-s,9,0
chainlink,1,4
chronosex,3,25
gammaswap,14,7
holograph,11,6
insuredao,16,3
jones-dao,4,19
lifinance,33,7
magpiexyz,9,1
maker-dao,305,4
mux-world,11,8
nifty-kit,4,4
niftyswap,1,1
omni-swap,1,1
overnight,10,2
plutusdao,1,40
ragetrade,24,9
slingshot,7,1
stellaxyz,5,9
third-web,71,23
defi-llama,57,1
flashstake,1,4
insta-dapp,53,0
kenshitech,32,0
kyber-swap,130,13
layer-zero,40,11
pulsarswap,16,0
pwnfinance,13,2
rabbithole,6,2
stacktical,25,5
superfluid,36,0
synfutures,1,1
takafuldao,2,4
woonetwork,14,31
xy-finance,8,1
abracadabra,26,6
beethoven-x,49,17
camelotlabs,10,27
elk-finance,11,1
fraxfinance,42,11
pancakeswap,38,10
revoke-cash,8,0
safe-global,112,3
warden-swap,5,2
y2k-finance,7,4
ante-finance,4,0
caskprotocol,13,5
fuji-finance,9,4
gainsnetwork,7,30
goodentry-io,4,6
hats-finance,45,1
hop-protocol,26,7
jojoexchange,4,7
lyra-finance,27,7
mean-finance,36,10
mindgames-io,6,21
pyth-network,30,1
rysk-finance,13,10
silo-finance,16,15
solv-finance,15,12
tigris-trade,5,27
velaexchange,3,23
winrprotocol,4,15
apex-protocol,19,1
beamer-bridge,11,9
beefy-finance,39,4
bond-protocol,5,1
eywa-protocol,5,3
flux-protocol,8,1
forta-network,28,0
hats-protocol,38,1
lemma-finance,14,0
mummy-finance,5,1
olive-finance,1,1
pear-protocol,2,2
premiafinance,19,41
savvy-finance,5,33
tarot-finance,6,1
traderjoe-xyz,49,11
vendorfinance,3,9
yieldprotocol,84,3
angle-protocol,41,10
dexfinance-com,4,1076
dforce-network,38,0
equilibria-xyz,22,13
hamster-shared,22,0
hedgey-finance,13,1
ithil-protocol,18,6
jarvis-network,19,1
orange-finance,3,23
pendle-finance,19,7
pickle-finance,20,0
primex-finance,8,7
ramsesexchange,7,19
range-protocol,20,5
rango-exchange,9,1
revert-finance,13,5
saddle-finance,27,17
vesta-protocol,1,25
voltz-protocol,18,26
zigzagexchange,16,3
alliance-bridge,23,0
arrakis-finance,14,6
fortressfinance,4,9
gammastrategies,25,4
hundred-finance,13,1
inverse-finance,35,0
lodestarfinance,8,47
openleveragedev,13,9
orbiter-finance,41,1
radiant-capital,13,36
router-protocol,53,1
tracer-protocol,28,11
transit-finance,8,1
treasureproject,27,61
unlock-protocol,66,1
vertex-protocol,6,9
wombat-exchange,7,17
arbitrumexchange,1,14
arbswap-official,5,12
compound-finance,75,3
debridge-finance,43,2
gravita-protocol,8,14
notional-finance,20,6
redstone-finance,96,0
stargate-finance,3,13
chronicleprotocol,25,0
dolomite-exchange,27,2
kromatika-finance,10,2
openocean-finance,25,1
qidao-mai-finance,5,8
shipyard-software,8,5
solady-vectorized,1,1
symbiosis-finance,25,1
threshold-network,24,1
tide-protocol-fiveelementslabs,2,1
lexdao,146,0
vmex-finance,4,2
white-hat-dao,9,0
bunniapp,9,4
tornadocash,47,5
volmex,10,0
stakedao,29,3
aperture-finance,23,2
powerpool-finance,28,2
timeswap-labs,6,25
r3vl,5,0
hegic,21,0
propy,11,0
aragon,174,0
hmxorg,11,0
numoen,22,0
qodafi,5,0
witnet,51,0
yubiai,12,0
0xsquid,25,0
aori-io,11,0
bleu-fi,19,0
daqnext,79,0
dggtech,3,0
lavanet,37,0
nftperp,4,0
risedle,26,0
suberra,8,0
bitquery,55,0
dex-guru,16,0
dfxswiss,15,0
enviodev,32,0
icatgame,4,0
ichifarm,18,0
pinedefi,8,0
prepo-io,6,0
privy-io,19,0
steadefi,12,0
synthe-x,16,0
wanchain,72,0
weavrdao,5,0
yieldyak,8,0
0xproject,127,0
arken-lab,5,0
artblocks,26,0
handle-fi,7,0
liquality,56,0
mozaic-fi,3,0
node-real,46,0
ormi-labs,23,0
rehold-io,2,0
tellor-io,157,0
templedao,10,0
dethcrypto,14,0
gopluslabs,15,0
pulsardefi,9,0
safeyields,5,0
spheronfdn,54,0
spindl-xyz,3,0
xp-network,155,0
0xeigenlabs,21,0
alpsfinance,9,0
diadata-org,27,0
ensofinance,14,0
ezswap-labs,7,0
kei-finance,11,0
mangrovedao,25,0
mapprotocol,63,0
moralisweb3,56,0
