questbook_title,project_name,questbook_link,ossd_link
9 Lives,9lives-fluidity-money,https://arbitrum.questbook.app/dashboard/?grantId=671a105a2047c84bb8a73770&chainId=10&role=builder&proposalId=677aeb51faef5017a81ba302&isRenderingProposalBody=true,https://github.com/opensource-observer/oss-directory/blob/b92d5ac92eb31ab6ab0f01366d27635b3b01d2b5/data/projects/9/9lives-fluidity-money.yaml
Angel,angel,https://arbitrum.questbook.app/dashboard/?grantId=671a105a2047c84bb8a73770&chainId=10&role=builder&proposalId=6785958c80bdbe26615996a4&isRenderingProposalBody=true,https://github.com/opensource-observer/oss-directory/blob/b92d5ac92eb31ab6ab0f01366d27635b3b01d2b5/data/projects/a/angel.yaml
arbos-foundry,arbos-foundry-bernard-wagner,https://arbitrum.questbook.app/dashboard/?grantId=671a105a2047c84bb8a73770&chainId=10&role=builder&proposalId=673ddbb490449961f5882a34&isRenderingProposalBody=true,https://github.com/opensource-observer/oss-directory/blob/b92d5ac92eb31ab6ab0f01366d27635b3b01d2b5/data/projects/a/arbos-foundry-bernard-wagner.yaml
DeBid - Fairblock,fairblock,https://arbitrum.questbook.app/dashboard/?grantId=671a105a2047c84bb8a73770&chainId=10&role=builder&proposalId=6775ba29faef5017a8fafd6c&isRenderingProposalBody=true,https://github.com/opensource-observer/oss-directory/blob/b92d5ac92eb31ab6ab0f01366d27635b3b01d2b5/data/projects/f/fairblock.yaml
Enclave,enclave-gnosisguild,https://arbitrum.questbook.app/dashboard/?grantId=671a105a2047c84bb8a73770&chainId=10&role=builder&proposalId=677a9d22faef5017a81805e3&isRenderingProposalBody=true,https://github.com/opensource-observer/oss-directory/blob/b92d5ac92eb31ab6ab0f01366d27635b3b01d2b5/data/projects/e/enclave-gnosisguild.yaml
GUI for the Stylus Cache Manager,cobuilders-xyz,https://arbitrum.questbook.app/dashboard/?grantId=671a105a2047c84bb8a73770&chainId=10&role=builder&proposalId=67489c3d90449961f516e735&isRenderingProposalBody=true,https://github.com/opensource-observer/oss-directory/blob/b92d5ac92eb31ab6ab0f01366d27635b3b01d2b5/data/projects/c/cobuilders-xyz.yaml
Open Source Observer,opensource-observer,https://arbitrum.questbook.app/dashboard/?grantId=671a105a2047c84bb8a73770&chainId=10&role=builder&proposalId=677e8f60faef5017a83df833&isRenderingProposalBody=true,https://github.com/opensource-observer/oss-directory/blob/b92d5ac92eb31ab6ab0f01366d27635b3b01d2b5/data/projects/o/opensource-observer.yaml
Passport XYZ,passportxyz,https://arbitrum.questbook.app/dashboard/?proposalId=6761d9d9faef5017a85b9489&isRenderingProposalBody=true&chainId=10&role=builder&grantId=671a105a2047c84bb8a73770,https://github.com/opensource-observer/oss-directory/blob/b92d5ac92eb31ab6ab0f01366d27635b3b01d2b5/data/projects/p/passportxyz.yaml
RedStone Oracles,redstone-finance,https://arbitrum.questbook.app/dashboard/?proposalId=6776cd09faef5017a80287c9&isRenderingProposalBody=true&chainId=10&role=builder&grantId=671a105a2047c84bb8a73770,https://github.com/opensource-observer/oss-directory/blob/b92d5ac92eb31ab6ab0f01366d27635b3b01d2b5/data/projects/r/redstone-finance.yaml
Remix IDE for Stylus,remix-ethereum,https://arbitrum.questbook.app/dashboard/?proposalId=67776456faef5017a805ee6a&isRenderingProposalBody=true&chainId=10&role=builder&grantId=671a105a2047c84bb8a73770,https://github.com/opensource-observer/oss-directory/blob/b92d5ac92eb31ab6ab0f01366d27635b3b01d2b5/data/projects/r/remix-ethereum.yaml
Stateful fuzzing of Stylus programs using Medusa,trailofbits,https://arbitrum.questbook.app/dashboard/?proposalId=67853d8eea95304673ba4244&isRenderingProposalBody=true&chainId=10&role=builder&grantId=671a105a2047c84bb8a73770,https://github.com/opensource-observer/oss-directory/blob/b92d5ac92eb31ab6ab0f01366d27635b3b01d2b5/data/projects/t/trailofbits.yaml
StylusPort,stylusport-teamscanworks,https://arbitrum.questbook.app/dashboard/?proposalId=677aa3258f4a6bf405de8e31&isRenderingProposalBody=true&chainId=10&role=builder&grantId=671a105a2047c84bb8a73770,https://github.com/opensource-observer/oss-directory/blob/main/data/projects/s/stylusport-teamscanworks.yaml
Stylus SDK: Building a AssemblyScript to WebAssembly Solution,wakeuplabs,https://arbitrum.questbook.app/dashboard/?proposalId=676a4aaa8f4a6bf4057cae7b&isRenderingProposalBody=true&chainId=10&role=builder&grantId=671a105a2047c84bb8a73770,https://github.com/opensource-observer/oss-directory/blob/b92d5ac92eb31ab6ab0f01366d27635b3b01d2b5/data/projects/w/wakeuplabs.yaml
Fiet Protocol,fiet-protocol-usherlabs,https://arbitrum.questbook.app/dashboard/?proposalId=677a5e458f4a6bf405dc2026&isRenderingProposalBody=true&chainId=10&role=builder&grantId=671a105a2047c84bb8a73770,https://github.com/opensource-observer/oss-directory/blob/main/data/projects/f/fiet-protocol-usherlabs.yaml
thirdweb Stylus integration,third-web,https://arbitrum.questbook.app/dashboard/?proposalId=6733d9e7902931f05cac4da9&isRenderingProposalBody=true&chainId=10&role=builder&grantId=671a105a2047c84bb8a73770,https://github.com/opensource-observer/oss-directory/blob/b92d5ac92eb31ab6ab0f01366d27635b3b01d2b5/data/projects/t/third-web.yaml
Walnut: Enhanced Debugging Workflows and Tooling,walnuthq,https://arbitrum.questbook.app/dashboard/?proposalId=673f39c990449961f5973a73&isRenderingProposalBody=true&chainId=10&role=builder&grantId=671a105a2047c84bb8a73770,https://github.com/opensource-observer/oss-directory/blob/b92d5ac92eb31ab6ab0f01366d27635b3b01d2b5/data/projects/w/walnuthq.yaml
Pyth Oracle Implementation in Stylus,pyth-network,https://arbitrum.questbook.app/dashboard/?grantId=671a105a2047c84bb8a73770&chainId=10&role=builder&proposalId=677ead288f4a6bf40504bf73&isRenderingProposalBody=true,https://github.com/opensource-observer/oss-directory/blob/main/data/projects/p/pyth-network.yaml
Sylow,sylow-warlock-labs,https://arbitrum.questbook.app/dashboard/?grantId=671a105a2047c84bb8a73770&chainId=10&role=builder&proposalId=6736959690449961f536371f&isRenderingProposalBody=true,https://github.com/opensource-observer/oss-directory/blob/main/data/projects/s/sylow-warlock-labs.yaml
More Markets (Nuffle Labs),nuffle-labs,https://arbitrum.questbook.app/dashboard/?grantId=671a105a2047c84bb8a73770&isRenderingProposalBody=true&chainId=10&proposalId=675080fe90449961f5919181&role=builder,https://github.com/opensource-observer/oss-directory/blob/main/data/projects/n/nuffle-labs.yaml
Syndicate MintVM,syndicateprotocol,https://arbitrum.questbook.app/dashboard/?grantId=671a105a2047c84bb8a73770&isRenderingProposalBody=true&chainId=10&proposalId=677c5c2bfaef5017a82a1d09&role=builder,https://github.com/opensource-observer/oss-directory/blob/77330dbbd0ded98641ce2fa6d94d7b4b052db23e/data/projects/s/syndicateprotocol.yaml
Ember: LP Optimization with Volatility-based Dynamic Fees,ember-shahankhatch,https://arbitrum.questbook.app/dashboard/?grantId=671a105a2047c84bb8a73770&isRenderingProposalBody=true&chainId=10&proposalId=677b6194faef5017a81d9e61&role=builder,https://github.com/opensource-observer/oss-directory/blob/main/data/projects/e/ember-shahankhatch.yaml
