seed_repo_owner,seed_repo_name,package_name,package_repo_owner,package_repo_name,package_source
offchainlabs,stylus-erc721,crypto-js,brix,crypto-js,NPM
dsrvlabs,arbiturm-stylus-solidity-compare,ethers-signers,gakonst,ethers-rs,RUST
teeeeeo9,basket-swap-stylus,regex-automata,rust-lang,regex,RUST
offchainlabs,stylus-tutorials,@typescript-eslint/typescript-estree,typescript-eslint,typescript-eslint,NPM
theblokc,arbdevbootcamp-reference,react-is,facebook,react,NPM
theblokc,arbdevbootcamp-reference,new_debug_unreachable,mbrubeck,rust-debug-unreachable,RUST
offchainlabs,nitro,github.com/aws/aws-sdk-go-v2/internal/configsources,aws,aws-sdk-go-v2,GO
fluidity-money,long.so,@babel/plugin-transform-react-pure-annotations,babel,babel,NPM
fluidity-money,long.so,makeerror,nshah,nodejs-makeerror,NPM
offchainlabs,stylus-erc20,@nomiclabs/hardhat-truffle5,nomiclabs,hardhat,NPM
cryptosmartnow,bitsave_stylus,ecdsa,rustcrypto,signatures,RUST
cryptosmartnow,stylus_bitsave,ecdsa,rustcrypto,signatures,RUST
offchainlabs,stylus-english-auction,option-ext,soc,option-ext,RUST
offchainlabs,stylus-erc20,@truffle/debug-utils,trufflesuite,truffle,NPM
offchainlabs,stylus-erc721,@truffle/debug-utils,trufflesuite,truffle,NPM
fluidity-money,long.so,@babel/plugin-transform-unicode-sets-regex,babel,babel,NPM
offchainlabs,stylus-by-example,preferred-pm,zkochan,packages,NPM
fluidity-money,long.so,ark-serialize,arkworks-rs,algebra,RUST
offchainlabs,stylus-erc721,function.prototype.name,es-shims,function.prototype.name,NPM
offchainlabs,stylus-quickstart-vending-machine,httparse,seanmonstar,httparse,RUST
solide-project,stylide,httparse,seanmonstar,httparse,RUST
fluidity-money,long.so,@types/yargs-parser,definitelytyped,definitelytyped,NPM
theblokc,arbdevbootcamp-reference,toml_datetime,toml-rs,toml,RUST
alt-research,nitro-near,toml_datetime,toml-rs,toml,RUST
offchainlabs,stylus-erc20,@ethersproject/logger,ethers-io,ethers.js,NPM
theblokc,arbdevbootcamp-reference,mime-db,jshttp,mime-db,NPM
fluidity-money,long.so,regenerate-unicode-properties,mathiasbynens,regenerate-unicode-properties,NPM
solide-project,stylide,cfg-if,alexcrichton,cfg-if,RUST
offchainlabs,stylus-tutorials,language-subtag-registry,mattcg,language-subtag-registry,NPM
teeeeeo9,basket-swap-stylus,core-foundation-sys,servo,core-foundation-rs,RUST
alt-research,nitro-near,core-foundation-sys,servo,core-foundation-rs,RUST
fluidity-money,long.so,is-negative-zero,inspect-js,is-negative-zero,NPM
cryptosmartnow,stylus_bitsave,time,time-rs,time,RUST
seabrick,seabrick-contracts,windows-targets,microsoft,windows-rs,RUST
offchainlabs,stylus-workshop-nft,windows-targets,microsoft,windows-rs,RUST
offchainlabs,stylus-hello-world,windows-targets,microsoft,windows-rs,RUST
offchainlabs,stylus-erc20-oz,cranelift-codegen-shared,bytecodealliance,wasmtime,RUST
offchainlabs,stylus-erc20,strip-bom,sindresorhus,strip-bom,NPM
cryptosmartnow,bitsave_stylus,linux-raw-sys,sunfishcode,linux-raw-sys,RUST
offchainlabs,stylus-vending-machine,linux-raw-sys,sunfishcode,linux-raw-sys,RUST
offchainlabs,stylus-erc20-oz,darling_core,teddriggs,darling,RUST
offchainlabs,stylus-workshop-counter,darling_core,teddriggs,darling,RUST
fluidity-money,long.so,@babel/helper-create-class-features-plugin,babel,babel,NPM
offchainlabs,stylus-erc20,prelude-ls,gkz,prelude-ls,NPM
dsrvlabs,arbiturm-stylus-solidity-compare,crypto-common,rustcrypto,traits,RUST
offchainlabs,stylus-hello-world,crypto-common,rustcrypto,traits,RUST
fluidity-money,long.so,html-encoding-sniffer,jsdom,html-encoding-sniffer,NPM
fluidity-money,long.so,@floating-ui/react-dom,floating-ui,floating-ui,NPM
offchainlabs,stylus-erc20-oz,base64,marshallpierce,rust-base64,RUST
cryptosmartnow,bs_arbitrum_main,rand_core,rust-random,rand,RUST
offchainlabs,stylus-workshop-nft,rand_core,rust-random,rand,RUST
offchainlabs,stylus-vending-machine,digest,rustcrypto,traits,RUST
cryptosmartnow,bitsave_stylus,digest,rustcrypto,traits,RUST
offchainlabs,stylus-erc721,@openzeppelin/upgrades-core,openzeppelin,openzeppelin-upgrades,NPM
offchainlabs,stylus-hello-world,uuid,uuid-rs,uuid,RUST
fluidity-money,long.so,postcss-js,postcss,postcss-js,NPM
offchainlabs,stylus-erc20,is-hex-prefixed,silentcicero,is-hex-prefixed,NPM
theblokc,arbdevbootcamp-reference,http-response-object,forbeslindesay,http-response-object,NPM
blockscout,cargo-stylus-test-examples,follow-redirects,follow-redirects,follow-redirects,NPM
dsrvlabs,arbiturm-stylus-solidity-compare,ena,rust-lang,ena,RUST
offchainlabs,nitro,scale-info,paritytech,scale-info,RUST
offchainlabs,stylus-erc721,hash-base,crypto-browserify,hash-base,NPM
offchainlabs,stylus-erc20,uri-js,garycourt,uri-js,NPM
offchainlabs,stylus-tutorials,concat-map,ljharb,concat-map,NPM
teeeeeo9,basket-swap-stylus,same-file,burntsushi,same-file,RUST
offchainlabs,stylus-workshop-basic-nft,memchr,burntsushi,memchr,RUST
offchainlabs,stylus-by-example,memchr,burntsushi,memchr,RUST
offchainlabs,stylus-erc20-oz,alloy-serde,alloy-rs,alloy,RUST
offchainlabs,stylus-chess,simple_asn1,acw,simple_asn1,RUST
teeeeeo9,basket-swap-stylus,tempfile,stebalien,tempfile,RUST
offchainlabs,stylus-workshop-proxy-update,tempfile,stebalien,tempfile,RUST
offchainlabs,stylus-workshop-rust-solidity,tempfile,stebalien,tempfile,RUST
fluidity-money,long.so,dayjs,iamkun,dayjs,NPM
offchainlabs,stylus-erc721,@ethersproject/wordlists,ethers-io,ethers.js,NPM
fluidity-money,long.so,memoize-one,alexreardon,memoize-one,NPM
offchainlabs,stylus-vending-machine,group,zkcrypto,group,RUST
blockscout,cargo-stylus-test-examples,@nomicfoundation/edr-darwin-arm64,nomicfoundation,edr,NPM
offchainlabs,stylus-workshop-basic-nft,rand,rust-random,rand,RUST
theblokc,arbdevbootcamp-reference,@nodelib/fs.scandir,nodelib,nodelib,NPM
offchainlabs,stylus-workshop-basic-nft,version_check,sergiobenitez,version_check,RUST
offchainlabs,stylus-quickstart-vending-machine,version_check,sergiobenitez,version_check,RUST
offchainlabs,nitro,version_check,sergiobenitez,version_check,RUST
offchainlabs,stylus-erc20,readable-stream,nodejs,readable-stream,NPM
blockscout,cargo-stylus-test-examples,cli-boxes,sindresorhus,cli-boxes,NPM
fluidity-money,long.so,scrypt-js,ricmoo,scrypt-js,NPM
cryptosmartnow,bitsave_stylus,wasm-bindgen-shared,rustwasm,wasm-bindgen,RUST
offchainlabs,stylus-quickstart-vending-machine,errno,lambda-fairy,rust-errno,RUST
fluidity-money,long.so,@babel/helper-compilation-targets,babel,babel,NPM
theblokc,arbdevbootcamp-reference,@babel/helper-compilation-targets,babel,babel,NPM
offchainlabs,stylus-erc20,@nomicfoundation/solidity-analyzer-linux-arm64-gnu,nomicfoundation,solidity-analyzer,NPM
seabrick,seabrick-contracts,typenum,paholg,typenum,RUST
offchainlabs,stylus-english-auction,typenum,paholg,typenum,RUST
offchainlabs,stylus-chess,typenum,paholg,typenum,RUST
seabrick,seabrick-contracts,aho-corasick,burntsushi,aho-corasick,RUST
offchainlabs,stylus-erc721,hardhat,nomicfoundation,hardhat,NPM
theblokc,arbdevbootcamp-reference,valuable,tokio-rs,valuable,RUST
offchainlabs,nitro,valuable,tokio-rs,valuable,RUST
teeeeeo9,basket-swap-stylus,valuable,tokio-rs,valuable,RUST
fluidity-money,long.so,valuable,tokio-rs,valuable,RUST
offchainlabs,stylus-erc20,type,medikoo,type,NPM
fluidity-money,long.so,@sentry/nextjs,getsentry,sentry-javascript,NPM
seabrick,seabrick-contracts,siphasher,jedisct1,rust-siphash,RUST
offchainlabs,stylus-erc20,is-utf8,wayfind,is-utf8,NPM
offchainlabs,stylus-erc20,micromatch,micromatch,micromatch,NPM
seabrick,seabrick-contracts,yansi,sergiobenitez,yansi,RUST
cryptosmartnow,stylus_bitsave,yansi,sergiobenitez,yansi,RUST
dsrvlabs,arbiturm-stylus-solidity-compare,yansi,sergiobenitez,yansi,RUST
teeeeeo9,basket-swap-stylus,wasi,bytecodealliance,wasi-rs,RUST
offchainlabs,nitro,github.com/gobwas/pool,gobwas,pool,GO
offchainlabs,stylus-workshop-counter,regalloc2,bytecodealliance,regalloc2,RUST
cryptosmartnow,bs_arbitrum_main,gimli,gimli-rs,gimli,RUST
theblokc,arbdevbootcamp-reference,gimli,gimli-rs,gimli,RUST
offchainlabs,nitro,gimli,gimli-rs,gimli,RUST
alt-research,nitro-near,github.com/pkg/errors,pkg,errors,GO
offchainlabs,stylus-vending-machine,generic-array,fizyk20,generic-array,RUST
offchainlabs,stylus-quickstart-vending-machine,tokio-rustls,rustls,tokio-rustls,RUST
fracton-ventures,nitro-gacha,tokio-rustls,rustls,tokio-rustls,RUST
seabrick,seabrick-contracts,tokio-rustls,rustls,tokio-rustls,RUST
offchainlabs,stylus-hello-world,tokio-rustls,rustls,tokio-rustls,RUST
offchainlabs,stylus-chess,tokio-rustls,rustls,tokio-rustls,RUST
offchainlabs,stylus-vending-machine,phf_generator,rust-phf,rust-phf,RUST
cryptosmartnow,bitsave_stylus,phf_generator,rust-phf,rust-phf,RUST
offchainlabs,stylus-english-auction,hermit-abi,hermit-os,hermit-rs,RUST
offchainlabs,stylus-by-example,ascii-canvas,lalrpop,ascii-canvas,RUST
alt-research,nitro,auto_impl,auto-impl-rs,auto_impl,RUST
solide-project,stylide,auto_impl,auto-impl-rs,auto_impl,RUST
offchainlabs,stylus-by-example,@shadow-panda/preset,kumaaa-inc,shadow-panda,NPM
teeeeeo9,basket-swap-stylus,open-fastrlp-derive,gakonst,open-fastrlp,RUST
offchainlabs,stylus-workshop-rust-solidity,windows_aarch64_msvc,microsoft,windows-rs,RUST
teeeeeo9,basket-swap-stylus,windows_aarch64_msvc,microsoft,windows-rs,RUST
offchainlabs,nitro,github.com/dgraph-io/badger/v4,dgraph-io,badger,GO
offchainlabs,stylus-tutorials,@ethersproject/abstract-signer,ethers-io,ethers.js,NPM
cryptosmartnow,bs_arbitrum_main,phf_shared,rust-phf,rust-phf,RUST
fluidity-money,long.so,walker,daaku,nodejs-walker,NPM
offchainlabs,stylus-erc721,content-type,jshttp,content-type,NPM
offchainlabs,stylus-quickstart-vending-machine,crossbeam-utils,crossbeam-rs,crossbeam,RUST
alt-research,nitro,ident_case,teddriggs,ident_case,RUST
fracton-ventures,nitro-gacha,log,rust-lang,log,RUST
offchainlabs,stylus-workshop-nft,png,image-rs,image-png,RUST
fluidity-money,long.so,@opentelemetry/sql-common,open-telemetry,opentelemetry-js-contrib,NPM
offchainlabs,stylus-by-example,system-configuration,mullvad,system-configuration-rs,RUST
offchainlabs,stylus-by-example,ctr,rustcrypto,block-modes,RUST
offchainlabs,stylus-quickstart-vending-machine,ctr,rustcrypto,block-modes,RUST
offchainlabs,stylus-erc721,@types/cacheable-request,definitelytyped,definitelytyped,NPM
offchainlabs,nitro,github.com/cockroachdb/logtags,cockroachdb,logtags,GO
fluidity-money,long.so,github.com/xrash/smetrics,xrash,smetrics,GO
alt-research,nitro,brotli-sys,alexcrichton,brotli2-rs,RUST
blockscout,cargo-stylus-test-examples,node-gyp-build,prebuild,node-gyp-build,NPM
offchainlabs,stylus-erc20-oz,parking_lot_core,amanieu,parking_lot,RUST
offchainlabs,stylus-workshop-counter,parking_lot_core,amanieu,parking_lot,RUST
offchainlabs,stylus-erc20,har-validator,ahmadnassri,node-har-validator,NPM
solide-project,stylide,tinyvec,lokathor,tinyvec,RUST
offchainlabs,stylus-tutorials,@typescript-eslint/utils,typescript-eslint,typescript-eslint,NPM
theblokc,arbdevbootcamp-reference,@typescript-eslint/utils,typescript-eslint,typescript-eslint,NPM
alt-research,nitro-near,github.com/gobwas/ws,gobwas,ws,GO
theblokc,arbdevbootcamp-reference,require-directory,troygoode,node-require-directory,NPM
cryptosmartnow,bs_arbitrum_main,winapi,retep998,winapi-rs,RUST
