artifact_name,project_name,metric_name,sample_date,amount
redstone-cache-layer,redstone-finance,GITHUB_active_developers_monthly,2023-12-01,1
test-fuzz,trailofbits,GITHUB_active_developers_monthly,2023-03-01,2
publications,trailofbits,GITHUB_active_developers_monthly,2023-09-01,3
algo,trailofbits,GITHUB_active_developers_monthly,2023-09-01,1
charts,pyth-network,GITHUB_active_developers_monthly,2023-12-01,1
necessist,trailofbits,GITHUB_active_developers_monthly,2023-09-01,2
contracts,third-web,GITHUB_active_developers_monthly,2023-09-01,3
charts,pyth-network,GITHUB_active_developers_monthly,2023-09-01,1
krf,trailofbits,GITHUB_active_developers_monthly,2023-09-01,1
haskell-backend,runtimeverification,GITHUB_active_developers_monthly,2023-09-01,3
zksync-tutorial-stable-price-marketplace,redstone-finance,GITHUB_active_developers_monthly,2023-09-01,1
pyk,runtimeverification,GITHUB_active_developers_monthly,2023-12-01,1
differ,trailofbits,GITHUB_active_developers_monthly,2023-12-01,1
hs-backend-booster,runtimeverification,GITHUB_active_developers_monthly,2023-09-01,4
cast_checks,trailofbits,GITHUB_active_developers_monthly,2023-09-01,1
js,third-web,GITHUB_active_developers_monthly,2023-09-01,12
blockchain-k-plugin,runtimeverification,GITHUB_active_developers_monthly,2023-09-01,1
sholva,trailofbits,GITHUB_active_developers_monthly,2023-03-01,1
syndicate-node,syndicateprotocol,GITHUB_active_developers_monthly,2023-09-01,2
circuitous-benchmarks,trailofbits,GITHUB_active_developers_monthly,2023-09-01,1
governance,pyth-network,GITHUB_active_developers_monthly,2023-09-01,1
macroni,trailofbits,GITHUB_active_developers_monthly,2023-09-01,1
spf-query,trailofbits,GITHUB_active_developers_monthly,2023-09-01,1
hs-backend-booster,runtimeverification,GITHUB_active_developers_monthly,2023-12-01,5
eatmynetwork,trailofbits,GITHUB_active_developers_monthly,2023-03-01,1
mir-semantics,runtimeverification,GITHUB_active_developers_monthly,2023-03-01,2
dynamic-contracts,third-web,GITHUB_active_developers_monthly,2023-03-01,1
kup,runtimeverification,GITHUB_active_developers_monthly,2023-03-01,1
circomspect,trailofbits,GITHUB_active_developers_monthly,2023-03-01,1
redstone-showroom,redstone-finance,GITHUB_active_developers_monthly,2023-09-01,1
mishegos,trailofbits,GITHUB_active_developers_monthly,2023-03-01,2
avm-semantics,runtimeverification,GITHUB_active_developers_monthly,2023-03-01,2
dashboard,third-web,GITHUB_active_developers_monthly,2023-03-01,6
algo,trailofbits,GITHUB_active_developers_monthly,2023-03-01,2
verilog_tools,trailofbits,GITHUB_active_developers_monthly,2023-09-01,1
publications,trailofbits,GITHUB_active_developers_monthly,2023-03-01,4
aave-v3-deploy,wakeuplabs,GITHUB_active_developers_monthly,2023-09-01,1
dynamic-contracts,third-web,GITHUB_active_developers_monthly,2023-09-01,2
redstone-evm-examples,redstone-finance,GITHUB_active_developers_monthly,2023-09-01,1
redstone-app,redstone-finance,GITHUB_active_developers_monthly,2023-09-01,2
wasm-semantics,runtimeverification,GITHUB_active_developers_monthly,2023-12-01,1
redstone-images,redstone-finance,GITHUB_active_developers_monthly,2023-12-01,1
dylint,trailofbits,GITHUB_active_developers_monthly,2023-03-01,2
web3-grants-milestones,runtimeverification,GITHUB_active_developers_monthly,2023-03-01,1
pyk,runtimeverification,GITHUB_active_developers_monthly,2023-03-01,4
vast,trailofbits,GITHUB_active_developers_monthly,2023-03-01,4
redstone-docs,redstone-finance,GITHUB_active_developers_monthly,2023-03-01,1
polytracker,trailofbits,GITHUB_active_developers_monthly,2023-03-01,1
sv_circuit,trailofbits,GITHUB_active_developers_monthly,2023-03-01,1
test-fuzz,trailofbits,GITHUB_active_developers_monthly,2023-09-01,2
polytracker,trailofbits,GITHUB_active_developers_monthly,2023-09-01,1
vlsm,runtimeverification,GITHUB_active_developers_monthly,2023-09-01,2
ercx-vscode,runtimeverification,GITHUB_active_developers_monthly,2023-09-01,1
dkim-query,trailofbits,GITHUB_active_developers_monthly,2023-09-01,1
documentation,pyth-network,GITHUB_active_developers_monthly,2023-09-01,5
k-editor-support,runtimeverification,GITHUB_active_developers_monthly,2023-03-01,1
pyth-sdk-solidity,pyth-network,GITHUB_active_developers_monthly,2023-03-01,1
k-pldi-tutorial,runtimeverification,GITHUB_active_developers_monthly,2023-03-01,1
knock,runtimeverification,GITHUB_active_developers_monthly,2023-03-01,1
k-web-theme,runtimeverification,GITHUB_active_developers_monthly,2023-03-01,1
contracts,third-web,GITHUB_active_developers_monthly,2023-03-01,1
cookiecutter-python,trailofbits,GITHUB_active_developers_monthly,2023-03-01,1
necessist,trailofbits,GITHUB_active_developers_monthly,2023-03-01,2
redstone-images,redstone-finance,GITHUB_active_developers_monthly,2023-09-01,1
nate,trailofbits,GITHUB_active_developers_monthly,2023-09-01,1
vast,trailofbits,GITHUB_active_developers_monthly,2023-09-01,2
walnut-sdk,walnuthq,GITHUB_active_developers_monthly,2023-12-01,1
redstone-landing,redstone-finance,GITHUB_active_developers_monthly,2023-09-01,1
oso,opensource-observer,GITHUB_active_developers_monthly,2023-12-01,3
sholva,trailofbits,GITHUB_active_developers_monthly,2023-09-01,1
hvci-loldrivers-check,trailofbits,GITHUB_active_developers_monthly,2023-08-01,1
semgrep-rules,trailofbits,GITHUB_active_developers_monthly,2023-08-01,1
haskell-backend,runtimeverification,GITHUB_active_developers_monthly,2023-08-01,2
dylint,trailofbits,GITHUB_active_developers_monthly,2023-08-01,2
python-sdk,third-web,GITHUB_active_developers_monthly,2023-03-01,2
.github,trailofbits,GITHUB_active_developers_monthly,2023-03-01,1
weggli-native,trailofbits,GITHUB_active_developers_monthly,2023-03-01,1
redstone-x-example,redstone-finance,GITHUB_active_developers_monthly,2023-03-01,1
redstone-evm-examples,redstone-finance,GITHUB_active_developers_monthly,2023-03-01,1
docs,third-web,GITHUB_active_developers_monthly,2023-03-01,7
redstone-showroom,redstone-finance,GITHUB_active_developers_monthly,2023-03-01,1
verilog_tools,trailofbits,GITHUB_active_developers_monthly,2023-03-01,1
python-project-template,runtimeverification,GITHUB_active_developers_monthly,2023-03-01,2
not-slithering-anywhere,trailofbits,GITHUB_active_developers_monthly,2023-03-01,1
pegoat,trailofbits,GITHUB_active_developers_monthly,2023-03-01,1
go-sdk,third-web,GITHUB_active_developers_monthly,2023-03-01,1
evm-semantics,runtimeverification,GITHUB_active_developers_monthly,2023-03-01,4
pasta,trailofbits,GITHUB_active_developers_monthly,2023-09-01,1
pyth-agent,pyth-network,GITHUB_active_developers_monthly,2023-03-01,3
pasta,trailofbits,GITHUB_active_developers_monthly,2023-03-01,1
llvm-backend,runtimeverification,GITHUB_active_developers_monthly,2023-03-01,2
interface,wakeuplabs,GITHUB_active_developers_monthly,2023-09-01,1
pe-parse,trailofbits,GITHUB_active_developers_monthly,2023-09-01,1
gitbook-home,runtimeverification,GITHUB_active_developers_monthly,2023-09-01,2
weggli-native,trailofbits,GITHUB_active_developers_monthly,2023-09-01,1
blight,trailofbits,GITHUB_active_developers_monthly,2023-09-01,1
welldonestudio.github.io,remix-arbitrum-welldonestudio,GITHUB_active_developers_monthly,2023-09-01,2
defillama-server,redstone-finance,GITHUB_active_developers_monthly,2023-09-01,1
gitbook-kontrol,runtimeverification,GITHUB_active_developers_monthly,2023-08-01,2
k-pldi-tutorial,runtimeverification,GITHUB_active_developers_monthly,2023-08-01,1
redstone-showroom,redstone-finance,GITHUB_active_developers_monthly,2023-08-01,1
redstone-evm-examples,redstone-finance,GITHUB_active_developers_monthly,2023-12-01,1
awesome-ml-security,trailofbits,GITHUB_active_developers_monthly,2023-12-01,1
