project_name,repo_url,created_date,hackathon_name,bounty_title,org,gitcoin/buidlbox
aaveboard,https://github.com/merwane/aaveboard,2019-11-12 14:03:18+00,Web3 World,Gitcoin x Aave Hackathon Challenge : Build a monitoring Dapp for data lovers,aave,gitcoin
Monitoring DApp,https://github.com/thesachinmittal/Aave-Monitoring-DApp,2019-11-12 14:05:27+00,Web3 World,Gitcoin x Aave Hackathon Challenge : Build a monitoring Dapp for data lovers,aave,gitcoin
Monitoring DApp,https://github.com/Ljtron/Aave-Monitoring-Dapp-For-Data-Lovers,2019-11-12 14:06:42+00,Web3 World,Gitcoin x Aave Hackathon Challenge : Build a monitoring Dapp for data lovers,aave,gitcoin
Birdwatching,https://github.com/zoek1/Birdwatching,2019-11-12 03:54:45.398685+00,Web3 World,Gitcoin x Aave Hackathon Challenge : Build a monitoring Dapp for data lovers,aave,gitcoin
Amazing Aave Data Lovers,https://github.com/MichaelSzer/AaveMonitoringData,2019-11-11 12:01:20.640695+00,Web3 World,Gitcoin x Aave Hackathon Challenge : Build a monitoring Dapp for data lovers,aave,gitcoin
Aave Monitor,https://github.com/michaelcohen716/aave-monitor,2019-11-11 23:18:00.243161+00,Web3 World,Gitcoin x Aave Hackathon Challenge : Build a monitoring Dapp for data lovers,aave,gitcoin
Aave Analytics,https://github.com/viraja1/aave_analytics,2019-11-10 22:05:53.777816+00,Web3 World,Gitcoin x Aave Hackathon Challenge : Build a monitoring Dapp for data lovers,aave,gitcoin
Aave Monit,https://github.com/sudeepb02/Aave,2019-11-07 19:23:37+00,Web3 World,Gitcoin x Aave Hackathon Challenge : Build a monitoring Dapp for data lovers,aave,gitcoin
Gen Owl,https://github.com/monkrus/AAVE_Hackathon/,2019-11-08 13:20:07.132242+00,Web3 World,Gitcoin x Aave Hackathon Challenge : Build a monitoring Dapp for data lovers,aave,gitcoin
NET developer page,https://github.com/ethereum/ethereum-org-website/pull/360,2019-11-12 14:40:57+00,Web3 World,Programming-Language Specific Pages: .NET,ethereum,gitcoin
Ethereum for .NET,https://github.com/ethereum/ethereum-org-website/pull/376,2019-11-12 14:41:57+00,Web3 World,Programming-Language Specific Pages: .NET,ethereum,gitcoin
Page for Rust,https://github.com/ethereum/ethereum-org-website/pull/361,2019-11-12 14:37:05+00,Web3 World,Programming-Language Specific Pages: Rust,ethereum,gitcoin
Rust Docs,https://github.com/ethereum/ethereum-org-website/pull/367,2019-11-12 14:38:13+00,Web3 World,Programming-Language Specific Pages: Rust,ethereum,gitcoin
