,seed_repo_owner,seed_repo_name,package_name,package_repo_owner,package_repo_name,package_source
0,gh-efforts,lotus-monitor,github.com/stretchr/testify,stretchr,testify,GO
1,gh-efforts,lotus-monitor,github.com/filecoin-project/go-crypto,filecoin-project,go-crypto,GO
2,filedrive-team,go-ds-cluster,github.com/koron/go-ssdp,koron,go-ssdp,GO
3,filecoin-project,go-f3,github.com/mmcloughlin/addchain,mmcloughlin,addchain,GO
4,libp2p,go-libp2p,github.com/multiformats/go-base36,multiformats,go-base36,GO
5,filecoin-project,go-f3,github.com/spaolacci/murmur3,spaolacci,murmur3,GO
6,ipfs-force-community,sophon-auth,go.uber.org/multierr,uber-go,multierr,GO
7,govxs,evaluating-voting-design-tradeoffs-for-retro-funding,markdown,python-markdown,markdown,PIP
8,govxs,evaluating-voting-design-tradeoffs-for-retro-funding,platformdirs,tox-dev,platformdirs,PIP
9,filedrive-team,go-parallel-graphsync,github.com/ipfs/go-datastore,ipfs,go-datastore,GO
10,govxs,evaluating-voting-design-tradeoffs-for-retro-funding,importlib-resources,python,importlib_resources,PIP
11,libp2p,go-libp2p,github.com/wlynxg/anet,wlynxg,anet,GO
12,libp2p,go-libp2p,github.com/pbnjay/memory,pbnjay,memory,GO
13,filedrive-team,go-parallel-graphsync,github.com/quic-go/quic-go,quic-go,quic-go,GO
14,gh-efforts,lotus-monitor,github.com/multiformats/go-multiaddr-fmt,multiformats,go-multiaddr-fmt,GO
15,ipfs,helia,@helia/bitswap,ipfs,helia,NPM
16,filedrive-team,go-ds-cluster,github.com/mr-tron/base58,mr-tron,base58,GO
17,ipfs,helia,it-take,achingbrain,it,NPM
18,gh-efforts,lotus-monitor,github.com/geertjohan/go.incremental,geertjohan,go.incremental,GO
19,gh-efforts,lotus-monitor,github.com/gbrlsnchs/jwt/v3,gbrlsnchs,jwt,GO
20,ipfs-force-community,sophon-auth,github.com/ipfs-force-community/metrics,ipfs-force-community,metrics,GO
21,ipfs,helia,blockstore-idb,ipfs,js-stores,NPM
22,filedrive-team,go-parallel-graphsync,github.com/quic-go/qpack,quic-go,qpack,GO
23,filedrive-team,go-ds-cluster,github.com/libp2p/go-nat,libp2p,go-nat,GO
24,filedrive-team,go-ds-cluster,github.com/spaolacci/murmur3,spaolacci,murmur3,GO
25,filedrive-team,go-parallel-graphsync,github.com/ipfs/go-peertaskqueue,ipfs,go-peertaskqueue,GO
26,filecoin-project,go-f3,go.uber.org/zap,uber-go,zap,GO
27,filecoin-project,go-f3,github.com/multiformats/go-multiaddr-dns,multiformats,go-multiaddr-dns,GO
28,gh-efforts,lotus-monitor,github.com/urfave/cli/v2,urfave,cli,GO
29,filedrive-team,go-graphsplit,github.com/ipfs/go-ipfs-ds-help,ipfs,go-ipfs-ds-help,GO
30,libp2p,go-libp2p,github.com/pion/logging,pion,logging,GO
31,libp2p,go-libp2p,github.com/gdamore/tcell/v2,gdamore,tcell,GO
32,eastore-project,fildeal,go.opentelemetry.io/otel,open-telemetry,opentelemetry-go,GO
33,filedrive-team,go-graphsplit,github.com/xdg-go/pbkdf2,xdg-go,pbkdf2,GO
34,filedrive-team,go-ds-cluster,github.com/libp2p/go-libp2p-transport-upgrader,libp2p,go-libp2p-transport-upgrader,GO
35,ipfs-force-community,metrics,go.uber.org/dig,uber-go,dig,GO
36,filedrive-team,go-parallel-graphsync,github.com/libp2p/go-netroute,libp2p,go-netroute,GO
37,ipfs,helia,helia,ipfs,helia,NPM
38,filedrive-team,go-parallel-graphsync,github.com/multiformats/go-multiaddr,multiformats,go-multiaddr,GO
39,filedrive-team,go-ds-cluster,github.com/filecoin-project/go-cbor-util,filecoin-project,go-cbor-util,GO
40,libp2p,go-libp2p,github.com/multiformats/go-multistream,multiformats,go-multistream,GO
41,filecoin-project,go-f3,github.com/multiformats/go-base36,multiformats,go-base36,GO
42,gh-efforts,lotus-monitor,github.com/ipfs/go-ipld-format,ipfs,go-ipld-format,GO
43,filecoin-project,go-f3,github.com/pion/rtp,pion,rtp,GO
44,ipfs,helia,pretty-bytes,sindresorhus,pretty-bytes,NPM
45,gh-efforts,lotus-monitor,github.com/whyrusleeping/bencher,whyrusleeping,bencher,GO
46,ipfs,helia,@helia/interface,ipfs,helia,NPM
47,filedrive-team,go-ds-cluster,github.com/prometheus/procfs,prometheus,procfs,GO
48,libp2p,go-libp2p,github.com/huin/goupnp,huin,goupnp,GO
49,gh-efforts,lotus-monitor,github.com/ipfs/go-block-format,ipfs,go-block-format,GO
50,ipfs-force-community,sophon-auth,github.com/spf13/viper,spf13,viper,GO
51,gh-efforts,lotus-monitor,github.com/golang/groupcache,golang,groupcache,GO
52,gh-efforts,lotus-monitor,github.com/mailru/easyjson,mailru,easyjson,GO
53,filecoin-project,rust-fil-proofs,raw-cpuid,gz,rust-cpuid,RUST
54,filecoin-project,go-f3,lukechampine.com/blake3,lukechampine,blake3,GO
55,ipfs-force-community,sophon-auth,github.com/go-playground/validator/v10,go-playground,validator,GO
56,libp2p,go-libp2p,github.com/pion/sdp/v3,pion,sdp,GO
57,filecoin-project,go-f3,github.com/pion/logging,pion,logging,GO
58,filedrive-team,go-graphsplit,github.com/ipfs/go-blockservice,ipfs,go-blockservice,GO
59,filedrive-team,go-graphsplit,github.com/jbenet/goprocess,jbenet,goprocess,GO
60,filedrive-team,go-ds-cluster,github.com/gogo/protobuf,gogo,protobuf,GO
61,eastore-project,fildeal,github.com/ipfs/go-ipld-cbor,ipfs,go-ipld-cbor,GO
62,libp2p,go-libp2p,github.com/coreos/go-systemd/v22,coreos,go-systemd,GO
63,filedrive-team,go-ds-cluster,github.com/minio/blake2b-simd,minio,blake2b-simd,GO
64,libp2p,go-libp2p,github.com/cespare/xxhash/v2,cespare,xxhash,GO
65,gh-efforts,lotus-monitor,github.com/hako/durafmt,hako,durafmt,GO
66,ipfs-force-community,sophon-auth,github.com/nxadm/tail,nxadm,tail,GO
67,ipfs-force-community,sophon-auth,go.uber.org/zap,uber-go,zap,GO
68,ipfs,helia,blockstore-fs,ipfs,js-stores,NPM
69,govxs,evaluating-voting-design-tradeoffs-for-retro-funding,jupyter-client,jupyter,jupyter_client,PIP
70,filecoin-project,go-f3,github.com/opencontainers/runtime-spec,opencontainers,runtime-spec,GO
71,ipfs,helia,@libp2p/crypto,libp2p,js-libp2p,NPM
72,ipfs,helia,p-event,sindresorhus,p-event,NPM
73,filecoin-project,go-f3,github.com/libp2p/go-libp2p-pubsub,libp2p,go-libp2p-pubsub,GO
74,eastore-project,fildeal,github.com/filecoin-project/go-data-segment,filecoin-project,go-data-segment,GO
75,ipfs-force-community,sophon-auth,github.com/dgraph-io/badger/v3,dgraph-io,badger,GO
76,ipfs-force-community,metrics,go.opentelemetry.io/otel,open-telemetry,opentelemetry-go,GO
77,govxs,evaluating-voting-design-tradeoffs-for-retro-funding,rpds-py,crate-py,rpds,PIP
78,gh-efforts,lotus-monitor,github.com/ipfs/go-verifcid,ipfs,go-verifcid,GO
79,filedrive-team,go-graphsplit,github.com/polydawn/refmt,polydawn,refmt,GO
80,filecoin-project,go-f3,github.com/libp2p/go-flow-metrics,libp2p,go-flow-metrics,GO
81,ipfs,helia,@chainsafe/libp2p-yamux,chainsafe,js-libp2p-yamux,NPM
82,filedrive-team,go-parallel-graphsync,github.com/libp2p/go-yamux/v4,libp2p,go-yamux,GO
83,filedrive-team,go-parallel-graphsync,github.com/ipfs/go-unixfs,ipfs,go-unixfs,GO
84,filedrive-team,go-ds-cluster,github.com/ipfs/go-verifcid,ipfs,go-verifcid,GO
85,libp2p,go-libp2p,github.com/rivo/tview,rivo,tview,GO
86,filedrive-team,go-graphsplit,github.com/ipfs/go-ipfs-chunker,ipfs,go-ipfs-chunker,GO
87,gh-efforts,lotus-monitor,github.com/libp2p/go-libp2p,libp2p,go-libp2p,GO
88,filecoin-project,rust-fil-proofs,num-bigint,rust-num,num-bigint,RUST
89,filedrive-team,go-parallel-graphsync,github.com/containerd/cgroups,containerd,cgroups,GO
90,filedrive-team,go-ds-cluster,github.com/libp2p/go-addr-util,libp2p,go-addr-util,GO
91,filedrive-team,go-graphsplit,github.com/ipfs/bbloom,ipfs,bbloom,GO
92,filecoin-project,go-f3,go.opentelemetry.io/otel,open-telemetry,opentelemetry-go,GO
93,ipfs-force-community,sophon-auth,github.com/go-logr/logr,go-logr,logr,GO
94,ipfs-force-community,metrics,github.com/minio/sha256-simd,minio,sha256-simd,GO
95,libp2p,go-libp2p,go.opentelemetry.io/otel/trace,open-telemetry,opentelemetry-go,GO
96,filedrive-team,go-ds-cluster,github.com/libp2p/go-sockaddr,libp2p,go-sockaddr,GO
97,eastore-project,fildeal,github.com/filecoin-project/go-fil-commcid,filecoin-project,go-fil-commcid,GO
98,ipfs,helia,ipfs-unixfs,ipfs,js-ipfs-unixfs,NPM
99,filedrive-team,go-ds-cluster,github.com/urfave/cli/v2,urfave,cli,GO
100,beck-8,filplus,github.com/cpuguy83/go-md2man/v2,cpuguy83,go-md2man,GO
101,filedrive-team,go-parallel-graphsync,github.com/gopherjs/gopherjs,gopherjs,gopherjs,GO
102,eastore-project,fildeal,go.uber.org/atomic,uber-go,atomic,GO
103,ipfs,helia,race-signal,achingbrain,race-signal,NPM
104,ipfs-force-community,sophon-auth,github.com/ipfs/go-ipld-cbor,ipfs,go-ipld-cbor,GO
105,ipfs,helia,interface-store,ipfs,js-stores,NPM
106,ipfs-force-community,venus-common-utils,github.com/stretchr/testify,stretchr,testify,GO
107,gh-efforts,lotus-monitor,github.com/dustin/go-humanize,dustin,go-humanize,GO
108,filedrive-team,go-ds-cluster,github.com/libp2p/go-reuseport-transport,libp2p,go-reuseport-transport,GO
109,ipfs-force-community,sophon-auth,github.com/klauspost/cpuid/v2,klauspost,cpuid,GO
110,ipfs,helia,@helia/http,ipfs,helia,NPM
111,gh-efforts,lotus-monitor,github.com/davecgh/go-spew,davecgh,go-spew,GO
112,filecoin-project,go-f3,github.com/pbnjay/memory,pbnjay,memory,GO
113,libp2p,go-libp2p,go.opentelemetry.io/otel,open-telemetry,opentelemetry-go,GO
114,filedrive-team,go-ds-cluster,github.com/libp2p/go-mplex,libp2p,go-mplex,GO
115,govxs,evaluating-voting-design-tradeoffs-for-retro-funding,kiwisolver,nucleic,kiwi,PIP
116,gh-efforts,lotus-monitor,github.com/hashicorp/golang-lru/v2,hashicorp,golang-lru,GO
117,eastore-project,fildeal,github.com/ipfs/go-ipfs-exchange-offline,ipfs,go-ipfs-exchange-offline,GO
118,filecoin-project,go-f3,github.com/go-logr/logr,go-logr,logr,GO
119,filecoin-project,go-f3,github.com/pion/webrtc/v3,pion,webrtc,GO
120,filecoin-project,go-f3,github.com/cpuguy83/go-md2man/v2,cpuguy83,go-md2man,GO
121,ipfs-force-community,sophon-auth,github.com/davecgh/go-spew,davecgh,go-spew,GO
122,libp2p,go-libp2p,github.com/pion/stun,pion,stun,GO
123,filedrive-team,go-ds-cluster,github.com/libp2p/go-stream-muxer-multistream,libp2p,go-stream-muxer-multistream,GO
124,govxs,evaluating-voting-design-tradeoffs-for-retro-funding,filelock,tox-dev,py-filelock,PIP
125,libp2p,go-libp2p,github.com/go-logr/stdr,go-logr,stdr,GO
126,eastore-project,fildeal,github.com/spaolacci/murmur3,spaolacci,murmur3,GO
127,filecoin-project,go-f3,github.com/prometheus/procfs,prometheus,procfs,GO
128,ipfs-force-community,sophon-auth,github.com/minio/blake2b-simd,minio,blake2b-simd,GO
129,libp2p,go-libp2p,github.com/golang/snappy,golang,snappy,GO
130,gh-efforts,lotus-monitor,github.com/filecoin-project/specs-actors/v3,filecoin-project,specs-actors,GO
131,filedrive-team,go-graphsplit,github.com/ipld/go-ipld-prime,ipld,go-ipld-prime,GO
132,filedrive-team,go-parallel-graphsync,github.com/prometheus/procfs,prometheus,procfs,GO
133,gh-efforts,lotus-monitor,github.com/minio/sha256-simd,minio,sha256-simd,GO
134,gh-efforts,lotus-monitor,github.com/cespare/xxhash/v2,cespare,xxhash,GO
135,filecoin-project,rust-fil-proofs,clap,clap-rs,clap,RUST
136,gh-efforts,lotus-monitor,github.com/ipfs/go-ds-measure,ipfs,go-ds-measure,GO
137,ipfs-force-community,sophon-auth,github.com/cespare/xxhash/v2,cespare,xxhash,GO
138,filedrive-team,go-graphsplit,github.com/ipfs/go-datastore,ipfs,go-datastore,GO
139,filedrive-team,go-ds-cluster,github.com/ipfs/go-ipfs-exchange-interface,ipfs,go-ipfs-exchange-interface,GO
140,filecoin-project,go-f3,github.com/pion/stun,pion,stun,GO
141,gh-efforts,lotus-monitor,github.com/golang/glog,golang,glog,GO
142,ipfs-force-community,metrics,github.com/multiformats/go-varint,multiformats,go-varint,GO
143,filedrive-team,go-parallel-graphsync,github.com/ipfs/go-ipfs-exchange-interface,ipfs,go-ipfs-exchange-interface,GO
144,filecoin-project,go-f3,github.com/libp2p/go-msgio,libp2p,go-msgio,GO
145,ipfs-force-community,sophon-auth,go.opentelemetry.io/otel/bridge/opencensus,open-telemetry,opentelemetry-go,GO
146,libp2p,go-libp2p,github.com/golang/protobuf,golang,protobuf,GO
147,filedrive-team,go-ds-cluster,github.com/multiformats/go-varint,multiformats,go-varint,GO
148,ipfs-force-community,sophon-auth,github.com/smartystreets/goconvey,smartystreets,goconvey,GO
149,filedrive-team,go-parallel-graphsync,github.com/flynn/noise,flynn,noise,GO
150,filedrive-team,go-parallel-graphsync,github.com/whyrusleeping/cbor-gen,whyrusleeping,cbor-gen,GO
151,govxs,evaluating-voting-design-tradeoffs-for-retro-funding,wcwidth,jquast,wcwidth,PIP
152,libp2p,go-libp2p,github.com/libp2p/go-msgio,libp2p,go-msgio,GO
153,ipfs-force-community,sophon-auth,github.com/polydawn/refmt,polydawn,refmt,GO
154,ipfs-force-community,sophon-auth,go.uber.org/atomic,uber-go,atomic,GO
155,filecoin-project,go-f3,github.com/klauspost/compress,klauspost,compress,GO
156,eastore-project,fildeal,github.com/ipfs/go-ipld-format,ipfs,go-ipld-format,GO
