,seed_repo_owner,seed_repo_name,package_name,package_repo_owner,package_repo_name,package_source
0,scroll-tech,uniswap-v2-sdk-scroll,toformat,mikemcl,toformat,NPM
1,scroll-tech,trace-prove-runner,equivalent,cuviper,equivalent,RUST
2,scroll-tech,misc-precompiled-circuit,crossbeam-queue,crossbeam-rs,crossbeam,RUST
3,scroll-tech,misc-precompiled-circuit,block-buffer,rustcrypto,utils,RUST
4,scroll-tech,da-codec,github.com/consensys/bavard,consensys,bavard,GO
5,scroll-tech,zktrie,log,rust-lang,log,RUST
6,scroll-tech,misc-precompiled-circuit,unicode-ident,dtolnay,unicode-ident,RUST
7,scroll-tech,zk-mooc-halo2,examples,webrtc-rs,examples,RUST
8,scroll-tech,uniswap-v2-sdk-scroll,jsbi,googlechromelabs,jsbi,NPM
9,scroll-tech,misc-precompiled-circuit,num-traits,rust-num,num-traits,RUST
10,scroll-tech,misc-precompiled-circuit,once_cell,matklad,once_cell,RUST
11,scroll-tech,trace-prove-runner,tracing,tokio-rs,tracing,RUST
12,scroll-tech,trace-dumper,github.com/edsrzf/mmap-go,edsrzf,mmap-go,GO
13,scroll-tech,da-codec,once_cell,matklad,once_cell,RUST
14,scroll-tech,trace-prove-runner,toml_edit,toml-rs,toml,RUST
15,scroll-tech,token-list,color-name,colorjs,color-name,NPM
16,scroll-tech,misc-precompiled-circuit,subtle,dalek-cryptography,subtle,RUST
17,scroll-tech,bn254,proc-macro2,dtolnay,proc-macro2,RUST
18,scroll-tech,misc-precompiled-circuit,serde,serde-rs,serde,RUST
19,scroll-tech,trace-dumper,github.com/victoriametrics/fastcache,victoriametrics,fastcache,GO
20,scroll-tech,zk-mooc-halo2,rand_xorshift,rust-random,rngs,RUST
21,scroll-tech,trace-prove-runner,clap_lex,clap-rs,clap,RUST
22,scroll-tech,trace-dumper,github.com/fjl/memsize,fjl,memsize,GO
23,scroll-tech,bn254,libc,rust-lang,libc,RUST
24,scroll-tech,misc-precompiled-circuit,proc-macro2,dtolnay,proc-macro2,RUST
25,scroll-tech,misc-precompiled-circuit,crossbeam-deque,crossbeam-rs,crossbeam,RUST
26,scroll-tech,misc-precompiled-circuit,version_check,sergiobenitez,version_check,RUST
27,scroll-tech,da-codec,github.com/shirou/gopsutil,shirou,gopsutil,GO
28,scroll-tech,nft-token-list,@actions/core,actions,toolkit,NPM
29,scroll-tech,misc-precompiled-circuit,radium,ferrilab,ferrilab,RUST
30,scroll-tech,trace-dumper,rsc.io/tmplfunc,rsc,tmplfunc,GO
31,scroll-tech,trace-dumper,github.com/consensys/gnark-crypto,consensys,gnark-crypto,GO
32,scroll-tech,trace-prove-runner,anstyle-parse,rust-cli,anstyle,RUST
