,project_id,from_artifact_id,to_artifact_id,event_source,event_type,bucket_day,amount
0,_-S_4OPQhIH4TID_hmmAA5OXTOHKI4iN4pvDgt3elQk=,xP3a0JeLXrlu_b5iyBQ8HSCDGHyLxWhz2AEh3AwGQgc=,VnE9nCBt5O_I1lA1CMvjSj_6yZQ8OPYB9ubhdNCPdcs=,GITHUB,COMMIT_CODE,2021-11-29 00:00:00+00:00,1.0
1,ogxNhIfrVaknEjgkLw_x3MDkMWhFxIOxPE-dTugDrJo=,izW18vtTOXATLIhi2JgyXJJXhXS4kN1XxyE-Y_JmNyY=,kvlbm0sQK2mMpHQNdj4Kq5ChDsYUucPMA0SZfQwukKU=,GITHUB,COMMIT_CODE,2021-10-19 00:00:00+00:00,9.0
2,_-S_4OPQhIH4TID_hmmAA5OXTOHKI4iN4pvDgt3elQk=,R5SsXx9FG_BtIMr3nFiqpB3Y3VXPxXtewJs_BokQnDg=,E4FeqTbZHg4Fn6noYF-TywI39AYox1dVQY0eaPezCAE=,GITHUB,COMMIT_CODE,2021-08-20 00:00:00+00:00,1.0
3,_-S_4OPQhIH4TID_hmmAA5OXTOHKI4iN4pvDgt3elQk=,DPWstyBbrJubGyWyS0LEfXNS29E8_2g56LzHf1S8uVc=,kZA39qMB-pbVpsJk2g1sMq3gJUX4ayRWrXKhEGRpjww=,GITHUB,COMMIT_CODE,2021-05-27 00:00:00+00:00,3.0
4,DIFwzDKrLDsrfbdzXMd0V-K852SAS7sR0loKq0bIlco=,O-XPC3o6c0pKE3_gcKi22epv-CycI87t8bSIg7z1Gck=,0bJdZNAC64L2_M3l4E3Po-IK8vWYuTwVWl6I1YktZlA=,GITHUB,COMMIT_CODE,2021-12-10 00:00:00+00:00,1.0
5,DIFwzDKrLDsrfbdzXMd0V-K852SAS7sR0loKq0bIlco=,O-XPC3o6c0pKE3_gcKi22epv-CycI87t8bSIg7z1Gck=,Qs1FGuXP4rQu7PrPRtgD3Lbg7ZTq3NhaFgLRCM_h1sQ=,GITHUB,COMMIT_CODE,2021-12-10 00:00:00+00:00,1.0
6,_-S_4OPQhIH4TID_hmmAA5OXTOHKI4iN4pvDgt3elQk=,O-XPC3o6c0pKE3_gcKi22epv-CycI87t8bSIg7z1Gck=,fM-jgsAy27ukZcOlOHbrol0fvrZGMnPyLx2YhCBHK4E=,GITHUB,COMMIT_CODE,2023-01-30 00:00:00+00:00,1.0
7,FZyANfBAocvep2LvoyukpWDW7ZmzfgXn35C0zqVZtg4=,wXCmvorvpttFUUuR2dj3DTsRxEddpyWxbQHt4bmgYbM=,vqWTbQe7J6UxuAkFZSqhVP0loRo3KMGENv-RbSQMGRI=,GITHUB,COMMIT_CODE,2023-01-04 00:00:00+00:00,1.0
8,DIFwzDKrLDsrfbdzXMd0V-K852SAS7sR0loKq0bIlco=,cdihaYyxtF4CrBvW2YabnAOt_bIOpnZex4a7LcA0BNQ=,JFqoTmZ6zNS8hUD-TGK_z4Xtb3M1XUh3rC0PN0EfcTU=,GITHUB,COMMIT_CODE,2021-09-07 00:00:00+00:00,2.0
9,DIFwzDKrLDsrfbdzXMd0V-K852SAS7sR0loKq0bIlco=,cdihaYyxtF4CrBvW2YabnAOt_bIOpnZex4a7LcA0BNQ=,3Hrmr6Sza48z6N8Fy0A3Xwz6caN5UPHiN3XOfPQl8Lo=,GITHUB,COMMIT_CODE,2021-09-09 00:00:00+00:00,2.0
