,project_id,artifact_id,artifact_namespace,artifact_name,is_fork,fork_count,star_count,watcher_count,language,license_spdx_id,first_commit_time,last_commit_time,days_with_commits_count,contributors_to_repo_count,repo_name_with_owner
2,DIFwzDKrLDsrfbdzXMd0V-K852SAS7sR0loKq0bIlco=,x4DLpXKWBCFULYPvXE4q0VskpJCI6EDmPEUTp8L-nTA=,libp2p,go-tcp-transport,False,31,59,59,Go,MIT,2016-09-25 08:11:21.000000 UTC,2022-05-26 09:10:36.000000 UTC,93.0,11.0,libp2p/go-tcp-transport
3,DIFwzDKrLDsrfbdzXMd0V-K852SAS7sR0loKq0bIlco=,Nz80bwSdN_k9rj_iFMGmw_q11MqTtxPsVFa4hY1Rovs=,libp2p,go-libp2p-routing,False,7,24,24,Go,MIT,2016-09-02 15:22:44.000000 UTC,2019-05-25 11:09:30.000000 UTC,60.0,9.0,libp2p/go-libp2p-routing
4,_-S_4OPQhIH4TID_hmmAA5OXTOHKI4iN4pvDgt3elQk=,lujN8H1ogAhcUQBOEURg5Ta0XgO8mNLQmtpwY3OdkNc=,ipfs,go-bitswap,False,112,218,218,Go,MIT,2018-07-27 21:39:20.000000 UTC,2023-02-01 01:21:56.000000 UTC,164.0,15.0,ipfs/go-bitswap
16,DIFwzDKrLDsrfbdzXMd0V-K852SAS7sR0loKq0bIlco=,jfbyfyM8XT9m0s9H4Fz4cWJqyEBN2ukF1D9_ioiHO5Q=,libp2p,go-libp2p-core,False,75,145,145,Go,NOASSERTION,2019-05-02 18:13:50.000000 UTC,2022-09-06 13:18:35.000000 UTC,120.0,13.0,libp2p/go-libp2p-core
75,_-S_4OPQhIH4TID_hmmAA5OXTOHKI4iN4pvDgt3elQk=,6HdmOnoWX45DiWI5SVdAa6fNaw0ilNzv6Ex68TWSimA=,ipfs,specs,False,228,1141,1141,HTML,,2022-06-07 19:40:20.000000 UTC,2024-05-16 17:11:53.000000 UTC,78.0,7.0,ipfs/specs
112,FRm_4WZ2s9f4JOO6BqAEiYa2Qe9KU6LWBnC2uPSMUpI=,fyWb_5WlHrUyHO9qNKeF0o9fo5SPMwJFqc5ysCe4z5U=,filecoin-project,community,False,164,472,472,,NOASSERTION,2019-02-14 20:16:56.000000 UTC,2022-10-31 11:25:20.000000 UTC,66.0,16.0,filecoin-project/community
121,_-S_4OPQhIH4TID_hmmAA5OXTOHKI4iN4pvDgt3elQk=,nubPKUcwcaT9l9fPqse2tLRmv2FA2of-51O3k4Z4j-4=,ipfs,ipget,False,54,370,370,Shell,MIT,2015-09-25 06:05:19.000000 UTC,2024-01-31 17:37:24.000000 UTC,61.0,13.0,ipfs/ipget
127,FZyANfBAocvep2LvoyukpWDW7ZmzfgXn35C0zqVZtg4=,P-PjP4QwT1p77kSW65Q-Ht2V_r3WyNtNDmozP7-kGUk=,zondax,ledger-cosmos-js,False,65,29,29,TypeScript,Apache-2.0,2018-07-29 16:49:43.000000 UTC,2024-04-03 10:52:57.000000 UTC,44.0,2.0,zondax/ledger-cosmos-js
135,_-S_4OPQhIH4TID_hmmAA5OXTOHKI4iN4pvDgt3elQk=,vmsEVlKDoklLPqYf0QV8rltKGoZrAqHfiU1eXdC1va8=,ipfs,ipfs-webui,False,470,1522,1522,JavaScript,MIT,2021-04-14 17:51:42.000000 UTC,2024-04-19 13:37:19.000000 UTC,114.0,6.0,ipfs/ipfs-webui
184,DIFwzDKrLDsrfbdzXMd0V-K852SAS7sR0loKq0bIlco=,spLGvbFSeZzwuveI1AfRcH1jxwkH1xZw9-1a0CRzQzk=,libp2p,go-conn-security,False,5,12,12,Go,MIT,2018-01-18 05:46:43.000000 UTC,2019-05-24 17:21:36.000000 UTC,34.0,7.0,libp2p/go-conn-security
187,0-ITqTrD73Jg5fVGxSA-2K5PcvWA6ejaJaQw7h40zCI=,D4nEEzisl7TDw_AYisfRO_N8dQ5hYBXvRuwH3QOms9E=,glifio,modules,False,16,19,19,TypeScript,,2020-10-05 15:57:32.000000 UTC,2024-05-09 13:32:04.000000 UTC,118.0,4.0,glifio/modules
195,_-S_4OPQhIH4TID_hmmAA5OXTOHKI4iN4pvDgt3elQk=,Hq3QnOaxkKTRnbIp4oj2dqjR1G6wfh9AcDZCFAGIUwQ=,ipfs,go-ipld-format,False,26,64,64,Go,MIT,2016-10-14 14:35:35.000000 UTC,2024-03-22 07:18:33.000000 UTC,68.0,13.0,ipfs/go-ipld-format
238,DIFwzDKrLDsrfbdzXMd0V-K852SAS7sR0loKq0bIlco=,Qs1FGuXP4rQu7PrPRtgD3Lbg7ZTq3NhaFgLRCM_h1sQ=,libp2p,go-nat,True,13,17,17,Go,Apache-2.0,2018-09-17 20:51:28.000000 UTC,2024-03-22 07:17:25.000000 UTC,28.0,7.0,libp2p/go-nat
