name,githubProjectLink,OSOName,categoryHasOsoName,repo_name_with_owner,repo_owner,repo_name,is_org,verified_oso_name,fork_count,star_count,created_at,updated_at,status
filexp,https://github.com/aschmahmann/filexp,,True,aschmahmann/filexp,aschmahmann,filexp,False,filexp-aschmahmann,1,11,2023-01-17 06:28:03+00:00,2024-11-14 15:06:07+00:00,1_oso_match_by_github_repo
FILPlus Data Calculation,https://github.com/beck-8/filplus,,True,beck-8/filplus,beck-8,filplus,False,filplus-beck-8,1,0,2022-09-09 09:23:58+00:00,2022-09-13 01:51:53+00:00,1_oso_match_by_github_repo
Forest,https://github.com/chainsafe/forest,forest-chainsafe,True,chainsafe/forest,chainsafe,forest,False,forest-chainsafe,160,638,2019-11-11 21:15:40+00:00,2024-11-19 12:51:31+00:00,1_oso_match_by_github_repo
Forest Archive,https://github.com/chainsafe/forest,forest-chainsafe,True,chainsafe/forest,chainsafe,forest,False,forest-chainsafe,160,638,2019-11-11 21:15:40+00:00,2024-11-19 12:51:31+00:00,1_oso_match_by_github_repo
CIDgravity Nextcloud App,https://github.com/CIDgravity/nextcloud-cidgravity-gateway-app,,False,cidgravity/nextcloud-cidgravity-gateway-app,cidgravity,nextcloud-cidgravity-gateway-app,False,cidgravity,0,1,2024-06-13 10:51:22+00:00,2024-11-05 08:21:45+00:00,1_oso_match_by_github_repo
 Old Faithful <> CURIO,https://github.com/cryptowhizzard/curio-oldfaithful,,True,cryptowhizzard/curio-oldfaithful,cryptowhizzard,curio-oldfaithful,False,cryptowhizzard,0,0,2024-11-04 09:13:09+00:00,2024-11-04 09:13:09+00:00,1_oso_match_by_github_repo
IPFS VS Code Extension,https://github.com/DataseekCN/ipfs-vscode-extension,https://www.opensource.observer/projects/dataseekcn,True,dataseekcn/ipfs-vscode-extension,dataseekcn,ipfs-vscode-extension,False,dataseekcn,1,5,2022-07-18 23:22:14+00:00,2024-10-12 12:18:20+00:00,1_oso_match_by_github_repo
Filecoin Data Portal,https://github.com/davidgasquez/filecoin-data-portal,,False,davidgasquez/filecoin-data-portal,davidgasquez,filecoin-data-portal,False,filecoin-data-portal-davidgasquez,8,26,2023-06-13 09:58:40+00:00,2024-11-20 11:38:11+00:00,1_oso_match_by_github_repo
Decentraclasses,https://github.com/DecentraSchool/decentraclasses,,False,decentraschool/decentraclasses,decentraschool,decentraclasses,False,decentraschool,0,1,2023-07-03 16:52:07+00:00,2024-10-13 06:37:27+00:00,1_oso_match_by_github_repo
Dspyt,https://github.com/dspytdao/dspyt-homepage,,False,dspytdao/dspyt-homepage,dspytdao,dspyt-homepage,False,dspytdao,0,6,2022-09-16 20:21:08+00:00,2024-10-22 00:51:48+00:00,1_oso_match_by_github_repo
EVM Explorer,https://github.com/dspytdao/EVM-Explorer,EVM Explorer,True,dspytdao/evm-explorer,dspytdao,evm-explorer,False,dspytdao,0,0,2024-10-19 19:18:58+00:00,2024-11-04 17:30:52+00:00,1_oso_match_by_github_repo
Spade Client,https://github.com/dukesoft/filecoin-spade-client,spade-client,True,dukesoft/filecoin-spade-client,dukesoft,filecoin-spade-client,False,spade-client-dukesoft,0,0,2023-12-17 12:48:43+00:00,2024-08-11 12:21:21+00:00,1_oso_match_by_github_repo
Eastore,https://github.com/Eastore-project/fildeal,,True,eastore-project/fildeal,eastore-project,fildeal,False,eastore-project,1,0,2024-09-02 18:27:55+00:00,2024-10-12 07:26:51+00:00,1_oso_match_by_github_repo
Datacapstats 2.0,https://github.com/fidlabs/filplus-dashboard-webapp,datacapstats,True,fidlabs/filplus-dashboard-webapp,fidlabs,filplus-dashboard-webapp,False,fidlabs,0,0,2024-07-10 14:03:55+00:00,2024-11-20 12:54:57+00:00,1_oso_match_by_github_repo
The CalibrationNet Stability Project,https://github.com/filecoin-project/curio,,True,filecoin-project/curio,filecoin-project,curio,False,curio-filecoin-project,11,29,2024-05-24 10:16:05+00:00,2024-11-17 14:23:08+00:00,1_oso_match_by_github_repo
Curio,https://github.com/filecoin-project/curio,curio,True,filecoin-project/curio,filecoin-project,curio,False,curio-filecoin-project,11,29,2024-05-24 10:16:05+00:00,2024-11-17 14:23:08+00:00,1_oso_match_by_github_repo
allocator.tech tooling,https://github.com/filecoin-project/filplus-registry,,False,filecoin-project/filplus-registry,filecoin-project,filplus-registry,False,filecoin-project,5,1,2023-08-08 15:13:00+00:00,2024-11-19 16:04:16+00:00,1_oso_match_by_github_repo
filsnap,https://github.com/filecoin-project/filsnap,,True,filecoin-project/filsnap,filecoin-project,filsnap,False,filecoin-project,9,17,2023-06-12 13:23:23+00:00,2024-11-18 14:40:32+00:00,1_oso_match_by_github_repo
FIP Editors,https://github.com/filecoin-project/FIPs,,False,filecoin-project/fips,filecoin-project,fips,False,filecoin-project,165,314,2019-04-03 01:53:36+00:00,2024-11-16 21:48:15+00:00,1_oso_match_by_github_repo
Filecoin Protocol R&D,https://github.com/filecoin-project/FIPs/,,False,filecoin-project/fips,filecoin-project,fips,False,filecoin-project,165,314,2019-04-03 01:53:36+00:00,2024-11-16 21:48:15+00:00,1_oso_match_by_github_repo
F3: Fast Finality for Filecoin,https://github.com/filecoin-project/go-f3,,True,filecoin-project/go-f3,filecoin-project,go-f3,False,filecoin-project,7,11,2023-11-05 18:37:29+00:00,2024-11-19 10:18:31+00:00,1_oso_match_by_github_repo
FEVM application & tool builder DX,https://github.com/filecoin-project/lotus,,False,filecoin-project/lotus,filecoin-project,lotus,False,filecoin-project,1271,2852,2019-06-25 09:52:07+00:00,2024-11-20 10:35:55+00:00,1_oso_match_by_github_repo
Lotus Client Implementation,https://github.com/filecoin-project/lotus,https://github.com/opensource-observer/oss-directory/blob/main/data/projects/f/filecoin-project.yaml,True,filecoin-project/lotus,filecoin-project,lotus,False,filecoin-project,1271,2852,2019-06-25 09:52:07+00:00,2024-11-20 10:35:55+00:00,1_oso_match_by_github_repo
Filecoin Virtual Machine EVM Compatibility,https://github.com/filecoin-project/ref-fvm,https://www.opensource.observer/projects/ref-fvm,True,filecoin-project/ref-fvm,filecoin-project,ref-fvm,False,ref-fvm-filecoin-project,140,385,2021-11-10 17:34:10+00:00,2024-11-20 23:51:15+00:00,1_oso_match_by_github_repo
builtin-actors and ref-fvm maintenance 🔧,https://github.com/filecoin-project/ref-fvm,,True,filecoin-project/ref-fvm,filecoin-project,ref-fvm,False,ref-fvm-filecoin-project,140,385,2021-11-10 17:34:10+00:00,2024-11-20 23:51:15+00:00,1_oso_match_by_github_repo
Filecoin Proofs,https://github.com/filecoin-project/rust-fil-proofs,,True,filecoin-project/rust-fil-proofs,filecoin-project,rust-fil-proofs,False,filecoin-project,315,493,2018-05-30 16:12:53+00:00,2024-11-18 18:00:40+00:00,1_oso_match_by_github_repo
venus,https://github.com/filecoin-project/venus,filecoin-project-venus,True,filecoin-project/venus,filecoin-project,venus,False,filecoin-project,463,2056,2017-12-05 18:41:10+00:00,2024-11-14 06:00:01+00:00,1_oso_match_by_github_repo
venus-wallet,https://github.com/filecoin-project/venus-wallet,filecoin-project-venus-wallet,True,filecoin-project/venus-wallet,filecoin-project,venus-wallet,False,filecoin-project,16,19,2021-02-05 01:23:41+00:00,2024-11-15 02:14:56+00:00,1_oso_match_by_github_repo
Filecoin Spark,https://github.com/filecoin-station/spark,,False,filecoin-station/spark,filecoin-station,spark,False,filecoin-station,2,9,2023-04-27 08:54:07+00:00,2024-11-18 10:16:28+00:00,1_oso_match_by_github_repo
filedag-storage,https://github.com/filedag-project/filedag-storage,filedag-project-filedag-storage,True,filedag-project/filedag-storage,filedag-project,filedag-storage,False,filedag-project,5,10,2022-02-10 05:57:31+00:00,2024-06-05 03:04:12+00:00,1_oso_match_by_github_repo
filejoy,https://github.com/filedrive-team/filejoy,filedrive-team-filejoy,True,filedrive-team/filejoy,filedrive-team,filejoy,False,filedrive-team,1,3,2021-10-27 09:18:05+00:00,2024-10-09 06:10:44+00:00,1_oso_match_by_github_repo
go-ds-cluster,https://github.com/filedrive-team/go-ds-cluster,filedrive-team-go-ds-cluster,True,filedrive-team/go-ds-cluster,filedrive-team,go-ds-cluster,False,filedrive-team,1,18,2021-08-10 06:10:03+00:00,2023-10-28 06:14:57+00:00,1_oso_match_by_github_repo
go-graphsplit,https://github.com/filedrive-team/go-graphsplit,filedrive-team-go-graphsplit,True,filedrive-team/go-graphsplit,filedrive-team,go-graphsplit,False,filedrive-team,30,43,2021-03-09 10:13:30+00:00,2024-08-10 13:51:13+00:00,1_oso_match_by_github_repo
go-parallel-graphsync,https://github.com/filedrive-team/go-parallel-graphsync,filedrive-team-go-parallel-graphsync,True,filedrive-team/go-parallel-graphsync,filedrive-team,go-parallel-graphsync,False,filedrive-team,0,5,2022-08-03 07:04:38+00:00,2023-08-18 09:34:36+00:00,1_oso_match_by_github_repo
pylotus-rpc,https://github.com/FilForge/pylotus-rpc,filforge,True,filforge/pylotus-rpc,filforge,pylotus-rpc,False,filforge,0,1,2023-10-15 18:18:40+00:00,2024-11-12 16:33:35+00:00,1_oso_match_by_github_repo
Direct Data Onboarding,https://github.com/FilOzone/DDO,,False,filozone/ddo,filozone,ddo,False,filozone,0,0,2024-11-04 12:45:28+00:00,2024-11-04 14:16:37+00:00,1_oso_match_by_github_repo
distribution @gh,https://github.com/gh-efforts/distribution,distribution,True,gh-efforts/distribution,gh-efforts,distribution,False,distribution-gh-efforts,0,1,2024-05-30 03:15:15+00:00,2024-06-04 01:56:38+00:00,1_oso_match_by_github_repo
Lotus Monitor (Monitoring Plugin),https://github.com/gh-efforts/lotus-monitor,Lotus Monitor,True,gh-efforts/lotus-monitor,gh-efforts,lotus-monitor,False,lotus-monitor-gh-efforts,0,3,2023-07-28 10:36:27+00:00,2024-10-24 02:48:46+00:00,1_oso_match_by_github_repo
JZFS,https://github.com/GitDataAI/jzfs,,True,gitdataai/jzfs,gitdataai,jzfs,False,gitdataai,6,87,2023-11-24 03:10:29+00:00,2024-11-20 00:29:39+00:00,1_oso_match_by_github_repo
Glif Nodes & RPC API service,https://github.com/glifio/filecoin-iac,glifio,True,glifio/filecoin-iac,glifio,filecoin-iac,False,glifio,2,13,2022-07-18 16:24:25+00:00,2024-05-29 09:23:06+00:00,1_oso_match_by_github_repo
GovXS – Evaluating Retro Funding Voting Designs,https://github.com/GovXS/Evaluating-Voting-Design-Tradeoffs-for-Retro-Funding ,,False,govxs/evaluating-voting-design-tradeoffs-for-retro-funding,govxs,evaluating-voting-design-tradeoffs-for-retro-funding,False,evaluating-voting-design-tradeoffs-for-retro-funding-govxs,0,3,2024-07-23 07:28:12+00:00,2024-11-07 12:27:23+00:00,1_oso_match_by_github_repo
DWeb for Creators,https://github.com/GrayAreaorg/dweb-curriculum,,False,grayareaorg/dweb-curriculum,grayareaorg,dweb-curriculum,False,grayareaorg,1,0,2023-08-10 18:15:09+00:00,2024-10-23 00:35:22+00:00,1_oso_match_by_github_repo
damocles,https://github.com/ipfs-force-community/damocles,ipfs-force-community-damocles,True,ipfs-force-community/damocles,ipfs-force-community,damocles,False,ipfs-force-community-damocles,22,21,2021-06-09 06:00:26+00:00,2024-11-15 06:10:01+00:00,1_oso_match_by_github_repo
droplet,https://github.com/ipfs-force-community/droplet,ipfs-force-community-droplet,True,ipfs-force-community/droplet,ipfs-force-community,droplet,False,ipfs-force-community-droplet,21,21,2021-04-26 02:01:04+00:00,2024-11-15 05:43:43+00:00,1_oso_match_by_github_repo
gevulot-fil,https://github.com/ipfs-force-community/gevulot-fil,ipfs-force-community-gevulot-fil,True,ipfs-force-community/gevulot-fil,ipfs-force-community,gevulot-fil,False,ipfs-force-community-gevulot-fil,0,0,2024-05-07 12:37:40+00:00,2024-11-14 07:15:15+00:00,1_oso_match_by_github_repo
