artifact_namespace,name,githubProjectLink,OSOName,categoryHasOsoName,artifact_name_owner,artifact_name,fork_count,star_count,commit_count,project_name
definomics-labs,DeFinomics Labs,https://github.com/definomics-labs,,False,definomics-labs,,0,0,25.0,{'definomics-labs'}
chainupcloud,Chainup Cloud (Filecoin Public RPC) - Updated (4 Nov 2024),https://github.com/chainupcloud,chainupcloud,True,chainupcloud,,,,,
filecoin-station,Filecoin Station,https://github.com/filecoin-station,,False,filecoin-station,,32,146,4628.0,{'filecoin-station'}
fill-lab,FILLiquid,https://github.com/fill-lab,FILL-Lab,True,fill-lab,,3,9,124.0,{'fill-lab'}
storswiftlabs,Data123 (Full Archival History Node Service),https://github.com/storswiftlabs,,True,storswiftlabs,,15,37,559.0,{'storswiftlabs'}
lighthouse-web3,Lighthouse,https://github.com/lighthouse-web3/,https://www.opensource.observer/projects/lighthouse-web3,True,lighthouse-web3,,40,68,1067.0,{'lighthouse-web3'}
ethglobal,ETHGlobal,https://github.com/ethglobal,,False,ethglobal,,23,40,44.0,{'ethglobal'}
filozone,Storage Onboarding R&D,https://github.com/filozone,,False,filozone,,,,,
titannet-dao,Titan Network,https://github.com/titannet-dao,titannetwork,True,titannet-dao,,47,76,120.0,{'titannet-dao'}
oif-admin,Open Impact Foundation,https://github.com/oif-admin,,False,oif-admin,,,,,
fundingthecommons,Funding the Commons,https://github.com/fundingthecommons,,False,fundingthecommons,,2,1,1406.0,{'fundingthecommons'}
crossfidao,CrossFi,https://github.com/crossfidao,,False,crossfidao,,,,,
usdfil,USDfil Stablecoin,https://github.com/usdfil,,False,usdfil,,,,,
randa-mu,Randamu,https://github.com/randa-mu,drand,True,randa-mu,,,,,
wengi-web,Filecoin Kenya Community,https://github.com/wengi-web,,False,wengi-web,,,,,
cryptowhizzard,Certifiably Green Filecoin Storage Initiative by DCENT,https://github.com/cryptowhizzard,,False,cryptowhizzard,,4,4,339.0,{'cryptowhizzard'}
kencloud-tech,KEN Labs,https://github.com/kencloud-tech,,False,kencloud-tech,,,,,
ucan-wg,UCAN Working Group,https://github.com/ucan-wg,,True,ucan-wg,,74,505,443.0,{'ucan-wg'}
novaenergyai,Energy Validation Process & Green Scores Methodology,https://github.com/novaenergyai,,False,novaenergyai,,,,,
fivetoken,Filecoin wallet FiveToken,https://github.com/fivetoken,FiveToken,True,fivetoken,,26,19,85.0,{'fivetoken'}
hipiyushhere,Filecoin Memes,https://github.com/hipiyushhere,,False,hipiyushhere,,,,,
