name,githubProjectLink,OSOName,categoryHasOsoName
Filecoin Spark,https://github.com/filecoin-station/spark,,FALSE
The CalibrationNet Stability Project,https://github.com/filecoin-project/curio,,TRUE
Rust-Libp2p,https://github.com/libp2p/rust-libp2p,libp2p,TRUE
Open Source Observer,https://github.com/opensource-observer/oso,,FALSE
DeFinomics Labs,https://github.com/Definomics-Labs,,FALSE
Chainup Cloud (Filecoin Public RPC) - Updated (4 Nov 2024),https://github.com/chainupcloud,chainupcloud,TRUE
TDrive,https://github.com/ttsszzyy/tdrive.git,,TRUE
metrics,https://github.com/ipfs-force-community/metrics,ipfs-force-community-metrics,TRUE
Commp-Worker,https://github.com/xutianyi1999/commp_worker,,TRUE
Filecoin Station,https://github.com/filecoin-station,,FALSE
FILLiquid,https://github.com/FILL-Lab,FILL-Lab,TRUE
Interplanetary Network Indexers,https://github.com/ipni/storetheindex,ipni,TRUE
Data123 (Full Archival History Node Service),https://github.com/storswiftlabs,,TRUE
IPFS VS Code Extension,https://github.com/DataseekCN/ipfs-vscode-extension,https://www.opensource.observer/projects/dataseekcn,TRUE
CIDgravity Nextcloud App,https://github.com/CIDgravity/nextcloud-cidgravity-gateway-app,,FALSE
libp2p Ecosystem,https://github.com/libp2p/libp2p,libpp,TRUE
filsnap,https://github.com/filecoin-project/filsnap,,TRUE
Lighthouse,https://github.com/lighthouse-web3/,https://www.opensource.observer/projects/lighthouse-web3,TRUE
ETHGlobal,https://github.com/ethglobal,,FALSE
Storage Onboarding R&D,https://github.com/FilOzone,,FALSE
Power Voting,https://github.com/filecoin-project/on-chain-voting,,FALSE
Spade Client,https://github.com/dukesoft/filecoin-spade-client,spade-client,TRUE
NDLabs,https://github.com/NDLABS-Leo/RPGF2---NDLabs,,FALSE
FIL Dev Summit,https://github.com/filecoin-project/fildevsummit,,FALSE
Ancients Research,https://github.com/Ancients-Research/retroPGF,,FALSE
Eastore,https://github.com/Eastore-project/fildeal,,TRUE
Filecoin Africa; Empowering Africa with Decentralized Future,https://github.com/Filecoin-Africa/Education-Outreach-Repository,,FALSE
Voting Analysis for Retroactive Public Goods Funding,https://github.com/celtd/voting_mechanism_design  ,,FALSE
Filecoin Arabia,https://github.com/Cryptoblarabi/FilecoinArabic,,FALSE
Forest,https://github.com/chainsafe/forest,forest-chainsafe,TRUE
Rbot,https://github.com/yhio/rbot,,TRUE
HashKing- Fil Staking,https://github.com/NodeDAO/HashKing-FIL,NodeDAO,TRUE
fil-minerinfo-SafeMatrix,https://github.com/freedomhz/RPGF-filminerfnfo,fil-miner-management,TRUE
go-ds-cluster,https://github.com/filedrive-team/go-ds-cluster,filedrive-team-go-ds-cluster,TRUE
Genesis Ark [Beta Test],https://github.com/protofire/genesis-ark-ansible,,FALSE
Network Upgrade Coordinations,https://github.com/filecoin-project/community/discussions/74,,FALSE
Prolly Tree Indexed Data Oracle for IPLD,https://github.com/KenCloud-Tech/prolly-tree-oracle,,TRUE
venus-common-utils,https://github.com/ipfs-force-community/venus-common-utils,ipfs-force-community-venus-common-utils,TRUE
Titan Network,https://github.com/Titannet-dao,titannetwork,TRUE
Filecoin Proofs,https://github.com/filecoin-project/rust-fil-proofs,,TRUE
Data Horizon,https://github.com/herrehesse/datahorizon,https://github.com/cryptowhizzard,TRUE
go-graphsplit,https://github.com/filedrive-team/go-graphsplit,filedrive-team-go-graphsplit,TRUE
Open Impact Foundation,https://github.com/oif-admin,,FALSE
Web3ForGood,https://github.com/samflan875/Web3ForGood,,FALSE
Beryx Filecoin API,https://github.com/Zondax/rfpg-beryx-api,,TRUE
AuralGenius,https://github.com/auralgenius/agcore,,FALSE
Cross Chain Onramp POC,https://github.com/ZenGround0/onramp-contracts,,FALSE
Kernelogic Fil+ Datacap Allocator (KFDA),https://github.com/kernelogic/kfda-ts,kfda-kernelogic,TRUE
Vxblocks Filecoin Utils,https://github.com/VxBlocks/filecoin-utils,,TRUE
EVM Explorer,https://github.com/dspytdao/EVM-Explorer,EVM Explorer,TRUE
FIP Editors,https://github.com/filecoin-project/FIPs,,FALSE
sophon-co,https://github.com/ipfs-force-community/sophon-co,ipfs-force-community-sophon-co,TRUE
OrbitVault,https://github.com/Yaadyindia/Yaadyindia.git,OrbitVault,TRUE
venus-tool,https://github.com/ipfs-force-community/venus-tool,ipfs-force-community-venus-tool,TRUE
damocles,https://github.com/ipfs-force-community/damocles,ipfs-force-community-damocles,TRUE
Filecoin Protocol R&D,https://github.com/filecoin-project/FIPs/,,FALSE
venus-wallet,https://github.com/filecoin-project/venus-wallet,filecoin-project-venus-wallet,TRUE
TreeD-GPU,https://github.com/xutianyi1999/treed_gpu,,TRUE
OpenGate,https://github.com/OpenGate01/OpenGate-NFT-Marketplace,,FALSE
Filecoin Domain Name Service (FNS),https://github.com/OpenGateLab/FNS,,FALSE
Drand-RS,https://github.com/storswiftlabs/drand-rs,,TRUE
Funding the Commons,https://github.com/fundingthecommons,,FALSE
Filecoin Ledger App & Installation Hub,https://github.com/Zondax/web-hub,,TRUE
go-libp2p,https://github.com/libp2p/go-libp2p,https://www.opensource.observer/artifacts/github/libp2p/go-libp2p,TRUE
Filecoin Extend (Sector Renewal Tool),https://github.com/strahe/extend,filecoin-extend-strahe,TRUE
CrossFi,https://github.com/crossfidao,,FALSE
Sophon-gateway,https://github.com/ipfs-force-community/Sophon-gateway,ipfs-force-community-sophon-gateway,TRUE
MSquare(RPGF Design team),https://github.com/MsquareHub/RetroPGF-Design,,FALSE
Direct Data Onboarding,https://github.com/FilOzone/DDO,,FALSE
Old Faithful,https://github.com/rpcpool/yellowstone-faithful,,TRUE
Filecoin Data Portal,https://github.com/davidgasquez/filecoin-data-portal,,FALSE
USDfil Stablecoin,https://github.com/usdfil,,FALSE
Dspyt,https://github.com/dspytdao/dspyt-homepage,,FALSE
Filecoin Nigeria Community,https://github.com/Filecoin-Nigeria/Education-Outreach,,FALSE
Retriev - Contracts for retrieval guarantees,https://github.com/retriev-protocol/core,,FALSE
Helia,https://github.com/ipfs/helia,https://www.opensource.observer/artifacts/github/ipfs/helia,TRUE
Randamu,https://github.com/randa-mu,drand,TRUE
NFT.Storage - Long-Term Storage Flagship Product,https://github.com/nftstorage/NFT.Storage-Flagship-Preservation-Public-Good,https://www.opensource.observer/projects/nftstorage,TRUE
Solana Ledger on Filecoin,https://github.com/rpcpool/yellowstone-faithful,,TRUE
ChainSafe Filecoin Community Services,https://github.com/ChainSafe/filecoin-community-services,,TRUE
Filecoin Kenya Community,https://github.com/Wengi-web,,FALSE
Filecoin Supply Simulation,https://github.com/CELtd/mechafil-jax-web-levers,,FALSE
Filecoin Supply Simulation,https://github.com/CELtd/sp_cost_web,,FALSE
pylotus-rpc,https://github.com/FilForge/pylotus-rpc,filforge,TRUE
Filscriptions,https://github.com/Filscriptions1/Filscriptions,,FALSE
sophon-miner,https://github.com/ipfs-force-community/sophon-miner,ipfs-force-community-sophon-miner,TRUE
Datacapstats 2.0,https://github.com/fidlabs/filplus-dashboard-webapp,datacapstats,TRUE
iso-filecoin,https://github.com/hugomrdias/filecoin,,TRUE
Ed25519 in Web Browsers (WebTransitions.org),https://github.com/webtransitions/initiatives/,web-transitions,TRUE
filedag-storage,https://github.com/filedag-project/filedag-storage,filedag-project-filedag-storage,TRUE
Fast Retrieval Car Files,https://github.com/VxBlocks/boost,,TRUE
Filecoin Virtual Machine EVM Compatibility,https://github.com/filecoin-project/ref-fvm,https://www.opensource.observer/projects/ref-fvm,TRUE
Certifiably Green Filecoin Storage Initiative by DCENT,https://github.com/cryptowhizzard,,FALSE
KEN Labs,https://github.com/kencloud-tech,,FALSE
Consensus Pledge design flaw fix,https://github.com/CELtd/builtin-actors/tree/fip0081,,FALSE
 Old Faithful <> CURIO,https://github.com/cryptowhizzard/curio-oldfaithful,NaN,TRUE
UCAN Working Group,https://github.com/ucan-wg,,TRUE
Womenbiz - Filecoin Impact,https://github.com/womenbiz/Filecoin,,FALSE
