date,git_repo,git_user,event_type,amount
2025-04-01 00:00:00,blockscout/blockscout,k1rill-fedoseev,PULL_REQUEST_REVIEW_COMMENT,2
2025-04-01 00:00:00,chainsafe/forest,hanabi1224,COMMIT_CODE,2
2025-04-01 00:00:00,probe-lab/website,dennis-tra,COMMIT_CODE,3
2025-04-01 00:00:00,libp2p/go-libp2p,abc105123,FORKED,1
2025-04-01 00:00:00,opensource-observer/oso,ryscheng,PULL_REQUEST_MERGED,1
2025-04-01 00:00:00,ipfs/boxo,hsanjuan,PULL_REQUEST_CLOSED,1
2025-04-01 00:00:00,libp2p/go-libp2p,abc105123,STARRED,1
2025-04-01 00:00:00,ipfs/boxo,gammazero,PULL_REQUEST_CLOSED,1
2025-04-01 00:00:00,opensource-observer/oso,ccerv1,PULL_REQUEST_MERGED,2
2025-04-01 00:00:00,opensource-observer/oso,ccerv1,ISSUE_COMMENT,1
2025-04-01 00:00:00,libp2p/go-libp2p,sukunrt,PULL_REQUEST_MERGED,3
2025-04-01 00:00:00,filecoin-project/venus,simlecode,RELEASE_PUBLISHED,1
2025-04-01 00:00:00,opensource-observer/oso,icarog,PULL_REQUEST_OPENED,1
2025-04-01 00:00:00,ipfs-force-community/droplet,simlecode,RELEASE_PUBLISHED,1
2025-04-01 00:00:00,blockscout/blockscout,vbaranov,ISSUE_CLOSED,10
2025-04-01 00:00:00,blockscout/blockscout,ztm0929,STARRED,1
2025-04-01 00:00:00,chainsafe/forest,lesnyrumcajs,PULL_REQUEST_OPENED,1
2025-04-01 00:00:00,libp2p/py-libp2p,panditdhamdhere,ISSUE_COMMENT,1
2025-04-01 00:00:00,blockscout/blockscout,fedor-ivn,ISSUE_COMMENT,3
2025-04-01 00:00:00,ipfs-force-community/droplet,simlecode,PULL_REQUEST_MERGED,1
2025-04-01 00:00:00,chainsafe/forest,hanabi1224,ISSUE_COMMENT,2
2025-04-01 00:00:00,libp2p/go-libp2p,sukunrt,ISSUE_CLOSED,1
2025-04-01 00:00:00,opensource-observer/oso,ccerv1,COMMIT_CODE,2
2025-04-01 00:00:00,opensource-observer/oso,ravenac95,PULL_REQUEST_MERGED,2
2025-04-01 00:00:00,opensource-observer/oso,rohitmalekar,ISSUE_COMMENT,2
2025-04-01 00:00:00,blockscout/blockscout,blockchaindevsh,ISSUE_CLOSED,1
2025-04-01 00:00:00,blockscout/blockscout,varasev,PULL_REQUEST_MERGED,1
2025-04-01 00:00:00,filecoin-project/curio,snadrus,PULL_REQUEST_REVIEW_COMMENT,2
2025-04-01 00:00:00,filecoin-project/curio,lexluthr,COMMIT_CODE,3
2025-04-01 00:00:00,blockscout/blockscout,fedor-ivn,PULL_REQUEST_MERGED,3
2025-04-01 00:00:00,drips-network/app,efstajas,PULL_REQUEST_CLOSED,2
2025-04-01 00:00:00,chainsafe/forest,elmattic,PULL_REQUEST_CLOSED,1
2025-04-01 00:00:00,blockscout/blockscout,vbaranov,PULL_REQUEST_MERGED,2
2025-04-01 00:00:00,ipfs/boxo,astronaut1712,STARRED,1
2025-04-01 00:00:00,filecoin-project/curio,lexluthr,ISSUE_COMMENT,6
2025-04-01 00:00:00,blockscout/blockscout,varasev,PULL_REQUEST_REVIEW_COMMENT,5
2025-04-01 00:00:00,libp2p/go-libp2p,volodymyrbg,ISSUE_COMMENT,1
2025-04-01 00:00:00,ipfs/boxo,hsanjuan,PULL_REQUEST_MERGED,1
2025-04-01 00:00:00,opensource-observer/oso,ccerv1,ISSUE_OPENED,2
2025-04-01 00:00:00,opensource-observer/oso,ryscheng,ISSUE_CLOSED,6
2025-04-01 00:00:00,filecoin-project/fips,rvagg,ISSUE_COMMENT,3
2025-04-01 00:00:00,blockscout/blockscout,fedor-ivn,COMMIT_CODE,1
2025-04-01 00:00:00,opensource-observer/oso,ravenac95,PULL_REQUEST_CLOSED,2
2025-04-01 00:00:00,opensource-observer/oso,ryscheng,ISSUE_COMMENT,9
2025-04-01 00:00:00,blockscout/blockscout,fedor-ivn,PULL_REQUEST_OPENED,2
2025-04-01 00:00:00,ipfs/ipfs-desktop,randymcmillan,STARRED,1
2025-04-01 00:00:00,opensource-observer/oso,ryscheng,ISSUE_OPENED,4
2025-04-01 00:00:00,opensource-observer/oso,ryscheng,PULL_REQUEST_CLOSED,1
2025-04-01 00:00:00,libp2p/libp2p,16point7,STARRED,1
2025-04-01 00:00:00,gainforest/ecocertain,s-adamantine,COMMIT_CODE,2
2025-04-01 00:00:00,blockscout/blockscout,fedor-ivn,ISSUE_CLOSED,1
2025-04-01 00:00:00,ipfs-force-community/droplet,simlecode,PULL_REQUEST_OPENED,1
2025-04-01 00:00:00,filecoin-project/curio,strahe,PULL_REQUEST_OPENED,1
2025-04-01 00:00:00,blockscout/blockscout,sreesohtml,STARRED,1
2025-04-01 00:00:00,filecoin-project/venus,simlecode,PULL_REQUEST_OPENED,2
2025-04-01 00:00:00,gainforest/ecocertain,satyam-mishra-pce,ISSUE_COMMENT,1
2025-04-01 00:00:00,ipfs/boxo,gammazero,ISSUE_COMMENT,4
2025-04-01 00:00:00,ipfs/ipfs-desktop,mic851,FORKED,1
2025-04-01 00:00:00,opensource-observer/oso,ravenac95,PULL_REQUEST_OPENED,2
2025-04-01 00:00:00,opensource-observer/oso,ryscheng,COMMIT_CODE,1
2025-04-01 00:00:00,gainforest/ecocertain,s-adamantine,ISSUE_COMMENT,1
2025-04-01 00:00:00,chainsafe/forest,hanabi1224,PULL_REQUEST_MERGED,2
2025-04-01 00:00:00,filecoin-project/venus,simlecode,PULL_REQUEST_CLOSED,1
2025-04-01 00:00:00,gainforest/ecocertain,s-adamantine,ISSUE_COMMENT,1
2025-04-01 00:00:00,filecoin-project/curio,strahe,PULL_REQUEST_MERGED,1
2025-04-01 00:00:00,libp2p/libp2p,ferraridavide,STARRED,1
2025-04-01 00:00:00,blockscout/blockscout,nikitosing,ISSUE_COMMENT,4
2025-04-01 00:00:00,libp2p/go-libp2p,sukunrt,PULL_REQUEST_REVIEW_COMMENT,3
2025-04-01 00:00:00,chainsafe/forest,lemmih,ISSUE_OPENED,1
2025-04-01 00:00:00,libp2p/go-libp2p,sukunrt,PULL_REQUEST_CLOSED,3
2025-04-01 00:00:00,chainsafe/forest,lesnyrumcajs,ISSUE_OPENED,1
2025-04-01 00:00:00,chainsafe/forest,hanabi1224,PULL_REQUEST_CLOSED,4
2025-04-01 00:00:00,blockscout/blockscout,fedor-ivn,PULL_REQUEST_CLOSED,1
2025-04-01 00:00:00,axelarnetwork/axelar-contract-deployments,cgorenflo,PULL_REQUEST_MERGED,1
2025-04-01 00:00:00,axelarnetwork/axelar-contract-deployments,cgorenflo,PULL_REQUEST_CLOSED,1
