project,head-to-head_comparisons,elo_rating,margin_of_error,num_main_round_appearances,highest_unique_donor_count_in_one_round,crowd_funding_usd,match_funding_usd
Revoke,190,1771.362484666982,29.019050004400466,,,,
DefiLlama,143,1771.2095898410478,33.44968040028363,,,,
heyxyz,199,1759.1661764869598,28.355248200333435,5.0,21309,146242.82537882988,62701.54777621875
ScopeLift,127,1723.9814217408127,35.494260376644554,,,,
L2BEAT,63,1701.2970891787936,50.39526306789696,,,,
BrightID,125,1669.752887191971,35.77708763999664,,,,
wevm,74,1655.0960165470872,46.49905549752771,5.0,2721,13349.94641956182,87481.10084029063
tapexyz,191,1651.4568286946135,28.942984211696864,4.0,8294,23447.7678449991,29831.46538190625
ethers.js,63,1640.7639900350198,50.39526306789696,,,,
Giveth,214,1638.9256072504577,27.34343708098653,,,,
POAPin,199,1637.301090872931,28.355248200333435,,,,
EthStaker,63,1635.4865528928133,50.39526306789696,,,,
IDENA,125,1634.6242013954893,35.77708763999664,,,,
The Tor Project,144,1631.7063198914632,33.333333333333336,,,,
rotki,189,1628.2786745832182,29.095718698132316,5.0,2698,12601.520892576822,59008.10843482813
DeFiEye,180,1621.5839058596944,29.814239699997195,,,,
Zaratan,169,1619.5491610916217,30.76923076923077,,,,
Hypercerts,172,1619.1331368210663,30.499714066520934,,,,
Ethereum Attestation Service,158,1616.5862093570213,31.8222913670292,,,,
fundingthecommons,139,1612.8589264036548,33.927557187198836,4.0,145,5619.601970067046,32133.436632914065
eth.limo,105,1595.333150153659,39.03600291794133,,,,
Blockscout,84,1591.3842576724503,43.64357804719848,,,,
Carmine Options AMM,169,1567.1587728701495,30.76923076923077,,,,
Beaconchain and Bitfly,70,1533.6007688304737,47.809144373375744,,,,
Karma,148,1528.5985064386718,32.87979746107146,,,,
Glo Dollar,210,1523.8492137292353,27.60262237369417,,,,
Kleo Network,172,1520.7815913770348,30.499714066520934,,,,
Bankless DAO,127,1518.6092262619518,35.494260376644554,,,,
Citizen Wallet,181,1515.6180835711,29.731765849886653,,,,
ZKP2P Fiat On Ramp,177,1505.95492436112,30.065841120113156,,,,
GainForest,27,1505.848822771116,76.9800358919501,,,,
JobStash,139,1505.3510863242223,33.927557187198836,,,,
ZK Email,52,1504.2931269855405,55.47001962252291,,,,
datonic & Gitcoin Grants Data Portal,97,1499.0684116105442,40.61384660534476,,,,
Pairwise,195,1496.9421695734268,28.644594961577315,,,,
LexDAO,157,1492.0173927196834,31.923475378704886,,,,
growthepie,183,1488.0254687532731,29.568850838182914,5.0,774,3767.305382689969,23542.562631625
EIP.Tools,172,1474.539995181061,30.499714066520934,,,,
Ethereum on ARM,63,1473.7715170341883,50.39526306789696,,,,
Nextme,149,1468.8670180173438,32.76927682076162,,,,
Impersonator,172,1465.7102893606188,30.499714066520934,,,,
Open Source Observer,94,1459.6078434202357,41.256849850351735,,,,
1W3,87,1457.0981851408592,42.88450139351179,,,,
Elefria Labs,136,1456.3553555227925,34.29971702850177,,,,
NiceNode,84,1454.4522012947527,43.64357804719848,,,,
Kiwi News,160,1454.1654133415068,31.622776601683793,,,,
Punk Domains & Iggy Social,115,1454.1356613756402,37.30019232961255,,,,
https://MesoReefDAO,27,1453.0952749616797,76.9800358919501,,,,
Otterscan,84,1451.9589436496606,43.64357804719848,,,,
VoiceDeck,144,1451.5203136132006,33.333333333333336,,,,
Synpress,91,1450.6069436914577,41.931393468876735,,,,
Endangered Tokens: Endangered Trees as ReFi Biodiversity Assets ,54,1439.9739949483344,54.433105395181734,,,,
Decentraclasses,142,1435.6377679350976,33.56725433186757,,,,
ENS Wayback Machine,141,1432.709620234952,33.68607684266076,,,,
LunCo,141,1432.1964414683732,33.68607684266076,,,,
1Hive Gardens,212,1431.8786630295701,27.472112789737807,,,,
WTF Academy,139,1430.9844162264242,33.927557187198836,,,,
OpenCann,142,1418.132891368851,33.56725433186757,,,,
deScier,103,1412.0315975304252,39.413171126571726,,,,
The Metagovernance Project,216,1408.3034184639148,27.216552697590867,,,,
LikeCoin,142,1403.8710077278322,33.56725433186757,,,,
Bonding Curves Research Group,52,1403.1036441442834,55.47001962252291,,,,
Bloom Network,142,1402.5208174147058,33.56725433186757,,,,
FABDAO,71,1398.434952088885,47.47126632775413,,,,
ICDevs.org,97,1398.4178961158752,40.61384660534476,,,,
FundPG,131,1397.384410694666,34.948162266441514,,,,
datalatte,169,1396.4004355285867,30.76923076923077,,,,
viaPrize,206,1394.0067906934587,27.86932057166471,,,,
Militereum,190,1393.636008367144,29.019050004400466,,,,
Ethereum Staking Guides by CoinCashew,63,1387.7061346921964,50.39526306789696,,,,
Dspyt DAO,212,1385.5413600710585,27.472112789737807,,,,
Inferer,86,1383.126609306767,43.13310928137537,,,,
Stereum - Ethereum Node Installer & Manager,63,1377.0929066896745,50.39526306789696,,,,
CryptoSmartNow,69,1375.790419753425,48.15434123430768,,,,
DFArchon,169,1375.3451542589812,30.76923076923077,,,,
The Forus,119,1367.46571673904,36.667939881128454,,,,
DexKit,147,1348.2640180938808,32.9914439536929,,,,
Eppie,211,1341.8229144449836,27.53713563286057,,,,
Aiki Labs,187,1341.1732310622465,29.250896965085225,,,,
VueDapp,158,1328.6065604949988,31.8222913670292,,,,
