project,head-to-head_comparisons,elo_rating,margin_of_error,num_main_round_appearances,highest_unique_donor_count_in_one_round,crowd_funding_usd,match_funding_usd,project_id,project_source,project_namespace,display_name,event_source,repository_count,first_created_at_date,last_updated_at_date,first_commit_date,last_commit_date,star_count,fork_count,developer_count,contributor_count,contributor_count_6_months,new_contributor_count_6_months,fulltime_developer_average_6_months,active_developer_count_6_months,commit_count_6_months,opened_pull_request_count_6_months,merged_pull_request_count_6_months,opened_issue_count_6_months,closed_issue_count_6_months,comment_count_6_months,release_count_6_months,time_to_first_response_days_average_6_months,time_to_merge_days_average_6_months
defi-llama,140,1776.838941582475,33.806170189140666,4,10751,78859.45213574028,87210.38136709375,6lg5zQJ4GYDjvO5NvVAfPBWuxNgOeEcLAfcL01ws5Us=,OSS_DIRECTORY,oso,DefiLlama,GITHUB,44,2020-11-14 00:41:54+00:00,2025-01-20 01:31:30+00:00,2020-11-14 00:55:56+00:00,2025-01-20 11:23:41+00:00,4612,13322,26.0,5021.0,1222.0,729.0,8.896739130434783,13.0,10469.0,4832.0,3921.0,148.0,143.0,10115.0,0.0,8.98940237061165,0.0
heyxyz,200,1763.6655481890596,28.2842712474619,4,21309,129979.28194335845,59814.988384375,m-ayiyYXbU1nR5aCLuliEKsYRca6b_8aNzdBbKn56pM=,OSS_DIRECTORY,oso,heyxyz,GITHUB,2,2022-03-19 15:01:46+00:00,2025-01-19 22:42:21+00:00,2022-03-19 15:09:37+00:00,2025-01-19 04:51:36+00:00,24146,1600,9.0,453.0,14.0,8.0,1.0923913043478262,2.0,1786.0,199.0,159.0,160.0,152.0,307.0,1.0,55.85775462962963,0.0
revoke-cash,200,1763.245051042304,28.2842712474619,4,15545,92239.36522497333,59814.988384375,zMr9ziUIls0NIAm5eLswVdNAjL-X9j4o2RcEQmrLf4c=,OSS_DIRECTORY,oso,Revoke,GITHUB,9,2019-10-12 14:29:53+00:00,2025-01-18 16:36:49+00:00,2019-10-12 14:36:44+00:00,2025-01-16 12:39:46+00:00,807,279,2.0,178.0,15.0,10.0,0.7228260869565217,1.0,169.0,37.0,34.0,9.0,8.0,70.0,17.0,160.48263888888886,0.0
jedi-swap,167,1749.9148895812723,30.952929301365472,3,21132,101905.43303159009,44830.707134375,Byy4BY4X4gNzY6uptJrFUgDV8o_25jaMAeNhiaUJT9c=,OSS_DIRECTORY,oso,JediSwap,GITHUB,30,2022-04-13 13:40:08+00:00,2024-12-22 18:15:18+00:00,2022-05-06 19:01:21+00:00,2024-12-22 18:15:16+00:00,183,173,12.0,56.0,7.0,1.0,0.375,5.0,88.0,44.0,43.0,20.0,25.0,54.0,0.0,125.28237847222222,0.0
idriss-crypto,167,1743.057512622882,30.952929301365472,3,10623,39758.30693345892,42153.57794810938,TpsYn6RRZN_9nai7dLsf294TRyQDmZYpeQEnaIqugw4=,OSS_DIRECTORY,oso,IDriss,GITHUB,20,2021-10-20 13:12:41+00:00,2024-10-30 20:00:55+00:00,2021-11-10 14:50:06+00:00,2025-01-20 11:05:20+00:00,256,42,7.0,21.0,11.0,5.0,0.9347826086956522,5.0,352.0,281.0,250.0,0.0,4.0,430.0,0.0,1.8574404761904764,0.0
scopelift,131,1743.0311837237534,34.948162266441514,3,6446,29775.49425236526,40586.09624101563,wqMqsuF1yLtr3OBt49nDELFIu3S7pQHmIRc4GNzpbjQ=,OSS_DIRECTORY,oso,ScopeLift,GITHUB,11,2021-10-28 01:28:38+00:00,2025-01-16 16:39:18+00:00,2021-11-19 02:16:02+00:00,2025-01-14 18:11:03+00:00,423,44,7.0,26.0,5.0,1.0,0.0,2.0,16.0,16.0,16.0,8.0,22.0,131.0,3.0,177.25538194444442,0.0
brightid,144,1717.7614538133487,33.333333333333336,4,5780,18325.81557884497,39315.100565375,8uJO7UNZda7b68AlyerXGkdWZfPsS8_DcYNhtk4afbs=,OSS_DIRECTORY,oso,BrightID,GITHUB,48,2017-09-13 16:53:24+00:00,2025-01-19 05:56:43+00:00,2017-11-13 14:38:02+00:00,2025-01-19 05:56:43+00:00,478,141,16.0,85.0,4.0,0.0,0.0,2.0,13.0,2.0,1.0,1.0,0.0,2.0,1.0,214.39097222222222,0.0
tapexyz,200,1716.8842613246843,28.2842712474619,4,8294,21737.465402373655,27931.84936628125,KmvbkhIqihtoA4Btn6sAmuCPhUCDIgDsldMEMkHR4Lw=,OSS_DIRECTORY,oso,tapexyz,GITHUB,4,2022-08-27 13:38:59+00:00,2025-01-19 14:37:45+00:00,2022-08-27 14:00:16+00:00,2025-01-19 10:29:37+00:00,4444,320,2.0,40.0,5.0,3.0,1.0054347826086956,1.0,661.0,108.0,104.0,1.0,2.0,15.0,1.0,122.24618055555555,0.0
nomis-cc,119,1696.3685623984484,36.667939881128454,3,3134,12955.734455588234,25962.9105156875,7Zdp_FpqDAIZ3RDWvGhqwxONxeky2YZRbEA2xYEcsdM=,OSS_DIRECTORY,oso,Nomis,GITHUB,7,2022-09-19 18:22:10+00:00,2025-01-10 11:49:22+00:00,2023-05-22 20:49:57+00:00,2024-09-19 03:23:20+00:00,2,2,2.0,5.0,4.0,4.0,0.0,1.0,1.0,12.0,0.0,1.0,1.0,17.0,0.0,0.5354166666666667,0.0
idena-network,144,1677.6664124317185,33.333333333333336,4,4118,14474.853074244455,30185.598789671876,CRB-vIXUsd-hcOW4XWho7OSDN38GDWwL7KZQ2T0rxho=,OSS_DIRECTORY,oso,IDENA,GITHUB,34,2019-05-16 11:30:15+00:00,2025-01-17 14:25:50+00:00,2019-05-16 12:52:48+00:00,2024-11-22 06:32:50+00:00,347,228,9.0,180.0,6.0,0.0,0.0,2.0,8.0,6.0,2.0,5.0,1.0,17.0,0.0,35.37777777777778,0.0
