,oso_project_name,oso_display_name,round_number,oso_generated_round_label,gitcoin_project_id,num_donors,crowd_funding_usd,match_funding_usd
0,passportxyz,Passport XYZ,22,GG-22 - 609,0xa7b8948d5c8b8d2cd502cd9c8638dda011ecfbfc10abe0df58a504e4802f5d6d,6493,7281.864108900416,29976.859375
1,defi-llama,DefiLlama,22,GG-22 - 609,0xbb1d90979d5a76457be64366c845853b41d0f849f51c6d3570c25c9d57036a5f,8064,12537.023826710352,29976.859375
2,ethereum-attestation-service,Ethereum Attestation Service,22,GG-22 - 610,0x0d157806d0b64bcc680b8bbeeb8aea011d85ae54c7ef7c7170f30536d9f758c7,745,1634.6453140893063,29976.859375
3,dappnode,DAppNode,22,GG-22 - 610,0x22724a362754b65d9b3c7fc7dda94c7dc233a39c06ee60ee448bc38e3f8d0378,1393,3719.6421268753547,29976.859375
4,l2beat,L2BEAT,22,GG-22 - 610,0x805aeaf9c52db21357df138ef7884790093f63283bce6ce2b06b69f093c767f7,2426,5250.720800432213,29976.859375
5,eth-limo,eth.limo,22,GG-22 - 610,0xdaf7588714a0008d7ee1fe317a87c80a6f64cb8881c016a1d87bc704eb3b115f,622,1430.0929339978538,29976.859375
6,defi-llama,DefiLlama,20,GG-20 - 26,0xbb1d90979d5a76457be64366c845853b41d0f849f51c6d3570c25c9d57036a5f,6539,28073.70059570935,29928.8375
7,ethers-io,ethers.js,20,GG-20 - 27,0xcbb363783fddd273e8a74b9d05e9a96499c2c9cc83d1871fc5e52aa876d49316,1145,3305.4835977563903,29573.88148725
8,blockscout,Blockscout,22,GG-22 - 609,0x9aba986e5a1628f7cad35a182c7b0e51011dd92219abbf990dba0e75773fb47d,6322,8166.230558213978,27259.45707265625
9,ethstaker,EthStaker,22,GG-22 - 610,0x16d8946b35ef6cda278d9f21423525efafef16284fbe57ece22cf105dc561982,1033,1975.9423128268281,25691.667327343752
10,l2beat,L2BEAT,20,GG-20 - 26,0x2bc0754a5c16d8e5c75b31954b39f526ee2e47dac233d169d5a4dab919fb29ea,3547,12493.881211461994,25146.508555875
11,openzeppelin,OpenZeppelin,20,GG-20 - 27,0x9bb54ace45c582da521e15a373b137b21f541cb228301c059bc3e6917d9a6e9d,1617,4015.0067407018546,23210.711346375
12,ethernaut-openzeppelin,The Ethernaut,20,GG-20 - 27,0x9bb54ace45c582da521e15a373b137b21f541cb228301c059bc3e6917d9a6e9d,1617,4015.0067407018546,23210.711346375
13,defieye,DeFiEye,22,GG-22 - 610,0xe955bf7fdaaa527fdb72eeaeab78fd0be4b3acc51778471a0b394b2221fcb8cf,2470,4185.604407251769,20631.27369625
14,ethstaker,EthStaker,19,GG-19 - 0xa1d52f9b5339792651861329a046dd912761e9a9,0x76eabce511626d1d54bdae4770c3dc172bffca39ba53d82c27defe44ddb94cfa,5503,6002.303906364923,19998.68125
15,l2beat,L2BEAT,19,GG-19 - 0xa1d52f9b5339792651861329a046dd912761e9a9,0x99a0923a56df8ca5c4e11857a3135657720904cd1b059d8b94f1f080acefa001,8021,11409.043011086997,19998.68125
16,iron-wallet,Iron Wallet,18,GG-18 - 0x222ea76664ed77d18d4416d2b2e77937b76f0a35,0x0b154245baf1b3cc9a3ffd436e99f32ce3f00d81200627858c86a2ff7960ed4b,4105,6551.120041343849,19834.365625000002
17,internetmaximalism,INTMAX,18,GG-18 - 0x222ea76664ed77d18d4416d2b2e77937b76f0a35,0x237895756d838c8210b90f5f20b7c95c721e83ff348aec57901c167e65a44163,7635,21394.721680681454,19834.365625000002
18,protocol-guild,Protocol Guild,18,GG-18 - 0x222ea76664ed77d18d4416d2b2e77937b76f0a35,0x58ee2f1c57f90eb5ef717e2b002a8e5cf10883a212dd70906dfcd3536f2b9c02,4037,8102.918302222388,19834.365625000002
19,ethstaker,EthStaker,18,GG-18 - 0x222ea76664ed77d18d4416d2b2e77937b76f0a35,0x76eabce511626d1d54bdae4770c3dc172bffca39ba53d82c27defe44ddb94cfa,4999,8663.60600765422,19834.365625000002
