,chain_id,round_id,round_name,project_name_x,project_github,payout_address,status,total_donations_count,total_amount_donated_in_usd,unique_donors_count,project_github_org_space,project_id,artifact_namespace,project_source,project_namespace,project_name_y,display_name,event_source,repository_count,first_commit_date,last_commit_date,star_count,fork_count,contributor_count,contributor_count_6_months,new_contributor_count_6_months,fulltime_developer_average_6_months,active_developer_count_6_months,commit_count_6_months,opened_pull_request_count_6_months,merged_pull_request_count_6_months,opened_issue_count_6_months,closed_issue_count_6_months
0,10,9,Token Engineering QF Grants Round: Spring 2024,Bonding Curve Research Group (BCRG),bonding-curves,0x29567BdBcC92aCF37AC6B56B69180857bB69f7D1,APPROVED,67,357.27332,66,bonding-curves,J4jAxNtrlLmSJo8_OkjW6_-i2T9EdzmB1uvXwUDTDM4=,bonding-curves,OSS_DIRECTORY,oso,bonding-curves,Bonding Curves Research Group,GITHUB,4,2023-04-01 01:20:40+00:00,2024-04-05 16:08:28+00:00,10,0,2.0,2.0,1.0,0.0,2.0,11.0,0.0,0.0,2.0,0.0
1,42161,26,Web3 Infrastructure,Bonding Curve Research Group (BCRG),bonding-curves,0x29567BdBcC92aCF37AC6B56B69180857bB69f7D1,APPROVED,129,270.5872,125,bonding-curves,J4jAxNtrlLmSJo8_OkjW6_-i2T9EdzmB1uvXwUDTDM4=,bonding-curves,OSS_DIRECTORY,oso,bonding-curves,Bonding Curves Research Group,GITHUB,4,2023-04-01 01:20:40+00:00,2024-04-05 16:08:28+00:00,10,0,2.0,2.0,1.0,0.0,2.0,11.0,0.0,0.0,2.0,0.0
2,10,9,Token Engineering QF Grants Round: Spring 2024,Armitage,armitage-labs,0xB5E5559C6b85e8e867405bFFf3D15f59693eBE2f,APPROVED,39,125.93256,37,armitage-labs,KFeR-XefK7pZo0g3zX8lSqxTe68_vKEP19sAFJLyNHA=,armitage-labs,OSS_DIRECTORY,oso,armitage-labs,Armitage,GITHUB,2,2024-02-27 20:28:10+00:00,2024-05-17 14:44:00+00:00,16,2,3.0,3.0,3.0,2.0,2.0,184.0,132.0,118.0,21.0,17.0
3,42161,25,dApps & Apps ,Armitage,armitage-labs,0xB5E5559C6b85e8e867405bFFf3D15f59693eBE2f,APPROVED,71,207.26076,67,armitage-labs,KFeR-XefK7pZo0g3zX8lSqxTe68_vKEP19sAFJLyNHA=,armitage-labs,OSS_DIRECTORY,oso,armitage-labs,Armitage,GITHUB,2,2024-02-27 20:28:10+00:00,2024-05-17 14:44:00+00:00,16,2,3.0,3.0,3.0,2.0,2.0,184.0,132.0,118.0,21.0,17.0
4,42161,28,Hypercerts Ecosystem Round,Armitage,armitage-labs,0xB5E5559C6b85e8e867405bFFf3D15f59693eBE2f,APPROVED,25,94.20404,24,armitage-labs,KFeR-XefK7pZo0g3zX8lSqxTe68_vKEP19sAFJLyNHA=,armitage-labs,OSS_DIRECTORY,oso,armitage-labs,Armitage,GITHUB,2,2024-02-27 20:28:10+00:00,2024-05-17 14:44:00+00:00,16,2,3.0,3.0,3.0,2.0,2.0,184.0,132.0,118.0,21.0,17.0
5,10,9,Token Engineering QF Grants Round: Spring 2024,Commons Stack,commons-stack,0x8110d1D04ac316fdCACe8f24fD60C86b810AB15A,APPROVED,100,350.22495,100,commons-stack,Eg2IQ9X58yQRQAx7atRetDPqUdH6zOTTBScer1jSVrM=,commons-stack,OSS_DIRECTORY,oso,commons-stack,Commons Stack,GITHUB,36,2019-03-15 12:54:57+00:00,2023-12-14 15:51:36+00:00,130,77,80.0,2.0,0.0,0.0,1.0,9.0,0.0,1.0,4.0,3.0
6,42161,26,Web3 Infrastructure,Commons Stack,commons-stack,0x8110d1D04ac316fdCACe8f24fD60C86b810AB15A,APPROVED,268,492.79025,260,commons-stack,Eg2IQ9X58yQRQAx7atRetDPqUdH6zOTTBScer1jSVrM=,commons-stack,OSS_DIRECTORY,oso,commons-stack,Commons Stack,GITHUB,36,2019-03-15 12:54:57+00:00,2023-12-14 15:51:36+00:00,130,77,80.0,2.0,0.0,0.0,1.0,9.0,0.0,1.0,4.0,3.0
7,10,9,Token Engineering QF Grants Round: Spring 2024,Index Wallets,optionhq,0x4BD87f86824a1577e705489780376DA5AD309180,APPROVED,32,135.13728,31,optionhq,YxZTb9NeTrCLDVYCgtGCePeuTu-GOECvQKDv1h2edlo=,optionhq,OSS_DIRECTORY,oso,optionhq,Index Wallets,GITHUB,3,2023-11-07 23:01:38+00:00,2024-05-16 14:37:09+00:00,4,0,4.0,4.0,3.0,0.0,4.0,123.0,0.0,0.0,3.0,0.0
8,10,9,Token Engineering QF Grants Round: Spring 2024,Change Code,change-code-io,0x831F4ED6c49557318f06Bfb7Bce8488090cd9eCC,APPROVED,33,541.7757,32,change-code-io,TjVnu7bWRPZdp9L7lRzaOk6mYBfPw-lZVjidJhsgJH8=,change-code-io,OSS_DIRECTORY,oso,change-code-io,Change Code,GITHUB,6,2024-01-19 17:55:03+00:00,2024-05-21 13:54:39+00:00,0,0,1.0,1.0,1.0,0.0,1.0,118.0,14.0,15.0,0.0,0.0
9,42161,29,Climate Round,Change Code,change-code-io,0x831F4ED6c49557318f06Bfb7Bce8488090cd9eCC,APPROVED,112,1037.9108,104,change-code-io,TjVnu7bWRPZdp9L7lRzaOk6mYBfPw-lZVjidJhsgJH8=,change-code-io,OSS_DIRECTORY,oso,change-code-io,Change Code,GITHUB,6,2024-01-19 17:55:03+00:00,2024-05-21 13:54:39+00:00,0,0,1.0,1.0,1.0,0.0,1.0,118.0,14.0,15.0,0.0,0.0
10,42161,28,Hypercerts Ecosystem Round,Change Code,change-code-io,0x831F4ED6c49557318f06Bfb7Bce8488090cd9eCC,APPROVED,50,914.14185,49,change-code-io,TjVnu7bWRPZdp9L7lRzaOk6mYBfPw-lZVjidJhsgJH8=,change-code-io,OSS_DIRECTORY,oso,change-code-io,Change Code,GITHUB,6,2024-01-19 17:55:03+00:00,2024-05-21 13:54:39+00:00,0,0,1.0,1.0,1.0,0.0,1.0,118.0,14.0,15.0,0.0,0.0
11,42161,26,Web3 Infrastructure,Rantom,rantomdotapp,0x254b42CaCf7290e72e2C84c0337E36E645784Ce1,APPROVED,248,415.38327,246,rantomdotapp,m9oRNZg-1FlspXBGTRJgbhLy7oVw2M83Fy2-dkWHvUc=,rantomdotapp,OSS_DIRECTORY,oso,rantomdotapp,rantomdotapp,GITHUB,3,2023-05-05 20:34:40+00:00,2023-12-23 10:40:23+00:00,0,0,1.0,1.0,0.0,0.0,1.0,26.0,0.0,0.0,0.0,0.0
12,42161,26,Web3 Infrastructure,eth-wizard: An Ethereum validator installation wizard,stake-house,0xdbB16c68aA373229Db9f37D85087264361691AB9,APPROVED,198,542.4717,193,stake-house,DCQ75MYtzxACKIbDZA-HU7o_PgELKYyDmRhB1byyKQ4=,stake-house,OSS_DIRECTORY,oso,eth-wizard-stake-house,eth-wizard: An Ethereum validator installation wizard,GITHUB,1,2021-02-24 23:28:24+00:00,2024-04-02 15:55:36+00:00,109,14,5.0,3.0,2.0,0.0,1.0,27.0,2.0,1.0,1.0,1.0
13,42161,26,Web3 Infrastructure,beaconcha.in,gobitfly,0x9d4E94dB689Bc471E45b0a18B7BdA36FcCeC9c3b,APPROVED,1099,3522.48,1072,gobitfly,N3NbUjeFYswcmJh2CfWMaakK0UqcQPxnHD0rIscpxiY=,gobitfly,OSS_DIRECTORY,oso,beacon-chain,Beaconchain and Bitfly,GITHUB,4,2019-11-21 10:33:52+00:00,2024-05-21 08:39:51+00:00,991,462,376.0,37.0,20.0,0.0,9.0,243.0,118.0,107.0,27.0,23.0
14,42161,24,ENS Identity,beaconcha.in,gobitfly,0x9d4E94dB689Bc471E45b0a18B7BdA36FcCeC9c3b,APPROVED,83,247.58835,80,gobitfly,N3NbUjeFYswcmJh2CfWMaakK0UqcQPxnHD0rIscpxiY=,gobitfly,OSS_DIRECTORY,oso,beacon-chain,Beaconchain and Bitfly,GITHUB,4,2019-11-21 10:33:52+00:00,2024-05-21 08:39:51+00:00,991,462,376.0,37.0,20.0,0.0,9.0,243.0,118.0,107.0,27.0,23.0
15,42161,26,Web3 Infrastructure,EthStaker,eth-educators,0xa83a92297B3d80A70cC396bf74424971A9890704,APPROVED,3718,7928.7217,3639,eth-educators,wdBmT3yweChtV4g4qcc1NN1QtfnmMPAuCVxoPkiAowY=,eth-educators,OSS_DIRECTORY,oso,ethstaker,EthStaker,GITHUB,13,2020-10-14 02:41:20+00:00,2024-05-21 01:37:07+00:00,816,385,228.0,65.0,40.0,0.4,8.0,467.0,238.0,235.0,66.0,48.0
16,42161,26,Web3 Infrastructure,IPC Explorer,cronian-tech,0x59A56819A33B63A6e4331206204c2B4411B54eF6,APPROVED,96,117.68849,95,cronian-tech,tyPqgTxmUHu272j_WeFdf2UDjRb84V1cfYX20wDvpy0=,cronian-tech,OSS_DIRECTORY,oso,cronian-tech,IPC Explorer,GITHUB,2,2023-06-08 07:15:22+00:00,2024-05-01 09:15:53+00:00,8,0,3.0,2.0,1.0,0.0,1.0,15.0,3.0,0.0,0.0,1.0
17,42161,26,Web3 Infrastructure,Proof of passport,zk-passport,0x46cD811EE975510e51Ba197FD7D83e87be1Dd09d,APPROVED,810,2197.2563,788,zk-passport,CyEV_RCdWTVL0cChs32F6bVxNVu0VpuPFaA7XqeXsLE=,zk-passport,OSS_DIRECTORY,oso,zk-passport,Proof of passport,GITHUB,8,2023-07-22 13:14:39+00:00,2024-05-16 14:46:15+00:00,191,21,7.0,7.0,5.0,0.0,2.0,142.0,59.0,52.0,19.0,9.0
18,42161,26,Web3 Infrastructure,quic-go,quic-go,0x713A213708104FC9a9dfA4f9A26A1da288e5e59b,APPROVED,150,648.05206,148,quic-go,W_jG3zrOcLv3e643J3vAG0AhOc4ED-YNwv0rFLaopf0=,quic-go,OSS_DIRECTORY,oso,quic-go,quic-go,GITHUB,10,2016-04-06 21:11:00+00:00,2024-05-19 03:06:21+00:00,9931,1362,641.0,73.0,55.0,0.2,2.0,266.0,278.0,238.0,142.0,117.0
