round_num,title,total_unique_contributors,total_contributions,total_crowdfund_amount,total_match_amount,total_funding,themes,address,github,org_name
16,$Earth - Solarpunk Dao,339,354,2375.77,7186.79,9562.56,['climate'],0xd6b97e042d03edbdc100eb55fbe43eb75f2e3036,https://github.com/peacefulprogress25/SolarpunkDao,peacefulprogress25
16,0xDeadList,379,392,810.82,1316.55,2127.37,['oss'],0x799b774204a348e1182fe01074c51444ba70a149,https://github.com/0xDeadList,0xDeadList
16,1Hive Gardens,403,412,1073.85,1755.14,2828.99,['oss'],0x1b8c7f06f537711a7caf6770051a43b4f3e69a7e,https://github.com/1Hive/gardens,1Hive
16,Act Now Climate Change Bundle,196,212,898.72,5514.99,6413.71,['climate'],0x221966004b2001a0da1274024d67cd09febd0b94,,
16,AgroforestDAO,223,242,840.97,4321.45,5162.42,['climate'],0xdd866169dbcf639ed57f0020c5c9f4f4e1aab263,https://github.com/DiogoJorg3/csff/blob/main/README.md,DiogoJorg3
16,Ape Framework,658,674,1927.56,7048.53,8976.09,['ethinfra'],0x187089b65520d2208ab93fb471c4970c29eaf929,https://github.com/ApeWorX,ApeWorX
16,Astral Protocol,654,684,2842.33,25923.18,28765.51,['climate'],0x41dde2dc7f718d5f764fc97e8d122864587642d4,https://github.com/AstralProtocol,AstralProtocol
16,Atlantis,460,479,3343.08,15332.9,18675.98,['climate'],0xfbca78474a09e2bf3543f4fc1037152ea2c6c32d,https://github.com/Dropchain-Atlantis,Dropchain-Atlantis
16,Atlantis,460,479,3343.08,15332.9,18675.98,['climate'],0xfbca78474a09e2bf3543f4fc1037152ea2c6c32d,,
16,Avano,184,195,357.99,814.14,1172.13,['climate'],0x3c8281c8786ab29bcab5b33566968f8011ea6a59,https://github.com/Avanoio,Avanoio
16,BanklessDAO Projects,1189,1207,3480.17,2518.73,5998.9,['oss'],0xf26d1bb347a59f6c283c53156519cc1b1abaca51,,
