,Project,GitHub
10,Metrics Garden Labs,https://github.com/metrics-garden-labs
12,Armitage,https://github.com/armitage-labs
20,Index Wallets,https://github.com/optionhq
36,IPC Explorer,https://github.com/cronian-tech
37,Proof of passport,https://github.com/zk-passport
38,ZKT Network,https://github.com/zktlabs
40,quic-go,https://github.com/quic-go
50,eth-pkg,https://github.com/eth-pkg
54,ETHPaymaster,https://github.com/aastarcommunity
66,True Network,https://github.com/truenetworkio
69,PORTERS,https://github.com/porters-xyz
79,Louper - The Ethereum Diamond Inspector,https://github.com/mark3labs
81,nim-libp2p,https://github.com/vacp2p
82,Silius  - ERC-4337 bundler,https://github.com/silius-rs
83,Zerokit,https://github.com/vacp2p
85,Open to the Public,https://github.com/opentothepublic
88,Supermajority.info,https://github.com/one-three-three-seven-ethereum
90,Dessage,https://github.com/ninjahome
91,OnChainTrust,https://github.com/onchaintrust
93,Ultimate Digits,https://github.com/ultimatedigits
116,Event Horizon,https://github.com/hvax
117,Rankify,https://github.com/rankify-it
120,Tonspay,https://github.com/tonspay
121,Tokenguard - dApp Conversion Analytics,https://github.com/tokenguardio
123,Dapp Agroforestry Toolkit,https://github.com/agroforestdao
130,The Network Society Forum,https://github.com/the-network-society-forum
131,Her Nation ,https://github.com/lemonadesocial
134,Venn Protocol,https://github.com/australopitech
140,Quack,https://github.com/lenspost-labs
142,Chora Club,https://github.com/choraclub
145,GrantsScope - Grantee Discovery Using LLMs,https://github.com/grantsscope
146,The Ecofrontiers Regen Atlas 🌱,https://github.com/regen-atlas
147,Amet Finance,https://github.com/amet-finance
150,Dig DAO,https://github.com/dig-dao
152,deTechies,https://github.com/detechies
153,Masca,https://github.com/blockchain-lab-um
154,Rentality,https://github.com/rentality-xyz
161,Protocol Explorer,https://github.com/protocol-explorer
163,Hyperfiles,https://github.com/hyperfiles-org
165,Greenpill Dev Guild,https://github.com/greenpill-dev-guild
170,Qortal,https://github.com/qortal
178,PoSciDonDAO,https://github.com/poscidondao
182,Stormbit,https://github.com/quantum3-labs
205,Pyra: create share market ,https://github.com/pyra-marketplace
219,Helios - High Impact Solar in Emerging Markets,https://github.com/helios-dao
227,rolod0x,https://github.com/rolod0x
228,Pin Save EVM,https://github.com/pinsavedao
245,Sovereign Nature Initiative & Hypercerts – Catalysing Biodiversity Restoration through Proof of Ecological Contribution,https://github.com/sovereign-nature
248,Change Code,https://github.com/change-code-io
272,Fluidkey,https://github.com/fluidkey
303,Lemonade- SSI,https://github.com/lemonadesocial
305,NameHash Labs,https://github.com/namehash
319,Bonadocs,https://github.com/bonadocs
328,Swiss-Knife.xyz,https://github.com/swiss-knife-xyz
336,W3GPT,https://github.com/web3-gpt
337,OrbitDB,https://github.com/orbitdb
339,Solide Smart Contract Knowledge Hub,https://github.com/solide-project
341,RoutineHub Web3 Services,https://github.com/jellycuts
349,variance,https://github.com/vaariance
350,ethui,https://github.com/ethui
355,Sovereign Nature Initiative — Triggering Nature-Positive Funding One Asset at a Time,https://github.com/sovereign-nature
363,Azos Labs,https://github.com/azosfinance
382,DCarbon,https://github.com/dcarbon-renaissance-hackathon
475,WalletX | A Gasless Smart Wallet,https://github.com/getwalletx
477,DAO Driven,https://github.com/dao-driven
479,Chatafisha,https://github.com/chatafisha
482,Bulwark,https://github.com/protspec
483,A Bank for DAOs,https://github.com/joshua-and
484,LensView,https://github.com/blockchain-kami
488,dTrials,https://github.com/dtrials
491,Fluidpay,https://github.com/builders-garden
494,Patient Analytics ZKP,https://github.com/patientanalyticszkp
495,Stallion Stake,https://github.com/stallionstake
507,Agents With Benefits,https://github.com/agentswbenefits
513,Perpetual Organization Architect,https://github.com/perpetualorganizationarchitect
519,Coordination-Play,https://github.com/coordination-play
520,AI Swarm,https://github.com/aiswarm
522,AdLand,https://github.com/adcommune
