,slug,# GitHub Repos,Date First Commit,Total Stars,Total Forks,Total Contributors,Commits Last 90 Days,PRs Created Last 90 Days,PRs Merged Last 90 Days,Issues Created Last 90 Days,Issues Closed Last 90 Days,Contributors Last 90 Days,Commits Last 90 Days,PRs Created Last 90 Days,PRs Merged Last 90 Days,Issues Created Last 90 Days,Issues Closed Last 90 Days
0,0u0-ai,2,2023-02-21 06:43:09+00:00,1.0,,3,77.0,,,,,0,,,,,
1,0x-boring-security,2,2022-03-12 23:45:46+00:00,,1.0,1,2.0,,,,,0,,,,,
2,0x-dead-list,3,2022-07-23 15:29:40+00:00,27.0,6.0,11,12729.0,4.0,2.0,1.0,1.0,1,2014.0,,,,
3,0x-echo,11,2022-05-07 03:29:48+00:00,10.0,,3,905.0,3.0,3.0,14.0,,0,,,,,
4,0xbootleggers,8,2022-11-02 21:54:24+00:00,1.0,1.0,7,257.0,75.0,75.0,91.0,86.0,1,21.0,6.0,6.0,1.0,
5,0xdeschool,5,2023-02-08 08:19:23+00:00,3.0,2.0,6,754.0,43.0,40.0,,,1,18.0,,,,
6,0xfableorg,5,2023-02-25 01:57:32+00:00,93.0,24.0,33,1182.0,106.0,90.0,124.0,62.0,20,377.0,49.0,44.0,41.0,32.0
7,0xfundstarter,3,2022-07-30 18:04:36+00:00,,,1,62.0,,,,,0,,,,,
8,0xnextlabs,1,2022-07-06 09:06:41+00:00,,,2,122.0,4.0,4.0,,,1,5.0,,,,
9,153x153x153,1,2023-04-16 11:50:11+00:00,,,1,2.0,,,,,0,,,,,
10,1hive,116,2017-07-03 23:52:03+00:00,91.0,51.0,403,16026.0,2692.0,2272.0,1887.0,1495.0,6,53.0,17.0,21.0,9.0,1.0
11,1w3,5,2022-12-26 17:54:35+00:00,2.0,2.0,3,26.0,1.0,,1.0,,1,13.0,,,,
12,404-dao,6,2022-10-25 06:06:10+00:00,6.0,6.0,7,73.0,6.0,5.0,,,0,,,,,
13,4everland,42,2021-06-10 07:00:20+00:00,29.0,94.0,41,3625.0,205.0,13.0,17.0,4.0,9,160.0,,,5.0,2.0
14,accountjs,13,2022-12-30 04:16:43+00:00,23.0,5.0,11,320.0,18.0,16.0,,,5,71.0,12.0,12.0,,
15,aikipay,3,2023-01-26 07:19:53+00:00,2.0,1.0,2,61.0,27.0,23.0,,,0,,,,,
16,alasdao,4,2022-09-13 15:34:43+00:00,,,2,27.0,,,3.0,,0,,,,,
17,algoveraai,25,2021-11-04 18:53:49+00:00,16.0,7.0,38,1288.0,96.0,86.0,28.0,20.0,2,8.0,,,,
18,aoraki-labs,13,2022-06-11 17:24:46+00:00,3.0,1.0,16,282.0,22.0,21.0,7.0,2.0,4,33.0,2.0,1.0,,
19,ape-framework,3,2021-01-05 01:02:21+00:00,757.0,114.0,106,1154.0,1210.0,1101.0,645.0,524.0,20,128.0,111.0,125.0,51.0,55.0
20,aqkuperu,1,,,,0,,,,,,0,,,,,
21,archlyorg,1,2022-06-27 20:42:03+00:00,,,1,22.0,1.0,1.0,11.0,,0,,,,,
22,asilodigital,1,2023-03-26 23:09:37+00:00,1.0,1.0,4,42.0,12.0,10.0,32.0,15.0,0,,,,,
23,astralprotocol,10,2020-04-20 22:26:27+00:00,15.0,5.0,22,1242.0,59.0,57.0,12.0,5.0,2,6.0,,,7.0,
24,atilatech,26,2018-01-27 14:34:38+00:00,39.0,15.0,20,1820.0,167.0,126.0,70.0,38.0,1,,,,1.0,1.0
25,atomxyz,2,2023-05-08 16:05:59+00:00,,,2,29.0,,,,,0,,,,,
26,atticc,2,2022-09-07 10:19:19+00:00,1.0,1.0,1,9.0,,,,,0,,,,,
27,aura-meta-node,5,2021-08-09 22:12:36+00:00,5.0,3.0,13,1141.0,108.0,96.0,2.0,2.0,2,67.0,,,,
28,autochessia-helheimlabs,1,2023-06-26 07:03:14+00:00,21.0,13.0,7,279.0,154.0,128.0,48.0,32.0,6,5.0,9.0,7.0,5.0,6.0
29,backpack-app,9,2022-04-15 02:53:03+00:00,1.0,1.0,5,1080.0,27.0,25.0,,,2,7.0,,,,
30,bankless-academy,1,2021-04-07 01:53:42+00:00,16.0,11.0,17,2218.0,88.0,65.0,28.0,28.0,4,225.0,6.0,3.0,,
31,banklessdao,41,2021-04-26 14:05:36+00:00,37.0,35.0,142,4074.0,1327.0,826.0,364.0,254.0,10,18.0,17.0,13.0,1.0,1.0
32,basin-global,8,2022-09-17 11:54:25+00:00,1.0,1.0,4,59.0,7.0,7.0,7.0,,0,,,,,
