,project_name,project_github,oso_github_slug,grant_address,oso_address_slug,round_id,round_name,chain_id,program_address,round_date,amount_usd,match_usd,total_usd,oso_slug
2,NFT Price Floor,nft-pricefloor,nft-pricefloor,0x31856e11ddaabc67e3b7b5de50dd0efce86e361e,,0x98720dd1925d34a2453ebc1f91c9d48e7e89ec29,Web3 Community and Education,424,0xe13da583181b19dace7c021f57774659edc1f901,2023-11-29 18:59:00,307.36977455,424.7736803938349,732.143454943835,nft-pricefloor
7,eth.limo,ethlimo,eth-limo,0xb352bb4e2a4f27683435f153a259f1b207218b1b,eth-limo,0x222ea76664ed77d18d4416d2b2e77937b76f0a35,Ethereum Infrastructure,424,0x413d934a627fbd26fcb7ae52c2c4f40022470289,2023-08-17 08:00:00,5933.56693539,12142.58149830277,18076.14843369277,eth-limo
8,eth.limo,ethlimo,eth-limo,0xb352bb4e2a4f27683435f153a259f1b207218b1b,eth-limo,0x9331fde4db7b9d9d1498c09d30149929f24cf9d5,Web3 Social,10,0xf3b99793874b9f36bd6977f45300686224b72750,2023-08-29 08:00:00,398.53434926,999.8326422805436,1398.3669915405435,eth-limo
9,eth.limo,ethlimo,eth-limo,0xb352bb4e2a4f27683435f153a259f1b207218b1b,eth-limo,0xa1d52f9b5339792651861329a046dd912761e9a9,"Ethereum Core Infrastructure, Research, and Development",137,0xd04d5b0257a9f2068a4f4ebd88748b2bb47da4ca,2023-11-29 18:59:00,1493.93095958,6641.25770952,8135.1886691,eth-limo
10,eth.limo,ethlimo,eth-limo,0xb352bb4e2a4f27683435f153a259f1b207218b1b,eth-limo,0xc34745b3852df32d5958be88df2bee0a83474001,Web3 Social,10,0xf3b99793874b9f36bd6977f45300686224b72750,2023-11-29 18:59:00,1518.65259863,899.5502798051601,2418.20287843516,eth-limo
11,eth.limo,ethlimo,eth-limo,0xb352bb4e2a4f27683435f153a259f1b207218b1b,eth-limo,0xd4cc0dd193c7dc1d665ae244ce12d7fab337a008,Web3 Open Source Software ,424,0x8294ea30a691b47bb73e4b64225e52a080dc9ec7,2023-11-29 18:59:00,3223.19068261,,,eth-limo
18,L2BEAT,l2beat,l2beat,0x41626ba92c0c2a1ad38fc83920300434082b1870,l2beat,0x222ea76664ed77d18d4416d2b2e77937b76f0a35,Ethereum Infrastructure,424,0x413d934a627fbd26fcb7ae52c2c4f40022470289,2023-08-17 08:00:00,13269.53030975,16857.68782037099,30127.21813012099,l2beat
19,L2BEAT,l2beat,l2beat,0x41626ba92c0c2a1ad38fc83920300434082b1870,l2beat,0x2871742b184633f8dc8546c6301cbc209945033e,Web3 Community and Education ,10,0xa1e8c5a8ca033ac3cb738506c6f1ad15bf54a730,2023-08-17 08:00:00,6.2361634,,,l2beat
20,L2BEAT,l2beat,l2beat,0x41626ba92c0c2a1ad38fc83920300434082b1870,l2beat,0x8de918f0163b2021839a8d84954dd7e8e151326d,Web3 Open Source Software,10,0xa1e8c5a8ca033ac3cb738506c6f1ad15bf54a730,2023-08-17 08:00:00,1.04153416,,,l2beat
28,Scaffold-ETH 2,scaffold-eth,buidlguidl,0x97843608a00e2bbc75ab0c1911387e002565dede,buidlguidl,0x8de918f0163b2021839a8d84954dd7e8e151326d,Web3 Open Source Software,10,0xa1e8c5a8ca033ac3cb738506c6f1ad15bf54a730,2023-08-17 08:00:00,106.00390261,,,buidlguidl
107,Revoke.cash,revokecash,"revokecash, revoke-cash",0xe126b3e5d052f1f575828f61feba4f4f2603652a,revoke-cash,0xd4cc0dd193c7dc1d665ae244ce12d7fab337a008,Web3 Open Source Software ,424,0x8294ea30a691b47bb73e4b64225e52a080dc9ec7,2023-11-29 18:59:00,25994.73854546,14827.4684934946,40822.2070389546,revoke-cash
