ID,ContributionsCount,ProjectPayoutAddress,ApplicationId,ProjectId,MatchPoolPercentage,ProjectName,MatchAmountInTokenHex,MatchAmountInToken,OriginalMatchAmountInTokenHex,OriginalMatchAmountInToken,Index,ChainId,RoundKey,MatchAmountUSD,OriginalMatchAmountUSD,RoundId
3004,34,0xe24c1EB6e50a5C802338e5A7Fe5d26faAe0A0BBB,6,0x278e8cd1ccfb9d0958c8102c0911d62f26b07075a45d7e1b04f71e9601fcd123,0.192603,Geo Web Security Bounty Program,0x0ab1106cd7b249ba,770415070918363578,0x0ab1106cd7b249ba,770415070918363578,2,10,59,1419.62712870919,1419.62712870919,0x3E92c56Dac4a262efcAfCE7a78381622092754fD
4,331,0x17D0f39F93ACc2762Bfe013c1b3fAb0cCB56E335,14,0xd8a96761504718f19835b1a67bd0a0c432b1ef002e435d6e8168d744db0c725f,0.15,WigoSwap,0x17d2a320dd7455500000,112500000000000000000000,0x17d2a320dd7455500000,112500000000000000000000,3,250,191,21161.75975248438,21161.75975248438,0x8dce7A66e0C310f9f89E847DBa83B2344D589161
1363,1,0x5dAdf8d579F9F1a47F180De6542BCc44da0EC94a,257,0xdd94d48f3f2e18bf3d51accd476ec01dde50e26c202dc13712e866deb666ad78,0.0,Web3Bugs: Demystifying Exploitable Bugs in Smart Contracts,0x00,0,0x00,0,216,1,157,0.0,0.0,0xAA40E2E5c8df03d792A52B5458959C320F86ca18
460,24,0x92ed343af03bae63a7ac938edf570084a3392742,7,0x8917bdacce2193f9d3d6366a7a7311b1f2d0625c29e01f33d74a7667e989f756,0.092062,Vanessa,0x080604422290b8e2,578154284257949922,0x080604422290b8e2,578154284257949922,2,10,20,1057.065108808683,1057.065108808683,0x35C9D05558DA3A3F3CDdbF34A8e364e59B857004
38,122,0x08e40e1c0681d072a54fc5868752c02bb3996ffa,177,0x6513aaecef0b010ddec5ced2c4859590b98c5c01f4e2459f7ce17c71cfb0c259,0.006713,Regens Unite - bridging the gap between web3 and local regens,0x48c9fbb5f6ec800000,1342720000000000000000,0x48c9fbb5f6ec800000,1342720000000000000000,26,424,255,1342.700023867437,1342.700023867437,0x98720dD1925d34a2453ebC1F91C9d48E7e89ec29
31,391,0x88888931fbe186c8f513a1289df2639096bf7518,205,0x50f7ca3dfa2359dc2fd5b42fe2a8c43c9306f1880bfb6fbd5e1c4dc26cd1a5c4,0.007767,Unitap,0x543724b33449580000,1553500000000000131072,0x543724b33449580000,1553500000000000131072,19,424,255,1553.476888016909,1553.476888016909,0x98720dD1925d34a2453ebC1F91C9d48E7e89ec29
32,278,0x4dd05e12d0244575c77c31c24f0e273610c085d9,14,0x36e2bab52321bbf3211b5e544bf961cc1f7a7553061c822bda2317ef3cebbc9c,0.007587,Rhino Review - Ethereum Staking Journal,0x5244191dba7e480000,1517539999999999868928,0x5244191dba7e480000,1517539999999999868928,20,424,255,1517.517423006875,1517.517423006875,0x98720dD1925d34a2453ebC1F91C9d48E7e89ec29
33,117,0xefedaf9c07e6eb56bb8f82f30018e4461b1c5f4c,261,0xf9e78d3438e2cd36dbc7666075771fd9771a1273caa0cfd2a267d3a5f8d58bf5,0.007469,Web3beach,0x50fc9512c443140000,1493940000000000131072,0x50fc9512c443140000,1493940000000000131072,21,424,255,1493.917774112637,1493.917774112637,0x98720dD1925d34a2453ebC1F91C9d48E7e89ec29
34,177,0x3a37c5042cc3ad12ef9736d56693873f10c7bbbb,270,0x00652899139c0749c5ce92eb826b44afc2f08409c58abc9267efb33aa6fe118d,0.007453,MetaGame,0x50ce82105b54c40000,1490619999999999868928,0x50ce82105b54c40000,1490619999999999868928,22,424,255,1490.597823505481,1490.597823505481,0x98720dD1925d34a2453ebC1F91C9d48E7e89ec29
35,226,0xc4fc57dedd2463314a3fd2dbadb86b4404c257e5,44,0x37f06aea7d94a01117f905c83cb52bd001ec7b84b70c86f3ff3d9aacf95fc915,0.007418,Fractal Visions,0x506e55c212cf500000,1483689999999999934464,0x506e55c212cf500000,1483689999999999934464,23,424,255,1483.667926605605,1483.667926605605,0x98720dD1925d34a2453ebC1F91C9d48E7e89ec29
