project_id,project_slug,project_name,repository_source,first_commit_date,last_commit_date,repositories,stars,forks,contributors,new_contributors_6_months,contributors_6_months,avg_fulltime_devs_6_months,avg_active_devs_6_months,commits_6_months,issues_opened_6_months,issues_closed_6_months,pull_requests_opened_6_months,pull_requests_merged_6_months,project_id_1,project_slug_1,project_name_1,collection_id,collection_slug,collection_name
bQiTKGQ-syTnuXT5qWWin_CyzvIy-etYkxpMzHGiHo4=,0x-boring-security,Boring Security,GITHUB,,,2,0,1,,,,,,,,,,,bQiTKGQ-syTnuXT5qWWin_CyzvIy-etYkxpMzHGiHo4=,0x-boring-security,Boring Security,t4FlUo9NzPBn6f8ho_IzGmPdfG0yPJ9eepouhQYrQmU=,octant-03,Octant (Epoch 3)
h3w5ni5D_yQP0CrG9n_41fq8NDuANxU7nKTak_5GUv8=,dao-drops-dorgtech,DAO Drops,GITHUB,2021-12-09 00:00:00.000000 UTC,2023-03-30 00:00:00.000000 UTC,1,14,0,4,0,4,0.0,0.0,,,,,,h3w5ni5D_yQP0CrG9n_41fq8NDuANxU7nKTak_5GUv8=,dao-drops-dorgtech,DAO Drops,t4FlUo9NzPBn6f8ho_IzGmPdfG0yPJ9eepouhQYrQmU=,octant-03,Octant (Epoch 3)
-lP_Uvqt9rP8pWZQDW4VejaqpQDfLuc7mG5D59wRfbs=,glo-foundation,Glo Dollar,GITHUB,2023-05-05 00:00:00.000000 UTC,2024-04-09 00:00:00.000000 UTC,2,3,1,8,0,8,0.0,1.0,68.0,2.0,,7.0,7.0,-lP_Uvqt9rP8pWZQDW4VejaqpQDfLuc7mG5D59wRfbs=,glo-foundation,Glo Dollar,t4FlUo9NzPBn6f8ho_IzGmPdfG0yPJ9eepouhQYrQmU=,octant-03,Octant (Epoch 3)
wV2X-YoRtKKe8l64B030vCC8JLhlFQxaafqSubSsl3w=,givepraise,Praise,GITHUB,2021-12-18 00:00:00.000000 UTC,2023-12-15 00:00:00.000000 UTC,12,38,25,29,0,29,0.0,0.33333333333333331,26.0,,,4.0,5.0,wV2X-YoRtKKe8l64B030vCC8JLhlFQxaafqSubSsl3w=,givepraise,Praise,t4FlUo9NzPBn6f8ho_IzGmPdfG0yPJ9eepouhQYrQmU=,octant-03,Octant (Epoch 3)
YVD9NruuwKCsQX_FPmSMN8A6m2F53PxYxW14W1eVFLU=,growthepie,growthepie,GITHUB,2023-04-21 00:00:00.000000 UTC,2024-04-22 00:00:00.000000 UTC,4,22,10,8,2,8,1.1666666666666667,4.0,1030.0,,1.0,57.0,53.0,YVD9NruuwKCsQX_FPmSMN8A6m2F53PxYxW14W1eVFLU=,growthepie,growthepie,t4FlUo9NzPBn6f8ho_IzGmPdfG0yPJ9eepouhQYrQmU=,octant-03,Octant (Epoch 3)
0meRIUEV48cb8Plf7X1knIWJZmcrGA3NY91bcOlUNk8=,1hive,1Hive Gardens,GITHUB,2017-07-03 00:00:00.000000 UTC,2024-03-01 00:00:00.000000 UTC,168,868,942,326,2,326,0.0,2.1666666666666665,139.0,59.0,41.0,81.0,66.0,0meRIUEV48cb8Plf7X1knIWJZmcrGA3NY91bcOlUNk8=,1hive,1Hive Gardens,t4FlUo9NzPBn6f8ho_IzGmPdfG0yPJ9eepouhQYrQmU=,octant-03,Octant (Epoch 3)
qrlafNIdzAmcq2z0PxvBFisxIJ29C9Cbpdvc_DEpmcU=,fundingthecommons,fundingthecommons,GITHUB,2022-06-21 00:00:00.000000 UTC,2023-10-12 00:00:00.000000 UTC,7,1,1,8,2,8,0.0,0.16666666666666666,,,,21.0,,qrlafNIdzAmcq2z0PxvBFisxIJ29C9Cbpdvc_DEpmcU=,fundingthecommons,fundingthecommons,t4FlUo9NzPBn6f8ho_IzGmPdfG0yPJ9eepouhQYrQmU=,octant-03,Octant (Epoch 3)
iilyWmaoJCXv0vPfyPQnIGYXoWyTZDlP0oQLMNIVj54=,metagame-metafam,MetaGame,GITHUB,2019-12-02 00:00:00.000000 UTC,2024-04-16 00:00:00.000000 UTC,42,249,226,145,2,145,0.33333333333333331,3.166666666666667,294.0,35.0,58.0,82.0,67.0,iilyWmaoJCXv0vPfyPQnIGYXoWyTZDlP0oQLMNIVj54=,metagame-metafam,MetaGame,t4FlUo9NzPBn6f8ho_IzGmPdfG0yPJ9eepouhQYrQmU=,octant-03,Octant (Epoch 3)
_n9FHvFlG0nkjzzws25GuLhG6dj3bgWwiuxPwy5M4Hw=,etheralpha,Ether Alpha,GITHUB,2021-12-13 00:00:00.000000 UTC,2024-04-22 00:00:00.000000 UTC,23,61,48,35,3,35,1.3333333333333333,2.1666666666666665,16304.0,1.0,1.0,12.0,8.0,_n9FHvFlG0nkjzzws25GuLhG6dj3bgWwiuxPwy5M4Hw=,etheralpha,Ether Alpha,t4FlUo9NzPBn6f8ho_IzGmPdfG0yPJ9eepouhQYrQmU=,octant-03,Octant (Epoch 3)
osL3B-y8yn0ALvvF90E-K8sPXgenbqc3PCpeCC67MHE=,metagov,The Metagovernance Project,GITHUB,2020-01-29 00:00:00.000000 UTC,2024-04-22 00:00:00.000000 UTC,51,243,81,65,3,65,0.0,5.166666666666667,405.0,31.0,20.0,45.0,43.0,osL3B-y8yn0ALvvF90E-K8sPXgenbqc3PCpeCC67MHE=,metagov,The Metagovernance Project,t4FlUo9NzPBn6f8ho_IzGmPdfG0yPJ9eepouhQYrQmU=,octant-03,Octant (Epoch 3)
