slug|First PR Created - Years Ago|Active Repos - Last 6 Months|Max Stars - Any Repo|Max Forks - Any Repo|Commit Code - All Repos, Last 6 Months|Issue Closed - All Repos, Last 6 Months|Issue Created - All Repos, Last 6 Months|Pull Request Created - All Repos, Last 6 Months|Pull Request Merged - All Repos, Last 6 Months|Pull Request Created - All Repos, Last 6 Month|New Contributors - Last 6 Months|Total Contributors - All Time|Full-time Developers - Avg Last 6 Months|Part-time Developers - Avg Last 6 Months|Total Developers - Avg Last 6 Months
BrightID|5.7|6.0|217|63.0|193.0|5.0|13.0|23.0|16.0|0.0|2.0|60|0.0|3.8|3.8
clr.fund|3.9|2.0|177|99.0|148.0|1.0|1.0|29.0|29.0|0.0|0.0|31|0.3|1.7|2.0
Token Engineering Commons|3.2|8.0|10|11.0|54.0|4.0|12.0|6.0|6.0|0.0|3.0|53|0.2|2.5|2.3
DAO Drops|2.2|0.0|14|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|3|0.0|0.0|0.0
Drips|2.5|8.0|55|15.0|690.0|83.0|167.0|40.0|227.0|262.0|4.0|24|1.3|6.0|6.3
Ethereum Cat Herders|8.2|6.0|12268|5354.0|610.0|156.0|142.0|684.0|507.0|0.0|64.0|778|0.0|72.2|61.9
EthStaker|3.4|5.0|384|160.0|535.0|34.0|35.0|401.0|390.0|0.0|15.0|115|1.3|10.0|9.7
Gitcoin|6.3|44.0|1751|881.0|2715.0|1471.0|1521.0|1422.0|1234.0|0.0|27.0|556|10.3|26.8|31.9
Praise|2.1|6.0|31|17.0|345.0|60.0|68.0|40.0|37.0|0.0|2.0|29|0.3|2.5|2.8
Giveth|7.3|30.0|652|305.0|3611.0|848.0|807.0|635.0|583.0|0.0|3.0|185|5.2|11.8|14.6
Glo Dollar|0.7|2.0|3|1.0|612.0|121.0|101.0|135.0|129.0|0.0|0.0|8|1.0|3.0|3.4
Public HAUS|4.4|18.0|136|81.0|907.0|53.0|27.0|290.0|281.0|0.0|3.0|69|1.7|7.2|7.6
Hypercerts|1.1|5.0|70|23.0|278.0|173.0|207.0|158.0|150.0|0.0|2.0|10|0.7|3.5|3.6
Kernel|3.5|3.0|74|51.0|82.0|0.0|0.0|42.0|36.0|0.0|0.0|98|0.0|3.5|3.0
L2BEAT|3.7|9.0|420|295.0|1285.0|41.0|51.0|1290.0|1204.0|0.0|47.0|130|8.0|22.0|25.7
MetaGame|4.0|6.0|124|79.0|619.0|87.0|48.0|92.0|63.0|0.0|2.0|120|0.7|8.0|7.4
Open Source Observer|0.5|4.0|25|14.0|616.0|312.0|435.0|446.0|432.0|0.0|14.0|14|1.8|4.2|5.1
Pairwise|1.2|4.0|6|0.0|708.0|115.0|169.0|130.0|127.0|0.0|6.0|7|1.2|2.5|3.1
Protocol Guild|10.1|106.0|44626|19811.0|12581.0|1759.0|1804.0|5325.0|4183.0|0.0|321.0|4913|22.2|334.7|305.9
Revoke|4.0|5.0|593|214.0|370.0|52.0|103.0|21.0|13.0|0.0|4.0|26|1.2|2.3|3.0
rotki|5.9|16.0|2481|479.0|2182.0|205.0|202.0|1135.0|1097.0|0.0|22.0|137|7.0|10.7|15.1
Shutter Network|3.4|14.0|51|14.0|397.0|10.0|14.0|71.0|63.0|0.0|3.0|17|0.5|6.5|6.0
The Tor Project|10.9|15.0|4224|962.0|522.0|18.0|35.0|28.0|10.0|0.0|12.0|485|0.2|20.3|17.6
