slug,First PR Created - Years Ago,Active Repos - Last 6 Months,Max Stars - Any Repo,Max Forks - Any Repo,"Commit Code - All Repos, Last 6 Months","Issue Closed - All Repos, Last 6 Months","Issue Created - All Repos, Last 6 Months","Pull Request Created - All Repos, Last 6 Months","Pull Request Merged - All Repos, Last 6 Months",New Contributors - Last 6 Months,Total Contributors - All Time,Full-time Developers - Avg Last 6 Months,Part-time Developers - Avg Last 6 Months,Total Developers - Avg Last 6 Months
BrightID,5.7,6.0,217.0,63.0,193.0,5.0,13.0,23.0,16.0,2.0,60,0.0,3.8,3.8
clr.fund,3.9,2.0,177.0,97.0,148.0,1.0,1.0,29.0,29.0,0.0,31,0.3,1.7,2.0
Token Engineering Commons,3.2,8.0,10.0,11.0,54.0,4.0,11.0,6.0,6.0,3.0,53,0.2,2.5,2.3
DAO Drops,2.1,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0
Drips,2.5,8.0,55.0,15.0,688.0,1.0,0.0,3.0,3.0,2.0,22,1.3,5.7,6.0
Ethereum Cat Herders,8.2,6.0,12264.0,5348.0,607.0,156.0,142.0,681.0,505.0,64.0,778,0.0,71.8,61.6
EthStaker,3.4,5.0,382.0,160.0,532.0,34.0,35.0,400.0,388.0,15.0,115,1.2,10.0,9.6
Gitcoin,6.3,43.0,1751.0,881.0,2699.0,1447.0,1514.0,1409.0,1222.0,27.0,555,10.2,26.7,31.6
Praise,2.1,6.0,31.0,16.0,345.0,60.0,68.0,40.0,37.0,2.0,29,0.3,2.5,2.8
Giveth,7.3,30.0,652.0,305.0,3603.0,841.0,801.0,632.0,578.0,3.0,185,5.0,12.0,14.6
Glo Dollar,0.7,2.0,3.0,1.0,612.0,121.0,101.0,135.0,129.0,0.0,8,1.0,3.0,3.4
Public HAUS,4.4,18.0,136.0,81.0,902.0,53.0,27.0,289.0,279.0,3.0,69,1.7,7.2,7.6
Hypercerts,1.1,5.0,70.0,22.0,278.0,173.0,207.0,158.0,150.0,2.0,10,0.7,3.5,3.6
Kernel,3.5,3.0,74.0,50.0,75.0,0.0,0.0,40.0,31.0,0.0,98,0.0,3.3,2.9
L2BEAT,3.7,9.0,417.0,292.0,1274.0,40.0,51.0,1281.0,1192.0,46.0,129,7.8,22.0,25.6
MetaGame,4.0,6.0,124.0,79.0,606.0,87.0,48.0,91.0,60.0,2.0,120,0.7,8.0,7.4
Onion DAO,1.8,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.2,1.0
Open Source Observer,0.5,4.0,25.0,14.0,605.0,309.0,427.0,437.0,423.0,14.0,14,1.8,4.2,5.1
Pairwise,1.2,4.0,6.0,0.0,708.0,115.0,169.0,130.0,127.0,6.0,7,1.2,2.5,3.1
Protocol Guild,10.1,106.0,44606.0,19781.0,12495.0,1752.0,1783.0,5295.0,4132.0,321.0,4913,21.7,334.0,304.9
Revoke,3.9,5.0,592.0,213.0,370.0,52.0,103.0,21.0,13.0,4.0,26,1.2,2.3,3.0
rotki,5.8,16.0,2479.0,479.0,2161.0,205.0,200.0,1127.0,1088.0,22.0,137,6.8,10.8,15.1
Shutter Network,3.4,12.0,51.0,14.0,393.0,9.0,13.0,67.0,56.0,3.0,17,0.5,6.3,5.9
The Tor Project,10.9,15.0,4220.0,962.0,520.0,18.0,35.0,28.0,10.0,12.0,485,0.2,20.3,17.6
