,Project Name,Grants Season or Mission,Status,Initial delivery date,OP Delivered,OP Total Amount,Intent,Link,Other metadata,html,oso_slug
0,Uniswap V3,Grants Season 1,Sent,2022-09-07 00:00:00,,1000000.0,,https://gov.optimism.io/t/gf-phase-0-proposal-uniswap/2133/5,"{""Cycle #"": ""Cycle 1 (Phase 0)"", ""Incentive Program Launched?"": ""Yes"", ""Proposal Link"": ""https://gov.optimism.io/t/gf-phase-0-proposal-uniswap/2133/5"", ""L2 Address"": ""0x0D162447B8dF47C2e7910441bF3C8c1b55b9B124""}",gf-phase-0-proposal-uniswap.html,uniswap
1,Oneinch,Grants Season 1,Sent,2022-08-15 00:00:00,,300000.0,,https://gov.optimism.io/t/gf-phase-0-proposal-1inch-network/655,"{""Incentive Program Launched?"": ""Yes"", ""Proposal Link"": ""https://gov.optimism.io/t/gf-phase-0-proposal-1inch-network/655"", ""L2 Address"": ""0x1bd315E3F029083DA8731a6b1c6F2959A0d15376""}",gf-phase-0-proposal-1inch-network.html,1-inch
2,Celer,Grants Season 1,Sent,2022-08-04 00:00:00,,1000000.0,,https://gov.optimism.io/t/gf-phase-0-proposal-celer-network/1749,"{""Proposal Link"": ""https://gov.optimism.io/t/gf-phase-0-proposal-celer-network/1749"", ""L2 Address"": ""0xF5e9D550C3c50364D630eDB4753bE404Cd109121""}",gf-phase-0-proposal-celer-network.html,celer
3,Aave,Grants Season 1,Sent,2022-08-03 00:00:00,,300000.0,,https://gov.optimism.io/t/gf-phase-0-proposal-aave/1712,"{""Incentive Program Launched?"": ""Yes"", ""Proposal Link"": ""https://gov.optimism.io/t/gf-phase-0-proposal-aave/1712"", ""L2 Address"": ""0xcd150D9CFDb39D287D69B9b1bb7111E58414aCA8""}",gf-phase-0-proposal-aave.html,aave
4,Chainlink,Grants Season 1,Sent,2022-08-03 00:00:00,,1000000.0,,https://gov.optimism.io/t/gf-phase-0-proposal-chainlink/1701,"{""Proposal Link"": ""https://gov.optimism.io/t/gf-phase-0-proposal-chainlink/1701"", ""L2 Address"": ""0x7EE753e87f20eb3262967c2Fc54762b0B4Ff4D75""}",gf-phase-0-proposal-chainlink.html,chainlink
5,Polynomial Protocol,Grants Season 1,Sent,2022-07-19 00:00:00,,900000.0,,https://gov.optimism.io/t/gf-phase-0-proposal-polynomial-protocol/1625,"{""Incentive Program Launched?"": ""Yes"", ""Proposal Link"": ""https://gov.optimism.io/t/gf-phase-0-proposal-polynomial-protocol/1625"", ""L2 Address"": ""0x59672D112d680CE34C20fF1507197993CC0bA430""}",gf-phase-0-proposal-polynomial-protocol.html,polynomial-protocol
6,0x,Grants Season 1,Sent,2022-07-08 00:00:00,,300000.0,,https://gov.optimism.io/t/gf-phase-0-proposal-0x-zeroex/1299/6,"{""Proposal Link"": ""https://gov.optimism.io/t/gf-phase-0-proposal-0x-zeroex/1299/6"", ""L2 Address"": ""0xba9493f97BEF07a272998139A268398b80AB9Dd5"", ""Msig Nonce"": 16.0, ""L2 OP Return txn"": ""https://optimistic.etherscan.io/tx/0xb399278ff6a7c4741f187e70cf1cc33a11288affa2b01b6afd5ba3b5a4bec348""}",gf-phase-0-proposal-0x-zeroex.html,0xproject
7,Aelin,Grants Season 1,Sent,2022-07-14 00:00:00,,900000.0,,https://gov.optimism.io/t/gf-phase-0-proposal-aelin-protocol/1157,"{""Incentive Program Launched?"": ""Yes"", ""Proposal Link"": ""https://gov.optimism.io/t/gf-phase-0-proposal-aelin-protocol/1157"", ""L2 Address"": ""0x5B8F3fb479571Eca6A06240b21926Db586Cdf10f"", ""L2 OP Return txn"": ""https://optimistic.etherscan.io/tx/0xd75c860e836dbf086346a0411c3dea988f53f1420d2b4a0f4f8b488ea2918072""}",gf-phase-0-proposal-aelin-protocol.html,aelin
8,Slingshot,Grants Season 1,Sent,2022-07-08 00:00:00,,300000.0,,https://gov.optimism.io/t/gf-phase-0-proposal-slingshot/1326,"{""Incentive Program Launched?"": ""Yes"", ""Proposal Link"": ""https://gov.optimism.io/t/gf-phase-0-proposal-slingshot/1326"", ""L2 Address"": ""0x9D439E524F214Fb0cb5fA42030E578F60E64D98C"", ""Msig Nonce"": 17.0, ""L2 OP Return txn"": ""https://optimistic.etherscan.io/tx/0xd15e40c5456a1cacc9135d60a8fe56e1c1e30680090bdc4ca20495e077f9af7f""}",gf-phase-0-proposal-slingshot.html,slingshot
9,Wepiggy,Grants Season 1,Sent,2022-07-26 00:00:00,,300000.0,,https://gov.optimism.io/t/gf-phase-0-proposal-wepiggy/437/5,"{""Incentive Program Launched?"": ""Yes"", ""Proposal Link"": ""https://gov.optimism.io/t/gf-phase-0-proposal-wepiggy/437/5"", ""L2 Address"": ""0x75F7b331bbDbAcAfe1Ec5ba5215a0FBfc002B3B8""}",gf-phase-0-proposal-wepiggy.html,we-piggy
