,to_address,chain,count_txns
0,0xa2aa501b19aff244d90cc15a4cf739d2725b5729,mode,10314
1,0x61ffe014ba17989e743c5f6cb21bf9697530b21e,base,3
2,0xcb54808f5ef6fd88b933c55dd4f4c365e61828bb,op,8
3,0x000000000022d473030f116ddee9f6b43ac78ba3,redstone,11
4,0x0c5527b3abfbd0c297104b12be6f288d335b299c,op,16
5,0x93d2118bdd8b5e243020f01a1391b2e3cb137a56,mint,4
6,0x2416092f143378750bb29b79ed961ab195cceea5,op,63056
7,0xbded651c03e2bc332aa49c1ffca391eaa3ea6b86,op,45
8,0x3fc91a3afd70395cd496c647d5a6cc9d4b2b7fad,op,144
9,0x93d2118bdd8b5e243020f01a1391b2e3cb137a56,op,1
10,0x000000000022d473030f116ddee9f6b43ac78ba3,mode,252
11,0xc224bf25dcc99236f00843c7d8c4194abe8aa94a,op,37
12,0x0ad86842eadee5b484e31db60716eb6867b46e21,base,5251
13,0x3ef3d8ba38ebe18db133cec108f4d14ce00dd9ae,fraxtal,2
14,0xbc404429558292ee2d769e57d57d6e74bbd2792d,base,307
15,0x3ef3d8ba38ebe18db133cec108f4d14ce00dd9ae,lisk,13
16,0x5f8d42635a2fa74d03b5f91c825de6f44c443da5,op,82
17,0xa5644e29708357803b5a882d272c41cc0df92b34,op,30
18,0xbc404429558292ee2d769e57d57d6e74bbd2792d,op,254
19,0x5cc070844e98f4cec5f2fbe1592fb1ed73ab7b48,mode,249
20,0x68b3465833fb72a70ecdf485e0e4c7bd8665fc45,op,299000
21,0x73a7fe27fe9545d53924e529acf11f3073841b9e,op,1017
22,0x8cca517370cbfc33cc9810bfc7440832c47d251c,op,1
23,0x2416092f143378750bb29b79ed961ab195cceea5,base,73033
24,0x0bfa5a013dbd0791f0f8171afbab45edaa372dbf,base,901
25,0x595d607a5ef39a0a2016d785e60df74afbc78cc6,lyra,6
26,0x588f26d5befe74dc61694a7b36227c0e0c52c0f9,op,67
27,0xfdbb4d606c199f091143bd604c85c191a526fbd0,op,26
28,0x1026d3d219098d7b1b0a180f7e557deea7da82c1,op,5
29,0x9bffe86ba69f7d91ae67f70896aee42698e2d3db,base,1
30,0x000000000022d473030f116ddee9f6b43ac78ba3,zora,3110
31,0xf9cfb8a62f50e10adde5aa888b44cf01c5957055,op,43745
32,0xc36442b4a4522e871399cd717abdd847ab11fe88,fraxtal,2
33,0x5d40015034da6cd75411c54dd826135f725c2498,op,1
34,0x87eee96d50fb761ad85b1c982d28a042169d61b1,op,22307
35,0xe807f3282f3391d237ba8b9becb0d8ea3ba23777,op,119
36,0x68b3465833fb72a70ecdf485e0e4c7bd8665fc45,base,2936
37,0x1f98431c8ad98523631ae4a59f267346ea31f984,op,17
38,0xd152f549545093347a162dce210e7293f1452150,worldchain,1
39,0x87eee96d50fb761ad85b1c982d28a042169d61b1,base,8
40,0x0ad86842eadee5b484e31db60716eb6867b46e21,op,34
41,0xd152f549545093347a162dce210e7293f1452150,op,8911
42,0xd152f549545093347a162dce210e7293f1452150,base,16990
43,0xc36442b4a4522e871399cd717abdd847ab11fe88,zora,2
44,0xbb505c54d71e9e599cb8435b4f0ceec05fc71cbd,base,145303
45,0xc55e93c62874d8100dbd2dfe307edc1036ad5434,op,2005
46,0x2d13ac7ad45fd3b0d146c8c9e508aa0443123525,op,7
47,0xe945d527de9c5121eda9cf48e23cdf691894d4c0,swan,1
48,0x3835b46bb20c056a48a53e6c892811fbcc43862e,base,8
49,0x2416092f143378750bb29b79ed961ab195cceea5,fraxtal,3569
50,0x3ef3d8ba38ebe18db133cec108f4d14ce00dd9ae,op,22870
51,0x00000000fc04c910a0b5fea33b03e0447ad0b0aa,op,47667
52,0x000000000022d473030f116ddee9f6b43ac78ba3,base,239945
53,0x14e09a1a78950b38ab3b203cdaa0fcb331b9ee26,op,12
54,0x3b5a0fc12f8fd8b26d251f28258d1d172f930f8a,op,14
55,0x579a18207242c250addb67cc4d49f34a5f659449,op,1
56,0xdbdfd5b04fc3a19c40f2b12f6ca29bd772ccb822,op,2
57,0xc36442b4a4522e871399cd717abdd847ab11fe88,op,141950
58,0x000000000022d473030f116ddee9f6b43ac78ba3,unichain,2
59,0xe0bec4f45aef64cec9dcb9010d4beffb13e91466,base,1
60,0xf9cfb8a62f50e10adde5aa888b44cf01c5957055,base,118163
61,0x01ef58e98e389ff5fb80a7b00e495b81cb6298d9,op,2
62,0x000000000022d473030f116ddee9f6b43ac78ba3,op,25487
63,0xdc1f5b81eec7e6391aeb6c8e5a2000d3a9aa8e6d,op,4
64,0xe7910f8a4b7efcf2964f017e34e4e2d9aa06edc3,base,1
65,0xa1dabef33b3b82c7814b6d82a79e50f4ac44102b,fraxtal,13
66,0x87eee96d50fb761ad85b1c982d28a042169d61b1,mode,3
67,0x000000000022d473030f116ddee9f6b43ac78ba3,worldchain,178
68,0xe40714459d9493994be025f04afc38d2bcf42f8e,op,2
69,0xc55e93c62874d8100dbd2dfe307edc1036ad5434,base,1339
70,0x0df840dcbf1229262a4125c1fc559bd338ec9491,op,4
71,0x6a189e0e8d3b6b0455dc49e81cc0df33904af9e8,op,4
72,0x61ffe014ba17989e743c5f6cb21bf9697530b21e,op,37
73,0x1bcbb33ff4272c4fe3a00eaa7958953037a3a471,op,6
74,0xb6b9e9e56ab5a4af927faa802ac93786352f3af9,op,5
75,0x5a7facb970d094b6c7ff1df0ea68d99e6e73cbff,op,1907
76,0xa1dabef33b3b82c7814b6d82a79e50f4ac44102b,base,1968
77,0x5f451da1b3ad7bf2845573fcca2808d75065a6f4,op,1
78,0x3ef3d8ba38ebe18db133cec108f4d14ce00dd9ae,mode,4541
79,0x3ef3d8ba38ebe18db133cec108f4d14ce00dd9ae,bob,256
80,0xe04bb5b4de60fa2fba69a93ade13a8b3b569d5b4,op,2584
81,0xa1dabef33b3b82c7814b6d82a79e50f4ac44102b,op,360
82,0xd0f92f5d756bf223574dfa3ef284a35c3c046289,op,42
83,0xff1a0f4744e8582df1ae09d5611b887b6a12925c,op,17
84,0x17a7f6a839fea3b716b43f9414ffc93131878bd2,op,2
85,0x93326d53d1e8ebf0af1ff1b233c46c67c96e4d8d,base,1
86,0xa1dabef33b3b82c7814b6d82a79e50f4ac44102b,bob,1
87,0xa41214012d4462ecbb0724673897ee0dcc0fdf49,op,2
88,0x4aba01fb8e1f6bfe80c56deb367f19f35df0f4ae,op,80
89,0x8250f4af4b972684f7b336503e2d6dfedeb1487a,base,19855
90,0x3ef3d8ba38ebe18db133cec108f4d14ce00dd9ae,worldchain,466
91,0x9fa8ca2013620263a68919fc18b0667f21ddb76e,base,27
92,0xc78d4395f6ed4e7037faffe634b7b3f8af376a8d,op,1
93,0x81476ceae27466572bea9b3397f0eab4a02f6792,base,137
94,0xd6b270dfee268b452c86251fd7e12db8de9200fb,op,1
95,0xd4c00fe7657791c2a43025de483f05e49a5f76a6,op,38
96,0xe34139463ba50bd61336e0c446bd8c0867c6fe65,op,2
97,0x1f98431c8ad98523631ae4a59f267346ea31f984,base,1
98,0x54df9e11c7933a9ca3bd1e540b63da15edae40bf,op,6
99,0x2c5048218b414c7d1e1d590b9f0738cf7349fea7,base,67
100,0xc36442b4a4522e871399cd717abdd847ab11fe88,worldchain,1
101,0x3ef3d8ba38ebe18db133cec108f4d14ce00dd9ae,base,17393
102,0x5f8d42635a2fa74d03b5f91c825de6f44c443da5,base,1484
103,0x9d89bca142498fe047bd3e169de8ed028afab07f,kroma,3
104,0x2416092f143378750bb29b79ed961ab195cceea5,zora,2
105,0x93326d53d1e8ebf0af1ff1b233c46c67c96e4d8d,op,1
106,0xc36442b4a4522e871399cd717abdd847ab11fe88,base,3511
107,0xbb505c54d71e9e599cb8435b4f0ceec05fc71cbd,op,33712
108,0x000000000022d473030f116ddee9f6b43ac78ba3,fraxtal,82
109,0x5dc1a8fa98508e342fa8cff0c49ab57138d53337,op,845
110,0x3ef3d8ba38ebe18db133cec108f4d14ce00dd9ae,redstone,3
111,0x3fc91a3afd70395cd496c647d5a6cc9d4b2b7fad,base,41410502
112,0xe0bec4f45aef64cec9dcb9010d4beffb13e91466,op,9371
113,0xde5990625c5b70b6af6d6991f17abfc8c27acc72,op,1
