date,totalLiquidityUSD,readable_date,protocol
1637193600,797748497.33147,2021-11-18 00:00:00,alchemix
1637280000,768493831.34212,2021-11-19 00:00:00,alchemix
1637366400,795160182.0974,2021-11-20 00:00:00,alchemix
1637452800,807090149.11929,2021-11-21 00:00:00,alchemix
1637539200,797642228.43333,2021-11-22 00:00:00,alchemix
1637625600,777616984.43438,2021-11-23 00:00:00,alchemix
1637712000,798830247.65065,2021-11-24 00:00:00,alchemix
1637798400,792131694.87125,2021-11-25 00:00:00,alchemix
1637884800,812627686.54843,2021-11-26 00:00:00,alchemix
1637971200,790828917.19561,2021-11-27 00:00:00,alchemix
1638057600,793495451.02152,2021-11-28 00:00:00,alchemix
1638144000,810473921.16705,2021-11-29 00:00:00,alchemix
1638230400,824894519.1002,2021-11-30 00:00:00,alchemix
1638316800,856066025.46953,2021-12-01 00:00:00,alchemix
1638403200,889506761.3002,2021-12-02 00:00:00,alchemix
1638489600,883034684.46578,2021-12-03 00:00:00,alchemix
1638576000,853990341.63578,2021-12-04 00:00:00,alchemix
1638662400,838896470.88562,2021-12-05 00:00:00,alchemix
1638748800,850875009.175,2021-12-06 00:00:00,alchemix
1638835200,866202339.98366,2021-12-07 00:00:00,alchemix
1638921600,862991578.79975,2021-12-08 00:00:00,alchemix
1639008000,883175388.88536,2021-12-09 00:00:00,alchemix
1639094400,852210322.42961,2021-12-10 00:00:00,alchemix
1639180800,827194632.21791,2021-12-11 00:00:00,alchemix
1639267200,847611226.80214,2021-12-12 00:00:00,alchemix
1639353600,860256479.6386,2021-12-13 00:00:00,alchemix
1639440000,823558706.61327,2021-12-14 00:00:00,alchemix
1639526400,842704418.26721,2021-12-15 00:00:00,alchemix
1639612800,860650423.57879,2021-12-16 00:00:00,alchemix
1639699200,857698744.51249,2021-12-17 00:00:00,alchemix
1639785600,848125743.85206,2021-12-18 00:00:00,alchemix
1639872000,856608451.12499,2021-12-19 00:00:00,alchemix
1639958400,853043203.78302,2021-12-20 00:00:00,alchemix
1640044800,869227913.92729,2021-12-21 00:00:00,alchemix
1640131200,876939985.18209,2021-12-22 00:00:00,alchemix
1640217600,873753707.70564,2021-12-23 00:00:00,alchemix
1640304000,886270961.96088,2021-12-24 00:00:00,alchemix
1640390400,880752784.23373,2021-12-25 00:00:00,alchemix
1640476800,884050273.48723,2021-12-26 00:00:00,alchemix
1640563200,883355866.50792,2021-12-27 00:00:00,alchemix
1640649600,875108003.67157,2021-12-28 00:00:00,alchemix
1640736000,842031984.54547,2021-12-29 00:00:00,alchemix
1640822400,775183149.62154,2021-12-30 00:00:00,alchemix
1640908800,781467891.77513,2021-12-31 00:00:00,alchemix
1640995200,778441860.70702,2022-01-01 00:00:00,alchemix
1641081600,781007629.75097,2022-01-02 00:00:00,alchemix
1641168000,786912942.10844,2022-01-03 00:00:00,alchemix
1641254400,781837077.27873,2022-01-04 00:00:00,alchemix
1641340800,777082876.01618,2022-01-05 00:00:00,alchemix
1641427200,749393929.12632,2022-01-06 00:00:00,alchemix
1641513600,750241623.64676,2022-01-07 00:00:00,alchemix
1641600000,730672083.59657,2022-01-08 00:00:00,alchemix
1641686400,714338550.48861,2022-01-09 00:00:00,alchemix
1641772800,722737582.32015,2022-01-10 00:00:00,alchemix
1641859200,706317725.7042,2022-01-11 00:00:00,alchemix
1641945600,725024004.72767,2022-01-12 00:00:00,alchemix
1642032000,736700897.64117,2022-01-13 00:00:00,alchemix
1642118400,720840350.7423,2022-01-14 00:00:00,alchemix
1642204800,718952931.18981,2022-01-15 00:00:00,alchemix
1642291200,717033396.75594,2022-01-16 00:00:00,alchemix
1642377600,715258085.47597,2022-01-17 00:00:00,alchemix
1642464000,694134512.61512,2022-01-18 00:00:00,alchemix
1642550400,683989999.56516,2022-01-19 00:00:00,alchemix
1642636800,674069958.87854,2022-01-20 00:00:00,alchemix
1642723200,661081346.55439,2022-01-21 00:00:00,alchemix
1642809600,619195212.08148,2022-01-22 00:00:00,alchemix
1642896000,577366123.88279,2022-01-23 00:00:00,alchemix
1642982400,596799506.05003,2022-01-24 00:00:00,alchemix
1643068800,581239085.1636,2022-01-25 00:00:00,alchemix
1643155200,585148417.94739,2022-01-26 00:00:00,alchemix
1643241600,601430263.25075,2022-01-27 00:00:00,alchemix
1643328000,575440869.1411,2022-01-28 00:00:00,alchemix
1643414400,591875827.96863,2022-01-29 00:00:00,alchemix
1643500800,595245692.86865,2022-01-30 00:00:00,alchemix
1643587200,595613774.84909,2022-01-31 00:00:00,alchemix
1643673600,607479032.99787,2022-02-01 00:00:00,alchemix
1643760000,618894136.82486,2022-02-02 00:00:00,alchemix
1643846400,607420904.35754,2022-02-03 00:00:00,alchemix
1643932800,605100582.22683,2022-02-04 00:00:00,alchemix
1644019200,637991552.084,2022-02-05 00:00:00,alchemix
1644105600,644786739.26744,2022-02-06 00:00:00,alchemix
1644192000,647896369.06928,2022-02-07 00:00:00,alchemix
1644278400,655659411.30521,2022-02-08 00:00:00,alchemix
1644364800,662558593.61063,2022-02-09 00:00:00,alchemix
1644451200,673989476.86066,2022-02-10 00:00:00,alchemix
1644537600,656907438.96159,2022-02-11 00:00:00,alchemix
1644624000,646600135.09908,2022-02-12 00:00:00,alchemix
1644710400,641150395.05921,2022-02-13 00:00:00,alchemix
1644796800,638628010.69798,2022-02-14 00:00:00,alchemix
1644883200,598529033.87442,2022-02-15 00:00:00,alchemix
1644969600,618233174.60042,2022-02-16 00:00:00,alchemix
1645056000,610414903.56882,2022-02-17 00:00:00,alchemix
1645142400,579472760.6376,2022-02-18 00:00:00,alchemix
1645228800,567366521.09951,2022-02-19 00:00:00,alchemix
1645315200,549198064.05052,2022-02-20 00:00:00,alchemix
1645401600,562269348.7283,2022-02-21 00:00:00,alchemix
1645488000,553710330.83192,2022-02-22 00:00:00,alchemix
1645574400,557465507.1294,2022-02-23 00:00:00,alchemix
1645660800,547977307.3345,2022-02-24 00:00:00,alchemix
1645747200,544003248.59855,2022-02-25 00:00:00,alchemix
1645833600,555500515.21432,2022-02-26 00:00:00,alchemix
1645920000,551019401.67752,2022-02-27 00:00:00,alchemix
1646006400,539620050.82877,2022-02-28 00:00:00,alchemix
1646092800,562362503.96756,2022-03-01 00:00:00,alchemix
1646179200,554282186.19982,2022-03-02 00:00:00,alchemix
1646265600,545431198.49342,2022-03-03 00:00:00,alchemix
1646352000,534254050.43617,2022-03-04 00:00:00,alchemix
1646438400,516989210.07747,2022-03-05 00:00:00,alchemix
1646524800,512565112.16032,2022-03-06 00:00:00,alchemix
1646611200,503496347.83582,2022-03-07 00:00:00,alchemix
1646697600,492578049.66981,2022-03-08 00:00:00,alchemix
1646784000,497285851.217,2022-03-09 00:00:00,alchemix
1646870400,504001810.16277,2022-03-10 00:00:00,alchemix
1646956800,494551363.84474,2022-03-11 00:00:00,alchemix
1647043200,481636511.85608,2022-03-12 00:00:00,alchemix
1647129600,484367826.14935,2022-03-13 00:00:00,alchemix
1647216000,484523827.95634,2022-03-14 00:00:00,alchemix
1647302400,484359174.47548,2022-03-15 00:00:00,alchemix
1647388800,481878999.65737,2022-03-16 00:00:00,alchemix
1647475200,488240219.74838,2022-03-17 00:00:00,alchemix
