date,forecasted_Transaction Count,forecasted_Active Users,forecasted_Unique Users,forecasted_Gas Fees,forecasted_Total Transferred,forecasted_Net Transferred,forecasted_TVL-derive,forecasted_TVL_opchain-derive,forecasted_TVL-derive_v1_protocol,forecasted_TVL_opchain-derive_v1_protocol,forecasted_TVL-derive_v2_protocol,forecasted_TVL_opchain-derive_v2_protocol
2024-09-01 00:00:00,0.3240515286926383,0.24186807348395592,0.13572178600646229,5.712775960813617e-06,0.0,0.0,57816823.54241196,59584680.34577149,1287581.6259247889,1453278.166865271,48712112.88952056,60974174.20614423
2024-09-02 00:00:00,0.24019167118524196,0.18127680293123363,0.12510066967585642,9.618147430047337e-06,0.0,0.0,50225227.09713941,57156387.60705332,1208686.3705553843,1379412.8219120572,47625256.53623928,54583545.746964544
2024-09-03 00:00:00,0.30814801685890963,0.1683002693855498,0.2949908418602884,8.618856956946102e-06,0.0,0.0,52069922.16471675,61700818.34556408,1374556.3392782563,1473404.8365603269,51184494.94268461,60058324.89199791
2024-09-04 00:00:00,0.5005070784954873,0.1640792387062395,0.11066598766723507,8.299417641878534e-06,0.0,0.0,50777854.79639458,56638986.19008267,1263663.2589700273,1323458.7995874782,49838673.5756702,50840288.95641972
2024-09-05 00:00:00,0.40979518118701647,0.24423220544797267,0.21764143202644207,4.244189308630874e-06,0.0,0.0,55144173.55281636,59015725.67925707,1207227.5133294277,1382600.7214963806,47025747.644452155,55364453.26692043
2024-09-06 00:00:00,0.22395009610111752,0.23183470197036085,0.12399139211825409,6.432202676989135e-06,0.0,0.0,47429306.05485897,55446021.433600925,1251423.4736642751,1455716.2681794441,47391930.044984795,56855929.34973208
2024-09-07 00:00:00,0.2866079126055264,0.27996347568030366,0.07692301619568606,1.465352105064381e-05,0.0,0.0,45887853.921918966,57796876.41496371,1335528.8690763745,1343097.308522501,40852412.58361802,55313144.55547619
2024-09-08 00:00:00,0.4560501921204429,0.2813375390061559,0.13762022871491336,1.6993500258595855e-05,0.0,0.0,48278039.1611861,59928127.88787554,1339044.4363543342,1269181.8725010923,45961177.934967145,60708623.56597342
2024-09-09 00:00:00,0.3474025448311584,0.3639313945621308,0.04818341685981928,1.7221713359737434e-05,0.0,0.0,46514884.25649819,58037661.04494525,1214210.3624248898,1314038.8683160911,48607221.61292124,54875728.34326455
2024-09-10 00:00:00,0.15733305082642365,0.23408279019120948,0.034480695777599255,1.1462287543635112e-05,0.0,0.0,42270107.880065665,56643659.687050566,1310832.4929720974,1362866.8722436426,48619669.20137931,54604625.75567219
