transaction_date,transaction_cnt,active_users,total_transferred,gas_fee,unique_users,retained_percent,daa_to_maa_ratio,cum_transferred
2024-06-02,22.0,16.0,1.1e+18,0.001403852125493,2.0,0.9375,0.48,1.1e+18
2024-06-03,17.0,15.0,0.0,0.0013476522972269,0.0,1.0,0.45,1.1e+18
2024-06-04,21.0,18.0,3.117357532737538e+17,0.0015385569658565,3.0,0.8333333333333334,0.55,1.411735753273754e+18
2024-06-05,22.0,18.0,5e+17,0.0016630691273255,1.0,1.0,0.55,1.911735753273754e+18
2024-06-06,130.0,20.0,1.7e+17,0.0202586846614582,59.0,0.85,0.61,2.081735753273754e+18
2024-06-07,44.0,19.0,7e+18,0.0655531568534437,22.0,0.9473684210526316,0.58,9.081735753273754e+18
2024-06-08,44.0,17.0,3e+17,0.0014491602697472,0.0,1.0,0.52,9.381735753273754e+18
2024-06-09,19.0,16.0,0.0,0.0012265079191884,0.0,1.0,0.48,9.381735753273754e+18
2024-06-10,18.0,15.0,0.0,0.0012986811705697,0.0,1.0,0.45,9.381735753273754e+18
2024-06-11,31.0,21.0,5e+17,0.0020632422223817,6.0,0.7142857142857143,0.64,9.881735753273754e+18
2024-06-12,21.0,18.0,3e+17,0.0018482254982524,1.0,1.0,0.55,1.0181735753273754e+19
2024-06-13,23.0,17.0,1.3e+18,0.0014192830765761,0.0,0.9411764705882352,0.52,1.1481735753273754e+19
2024-06-14,31.0,18.0,3938623817735295.0,0.0016296469312083,1.0,0.8888888888888888,0.55,1.148567437709149e+19
2024-06-15,25.0,19.0,4e+17,0.0014088532814338,2.0,0.8947368421052632,0.58,1.188567437709149e+19
2024-06-16,23.0,18.0,1.5e+17,0.0011846157911722,1.0,1.0,0.55,1.203567437709149e+19
2024-06-17,24.0,20.0,5e+17,0.0013418698272627,1.0,0.9,0.61,1.253567437709149e+19
2024-06-18,27.0,22.0,3.381794980150081e+16,0.0015203151754975,4.0,0.8636363636363636,0.67,1.256949232689299e+19
2024-06-19,24.0,18.0,0.0,0.001292917223273,1.0,1.0,0.55,1.256949232689299e+19
2024-06-20,24.0,19.0,9.06e+17,0.0012133906949142,0.0,0.8947368421052632,0.58,1.347549232689299e+19
2024-06-21,23.0,19.0,0.0,0.0013051420542191,0.0,0.9473684210526316,0.58,1.347549232689299e+19
2024-06-22,22.0,17.0,0.0,0.0010780397307673,0.0,0.9411764705882352,0.52,1.347549232689299e+19
2024-06-23,23.0,17.0,0.0,0.0010658297235836,0.0,0.8823529411764706,0.52,1.347549232689299e+19
2024-06-24,25.0,19.0,0.0,0.0016344259602389,0.0,0.8947368421052632,0.58,1.347549232689299e+19
2024-06-25,33.0,18.0,0.0,0.0013223158069342,7.0,0.8888888888888888,0.55,1.347549232689299e+19
2024-06-26,28.0,18.0,9e+17,0.0012798349081074,0.0,0.9444444444444444,0.55,1.437549232689299e+19
2024-06-27,35.0,19.0,0.0,0.0013850879881308,6.0,0.9473684210526316,0.58,1.437549232689299e+19
2024-06-28,39.0,22.0,2.804489759502792e+18,0.1567814931947431,7.0,0.8636363636363636,0.67,1.7179982086395783e+19
2024-06-29,27.0,21.0,0.0,0.0454317488431123,0.0,1.0,0.64,1.7179982086395783e+19
