transaction_date,address,cnt,total_transferred,total_transferred_in_tokens,net_transferred,net_transferred_in_tokens
2024-06-26,0xbc404429558292ee2d769e57d57d6e74bbd2792d,3,0.0,0.0,0.0,0.0
2024-06-27,0xbc404429558292ee2d769e57d57d6e74bbd2792d,9,0.0,0.0,0.0,0.0
2024-07-04,0xbc404429558292ee2d769e57d57d6e74bbd2792d,1,0.0,0.0,0.0,0.0
2024-07-16,0xbc404429558292ee2d769e57d57d6e74bbd2792d,1,0.0,0.0,0.0,0.0
2024-08-18,0xbc404429558292ee2d769e57d57d6e74bbd2792d,2,0.0,0.0,0.0,0.0
2024-08-29,0xbc404429558292ee2d769e57d57d6e74bbd2792d,1,0.0,0.0,0.0,0.0
2024-08-30,0xbc404429558292ee2d769e57d57d6e74bbd2792d,1,0.0,0.0,0.0,0.0
2024-08-31,0xbc404429558292ee2d769e57d57d6e74bbd2792d,2,0.0,0.0,0.0,0.0
2024-09-02,0xbc404429558292ee2d769e57d57d6e74bbd2792d,2,0.0,0.0,0.0,0.0
2024-09-03,0xbc404429558292ee2d769e57d57d6e74bbd2792d,3,0.0,0.0,0.0,0.0
2024-09-05,0xbc404429558292ee2d769e57d57d6e74bbd2792d,1,0.0,0.0,0.0,0.0
2024-09-07,0xbc404429558292ee2d769e57d57d6e74bbd2792d,1,0.0,0.0,0.0,0.0
2024-09-08,0xbc404429558292ee2d769e57d57d6e74bbd2792d,7,0.0,0.0,0.0,0.0
2024-09-18,0xbc404429558292ee2d769e57d57d6e74bbd2792d,5,0.0,0.0,0.0,0.0
2024-09-19,0xbc404429558292ee2d769e57d57d6e74bbd2792d,1,0.0,0.0,0.0,0.0
2024-09-21,0xbc404429558292ee2d769e57d57d6e74bbd2792d,4,0.0,0.0,0.0,0.0
2024-09-22,0xbc404429558292ee2d769e57d57d6e74bbd2792d,2,0.0,0.0,0.0,0.0
2024-09-23,0xbc404429558292ee2d769e57d57d6e74bbd2792d,6,0.0,0.0,0.0,0.0
2024-09-24,0xbc404429558292ee2d769e57d57d6e74bbd2792d,1,0.0,0.0,0.0,0.0
