transaction_date,address,cnt,total_transferred,direction,total_transferred_in_tokens,net_transferred,net_transferred_in_tokens
2024-08-05,0x0ad86842eadee5b484e31db60716eb6867b46e21,26,0.0,in,0.0,0.0,0.0
2024-08-06,0x0ad86842eadee5b484e31db60716eb6867b46e21,1,0.0,in,0.0,0.0,0.0
2024-08-07,0x0ad86842eadee5b484e31db60716eb6867b46e21,1,0.0,in,0.0,0.0,0.0
2024-08-08,0x0ad86842eadee5b484e31db60716eb6867b46e21,1,0.0,in,0.0,0.0,0.0
2024-08-11,0x0ad86842eadee5b484e31db60716eb6867b46e21,1,0.0,in,0.0,0.0,0.0
2024-08-14,0x0ad86842eadee5b484e31db60716eb6867b46e21,94,0.0,in,0.0,0.0,0.0
2024-08-15,0x0ad86842eadee5b484e31db60716eb6867b46e21,56,0.0,in,0.0,0.0,0.0
2024-08-16,0x0ad86842eadee5b484e31db60716eb6867b46e21,4,0.0,in,0.0,0.0,0.0
2024-08-23,0x0ad86842eadee5b484e31db60716eb6867b46e21,1,0.0,in,0.0,0.0,0.0
2024-08-24,0x0ad86842eadee5b484e31db60716eb6867b46e21,6,0.0,in,0.0,0.0,0.0
2024-08-25,0x0ad86842eadee5b484e31db60716eb6867b46e21,20,0.0,in,0.0,0.0,0.0
2024-08-26,0x0ad86842eadee5b484e31db60716eb6867b46e21,1,0.0,in,0.0,0.0,0.0
2024-08-29,0x0ad86842eadee5b484e31db60716eb6867b46e21,1,0.0,in,0.0,0.0,0.0
2024-09-04,0x0ad86842eadee5b484e31db60716eb6867b46e21,7,0.0,in,0.0,0.0,0.0
2024-09-16,0x0ad86842eadee5b484e31db60716eb6867b46e21,1,0.0,in,0.0,0.0,0.0
2024-09-19,0x0ad86842eadee5b484e31db60716eb6867b46e21,1,0.0,in,0.0,0.0,0.0
2024-09-20,0x0ad86842eadee5b484e31db60716eb6867b46e21,4,0.0,in,0.0,0.0,0.0
2024-09-21,0x0ad86842eadee5b484e31db60716eb6867b46e21,1,0.0,in,0.0,0.0,0.0
2024-10-01,0x0ad86842eadee5b484e31db60716eb6867b46e21,3,0.0,in,0.0,0.0,0.0
2024-10-08,0x0ad86842eadee5b484e31db60716eb6867b46e21,5,0.0,in,0.0,0.0,0.0
2024-10-09,0x0ad86842eadee5b484e31db60716eb6867b46e21,1,0.0,in,0.0,0.0,0.0
2024-10-23,0x0ad86842eadee5b484e31db60716eb6867b46e21,1,0.0,in,0.0,0.0,0.0
2024-10-25,0x0ad86842eadee5b484e31db60716eb6867b46e21,4,0.0,in,0.0,0.0,0.0
2024-10-30,0x0ad86842eadee5b484e31db60716eb6867b46e21,1,0.0,in,0.0,0.0,0.0
2024-10-31,0x0ad86842eadee5b484e31db60716eb6867b46e21,1,0.0,in,0.0,0.0,0.0
