chain,date,token,value,readable_date,protocol
Arbitrum,1722988800,RSETH,17591.89473,2024-08-07 00:00:00,kelp_dao
Arbitrum,1723075200,RSETH,17417.84672,2024-08-08 00:00:00,kelp_dao
Arbitrum,1723161600,RSETH,17323.1865,2024-08-09 00:00:00,kelp_dao
Arbitrum,1723248000,RSETH,16952.68807,2024-08-10 00:00:00,kelp_dao
Arbitrum,1723334400,RSETH,16932.67274,2024-08-11 00:00:00,kelp_dao
Arbitrum,1723420800,RSETH,16866.8694,2024-08-12 00:00:00,kelp_dao
Arbitrum,1723507200,RSETH,16778.95295,2024-08-13 00:00:00,kelp_dao
Arbitrum,1723593600,RSETH,16643.44661,2024-08-14 00:00:00,kelp_dao
Arbitrum,1723680000,RSETH,16384.01471,2024-08-15 00:00:00,kelp_dao
Arbitrum,1723766400,RSETH,16360.64929,2024-08-16 00:00:00,kelp_dao
Arbitrum,1723852800,RSETH,16411.06689,2024-08-17 00:00:00,kelp_dao
Arbitrum,1723939200,RSETH,16357.53932,2024-08-18 00:00:00,kelp_dao
Arbitrum,1724025600,RSETH,16599.49557,2024-08-19 00:00:00,kelp_dao
Arbitrum,1724112000,RSETH,16606.86579,2024-08-20 00:00:00,kelp_dao
Arbitrum,1724198400,RSETH,16567.31647,2024-08-21 00:00:00,kelp_dao
Arbitrum,1724284800,RSETH,16277.46714,2024-08-22 00:00:00,kelp_dao
Arbitrum,1724371200,RSETH,16268.2567,2024-08-23 00:00:00,kelp_dao
Arbitrum,1724457600,RSETH,16368.04017,2024-08-24 00:00:00,kelp_dao
Arbitrum,1724544000,RSETH,16420.27838,2024-08-25 00:00:00,kelp_dao
Arbitrum,1724630400,RSETH,16478.51822,2024-08-26 00:00:00,kelp_dao
Arbitrum,1724716800,RSETH,16566.79572,2024-08-27 00:00:00,kelp_dao
Arbitrum,1724803200,RSETH,16490.80583,2024-08-28 00:00:00,kelp_dao
Arbitrum,1724889600,RSETH,16753.82602,2024-08-29 00:00:00,kelp_dao
Arbitrum,1724976000,RSETH,16196.2307,2024-08-30 00:00:00,kelp_dao
Arbitrum,1725062400,RSETH,16485.44551,2024-08-31 00:00:00,kelp_dao
Arbitrum,1725148800,RSETH,16541.0299,2024-09-01 00:00:00,kelp_dao
Arbitrum,1725235200,RSETH,16598.6094,2024-09-02 00:00:00,kelp_dao
Arbitrum,1725321600,RSETH,16793.46328,2024-09-03 00:00:00,kelp_dao
Arbitrum,1725408000,RSETH,17029.0912,2024-09-04 00:00:00,kelp_dao
Arbitrum,1725494400,RSETH,16817.95851,2024-09-05 00:00:00,kelp_dao
Arbitrum,1725580800,RSETH,17058.79113,2024-09-06 00:00:00,kelp_dao
Arbitrum,1725667200,RSETH,17263.8589,2024-09-07 00:00:00,kelp_dao
Arbitrum,1725753600,RSETH,17500.34984,2024-09-08 00:00:00,kelp_dao
Arbitrum,1725840000,RSETH,17732.72618,2024-09-09 00:00:00,kelp_dao
Arbitrum,1725926400,RSETH,18103.95332,2024-09-10 00:00:00,kelp_dao
Arbitrum,1726012800,RSETH,18439.09511,2024-09-11 00:00:00,kelp_dao
Arbitrum,1726099200,RSETH,18191.74142,2024-09-12 00:00:00,kelp_dao
Arbitrum,1726185600,RSETH,18256.35294,2024-09-13 00:00:00,kelp_dao
Arbitrum,1726272000,RSETH,18260.75929,2024-09-14 00:00:00,kelp_dao
Arbitrum,1726358400,RSETH,17849.64908,2024-09-15 00:00:00,kelp_dao
Arbitrum,1726444800,RSETH,17797.96669,2024-09-16 00:00:00,kelp_dao
Arbitrum,1726531200,RSETH,17811.74377,2024-09-17 00:00:00,kelp_dao
Arbitrum,1726617600,RSETH,18099.32514,2024-09-18 00:00:00,kelp_dao
Arbitrum,1726704000,RSETH,18162.03436,2024-09-19 00:00:00,kelp_dao
Arbitrum,1726790400,RSETH,18223.28157,2024-09-20 00:00:00,kelp_dao
Arbitrum,1726876800,RSETH,17971.74983,2024-09-21 00:00:00,kelp_dao
Arbitrum,1726963200,RSETH,18067.37394,2024-09-22 00:00:00,kelp_dao
Arbitrum,1727049600,RSETH,17984.54355,2024-09-23 00:00:00,kelp_dao
Arbitrum,1727136000,RSETH,17998.49443,2024-09-24 00:00:00,kelp_dao
Arbitrum,1727222400,RSETH,17974.46099,2024-09-25 00:00:00,kelp_dao
Arbitrum,1727308800,RSETH,17786.22778,2024-09-26 00:00:00,kelp_dao
Arbitrum,1727395200,RSETH,17211.58398,2024-09-27 00:00:00,kelp_dao
Arbitrum,1727481600,RSETH,18118.8469,2024-09-28 00:00:00,kelp_dao
Arbitrum,1727568000,RSETH,16552.46011,2024-09-29 00:00:00,kelp_dao
Arbitrum,1727654400,RSETH,16296.4057,2024-09-30 00:00:00,kelp_dao
Arbitrum,1727740800,RSETH,15748.74794,2024-10-01 00:00:00,kelp_dao
Arbitrum,1727827200,RSETH,15729.51441,2024-10-02 00:00:00,kelp_dao
Arbitrum,1727913600,RSETH,15711.94659,2024-10-03 00:00:00,kelp_dao
Arbitrum,1728000000,RSETH,15746.49924,2024-10-04 00:00:00,kelp_dao
Arbitrum,1728086400,RSETH,15710.86133,2024-10-05 00:00:00,kelp_dao
Arbitrum,1728172800,RSETH,15674.66953,2024-10-06 00:00:00,kelp_dao
Arbitrum,1728259200,RSETH,15585.61416,2024-10-07 00:00:00,kelp_dao
Arbitrum,1728345600,RSETH,15016.44768,2024-10-08 00:00:00,kelp_dao
Arbitrum,1728432000,RSETH,14854.04716,2024-10-09 00:00:00,kelp_dao
Arbitrum,1728518400,RSETH,14145.94662,2024-10-10 00:00:00,kelp_dao
Arbitrum,1728604800,RSETH,13706.92497,2024-10-11 00:00:00,kelp_dao
Arbitrum,1728691200,RSETH,13809.36981,2024-10-12 00:00:00,kelp_dao
Arbitrum,1728777600,RSETH,14023.8267,2024-10-13 00:00:00,kelp_dao
Arbitrum,1728864000,RSETH,13974.27611,2024-10-14 00:00:00,kelp_dao
Arbitrum,1728950400,RSETH,13580.01117,2024-10-15 00:00:00,kelp_dao
Arbitrum,1729036800,RSETH,13580.04057,2024-10-16 00:00:00,kelp_dao
Arbitrum,1729123200,RSETH,13367.30633,2024-10-17 00:00:00,kelp_dao
Arbitrum,1729209600,RSETH,13546.70848,2024-10-18 00:00:00,kelp_dao
Arbitrum,1729296000,RSETH,12993.98534,2024-10-19 00:00:00,kelp_dao
Arbitrum,1729382400,RSETH,12855.71971,2024-10-20 00:00:00,kelp_dao
Arbitrum,1729468800,RSETH,12236.26543,2024-10-21 00:00:00,kelp_dao
Arbitrum,1729555200,RSETH,12253.08404,2024-10-22 00:00:00,kelp_dao
Arbitrum,1729641600,RSETH,12439.72559,2024-10-23 00:00:00,kelp_dao
Arbitrum,1729728000,RSETH,12170.3848,2024-10-24 00:00:00,kelp_dao
Arbitrum,1729814400,RSETH,11784.32744,2024-10-25 00:00:00,kelp_dao
Arbitrum,1729900800,RSETH,11651.79797,2024-10-26 00:00:00,kelp_dao
Arbitrum,1729987200,RSETH,11643.26711,2024-10-27 00:00:00,kelp_dao
Arbitrum,1730073600,RSETH,11711.4282,2024-10-28 00:00:00,kelp_dao
Arbitrum,1730160000,RSETH,11638.23183,2024-10-29 00:00:00,kelp_dao
Arbitrum,1730246400,RSETH,11468.37737,2024-10-30 00:00:00,kelp_dao
Arbitrum,1730332800,RSETH,10381.31139,2024-10-31 00:00:00,kelp_dao
Arbitrum,1730419200,RSETH,10461.07466,2024-11-01 00:00:00,kelp_dao
Arbitrum,1730505600,RSETH,10490.80902,2024-11-02 00:00:00,kelp_dao
Arbitrum,1730592000,RSETH,10531.67275,2024-11-03 00:00:00,kelp_dao
Arbitrum,1730678400,RSETH,10435.96503,2024-11-04 00:00:00,kelp_dao
Arbitrum,1730764800,RSETH,10172.71678,2024-11-05 00:00:00,kelp_dao
Arbitrum,1730851200,RSETH,10069.22155,2024-11-06 00:00:00,kelp_dao
Arbitrum,1730937600,RSETH,10020.59929,2024-11-07 00:00:00,kelp_dao
Arbitrum,1731024000,RSETH,10113.24663,2024-11-08 00:00:00,kelp_dao
Arbitrum,1731110400,RSETH,10051.26775,2024-11-09 00:00:00,kelp_dao
Arbitrum,1731196800,RSETH,10112.25297,2024-11-10 00:00:00,kelp_dao
Arbitrum,1731283200,RSETH,10182.35822,2024-11-11 00:00:00,kelp_dao
Arbitrum,1731369600,RSETH,10005.70012,2024-11-12 00:00:00,kelp_dao
Arbitrum,1731456000,RSETH,9534.18385,2024-11-13 00:00:00,kelp_dao
Arbitrum,1731542400,RSETH,9546.17621,2024-11-14 00:00:00,kelp_dao
Arbitrum,1731628800,RSETH,9467.53776,2024-11-15 00:00:00,kelp_dao
Arbitrum,1731715200,RSETH,9535.93326,2024-11-16 00:00:00,kelp_dao
Arbitrum,1731801600,RSETH,9519.31612,2024-11-17 00:00:00,kelp_dao
Arbitrum,1731888000,RSETH,9478.25445,2024-11-18 00:00:00,kelp_dao
Arbitrum,1731974400,RSETH,9524.22723,2024-11-19 00:00:00,kelp_dao
Arbitrum,1732060800,RSETH,9532.92443,2024-11-20 00:00:00,kelp_dao
Arbitrum,1732147200,RSETH,9188.01869,2024-11-21 00:00:00,kelp_dao
Arbitrum,1732233600,RSETH,9043.29103,2024-11-22 00:00:00,kelp_dao
Arbitrum,1732320000,RSETH,8926.08223,2024-11-23 00:00:00,kelp_dao
Arbitrum,1732406400,RSETH,8911.73243,2024-11-24 00:00:00,kelp_dao
Arbitrum,1732492800,RSETH,8860.8225,2024-11-25 00:00:00,kelp_dao
Arbitrum,1732579200,RSETH,8870.8263,2024-11-26 00:00:00,kelp_dao
Arbitrum,1732665600,RSETH,8783.87872,2024-11-27 00:00:00,kelp_dao
Arbitrum,1732752000,RSETH,8763.74766,2024-11-28 00:00:00,kelp_dao
Arbitrum,1732838400,RSETH,8726.10445,2024-11-29 00:00:00,kelp_dao
Arbitrum,1732924800,RSETH,8698.7832,2024-11-30 00:00:00,kelp_dao
Arbitrum,1733011200,RSETH,8516.72064,2024-12-01 00:00:00,kelp_dao
Arbitrum,1733097600,RSETH,8774.91785,2024-12-02 00:00:00,kelp_dao
Arbitrum,1733184000,RSETH,8295.41238,2024-12-03 00:00:00,kelp_dao
Arbitrum,1733270400,RSETH,8239.19296,2024-12-04 00:00:00,kelp_dao
Arbitrum,1733356800,RSETH,8014.23887,2024-12-05 00:00:00,kelp_dao
Arbitrum,1733443200,RSETH,7967.35789,2024-12-06 00:00:00,kelp_dao
Arbitrum,1733529600,RSETH,8017.63152,2024-12-07 00:00:00,kelp_dao
Arbitrum,1733616000,RSETH,7916.36219,2024-12-08 00:00:00,kelp_dao
Arbitrum,1733702400,RSETH,7889.2645,2024-12-09 00:00:00,kelp_dao
Arbitrum,1733788800,RSETH,7759.81289,2024-12-10 00:00:00,kelp_dao
Arbitrum,1733875200,RSETH,7709.42887,2024-12-11 00:00:00,kelp_dao
Arbitrum,1733961600,RSETH,7656.36943,2024-12-12 00:00:00,kelp_dao
Arbitrum,1734048000,RSETH,7694.26233,2024-12-13 00:00:00,kelp_dao
Arbitrum,1734134400,RSETH,7700.58703,2024-12-14 00:00:00,kelp_dao
Arbitrum,1734220800,RSETH,7683.51086,2024-12-15 00:00:00,kelp_dao
Arbitrum,1734307200,RSETH,7575.52185,2024-12-16 00:00:00,kelp_dao
Arbitrum,1734393600,RSETH,7486.87322,2024-12-17 00:00:00,kelp_dao
Arbitrum,1734480000,RSETH,7344.33768,2024-12-18 00:00:00,kelp_dao
Arbitrum,1734566400,RSETH,7246.49516,2024-12-19 00:00:00,kelp_dao
Arbitrum,1734652800,RSETH,7232.41392,2024-12-20 00:00:00,kelp_dao
Arbitrum,1734739200,RSETH,7287.68091,2024-12-21 00:00:00,kelp_dao
Arbitrum,1734825600,RSETH,7185.62612,2024-12-22 00:00:00,kelp_dao
Arbitrum,1734912000,RSETH,7263.99647,2024-12-23 00:00:00,kelp_dao
Arbitrum,1734998400,RSETH,7311.54903,2024-12-24 00:00:00,kelp_dao
Arbitrum,1735084800,RSETH,7287.82729,2024-12-25 00:00:00,kelp_dao
Arbitrum,1735167669,RSETH,7134.85753,2024-12-25 23:01:09,kelp_dao
Arbitrum,1722988800,RSETH,44790371.34434,2024-08-07 00:00:00,kelp_dao
Arbitrum,1723075200,RSETH,41792381.42717,2024-08-08 00:00:00,kelp_dao
Arbitrum,1723161600,RSETH,45982146.55266,2024-08-09 00:00:00,kelp_dao
Arbitrum,1723248000,RSETH,44839181.84556,2024-08-10 00:00:00,kelp_dao
Arbitrum,1723334400,RSETH,44846183.75454,2024-08-11 00:00:00,kelp_dao
Arbitrum,1723420800,RSETH,44248713.8579,2024-08-12 00:00:00,kelp_dao
Arbitrum,1723507200,RSETH,45995136.9874,2024-08-13 00:00:00,kelp_dao
Arbitrum,1723593600,RSETH,46115495.43806,2024-08-14 00:00:00,kelp_dao
Arbitrum,1723680000,RSETH,44467854.32713,2024-08-15 00:00:00,kelp_dao
Arbitrum,1723766400,RSETH,42732052.66757,2024-08-16 00:00:00,kelp_dao
Arbitrum,1723852800,RSETH,43415969.80008,2024-08-17 00:00:00,kelp_dao
Arbitrum,1723939200,RSETH,43439572.15234,2024-08-18 00:00:00,kelp_dao
Arbitrum,1724025600,RSETH,44704599.51251,2024-08-19 00:00:00,kelp_dao
Arbitrum,1724112000,RSETH,44308944.67495,2024-08-20 00:00:00,kelp_dao
Arbitrum,1724198400,RSETH,43625886.08936,2024-08-21 00:00:00,kelp_dao
Arbitrum,1724284800,RSETH,43762295.94717,2024-08-22 00:00:00,kelp_dao
Arbitrum,1724371200,RSETH,43504734.75773,2024-08-23 00:00:00,kelp_dao
Arbitrum,1724457600,RSETH,46386698.48664,2024-08-24 00:00:00,kelp_dao
Arbitrum,1724544000,RSETH,46040161.72733,2024-08-25 00:00:00,kelp_dao
Arbitrum,1724630400,RSETH,46778887.93838,2024-08-26 00:00:00,kelp_dao
Arbitrum,1724716800,RSETH,45409090.05917,2024-08-27 00:00:00,kelp_dao
Arbitrum,1724803200,RSETH,41796442.09017,2024-08-28 00:00:00,kelp_dao
Arbitrum,1724889600,RSETH,43356388.6788,2024-08-29 00:00:00,kelp_dao
Arbitrum,1724976000,RSETH,41899486.85083,2024-08-30 00:00:00,kelp_dao
Arbitrum,1725062400,RSETH,42552067.10112,2024-08-31 00:00:00,kelp_dao
Arbitrum,1725148800,RSETH,42631196.36127,2024-09-01 00:00:00,kelp_dao
Arbitrum,1725235200,RSETH,42115983.60027,2024-09-02 00:00:00,kelp_dao
Arbitrum,1725321600,RSETH,43701461.55631,2024-09-03 00:00:00,kelp_dao
Arbitrum,1725408000,RSETH,42788486.5855,2024-09-04 00:00:00,kelp_dao
Arbitrum,1725494400,RSETH,42332651.54762,2024-09-05 00:00:00,kelp_dao
Arbitrum,1725580800,RSETH,41304109.77998,2024-09-06 00:00:00,kelp_dao
Arbitrum,1725667200,RSETH,39017874.87034,2024-09-07 00:00:00,kelp_dao
Arbitrum,1725753600,RSETH,40579986.20322,2024-09-08 00:00:00,kelp_dao
Arbitrum,1725840000,RSETH,41380912.48172,2024-09-09 00:00:00,kelp_dao
Arbitrum,1725926400,RSETH,43921639.06088,2024-09-10 00:00:00,kelp_dao
Arbitrum,1726012800,RSETH,44795937.6578,2024-09-11 00:00:00,kelp_dao
Arbitrum,1726099200,RSETH,43553030.04385,2024-09-12 00:00:00,kelp_dao
Arbitrum,1726185600,RSETH,43997445.45352,2024-09-13 00:00:00,kelp_dao
Arbitrum,1726272000,RSETH,45752697.6263,2024-09-14 00:00:00,kelp_dao
Arbitrum,1726358400,RSETH,44362982.33396,2024-09-15 00:00:00,kelp_dao
Arbitrum,1726444800,RSETH,43287324.69481,2024-09-16 00:00:00,kelp_dao
Arbitrum,1726531200,RSETH,42065282.78713,2024-09-17 00:00:00,kelp_dao
Arbitrum,1726617600,RSETH,44274569.16725,2024-09-18 00:00:00,kelp_dao
Arbitrum,1726704000,RSETH,43448671.56592,2024-09-19 00:00:00,kelp_dao
Arbitrum,1726790400,RSETH,45935243.62572,2024-09-20 00:00:00,kelp_dao
Arbitrum,1726876800,RSETH,46884521.24944,2024-09-21 00:00:00,kelp_dao
Arbitrum,1726963200,RSETH,47333990.29307,2024-09-22 00:00:00,kelp_dao
Arbitrum,1727049600,RSETH,47148279.3733,2024-09-23 00:00:00,kelp_dao
Arbitrum,1727136000,RSETH,48904069.18021,2024-09-24 00:00:00,kelp_dao
Arbitrum,1727222400,RSETH,48667470.82921,2024-09-25 00:00:00,kelp_dao
Arbitrum,1727308800,RSETH,47015580.92153,2024-09-26 00:00:00,kelp_dao
Arbitrum,1727395200,RSETH,46496405.65051,2024-09-27 00:00:00,kelp_dao
Arbitrum,1727481600,RSETH,49902022.20341,2024-09-28 00:00:00,kelp_dao
Arbitrum,1727568000,RSETH,45161566.65044,2024-09-29 00:00:00,kelp_dao
Arbitrum,1727654400,RSETH,44319867.91122,2024-09-30 00:00:00,kelp_dao
Arbitrum,1727740800,RSETH,42101600.32777,2024-10-01 00:00:00,kelp_dao
Arbitrum,1727827200,RSETH,39545100.29526,2024-10-02 00:00:00,kelp_dao
Arbitrum,1727913600,RSETH,38256076.0425,2024-10-03 00:00:00,kelp_dao
Arbitrum,1728000000,RSETH,37868126.1575,2024-10-04 00:00:00,kelp_dao
Arbitrum,1728086400,RSETH,38990587.22675,2024-10-05 00:00:00,kelp_dao
Arbitrum,1728172800,RSETH,38568778.34229,2024-10-06 00:00:00,kelp_dao
