transaction_date,address,cnt,total_transferred,total_transferred_in_tokens,net_transferred,net_transferred_in_tokens
2024-06-01,0x73a7fe27fe9545d53924e529acf11f3073841b9e,4,0.0,0.0,0.0,0.0
2024-06-01,0x87eee96d50fb761ad85b1c982d28a042169d61b1,32,0.0,0.0,0.0,0.0
2024-06-01,0xe48b4e392e4fc29ac2600c3c8efe0404a15d60d9,1,0.0,0.0,0.0,0.0
2024-06-02,0x73a7fe27fe9545d53924e529acf11f3073841b9e,1,0.0,0.0,0.0,0.0
2024-06-02,0x87eee96d50fb761ad85b1c982d28a042169d61b1,11,0.0,0.0,0.0,0.0
2024-06-02,0xe48b4e392e4fc29ac2600c3c8efe0404a15d60d9,2,0.0,0.0,0.0,0.0
2024-06-03,0x87eee96d50fb761ad85b1c982d28a042169d61b1,20,0.0,0.0,0.0,0.0
2024-06-03,0xe48b4e392e4fc29ac2600c3c8efe0404a15d60d9,2,0.0,0.0,0.0,0.0
2024-06-04,0x73a7fe27fe9545d53924e529acf11f3073841b9e,4,0.0,0.0,0.0,0.0
2024-06-04,0x87eee96d50fb761ad85b1c982d28a042169d61b1,28,0.0,0.0,0.0,0.0
2024-06-05,0x87eee96d50fb761ad85b1c982d28a042169d61b1,21,0.0,0.0,0.0,0.0
2024-06-05,0xe48b4e392e4fc29ac2600c3c8efe0404a15d60d9,2,0.0,0.0,0.0,0.0
2024-06-06,0x73a7fe27fe9545d53924e529acf11f3073841b9e,4,0.0,0.0,0.0,0.0
2024-06-06,0x87eee96d50fb761ad85b1c982d28a042169d61b1,31,0.0,0.0,0.0,0.0
2024-06-06,0xe48b4e392e4fc29ac2600c3c8efe0404a15d60d9,1,0.0,0.0,0.0,0.0
2024-06-07,0x73a7fe27fe9545d53924e529acf11f3073841b9e,4,0.0,0.0,0.0,0.0
2024-06-07,0x87eee96d50fb761ad85b1c982d28a042169d61b1,15,0.0,0.0,0.0,0.0
2024-06-08,0x73a7fe27fe9545d53924e529acf11f3073841b9e,2,0.0,0.0,0.0,0.0
2024-06-08,0x87eee96d50fb761ad85b1c982d28a042169d61b1,16,0.0,0.0,0.0,0.0
2024-06-09,0x87eee96d50fb761ad85b1c982d28a042169d61b1,17,0.0,0.0,0.0,0.0
2024-06-10,0x87eee96d50fb761ad85b1c982d28a042169d61b1,49,0.0,0.0,0.0,0.0
2024-06-11,0x73a7fe27fe9545d53924e529acf11f3073841b9e,5,0.0,0.0,0.0,0.0
2024-06-11,0x87eee96d50fb761ad85b1c982d28a042169d61b1,38,0.0,0.0,0.0,0.0
2024-06-12,0x73a7fe27fe9545d53924e529acf11f3073841b9e,3,0.0,0.0,0.0,0.0
2024-06-12,0x87eee96d50fb761ad85b1c982d28a042169d61b1,17,0.0,0.0,0.0,0.0
2024-06-13,0x73a7fe27fe9545d53924e529acf11f3073841b9e,1,0.0,0.0,0.0,0.0
2024-06-13,0x87eee96d50fb761ad85b1c982d28a042169d61b1,16,0.0,0.0,0.0,0.0
2024-06-14,0x73a7fe27fe9545d53924e529acf11f3073841b9e,6,0.0,0.0,0.0,0.0
2024-06-14,0x87eee96d50fb761ad85b1c982d28a042169d61b1,20,0.0,0.0,0.0,0.0
2024-06-14,0xe48b4e392e4fc29ac2600c3c8efe0404a15d60d9,1,0.0,0.0,0.0,0.0
2024-06-15,0x73a7fe27fe9545d53924e529acf11f3073841b9e,1,0.0,0.0,0.0,0.0
2024-06-15,0x87eee96d50fb761ad85b1c982d28a042169d61b1,16,0.0,0.0,0.0,0.0
2024-06-16,0x87eee96d50fb761ad85b1c982d28a042169d61b1,19,0.0,0.0,0.0,0.0
2024-06-17,0x73a7fe27fe9545d53924e529acf11f3073841b9e,2,0.0,0.0,0.0,0.0
