date,totalLiquidityUSD,readable_date,protocol
1683244800,35.27375,2023-05-05 00:00:00,extra_finance_leverage_farming_protocol
1683331200,38.3936,2023-05-06 00:00:00,extra_finance_leverage_farming_protocol
1683417600,103.21544,2023-05-07 00:00:00,extra_finance_leverage_farming_protocol
1683504000,132.41292,2023-05-08 00:00:00,extra_finance_leverage_farming_protocol
1683590400,350.23546,2023-05-09 00:00:00,extra_finance_leverage_farming_protocol
1683676800,160912.31614,2023-05-10 00:00:00,extra_finance_leverage_farming_protocol
1683763200,163362.27118,2023-05-11 00:00:00,extra_finance_leverage_farming_protocol
1683849600,158114.62843,2023-05-12 00:00:00,extra_finance_leverage_farming_protocol
1683936000,176115.21103,2023-05-13 00:00:00,extra_finance_leverage_farming_protocol
1684022400,185536.5662,2023-05-14 00:00:00,extra_finance_leverage_farming_protocol
1684108800,185056.07479,2023-05-15 00:00:00,extra_finance_leverage_farming_protocol
1684195200,202538.3167,2023-05-16 00:00:00,extra_finance_leverage_farming_protocol
1684281600,218395.11595,2023-05-17 00:00:00,extra_finance_leverage_farming_protocol
1684368000,241536.43631,2023-05-18 00:00:00,extra_finance_leverage_farming_protocol
1684454400,233347.14672,2023-05-19 00:00:00,extra_finance_leverage_farming_protocol
1684540800,314297.40928,2023-05-20 00:00:00,extra_finance_leverage_farming_protocol
1684627200,420140.60892,2023-05-21 00:00:00,extra_finance_leverage_farming_protocol
1684713600,426024.0494,2023-05-22 00:00:00,extra_finance_leverage_farming_protocol
1684800000,435927.54659,2023-05-23 00:00:00,extra_finance_leverage_farming_protocol
1684886400,479135.77633,2023-05-24 00:00:00,extra_finance_leverage_farming_protocol
1684972800,686622.14671,2023-05-25 00:00:00,extra_finance_leverage_farming_protocol
1685059200,1059930.81083,2023-05-26 00:00:00,extra_finance_leverage_farming_protocol
1685145600,1473387.56714,2023-05-27 00:00:00,extra_finance_leverage_farming_protocol
1685232000,1498150.95744,2023-05-28 00:00:00,extra_finance_leverage_farming_protocol
1685318400,1524567.72861,2023-05-29 00:00:00,extra_finance_leverage_farming_protocol
1685404800,1544619.98414,2023-05-30 00:00:00,extra_finance_leverage_farming_protocol
1685491200,1625291.49673,2023-05-31 00:00:00,extra_finance_leverage_farming_protocol
1685577600,1704207.12945,2023-06-01 00:00:00,extra_finance_leverage_farming_protocol
1685664000,1840480.82108,2023-06-02 00:00:00,extra_finance_leverage_farming_protocol
1685750400,1885166.14832,2023-06-03 00:00:00,extra_finance_leverage_farming_protocol
1685836800,2015928.77429,2023-06-04 00:00:00,extra_finance_leverage_farming_protocol
1685923200,2134644.53713,2023-06-05 00:00:00,extra_finance_leverage_farming_protocol
1686009600,2115523.35906,2023-06-06 00:00:00,extra_finance_leverage_farming_protocol
1686096000,2300998.65759,2023-06-07 00:00:00,extra_finance_leverage_farming_protocol
1686182400,2354732.33105,2023-06-08 00:00:00,extra_finance_leverage_farming_protocol
1686268800,2385648.31925,2023-06-09 00:00:00,extra_finance_leverage_farming_protocol
1686355200,2387476.62408,2023-06-10 00:00:00,extra_finance_leverage_farming_protocol
1686441600,2369006.00024,2023-06-11 00:00:00,extra_finance_leverage_farming_protocol
1686528000,2375851.26522,2023-06-12 00:00:00,extra_finance_leverage_farming_protocol
1686614400,2482023.74913,2023-06-13 00:00:00,extra_finance_leverage_farming_protocol
1686700800,2495917.66486,2023-06-14 00:00:00,extra_finance_leverage_farming_protocol
1686787200,2517430.29072,2023-06-15 00:00:00,extra_finance_leverage_farming_protocol
1686873600,2693634.77995,2023-06-16 00:00:00,extra_finance_leverage_farming_protocol
1686960000,2825536.85001,2023-06-17 00:00:00,extra_finance_leverage_farming_protocol
1687046400,2831920.32626,2023-06-18 00:00:00,extra_finance_leverage_farming_protocol
1687132800,2858374.85175,2023-06-19 00:00:00,extra_finance_leverage_farming_protocol
1687219200,2899898.62267,2023-06-20 00:00:00,extra_finance_leverage_farming_protocol
1687305600,2927574.57001,2023-06-21 00:00:00,extra_finance_leverage_farming_protocol
1687392000,2955918.78213,2023-06-22 00:00:00,extra_finance_leverage_farming_protocol
1687478400,2961912.58423,2023-06-23 00:00:00,extra_finance_leverage_farming_protocol
1687564800,3055565.15726,2023-06-24 00:00:00,extra_finance_leverage_farming_protocol
1687651200,3115584.74683,2023-06-25 00:00:00,extra_finance_leverage_farming_protocol
