transaction_date,address,cnt,total_transferred,direction,total_transferred_in_tokens,net_transferred,net_transferred_in_tokens
2024-06-01,0x00000000fc04c910a0b5fea33b03e0447ad0b0aa,362,287123934251810663,in,287.1239342518107,287123934251810663,287.1239342518107
2024-06-01,0x00000000fc04c910a0b5fea33b03e0447ad0b0aa,1,790143967590456,in,0.790143967590456,287914078219401119,287.9140782194011
2024-06-01,0x00000000fc04c910a0b5fea33b03e0447ad0b0aa,351,278404796842156263,in,278.40479684215626,566318875061557382,566.3188750615574
2024-06-01,0x00000000fc04c910a0b5fea33b03e0447ad0b0aa,337,267308339088190649,in,267.3083390881907,833627214149748031,833.627214149748
2024-06-01,0x00000000fc04c910a0b5fea33b03e0447ad0b0aa,1,793588188360379,in,0.793588188360379,834420802338108410,834.4208023381084
2024-06-01,0x00000000fc04c910a0b5fea33b03e0447ad0b0aa,1,793588188360379,in,0.793588188360379,835214390526468789,835.2143905264688
2024-06-01,0x00000000fc04c910a0b5fea33b03e0447ad0b0aa,333,264123653672439364,in,264.12365367243933,1099338044198908153,1099.3380441989082
2024-06-01,0x00000000fc04c910a0b5fea33b03e0447ad0b0aa,1,793588188360379,in,0.793588188360379,1100131632387268532,1100.1316323872686
2024-06-01,0x00000000fc04c910a0b5fea33b03e0447ad0b0aa,1,793588188360379,in,0.793588188360379,1100925220575628911,1100.9252205756288
2024-06-01,0x00000000fc04c910a0b5fea33b03e0447ad0b0aa,1,793588188360379,in,0.793588188360379,1101718808763989290,1101.7188087639893
2024-06-01,0x00000000fc04c910a0b5fea33b03e0447ad0b0aa,351,278408241062926186,in,278.40824106292615,1380127049826915476,1380.1270498269157
2024-06-01,0x00000000fc04c910a0b5fea33b03e0447ad0b0aa,344,272860012185943379,in,272.8600121859434,1652987062012858855,1652.9870620128588
2024-06-01,0x00000000fc04c910a0b5fea33b03e0447ad0b0aa,1,793588188360379,in,0.793588188360379,1653780650201219234,1653.7806502012193
2024-06-01,0x00000000fc04c910a0b5fea33b03e0447ad0b0aa,769,609880119902130152,in,609.8801199021302,2263660770103349386,2263.6607701033495
2024-06-01,0x00000000fc04c910a0b5fea33b03e0447ad0b0aa,342,271272835809222621,in,271.2728358092226,2534933605912572007,2534.933605912572
2024-06-01,0x00000000fc04c910a0b5fea33b03e0447ad0b0aa,331,262529588854178760,in,262.52958885417877,2797463194766750767,2797.463194766751
2024-06-01,0x00000000fc04c910a0b5fea33b03e0447ad0b0aa,1,790143967590456,in,0.790143967590456,2798253338734341223,2798.2533387343415
2024-06-01,0x00000000fc04c910a0b5fea33b03e0447ad0b0aa,345,273636379270454143,in,273.63637927045414,3071889718004795366,3071.889718004795
2024-06-01,0x00000000fc04c910a0b5fea33b03e0447ad0b0aa,326,258565092133146788,in,258.5650921331468,3330454810137942154,3330.4548101379423
2024-06-02,0x00000000fc04c910a0b5fea33b03e0447ad0b0aa,1,795505620229971,in,0.795505620229971,3331250315758172125,3331.2503157581723
2024-06-02,0x00000000fc04c910a0b5fea33b03e0447ad0b0aa,1,790143967590456,in,0.790143967590456,3332040459725762581,3332.0404597257625
2024-06-02,0x00000000fc04c910a0b5fea33b03e0447ad0b0aa,289,228576796044501414,in,228.5767960445014,3560617255770263995,3560.617255770264
2024-06-02,0x00000000fc04c910a0b5fea33b03e0447ad0b0aa,288,227727673897876293,in,227.7276738978763,3788344929668140288,3788.34492966814
2024-06-02,0x00000000fc04c910a0b5fea33b03e0447ad0b0aa,1,790143967590456,in,0.790143967590456,3789135073635730744,3789.135073635731
2024-06-02,0x00000000fc04c910a0b5fea33b03e0447ad0b0aa,1,795505620229971,in,0.795505620229971,3789930579255960715,3789.9305792559608
2024-06-02,0x00000000fc04c910a0b5fea33b03e0447ad0b0aa,290,229307961833057205,in,229.3079618330572,4019238541089017920,4019.238541089018
2024-06-02,0x00000000fc04c910a0b5fea33b03e0447ad0b0aa,1,795505620229971,in,0.795505620229971,4020034046709247891,4020.034046709248
2024-06-02,0x00000000fc04c910a0b5fea33b03e0447ad0b0aa,1,790143967590456,in,0.790143967590456,4020824190676838347,4020.8241906768385
2024-06-02,0x00000000fc04c910a0b5fea33b03e0447ad0b0aa,1,795505620229971,in,0.795505620229971,4021619696297068318,4021.619696297069
2024-06-02,0x00000000fc04c910a0b5fea33b03e0447ad0b0aa,1,790143967590456,in,0.790143967590456,4022409840264658774,4022.409840264658
2024-06-02,0x00000000fc04c910a0b5fea33b03e0447ad0b0aa,1,790143967590456,in,0.790143967590456,4023199984232249230,4023.19998423225
2024-06-02,0x00000000fc04c910a0b5fea33b03e0447ad0b0aa,1,795505620229971,in,0.795505620229971,4023995489852479201,4023.9954898524793
