chain,date,token,value,readable_date,protocol
Arbitrum,1733011200,USDT,5000000.0,2024-12-01 00:00:00,idle_protocol
Arbitrum,1733097600,USDT,5000000.0,2024-12-02 00:00:00,idle_protocol
Arbitrum,1733184000,USDT,5000000.0,2024-12-03 00:00:00,idle_protocol
Arbitrum,1733270400,USDT,5000000.0,2024-12-04 00:00:00,idle_protocol
Arbitrum,1733356800,USDT,5000000.0,2024-12-05 00:00:00,idle_protocol
Arbitrum,1733443200,USDT,5000000.0,2024-12-06 00:00:00,idle_protocol
Arbitrum,1733529600,USDT,5000000.0,2024-12-07 00:00:00,idle_protocol
Arbitrum,1733616000,USDT,5000000.0,2024-12-08 00:00:00,idle_protocol
Arbitrum,1733702400,USDT,5000000.0,2024-12-09 00:00:00,idle_protocol
Arbitrum,1733788800,USDT,5000000.0,2024-12-10 00:00:00,idle_protocol
Arbitrum,1733875200,USDT,5000000.0,2024-12-11 00:00:00,idle_protocol
Arbitrum,1733961600,USDT,5000000.0,2024-12-12 00:00:00,idle_protocol
Arbitrum,1734048000,USDT,5000000.0,2024-12-13 00:00:00,idle_protocol
Arbitrum,1734134400,USDT,5000000.0,2024-12-14 00:00:00,idle_protocol
Arbitrum,1734220800,USDT,5000000.0,2024-12-15 00:00:00,idle_protocol
Arbitrum,1734307200,USDT,5000000.0,2024-12-16 00:00:00,idle_protocol
Arbitrum,1734393600,USDT,5000000.0,2024-12-17 00:00:00,idle_protocol
Arbitrum,1734480000,USDT,5000000.0,2024-12-18 00:00:00,idle_protocol
Arbitrum,1734566400,USDT,5000000.0,2024-12-19 00:00:00,idle_protocol
Arbitrum,1734652800,USDT,5000000.0,2024-12-20 00:00:00,idle_protocol
Arbitrum,1734739200,USDT,5000000.0,2024-12-21 00:00:00,idle_protocol
Arbitrum,1734825600,USDT,5000000.0,2024-12-22 00:00:00,idle_protocol
Arbitrum,1734912000,USDT,5000000.0,2024-12-23 00:00:00,idle_protocol
Arbitrum,1734998400,USDT,5000000.0,2024-12-24 00:00:00,idle_protocol
Arbitrum,1735084800,USDT,5000000.0,2024-12-25 00:00:00,idle_protocol
Arbitrum,1735171200,USDT,5000000.0,2024-12-26 00:00:00,idle_protocol
Arbitrum,1735257600,USDT,5000000.0,2024-12-27 00:00:00,idle_protocol
Arbitrum,1735344000,USDT,5000000.0,2024-12-28 00:00:00,idle_protocol
Arbitrum,1735430400,USDT,5000000.0,2024-12-29 00:00:00,idle_protocol
Arbitrum,1735516800,USDT,5000000.0,2024-12-30 00:00:00,idle_protocol
Arbitrum,1735603200,USDT,5000000.0,2024-12-31 00:00:00,idle_protocol
Arbitrum,1735689600,USDT,5067592.46575,2025-01-01 00:00:00,idle_protocol
Arbitrum,1735776000,USDT,5067592.46575,2025-01-02 00:00:00,idle_protocol
Arbitrum,1735862400,USDT,5067592.46575,2025-01-03 00:00:00,idle_protocol
Arbitrum,1735948800,USDT,5067592.46575,2025-01-04 00:00:00,idle_protocol
Arbitrum,1736035200,USDT,5067592.46575,2025-01-05 00:00:00,idle_protocol
Arbitrum,1736121600,USDT,5067592.46575,2025-01-06 00:00:00,idle_protocol
Arbitrum,1736208000,USDT,5067592.46575,2025-01-07 00:00:00,idle_protocol
Arbitrum,1736294400,USDT,5067592.46575,2025-01-08 00:00:00,idle_protocol
Arbitrum,1736380800,USDT,5067592.46575,2025-01-09 00:00:00,idle_protocol
Arbitrum,1736467200,USDT,5067592.46575,2025-01-10 00:00:00,idle_protocol
Arbitrum,1736553600,USDT,5067592.46575,2025-01-11 00:00:00,idle_protocol
