transaction_date,address,cnt,total_transferred,direction,total_transferred_in_tokens,net_transferred,net_transferred_in_tokens
2024-10-18,0x4200000000000000000000000000000000000042,1,-0.0,out,-0.0,0.0,0.0
2024-11-12,0xe041629d99730b3ee4d6518097c45b4e3591992b,1,-0.0,out,-0.0,0.0,0.0
2024-11-12,0x4200000000000000000000000000000000000042,1,-0.0,out,-0.0,0.0,0.0
2024-11-22,0x4200000000000000000000000000000000000042,2,-0.0,out,-0.0,0.0,0.0
2024-11-22,0xe041629d99730b3ee4d6518097c45b4e3591992b,2,-0.0,out,-0.0,0.0,0.0
2024-11-27,0xe041629d99730b3ee4d6518097c45b4e3591992b,1,-0.0,out,-0.0,0.0,0.0
2024-11-27,0x4200000000000000000000000000000000000042,1,-0.0,out,-0.0,0.0,0.0
2024-11-28,0x4200000000000000000000000000000000000042,1,-0.0,out,-0.0,0.0,0.0
2024-11-29,0x93326d53d1e8ebf0af1ff1b233c46c67c96e4d8d,1,1.0,in,1e-15,1.0,1e-15
2024-12-03,0xe041629d99730b3ee4d6518097c45b4e3591992b,1,-0.0,out,-0.0,0.0,0.0
2024-12-03,0x4200000000000000000000000000000000000042,1,-0.0,out,-0.0,0.0,0.0
2024-12-04,0x4200000000000000000000000000000000000042,1,-0.0,out,-0.0,0.0,0.0
2024-12-04,0xe041629d99730b3ee4d6518097c45b4e3591992b,1,-0.0,out,-0.0,0.0,0.0
2024-12-10,0x4200000000000000000000000000000000000042,1,-0.0,out,-0.0,0.0,0.0
2024-12-10,0xe041629d99730b3ee4d6518097c45b4e3591992b,1,-0.0,out,-0.0,0.0,0.0
2024-12-12,0x4200000000000000000000000000000000000042,1,-0.0,out,-0.0,0.0,0.0
2024-12-12,0xe041629d99730b3ee4d6518097c45b4e3591992b,1,-0.0,out,-0.0,0.0,0.0
2024-12-17,0x4200000000000000000000000000000000000042,1,-0.0,out,-0.0,0.0,0.0
2024-12-17,0xe041629d99730b3ee4d6518097c45b4e3591992b,1,-0.0,out,-0.0,0.0,0.0
2024-12-20,0x4200000000000000000000000000000000000042,1,-0.0,out,-0.0,0.0,0.0
2025-01-02,0x4200000000000000000000000000000000000042,1,-0.0,out,-0.0,0.0,0.0
2025-01-02,0xe041629d99730b3ee4d6518097c45b4e3591992b,1,-0.0,out,-0.0,0.0,0.0
2025-01-09,0x4200000000000000000000000000000000000042,1,-0.0,out,-0.0,0.0,0.0
2025-01-09,0xe041629d99730b3ee4d6518097c45b4e3591992b,1,-0.0,out,-0.0,0.0,0.0
2025-01-16,0x4200000000000000000000000000000000000042,1,-0.0,out,-0.0,0.0,0.0
2025-01-16,0xe041629d99730b3ee4d6518097c45b4e3591992b,1,-0.0,out,-0.0,0.0,0.0
