date,totalLiquidityUSD,readable_date,protocol
1709683200,94.45513,2024-03-06 00:00:00,velodrome_v3_protocol
1709769600,292.09694,2024-03-07 00:00:00,velodrome_v3_protocol
1709856000,58970.65205,2024-03-08 00:00:00,velodrome_v3_protocol
1709942400,84979.55841,2024-03-09 00:00:00,velodrome_v3_protocol
1710028800,60027.42437,2024-03-10 00:00:00,velodrome_v3_protocol
1710115200,63772.68147,2024-03-11 00:00:00,velodrome_v3_protocol
1710201600,115520.97592,2024-03-12 00:00:00,velodrome_v3_protocol
1710288000,80877.98062,2024-03-13 00:00:00,velodrome_v3_protocol
1710374400,164027.28353,2024-03-14 00:00:00,velodrome_v3_protocol
1710460800,440355.95742,2024-03-15 00:00:00,velodrome_v3_protocol
1710547200,467338.09285,2024-03-16 00:00:00,velodrome_v3_protocol
1710633600,590653.88441,2024-03-17 00:00:00,velodrome_v3_protocol
1710720000,595590.77974,2024-03-18 00:00:00,velodrome_v3_protocol
1710806400,504202.96265,2024-03-19 00:00:00,velodrome_v3_protocol
1710892800,483547.56814,2024-03-20 00:00:00,velodrome_v3_protocol
1710979200,602145.33005,2024-03-21 00:00:00,velodrome_v3_protocol
1711065600,858419.59861,2024-03-22 00:00:00,velodrome_v3_protocol
1711152000,1202870.41333,2024-03-23 00:00:00,velodrome_v3_protocol
1711238400,1490463.85571,2024-03-24 00:00:00,velodrome_v3_protocol
1711324800,1700373.43487,2024-03-25 00:00:00,velodrome_v3_protocol
1711411200,1808878.75334,2024-03-26 00:00:00,velodrome_v3_protocol
1711497600,1915626.97164,2024-03-27 00:00:00,velodrome_v3_protocol
1711584000,1755139.22265,2024-03-28 00:00:00,velodrome_v3_protocol
1711670400,3666758.28082,2024-03-29 00:00:00,velodrome_v3_protocol
1711756800,4918120.33044,2024-03-30 00:00:00,velodrome_v3_protocol
1711843200,5797963.30253,2024-03-31 00:00:00,velodrome_v3_protocol
1711929600,5905967.19878,2024-04-01 00:00:00,velodrome_v3_protocol
1712016000,5741065.92178,2024-04-02 00:00:00,velodrome_v3_protocol
