transaction_date,address,cnt,total_transferred,direction,total_transferred_in_tokens,net_transferred,net_transferred_in_tokens
2024-08-30,0x14e09a1a78950b38ab3b203cdaa0fcb331b9ee26,1,0,in,0.0,0,0.0
2024-10-08,0x14e09a1a78950b38ab3b203cdaa0fcb331b9ee26,1,0,in,0.0,0,0.0
2024-10-08,0x14e09a1a78950b38ab3b203cdaa0fcb331b9ee26,1,0,in,0.0,0,0.0
2024-10-10,0x14e09a1a78950b38ab3b203cdaa0fcb331b9ee26,1,0,in,0.0,0,0.0
2024-10-15,0x14e09a1a78950b38ab3b203cdaa0fcb331b9ee26,1,0,in,0.0,0,0.0
2024-10-17,0x14e09a1a78950b38ab3b203cdaa0fcb331b9ee26,1,0,in,0.0,0,0.0
2024-10-22,0x14e09a1a78950b38ab3b203cdaa0fcb331b9ee26,1,0,in,0.0,0,0.0
2024-10-29,0x14e09a1a78950b38ab3b203cdaa0fcb331b9ee26,2,0,in,0.0,0,0.0
2024-10-30,0x14e09a1a78950b38ab3b203cdaa0fcb331b9ee26,1,0,in,0.0,0,0.0
2024-11-05,0x14e09a1a78950b38ab3b203cdaa0fcb331b9ee26,2,0,in,0.0,0,0.0
2024-11-06,0x14e09a1a78950b38ab3b203cdaa0fcb331b9ee26,1,0,in,0.0,0,0.0
