date,totalLiquidityUSD,readable_date,protocol
1557266400,9546.15811,2019-05-07 22:00:00,compound_v2_protocol
1557352800,10826.13436,2019-05-08 22:00:00,compound_v2_protocol
1557439200,12505.61833,2019-05-09 22:00:00,compound_v2_protocol
1557525600,12600.90909,2019-05-10 22:00:00,compound_v2_protocol
1557612000,13079.6811,2019-05-11 22:00:00,compound_v2_protocol
1557698400,13396.40647,2019-05-12 22:00:00,compound_v2_protocol
1557784800,13068.48875,2019-05-13 22:00:00,compound_v2_protocol
1557871200,14145.83238,2019-05-14 22:00:00,compound_v2_protocol
1557957600,31276.42811,2019-05-15 22:00:00,compound_v2_protocol
1558044000,32018.11789,2019-05-16 22:00:00,compound_v2_protocol
1558130400,25775.88782,2019-05-17 22:00:00,compound_v2_protocol
1558216800,25669.01118,2019-05-18 22:00:00,compound_v2_protocol
1558303200,25060.27138,2019-05-19 22:00:00,compound_v2_protocol
1558389600,28359.36685,2019-05-20 22:00:00,compound_v2_protocol
1558476000,34514.19457,2019-05-21 22:00:00,compound_v2_protocol
1558562400,40929.85073,2019-05-22 22:00:00,compound_v2_protocol
1558648800,3029180.76875,2019-05-23 22:00:00,compound_v2_protocol
1558735200,10364458.51626,2019-05-24 22:00:00,compound_v2_protocol
1558821600,11097084.96013,2019-05-25 22:00:00,compound_v2_protocol
1558908000,11477315.22884,2019-05-26 22:00:00,compound_v2_protocol
1558994400,13896105.65712,2019-05-27 22:00:00,compound_v2_protocol
1559080800,17019520.8958,2019-05-28 22:00:00,compound_v2_protocol
1559167200,16922904.11783,2019-05-29 22:00:00,compound_v2_protocol
1559253600,17681470.05545,2019-05-30 22:00:00,compound_v2_protocol
1559340000,17366037.45194,2019-05-31 22:00:00,compound_v2_protocol
1559426400,18572920.59839,2019-06-01 22:00:00,compound_v2_protocol
1559512800,19232265.2721,2019-06-02 22:00:00,compound_v2_protocol
1559599200,20184022.47178,2019-06-03 22:00:00,compound_v2_protocol
1559685600,19724035.56112,2019-06-04 22:00:00,compound_v2_protocol
1559772000,19868167.67732,2019-06-05 22:00:00,compound_v2_protocol
1559858400,20757443.78877,2019-06-06 22:00:00,compound_v2_protocol
1559944800,20497246.51945,2019-06-07 22:00:00,compound_v2_protocol
1560031200,20547630.65855,2019-06-08 22:00:00,compound_v2_protocol
1560117600,20388305.57837,2019-06-09 22:00:00,compound_v2_protocol
1560204000,22268511.32432,2019-06-10 22:00:00,compound_v2_protocol
1560290400,23520650.0125,2019-06-11 22:00:00,compound_v2_protocol
1560376800,23451984.3899,2019-06-12 22:00:00,compound_v2_protocol
1560463200,24205028.68422,2019-06-13 22:00:00,compound_v2_protocol
1560549600,24842120.43457,2019-06-14 22:00:00,compound_v2_protocol
1560636000,25597292.37517,2019-06-15 22:00:00,compound_v2_protocol
1560722400,26202651.07442,2019-06-16 22:00:00,compound_v2_protocol
1560808800,27387441.58818,2019-06-17 22:00:00,compound_v2_protocol
1560895200,27697961.29053,2019-06-18 22:00:00,compound_v2_protocol
1560981600,28021183.69388,2019-06-19 22:00:00,compound_v2_protocol
1561068000,28240636.27558,2019-06-20 22:00:00,compound_v2_protocol
1561154400,29986415.57846,2019-06-21 22:00:00,compound_v2_protocol
