transaction_date,address,direction,cnt,total_transferred,total_transferred_in_tokens,net_transferred,net_transferred_in_tokens
2024-07-02,0x00000bec592ec7c143c73dc85804962075827ecc,in,4,0,0.0,0,0.0
2024-07-11,0x002748db885d4ccfe3c7c92143f0805f4ebeec01,in,2,0,0.0,0,0.0
2024-07-11,0x0028112a819a2fea8802b27c8abd755152f548ba,in,1,0,0.0,0,0.0
2024-07-14,0x0028112a819a2fea8802b27c8abd755152f548ba,in,2,0,0.0,0,0.0
2024-10-05,0x00409fc839a2ec2e6d12305423d37cd011279c09,in,1,0,0.0,0,0.0
2024-07-22,0x004b639bbaa7ad8696e50017b6b45872c64cf7c8,in,8,0,0.0,0,0.0
2024-10-23,0x0057bd83a142da84b6404616c683e21e7dd6fa5f,in,1,0,0.0,0,0.0
2024-07-06,0x0057be07beef5d9b4beb9e2d147906e83d1915c8,in,2,0,0.0,0,0.0
2024-07-07,0x0057be07beef5d9b4beb9e2d147906e83d1915c8,in,1,0,0.0,0,0.0
2024-07-04,0x006254729ad977042210071b2e118c82739a191b,in,4,0,0.0,0,0.0
2024-07-31,0x006f5fd0339ed11311500a31839559a063147472,in,5,0,0.0,0,0.0
2024-07-02,0x00951c1d1241f9be0ef5a55a1755fa49c5629ebd,in,4,0,0.0,0,0.0
2024-07-07,0x00951c1d1241f9be0ef5a55a1755fa49c5629ebd,in,4,0,0.0,0,0.0
2024-07-14,0x00951c1d1241f9be0ef5a55a1755fa49c5629ebd,in,3,0,0.0,0,0.0
2024-07-22,0x00951c1d1241f9be0ef5a55a1755fa49c5629ebd,in,3,0,0.0,0,0.0
2024-08-24,0x00bc203d37f6891965797f728119c38137f06d30,in,7,0,0.0,0,0.0
2024-07-21,0x00c6a1a5f61558491bc8ceda03fdb4658513ccea,in,3,0,0.0,0,0.0
2024-07-26,0x00c6a1a5f61558491bc8ceda03fdb4658513ccea,in,1,0,0.0,0,0.0
2024-07-10,0x00dde8eed75884f3793bf49b40df36488d5fef2f,in,3,0,0.0,0,0.0
2024-07-13,0x00e39304c139ebc5b03576da1359eb2ecff07e75,in,4,0,0.0,0,0.0
2024-07-16,0x00ef535671bb9c13d195c5cc2fa3a65f522b764a,in,2,0,0.0,0,0.0
2024-07-21,0x00ef535671bb9c13d195c5cc2fa3a65f522b764a,in,2,0,0.0,0,0.0
2024-07-21,0x012154b76219a7efef0ac3154b81b5570e4b9e6e,in,2,0,0.0,0,0.0
2024-07-22,0x012154b76219a7efef0ac3154b81b5570e4b9e6e,in,2,0,0.0,0,0.0
2024-07-07,0x01238ba1b264777c87bc8e0d1da19e923a5e178e,in,5,0,0.0,0,0.0
2024-11-02,0x014bd2092b57b0ab1a0df6ec6df615e4822a2c21,in,8,0,0.0,0,0.0
2024-07-21,0x015c1353419cd95d2d21bca160e4aa03eb897fc5,in,2,0,0.0,0,0.0
2024-07-22,0x015c1353419cd95d2d21bca160e4aa03eb897fc5,in,2,0,0.0,0,0.0
2024-07-13,0x016efb9ca9b941ecaa50f84cf7f29bb825fe7154,in,5,0,0.0,0,0.0
2024-07-14,0x016efb9ca9b941ecaa50f84cf7f29bb825fe7154,in,10,0,0.0,0,0.0
2024-07-07,0x01809deb873681336b048e9842cac8698e3bdc9c,in,5,0,0.0,0,0.0
2024-07-30,0x019ed608dd806b80193942f2a960e7ac8abb2ee3,in,2,0,0.0,0,0.0
2024-07-02,0x019ee51c92802065c935dcb8f793016ec31e1e55,in,3,0,0.0,0,0.0
2024-09-17,0x01a39f386be271ae0079376d60b4434b9e22769b,in,3,0,0.0,0,0.0
2024-07-01,0x01d907f5048bb554dc70bb9b369be9c7b2ae686e,in,2,0,0.0,0,0.0
2024-10-12,0x01d907f5048bb554dc70bb9b369be9c7b2ae686e,in,1,0,0.0,0,0.0
2024-07-22,0x01e9ca833be4d4ce78215a909fe8b08f46358222,in,2,0,0.0,0,0.0
2024-08-09,0x01e9ca833be4d4ce78215a909fe8b08f46358222,in,3,0,0.0,0,0.0
2024-09-23,0x01ec235b7b7f459d724d2004097cdcc09c260442,in,6,0,0.0,0,0.0
2024-07-09,0x01f487820c633d52d045b7f4c1104b97c9ac7824,in,6,0,0.0,0,0.0
2024-09-18,0x020ee2b3876d33ede0d7c751a3a4593cab11b90b,in,3,0,0.0,0,0.0
2024-07-25,0x0217442b17eb0dad82b55d966ac407f12fb8d10e,in,1,0,0.0,0,0.0
2024-07-16,0x0227f8905d2130d3d436d3f814fa29d86a490044,in,3,0,0.0,0,0.0
2024-07-09,0x024899f1b2e7c3cfc5e3db7f54ecc284fd775d29,in,5,0,0.0,0,0.0
2024-07-16,0x024899f1b2e7c3cfc5e3db7f54ecc284fd775d29,in,2,0,0.0,0,0.0
2024-07-21,0x024899f1b2e7c3cfc5e3db7f54ecc284fd775d29,in,1,0,0.0,0,0.0
2024-07-28,0x024899f1b2e7c3cfc5e3db7f54ecc284fd775d29,in,3,0,0.0,0,0.0
2024-08-10,0x024899f1b2e7c3cfc5e3db7f54ecc284fd775d29,in,1,0,0.0,0,0.0
2024-07-31,0x024f2369e6c544e767ae33f72814167c7f535b17,in,4,0,0.0,0,0.0
2024-11-20,0x024f2369e6c544e767ae33f72814167c7f535b17,in,4,0,0.0,0,0.0
