transaction_date,address,transaction_cnt,active_users,total_op_transferred,unique_users,total_op_transferred_in_tokens,cum_op_transferred
2024-07-01,0xc224bf25dcc99236f00843c7d8c4194abe8aa94a,2,1,0,1,0.0,0
2024-07-01,0x343910697c03477e5cc0d386ffa5133d1a827ad7,0,0,0,0,0.0,0
2024-07-01,0xe04bb5b4de60fa2fba69a93ade13a8b3b569d5b4,0,0,0,0,0.0,0
2024-07-01,0x8cca517370cbfc33cc9810bfc7440832c47d251c,0,0,0,0,0.0,0
2024-07-01,0xc224bf25dcc99236f00843c7d8c4194abe8aa94a,0,0,0,0,0.0,0
2024-07-01,0xe04bb5b4de60fa2fba69a93ade13a8b3b569d5b4,892,260,0,260,0.0,0
2024-07-02,0xc224bf25dcc99236f00843c7d8c4194abe8aa94a,4,1,0,0,0.0,0
2024-07-02,0x343910697c03477e5cc0d386ffa5133d1a827ad7,0,0,0,0,0.0,0
2024-07-02,0x8cca517370cbfc33cc9810bfc7440832c47d251c,0,0,0,0,0.0,0
2024-07-02,0xc224bf25dcc99236f00843c7d8c4194abe8aa94a,0,0,0,0,0.0,0
2024-07-02,0xe04bb5b4de60fa2fba69a93ade13a8b3b569d5b4,0,0,0,0,0.0,0
2024-07-02,0xe04bb5b4de60fa2fba69a93ade13a8b3b569d5b4,783,233,0,220,0.0,0
2024-07-03,0xc224bf25dcc99236f00843c7d8c4194abe8aa94a,0,0,0,0,0.0,0
2024-07-03,0xe04bb5b4de60fa2fba69a93ade13a8b3b569d5b4,0,0,0,0,0.0,0
2024-07-03,0xe04bb5b4de60fa2fba69a93ade13a8b3b569d5b4,1026,277,0,259,0.0,0
2024-07-03,0x8cca517370cbfc33cc9810bfc7440832c47d251c,0,0,0,0,0.0,0
2024-07-03,0x343910697c03477e5cc0d386ffa5133d1a827ad7,0,0,0,0,0.0,0
2024-07-04,0xe04bb5b4de60fa2fba69a93ade13a8b3b569d5b4,825,232,0,210,0.0,0
2024-07-04,0xc224bf25dcc99236f00843c7d8c4194abe8aa94a,0,0,0,0,0.0,0
2024-07-04,0xe04bb5b4de60fa2fba69a93ade13a8b3b569d5b4,0,0,0,0,0.0,0
2024-07-04,0x8cca517370cbfc33cc9810bfc7440832c47d251c,0,0,0,0,0.0,0
2024-07-04,0x343910697c03477e5cc0d386ffa5133d1a827ad7,0,0,0,0,0.0,0
2024-07-05,0x343910697c03477e5cc0d386ffa5133d1a827ad7,0,0,0,0,0.0,0
2024-07-05,0x8cca517370cbfc33cc9810bfc7440832c47d251c,0,0,0,0,0.0,0
2024-07-05,0xe04bb5b4de60fa2fba69a93ade13a8b3b569d5b4,0,0,0,0,0.0,0
2024-07-05,0xc224bf25dcc99236f00843c7d8c4194abe8aa94a,0,0,0,0,0.0,0
2024-07-05,0xc224bf25dcc99236f00843c7d8c4194abe8aa94a,1,1,0,0,0.0,0
2024-07-05,0xe04bb5b4de60fa2fba69a93ade13a8b3b569d5b4,534,165,0,146,0.0,0
2024-07-06,0xe04bb5b4de60fa2fba69a93ade13a8b3b569d5b4,0,0,0,0,0.0,0
2024-07-06,0xc224bf25dcc99236f00843c7d8c4194abe8aa94a,0,0,0,0,0.0,0
2024-07-06,0x8cca517370cbfc33cc9810bfc7440832c47d251c,0,0,0,0,0.0,0
2024-07-06,0xe04bb5b4de60fa2fba69a93ade13a8b3b569d5b4,878,249,0,226,0.0,0
2024-07-06,0x343910697c03477e5cc0d386ffa5133d1a827ad7,0,0,0,0,0.0,0
2024-07-07,0xe04bb5b4de60fa2fba69a93ade13a8b3b569d5b4,0,0,0,0,0.0,0
2024-07-07,0xc224bf25dcc99236f00843c7d8c4194abe8aa94a,0,0,0,0,0.0,0
2024-07-07,0x8cca517370cbfc33cc9810bfc7440832c47d251c,0,0,0,0,0.0,0
2024-07-07,0x343910697c03477e5cc0d386ffa5133d1a827ad7,0,0,0,0,0.0,0
2024-07-07,0xe04bb5b4de60fa2fba69a93ade13a8b3b569d5b4,1309,420,0,321,0.0,0
2024-07-08,0xc224bf25dcc99236f00843c7d8c4194abe8aa94a,0,0,0,0,0.0,0
2024-07-08,0x8cca517370cbfc33cc9810bfc7440832c47d251c,0,0,0,0,0.0,0
2024-07-08,0x343910697c03477e5cc0d386ffa5133d1a827ad7,0,0,0,0,0.0,0
2024-07-08,0xe04bb5b4de60fa2fba69a93ade13a8b3b569d5b4,0,0,0,0,0.0,0
2024-07-08,0xe04bb5b4de60fa2fba69a93ade13a8b3b569d5b4,709,241,0,158,0.0,0
2024-07-09,0xc224bf25dcc99236f00843c7d8c4194abe8aa94a,1,1,0,0,0.0,0
2024-07-09,0xe04bb5b4de60fa2fba69a93ade13a8b3b569d5b4,625,203,0,133,0.0,0
2024-07-09,0xe04bb5b4de60fa2fba69a93ade13a8b3b569d5b4,0,0,0,0,0.0,0
2024-07-09,0x343910697c03477e5cc0d386ffa5133d1a827ad7,0,0,0,0,0.0,0
2024-07-09,0x8cca517370cbfc33cc9810bfc7440832c47d251c,0,0,0,0,0.0,0
2024-07-09,0xc224bf25dcc99236f00843c7d8c4194abe8aa94a,0,0,0,0,0.0,0
2024-07-10,0x343910697c03477e5cc0d386ffa5133d1a827ad7,0,0,0,0,0.0,0
2024-07-10,0xc224bf25dcc99236f00843c7d8c4194abe8aa94a,2,1,0,0,0.0,0
2024-07-10,0xe04bb5b4de60fa2fba69a93ade13a8b3b569d5b4,496,182,0,137,0.0,0
2024-07-10,0x8cca517370cbfc33cc9810bfc7440832c47d251c,0,0,0,0,0.0,0
2024-07-10,0xc224bf25dcc99236f00843c7d8c4194abe8aa94a,0,0,0,0,0.0,0
2024-07-10,0xe04bb5b4de60fa2fba69a93ade13a8b3b569d5b4,0,0,0,0,0.0,0
2024-07-11,0x343910697c03477e5cc0d386ffa5133d1a827ad7,0,0,0,0,0.0,0
2024-07-11,0x8cca517370cbfc33cc9810bfc7440832c47d251c,0,0,0,0,0.0,0
2024-07-11,0xc224bf25dcc99236f00843c7d8c4194abe8aa94a,0,0,0,0,0.0,0
