date,token,value,readable_date,protocol
1642204800,USDT,1169280179.92,2022-01-15 00:00:00,beefy
1642291200,USDT,1226119794.09,2022-01-16 00:00:00,beefy
1642377600,USDT,1246334785.95,2022-01-17 00:00:00,beefy
1642464000,USDT,1202992016.23,2022-01-18 00:00:00,beefy
1642550400,USDT,1197006432.08839,2022-01-19 00:00:00,beefy
1642636800,USDT,1158387408.04,2022-01-20 00:00:00,beefy
1642723200,USDT,1161013282.35,2022-01-21 00:00:00,beefy
1642809600,USDT,927269396.88581,2022-01-22 00:00:00,beefy
1642896000,USDT,857698699.42,2022-01-23 00:00:00,beefy
1642982400,USDT,940549740.87,2022-01-24 00:00:00,beefy
1643068800,USDT,1127339432.1037,2022-01-25 00:00:00,beefy
1643155200,USDT,1059439822.32,2022-01-26 00:00:00,beefy
1643241600,USDT,1033304187.5205,2022-01-27 00:00:00,beefy
1643328000,USDT,968201460.27281,2022-01-28 00:00:00,beefy
1643414400,USDT,1007658623.09,2022-01-29 00:00:00,beefy
1643500800,USDT,1013276524.54,2022-01-30 00:00:00,beefy
1643587200,USDT,1000743176.14,2022-01-31 00:00:00,beefy
1643673600,USDT,1004380378.13,2022-02-01 00:00:00,beefy
1643760000,USDT,1056682865.85,2022-02-02 00:00:00,beefy
1643846400,USDT,1023936994.19,2022-02-03 00:00:00,beefy
1643932800,USDT,1010887417.53,2022-02-04 00:00:00,beefy
1644019200,USDT,1140438831.47,2022-02-05 00:00:00,beefy
1644105600,USDT,1076993279.07,2022-02-06 00:00:00,beefy
1644192000,USDT,1082074449.1,2022-02-07 00:00:00,beefy
1644278400,USDT,1143368757.85,2022-02-08 00:00:00,beefy
1644364800,USDT,1143784674.44,2022-02-09 00:00:00,beefy
1644451200,USDT,1149137593.59,2022-02-10 00:00:00,beefy
1644537600,USDT,1136954830.93,2022-02-11 00:00:00,beefy
1644624000,USDT,1108691896.70766,2022-02-12 00:00:00,beefy
1644710400,USDT,1096580966.20368,2022-02-13 00:00:00,beefy
1644796800,USDT,1102261882.3677,2022-02-14 00:00:00,beefy
1644883200,USDT,1086066854.70283,2022-02-15 00:00:00,beefy
1644969600,USDT,1076234548.5003,2022-02-16 00:00:00,beefy
1645056000,USDT,1054357907.61301,2022-02-17 00:00:00,beefy
1645142400,USDT,1027982156.85165,2022-02-18 00:00:00,beefy
1645228800,USDT,1011254284.72,2022-02-19 00:00:00,beefy
1645315200,USDT,1014294236.76474,2022-02-20 00:00:00,beefy
1645401600,USDT,974712680.16122,2022-02-21 00:00:00,beefy
1645488000,USDT,952748935.24152,2022-02-22 00:00:00,beefy
1645574400,USDT,952380100.12,2022-02-23 00:00:00,beefy
1645660800,USDT,935940873.44598,2022-02-24 00:00:00,beefy
1645747200,USDT,898601198.19606,2022-02-25 00:00:00,beefy
1645833600,USDT,956932068.75754,2022-02-26 00:00:00,beefy
1645920000,USDT,952336597.74258,2022-02-27 00:00:00,beefy
1646006400,USDT,935783792.88511,2022-02-28 00:00:00,beefy
1646092800,USDT,1002932475.31818,2022-03-01 00:00:00,beefy
1646179200,USDT,1001258894.51588,2022-03-02 00:00:00,beefy
1646265600,USDT,1018655521.59371,2022-03-03 00:00:00,beefy
1646352000,USDT,997424251.48366,2022-03-04 00:00:00,beefy
1646438400,USDT,963258921.0972,2022-03-05 00:00:00,beefy
1646524800,USDT,978092003.8989,2022-03-06 00:00:00,beefy
1646611200,USDT,921739746.68723,2022-03-07 00:00:00,beefy
1646697600,USDT,909179200.94001,2022-03-08 00:00:00,beefy
1646784000,USDT,944248135.2,2022-03-09 00:00:00,beefy
1646870400,USDT,942582655.56343,2022-03-10 00:00:00,beefy
1646956800,USDT,901043300.67,2022-03-11 00:00:00,beefy
1647043200,USDT,898461357.25488,2022-03-12 00:00:00,beefy
1647129600,USDT,894297764.24,2022-03-13 00:00:00,beefy
1647216000,USDT,865143552.37,2022-03-14 00:00:00,beefy
1647302400,USDT,871450724.77505,2022-03-15 00:00:00,beefy
1647388800,USDT,899553880.54014,2022-03-16 00:00:00,beefy
1647475200,USDT,905971909.04677,2022-03-17 00:00:00,beefy
1647561600,USDT,914026264.23,2022-03-18 00:00:00,beefy
1647648000,USDT,928529161.89033,2022-03-19 00:00:00,beefy
1647734400,USDT,931190471.51,2022-03-20 00:00:00,beefy
1647820800,USDT,912415631.65554,2022-03-21 00:00:00,beefy
1647907200,USDT,919611692.14928,2022-03-22 00:00:00,beefy
1647993600,USDT,921398185.73803,2022-03-23 00:00:00,beefy
1648080000,USDT,924828569.48482,2022-03-24 00:00:00,beefy
1648166400,USDT,926246697.62433,2022-03-25 00:00:00,beefy
1648252800,USDT,925714172.35798,2022-03-26 00:00:00,beefy
1648339200,USDT,936976479.74998,2022-03-27 00:00:00,beefy
1648425600,USDT,957406598.6523,2022-03-28 00:00:00,beefy
1648512000,USDT,951315231.13767,2022-03-29 00:00:00,beefy
1648598400,USDT,953530447.17161,2022-03-30 00:00:00,beefy
1648684800,USDT,964514931.05003,2022-03-31 00:00:00,beefy
1648771200,USDT,946922757.00572,2022-04-01 00:00:00,beefy
1648857600,USDT,971328546.42,2022-04-02 00:00:00,beefy
1648944000,USDT,972803105.58431,2022-04-03 00:00:00,beefy
1649030400,USDT,995062334.94668,2022-04-04 00:00:00,beefy
1649116800,USDT,987707905.16398,2022-04-05 00:00:00,beefy
1649203200,USDT,958258073.62,2022-04-06 00:00:00,beefy
1649289600,USDT,912565571.73746,2022-04-07 00:00:00,beefy
1649376000,USDT,942189754.96646,2022-04-08 00:00:00,beefy
1649462400,USDT,917921321.6173,2022-04-09 00:00:00,beefy
1649548800,USDT,931952247.83742,2022-04-10 00:00:00,beefy
1649635200,USDT,922297982.81673,2022-04-11 00:00:00,beefy
1649721600,USDT,866911055.37798,2022-04-12 00:00:00,beefy
1649808000,USDT,875641790.38476,2022-04-13 00:00:00,beefy
1649894400,USDT,900006130.08306,2022-04-14 00:00:00,beefy
1649980800,USDT,884951887.39958,2022-04-15 00:00:00,beefy
1650067200,USDT,900867590.11,2022-04-16 00:00:00,beefy
1650153600,USDT,911022038.53,2022-04-17 00:00:00,beefy
1650240000,USDT,902312294.16,2022-04-18 00:00:00,beefy
1650326400,USDT,914459891.77,2022-04-19 00:00:00,beefy
1650412800,USDT,933504602.94091,2022-04-20 00:00:00,beefy
1650499200,USDT,923282862.36919,2022-04-21 00:00:00,beefy
1650585600,USDT,899054247.67644,2022-04-22 00:00:00,beefy
1650672000,USDT,890543741.31723,2022-04-23 00:00:00,beefy
1650758400,USDT,884583376.7771,2022-04-24 00:00:00,beefy
1650844800,USDT,871485074.03958,2022-04-25 00:00:00,beefy
1650931200,USDT,822837703.41,2022-04-26 00:00:00,beefy
1651017600,USDT,793382563.5736,2022-04-27 00:00:00,beefy
1651104000,USDT,792516377.19871,2022-04-28 00:00:00,beefy
1651190400,USDT,781252958.51336,2022-04-29 00:00:00,beefy
1651276800,USDT,759191050.15754,2022-04-30 00:00:00,beefy
1651363200,USDT,697240561.59758,2022-05-01 00:00:00,beefy
1651449600,USDT,729465853.74816,2022-05-02 00:00:00,beefy
1651536000,USDT,728767042.71125,2022-05-03 00:00:00,beefy
1651622400,USDT,724275526.01404,2022-05-04 00:00:00,beefy
1651708800,USDT,758944631.56,2022-05-05 00:00:00,beefy
1651795200,USDT,708735324.81752,2022-05-06 00:00:00,beefy
1651881600,USDT,705110863.89396,2022-05-07 00:00:00,beefy
1651968000,USDT,680813411.03406,2022-05-08 00:00:00,beefy
1652054400,USDT,663668202.17724,2022-05-09 00:00:00,beefy
1652140800,USDT,581078021.4239,2022-05-10 00:00:00,beefy
1652227200,USDT,575183260.09144,2022-05-11 00:00:00,beefy
1652313600,USDT,441941778.21039,2022-05-12 00:00:00,beefy
1652400000,USDT,374280333.91476,2022-05-13 00:00:00,beefy
1652486400,USDT,376432075.11995,2022-05-14 00:00:00,beefy
1652572800,USDT,384277586.61096,2022-05-15 00:00:00,beefy
1652659200,USDT,399727079.60232,2022-05-16 00:00:00,beefy
1652745600,USDT,373512685.87,2022-05-17 00:00:00,beefy
1652832000,USDT,392907945.99056,2022-05-18 00:00:00,beefy
1652918400,USDT,375125584.21174,2022-05-19 00:00:00,beefy
1653004800,USDT,384057649.75524,2022-05-20 00:00:00,beefy
1653091200,USDT,377769242.73,2022-05-21 00:00:00,beefy
1653177600,USDT,385338924.26029,2022-05-22 00:00:00,beefy
1653264000,USDT,395806223.82301,2022-05-23 00:00:00,beefy
1653350400,USDT,389128204.53507,2022-05-24 00:00:00,beefy
1653436800,USDT,395678979.34604,2022-05-25 00:00:00,beefy
1653523200,USDT,392770122.37463,2022-05-26 00:00:00,beefy
1653609600,USDT,388505250.42329,2022-05-27 00:00:00,beefy
1653696000,USDT,390621292.71165,2022-05-28 00:00:00,beefy
1653782400,USDT,400581205.47438,2022-05-29 00:00:00,beefy
1653868800,USDT,419167279.02935,2022-05-30 00:00:00,beefy
1653955200,USDT,441154890.47444,2022-05-31 00:00:00,beefy
1654041600,USDT,438201856.35,2022-06-01 00:00:00,beefy
1654128000,USDT,422653719.54806,2022-06-02 00:00:00,beefy
1654214400,USDT,424826903.7587,2022-06-03 00:00:00,beefy
1654300800,USDT,410187403.56594,2022-06-04 00:00:00,beefy
1654387200,USDT,409898636.43729,2022-06-05 00:00:00,beefy
1654473600,USDT,410847578.92776,2022-06-06 00:00:00,beefy
1654560000,USDT,406455148.00916,2022-06-07 00:00:00,beefy
1654646400,USDT,411530986.89391,2022-06-08 00:00:00,beefy
1654732800,USDT,409621592.43,2022-06-09 00:00:00,beefy
1654819200,USDT,406277766.2896,2022-06-10 00:00:00,beefy
1654905600,USDT,380135730.83,2022-06-11 00:00:00,beefy
1654992000,USDT,364849665.32014,2022-06-12 00:00:00,beefy
1655078400,USDT,344237665.51174,2022-06-13 00:00:00,beefy
1655164800,USDT,277978751.7294,2022-06-14 00:00:00,beefy
1655251200,USDT,268224356.71031,2022-06-15 00:00:00,beefy
1655337600,USDT,266730432.10814,2022-06-16 00:00:00,beefy
1655424000,USDT,255587794.87241,2022-06-17 00:00:00,beefy
1655510400,USDT,261538689.59382,2022-06-18 00:00:00,beefy
1655596800,USDT,240369724.19,2022-06-19 00:00:00,beefy
1655683200,USDT,247560418.47709,2022-06-20 00:00:00,beefy
1655769600,USDT,250378418.9962,2022-06-21 00:00:00,beefy
1655856000,USDT,251736496.53513,2022-06-22 00:00:00,beefy
1655942400,USDT,248340995.39191,2022-06-23 00:00:00,beefy
1656028800,USDT,258513782.86,2022-06-24 00:00:00,beefy
1656115200,USDT,263066806.28228,2022-06-25 00:00:00,beefy
1656201600,USDT,259033487.94323,2022-06-26 00:00:00,beefy
1656288000,USDT,255208052.27,2022-06-27 00:00:00,beefy
1656374400,USDT,254339995.65364,2022-06-28 00:00:00,beefy
1656460800,USDT,248443956.35364,2022-06-29 00:00:00,beefy
1656547200,USDT,242831296.38275,2022-06-30 00:00:00,beefy
1656633600,USDT,238023939.05148,2022-07-01 00:00:00,beefy
1656720000,USDT,240320694.77715,2022-07-02 00:00:00,beefy
1656806400,USDT,239151729.66685,2022-07-03 00:00:00,beefy
1656892800,USDT,241400592.91348,2022-07-04 00:00:00,beefy
1656979200,USDT,250339376.38,2022-07-05 00:00:00,beefy
1657065600,USDT,250063299.69576,2022-07-06 00:00:00,beefy
1657152000,USDT,253102364.26,2022-07-07 00:00:00,beefy
1657238400,USDT,257978630.51,2022-07-08 00:00:00,beefy
1657324800,USDT,257086131.62024,2022-07-09 00:00:00,beefy
1657411200,USDT,257066640.55072,2022-07-10 00:00:00,beefy
1657497600,USDT,251209971.6066,2022-07-11 00:00:00,beefy
1657584000,USDT,249864090.25,2022-07-12 00:00:00,beefy
1657670400,USDT,243561468.97122,2022-07-13 00:00:00,beefy
1657756800,USDT,247629299.4,2022-07-14 00:00:00,beefy
1657843200,USDT,254310732.11,2022-07-15 00:00:00,beefy
1657929600,USDT,258103204.09874,2022-07-16 00:00:00,beefy
1658016000,USDT,268165594.55,2022-07-17 00:00:00,beefy
1658102400,USDT,268909733.3748,2022-07-18 00:00:00,beefy
1658188800,USDT,286772531.91265,2022-07-19 00:00:00,beefy
1658275200,USDT,290587149.03954,2022-07-20 00:00:00,beefy
1658361600,USDT,288079860.49345,2022-07-21 00:00:00,beefy
1658448000,USDT,282416224.02718,2022-07-22 00:00:00,beefy
1658534400,USDT,297955737.88981,2022-07-23 00:00:00,beefy
1658620800,USDT,307242677.55181,2022-07-24 00:00:00,beefy
1658707200,USDT,316368219.38056,2022-07-25 00:00:00,beefy
1658793600,USDT,300270442.24008,2022-07-26 00:00:00,beefy
1658880000,USDT,293808194.7801,2022-07-27 00:00:00,beefy
1658966400,USDT,311678007.12645,2022-07-28 00:00:00,beefy
1659052800,USDT,321693676.95758,2022-07-29 00:00:00,beefy
1659139200,USDT,324962289.82649,2022-07-30 00:00:00,beefy
1659225600,USDT,327133420.19358,2022-07-31 00:00:00,beefy
1659312000,USDT,322530502.24758,2022-08-01 00:00:00,beefy
1659398400,USDT,320426692.27608,2022-08-02 00:00:00,beefy
1659484800,USDT,314204116.21458,2022-08-03 00:00:00,beefy
1659571200,USDT,317839011.77028,2022-08-04 00:00:00,beefy
1659657600,USDT,318181180.67736,2022-08-05 00:00:00,beefy
1659744000,USDT,326788696.90225,2022-08-06 00:00:00,beefy
1659830400,USDT,326087314.26383,2022-08-07 00:00:00,beefy
1659916800,USDT,327046579.72759,2022-08-08 00:00:00,beefy
1660003200,USDT,330943167.83528,2022-08-09 00:00:00,beefy
1660089600,USDT,322787752.2306,2022-08-10 00:00:00,beefy
1660176000,USDT,332067944.5185,2022-08-11 00:00:00,beefy
1660262400,USDT,328096558.44,2022-08-12 00:00:00,beefy
1660348800,USDT,334311025.91,2022-08-13 00:00:00,beefy
