date,totalLiquidityUSD,readable_date,protocol
1621987200,544456023.81,2021-05-26 00:00:00,beefy
1622073600,562011468.79,2021-05-27 00:00:00,beefy
1622160000,509569090.09,2021-05-28 00:00:00,beefy
1622246400,448523402.71,2021-05-29 00:00:00,beefy
1622332800,471548575.96,2021-05-30 00:00:00,beefy
1622419200,503244570.8,2021-05-31 00:00:00,beefy
1622505600,512102364.68,2021-06-01 00:00:00,beefy
1622592000,550737288.88,2021-06-02 00:00:00,beefy
1622678400,589656518.97,2021-06-03 00:00:00,beefy
1622764800,580726554.57,2021-06-04 00:00:00,beefy
1622851200,562655779.03,2021-06-05 00:00:00,beefy
1622937600,588294676.03,2021-06-06 00:00:00,beefy
1623024000,595489367.21,2021-06-07 00:00:00,beefy
1623110400,590132014.7,2021-06-08 00:00:00,beefy
1623196800,619902935.05,2021-06-09 00:00:00,beefy
1623283200,614743033.26,2021-06-10 00:00:00,beefy
1623369600,630331343.17,2021-06-11 00:00:00,beefy
1623456000,654365995.26,2021-06-12 00:00:00,beefy
1623542400,716262334.26,2021-06-13 00:00:00,beefy
1623628800,769512675.05,2021-06-14 00:00:00,beefy
1623715200,791794127.84,2021-06-15 00:00:00,beefy
1623801600,579537424.6,2021-06-16 00:00:00,beefy
1623888000,547836001.8,2021-06-17 00:00:00,beefy
1623974400,526076936.13,2021-06-18 00:00:00,beefy
1624060800,540570942.98,2021-06-19 00:00:00,beefy
1624147200,535366162.6,2021-06-20 00:00:00,beefy
1624233600,458603702.42,2021-06-21 00:00:00,beefy
1624320000,440249076.14,2021-06-22 00:00:00,beefy
1624406400,463671420.46,2021-06-23 00:00:00,beefy
1624492800,451325394.47,2021-06-24 00:00:00,beefy
1624579200,412359913.45,2021-06-25 00:00:00,beefy
1624665600,404159255.47,2021-06-26 00:00:00,beefy
1624752000,415611814.17,2021-06-27 00:00:00,beefy
1624838400,427936322.62,2021-06-28 00:00:00,beefy
1624924800,430856138.02,2021-06-29 00:00:00,beefy
1625011200,424866265.25,2021-06-30 00:00:00,beefy
1625097600,425149228.29,2021-07-01 00:00:00,beefy
1625184000,427910207.73,2021-07-02 00:00:00,beefy
1625270400,440037004.01,2021-07-03 00:00:00,beefy
1625356800,460113181.28,2021-07-04 00:00:00,beefy
1625443200,448949001.05,2021-07-05 00:00:00,beefy
1625529600,470253743.0,2021-07-06 00:00:00,beefy
1625616000,478716176.36,2021-07-07 00:00:00,beefy
1625702400,450174645.06,2021-07-08 00:00:00,beefy
1625788800,455672500.99,2021-07-09 00:00:00,beefy
1625875200,458218507.97,2021-07-10 00:00:00,beefy
1625961600,467170911.63,2021-07-11 00:00:00,beefy
1626048000,465099489.59,2021-07-12 00:00:00,beefy
1626134400,464294991.83,2021-07-13 00:00:00,beefy
1626220800,459878237.05,2021-07-14 00:00:00,beefy
1626307200,451026090.98,2021-07-15 00:00:00,beefy
1626393600,439363503.0,2021-07-16 00:00:00,beefy
1626480000,439753313.27,2021-07-17 00:00:00,beefy
1626566400,443657798.39,2021-07-18 00:00:00,beefy
1626652800,420590170.78,2021-07-19 00:00:00,beefy
1626739200,393195995.46,2021-07-20 00:00:00,beefy
1626825600,424391339.15,2021-07-21 00:00:00,beefy
1626912000,435380245.56,2021-07-22 00:00:00,beefy
1626998400,460686641.92,2021-07-23 00:00:00,beefy
1627084800,466965834.38,2021-07-24 00:00:00,beefy
1627171200,476865067.76,2021-07-25 00:00:00,beefy
1627257600,487133442.39,2021-07-26 00:00:00,beefy
1627344000,500982622.28,2021-07-27 00:00:00,beefy
1627430400,509862710.35,2021-07-28 00:00:00,beefy
1627516800,508733667.26,2021-07-29 00:00:00,beefy
1627603200,525002435.54,2021-07-30 00:00:00,beefy
1627689600,539977237.83,2021-07-31 00:00:00,beefy
1627776000,529438799.84,2021-08-01 00:00:00,beefy
1627862400,535287187.97,2021-08-02 00:00:00,beefy
1627948800,527955681.34,2021-08-03 00:00:00,beefy
1628121600,558007140.61,2021-08-05 00:00:00,beefy
1628208000,562241391.61,2021-08-06 00:00:00,beefy
1628294400,580590112.3,2021-08-07 00:00:00,beefy
1628380800,563787909.37,2021-08-08 00:00:00,beefy
1628467200,584759520.42,2021-08-09 00:00:00,beefy
1628553600,599885589.04,2021-08-10 00:00:00,beefy
1628640000,620184229.0,2021-08-11 00:00:00,beefy
1628726400,612042018.76,2021-08-12 00:00:00,beefy
1628812800,658276974.54,2021-08-13 00:00:00,beefy
1628899200,654635321.59,2021-08-14 00:00:00,beefy
1628985600,655627985.71,2021-08-15 00:00:00,beefy
1629072000,660257926.58,2021-08-16 00:00:00,beefy
1629158400,652315125.6,2021-08-17 00:00:00,beefy
1629244800,652103530.67,2021-08-18 00:00:00,beefy
1629331200,688917216.67,2021-08-19 00:00:00,beefy
1629417600,728401382.96,2021-08-20 00:00:00,beefy
1629504000,743594846.72,2021-08-21 00:00:00,beefy
1629590400,749347888.97,2021-08-22 00:00:00,beefy
1629676800,791591895.3,2021-08-23 00:00:00,beefy
1629763200,786114241.87,2021-08-24 00:00:00,beefy
1629849600,825959411.68,2021-08-25 00:00:00,beefy
1629936000,803281689.02,2021-08-26 00:00:00,beefy
1630108800,792961391.51,2021-08-28 00:00:00,beefy
1630195200,792401959.67,2021-08-29 00:00:00,beefy
1630281600,792694639.36,2021-08-30 00:00:00,beefy
1630368000,812084385.82,2021-08-31 00:00:00,beefy
1630454400,854585981.18,2021-09-01 00:00:00,beefy
1630540800,853910050.23,2021-09-02 00:00:00,beefy
1630627200,853488076.96,2021-09-03 00:00:00,beefy
1630713600,877633938.65,2021-09-04 00:00:00,beefy
1630800000,902257656.79,2021-09-05 00:00:00,beefy
1630886400,897906103.11,2021-09-06 00:00:00,beefy
1630972800,810210305.31,2021-09-07 00:00:00,beefy
1631059200,822404568.81,2021-09-08 00:00:00,beefy
1631145600,821518756.94,2021-09-09 00:00:00,beefy
1631232000,779530182.44,2021-09-10 00:00:00,beefy
1631318400,796525531.12,2021-09-11 00:00:00,beefy
1631404800,799162175.56,2021-09-12 00:00:00,beefy
1631491200,785462965.35,2021-09-13 00:00:00,beefy
1631577600,799162848.54,2021-09-14 00:00:00,beefy
1631664000,842498591.41,2021-09-15 00:00:00,beefy
1631750400,841414787.94,2021-09-16 00:00:00,beefy
1631836800,823016427.11,2021-09-17 00:00:00,beefy
1631923200,828688359.35,2021-09-18 00:00:00,beefy
1632009600,830083911.39,2021-09-19 00:00:00,beefy
1632096000,756516752.03,2021-09-20 00:00:00,beefy
1632182400,703208481.62,2021-09-21 00:00:00,beefy
1632268800,780915821.0,2021-09-22 00:00:00,beefy
1632355200,797299753.46,2021-09-23 00:00:00,beefy
1632441600,774657359.6,2021-09-24 00:00:00,beefy
1632528000,773260420.11,2021-09-25 00:00:00,beefy
1632614400,780373492.77,2021-09-26 00:00:00,beefy
1632700800,792073351.46,2021-09-27 00:00:00,beefy
1632787200,778635304.2,2021-09-28 00:00:00,beefy
1632873600,786072678.82,2021-09-29 00:00:00,beefy
1632960000,806918344.66,2021-09-30 00:00:00,beefy
1633046400,862877262.89,2021-10-01 00:00:00,beefy
1633132800,889407094.11,2021-10-02 00:00:00,beefy
1633219200,880304239.15,2021-10-03 00:00:00,beefy
1633305600,856993455.03,2021-10-04 00:00:00,beefy
1633392000,875772415.26,2021-10-05 00:00:00,beefy
1633478400,876566430.88,2021-10-06 00:00:00,beefy
1633564800,853376734.63,2021-10-07 00:00:00,beefy
1633651200,861280079.9,2021-10-08 00:00:00,beefy
1633737600,925601004.02,2021-10-09 00:00:00,beefy
1633824000,931968188.6,2021-10-10 00:00:00,beefy
1633910400,914748366.99,2021-10-11 00:00:00,beefy
1633996800,935018819.4,2021-10-12 00:00:00,beefy
1634083200,930845758.88,2021-10-13 00:00:00,beefy
1634169600,1025815225.74,2021-10-14 00:00:00,beefy
1634256000,1049927121.16,2021-10-15 00:00:00,beefy
1634342400,1071363208.97,2021-10-16 00:00:00,beefy
1634428800,1083419216.63,2021-10-17 00:00:00,beefy
1634515200,1083308704.95,2021-10-18 00:00:00,beefy
1634601600,1088333846.48,2021-10-19 00:00:00,beefy
1634688000,1117490301.96,2021-10-20 00:00:00,beefy
1634774400,1164403047.32,2021-10-21 00:00:00,beefy
1634860800,1148446006.94,2021-10-22 00:00:00,beefy
1634947200,1131183396.01,2021-10-23 00:00:00,beefy
1635033600,1175972242.23,2021-10-24 00:00:00,beefy
1635120000,1198550281.93,2021-10-25 00:00:00,beefy
1635206400,1251032869.05,2021-10-26 00:00:00,beefy
1635292800,1244670953.6,2021-10-27 00:00:00,beefy
1635379200,1074801129.88,2021-10-28 00:00:00,beefy
1635465600,1237008995.98,2021-10-29 00:00:00,beefy
1635552000,1235356311.52,2021-10-30 00:00:00,beefy
1635638400,1221989331.65,2021-10-31 00:00:00,beefy
1635724800,1210137114.72,2021-11-01 00:00:00,beefy
1635811200,1212378136.51,2021-11-02 00:00:00,beefy
1635897600,1226781446.04,2021-11-03 00:00:00,beefy
1635984000,1223157062.55,2021-11-04 00:00:00,beefy
