date,totalLiquidityUSD,readable_date
1671494400,0.0,2022-12-20 00:00:00
1671580800,0.0,2022-12-21 00:00:00
1671667200,31648.46315,2022-12-22 00:00:00
1671753600,32739.80672,2022-12-23 00:00:00
1671840000,34909.22465,2022-12-24 00:00:00
1671926400,34649.92362,2022-12-25 00:00:00
1672012800,34834.32717,2022-12-26 00:00:00
1672099200,36115.41255,2022-12-27 00:00:00
1672185600,35774.6153,2022-12-28 00:00:00
1672272000,36735.92347,2022-12-29 00:00:00
1672358400,41027.99922,2022-12-30 00:00:00
1672444800,39764.15922,2022-12-31 00:00:00
1672531200,15188.09661,2023-01-01 00:00:00
1672617600,16183.85499,2023-01-02 00:00:00
1672704000,17412.38077,2023-01-03 00:00:00
1672790400,35353.97996,2023-01-04 00:00:00
1672876800,42628.732995,2023-01-05 00:00:00
1672963200,49903.48603,2023-01-06 00:00:00
1673049600,64360.8391,2023-01-07 00:00:00
1673136000,66782.03214,2023-01-08 00:00:00
1673222400,66166.04794,2023-01-09 00:00:00
1673308800,72143.39543,2023-01-10 00:00:00
1673395200,65971.96174,2023-01-11 00:00:00
1673481600,90739.91903,2023-01-12 00:00:00
1673568000,91662.67645,2023-01-13 00:00:00
1673654400,94316.28615,2023-01-14 00:00:00
1673740800,103060.2124,2023-01-15 00:00:00
1673827200,104112.37751,2023-01-16 00:00:00
1673913600,106040.19197,2023-01-17 00:00:00
1674000000,105921.97148,2023-01-18 00:00:00
1674086400,103033.27535,2023-01-19 00:00:00
1674172800,104538.07192,2023-01-20 00:00:00
1674259200,109727.09432,2023-01-21 00:00:00
1674345600,83389.26155,2023-01-22 00:00:00
1674432000,78642.48256,2023-01-23 00:00:00
1674518400,79446.12943,2023-01-24 00:00:00
1674604800,78290.12244,2023-01-25 00:00:00
1674691200,84212.33642,2023-01-26 00:00:00
1674777600,84456.56162,2023-01-27 00:00:00
1674864000,84205.09398,2023-01-28 00:00:00
1674950400,82378.31108,2023-01-29 00:00:00
1675036800,84377.65841,2023-01-30 00:00:00
1675123200,80243.65537,2023-01-31 00:00:00
1675209600,95358.10782,2023-02-01 00:00:00
1675296000,100340.21096,2023-02-02 00:00:00
1675382400,104443.82095,2023-02-03 00:00:00
1675468800,106599.90168,2023-02-04 00:00:00
1675555200,107416.13579,2023-02-05 00:00:00
1675641600,106455.23862,2023-02-06 00:00:00
1675728000,104204.01091,2023-02-07 00:00:00
1675814400,106490.0428,2023-02-08 00:00:00
1675900800,105121.26017,2023-02-09 00:00:00
1675987200,112119.76606,2023-02-10 00:00:00
1676073600,111882.81536,2023-02-11 00:00:00
1676160000,113013.64619,2023-02-12 00:00:00
1676246400,112165.33673,2023-02-13 00:00:00
1676332800,89192.06478,2023-02-14 00:00:00
1676419200,90947.29986,2023-02-15 00:00:00
1676505600,128029.28458,2023-02-16 00:00:00
1676592000,127710.43808,2023-02-17 00:00:00
1676678400,128485.91689,2023-02-18 00:00:00
1676764800,128156.57426,2023-02-19 00:00:00
1676851200,127495.53473,2023-02-20 00:00:00
1676937600,126608.92475,2023-02-21 00:00:00
1677024000,119219.23338,2023-02-22 00:00:00
1677110400,118515.21447,2023-02-23 00:00:00
1677196800,119085.40792,2023-02-24 00:00:00
1677283200,113219.01818,2023-02-25 00:00:00
