transaction_date,address,cnt,total_transferred,direction,total_transferred_in_tokens,net_transferred,net_transferred_in_tokens
2024-08-25,0x4200000000000000000000000000000000000021,1,-0.0,out,-0.0,0.0,0.0
2024-08-25,0x579a18207242c250addb67cc4d49f34a5f659449,1,2100000000000000.0,in,2.1,2100000000000000.0,2.1
2024-08-26,0x4200000000000000000000000000000000000021,2,-0.0,out,-0.0,0.0,0.0
2024-08-27,0x4200000000000000000000000000000000000021,1,-0.0,out,-0.0,0.0,0.0
2024-08-28,0x4200000000000000000000000000000000000021,2,-0.0,out,-0.0,0.0,0.0
2024-08-29,0x4200000000000000000000000000000000000021,1,-0.0,out,-0.0,0.0,0.0
2024-08-30,0x4200000000000000000000000000000000000021,8,-0.0,out,-0.0,0.0,0.0
2024-09-01,0x4200000000000000000000000000000000000021,1,-0.0,out,-0.0,0.0,0.0
2024-09-05,0x4200000000000000000000000000000000000021,3,-0.0,out,-0.0,0.0,0.0
2024-09-06,0x4200000000000000000000000000000000000021,5,-0.0,out,-0.0,0.0,0.0
2024-09-07,0x4200000000000000000000000000000000000021,1,-0.0,out,-0.0,0.0,0.0
2024-09-09,0x4200000000000000000000000000000000000021,2,-0.0,out,-0.0,0.0,0.0
2024-09-10,0x4200000000000000000000000000000000000021,2,-0.0,out,-0.0,0.0,0.0
2024-09-12,0x4200000000000000000000000000000000000021,2,-0.0,out,-0.0,0.0,0.0
2024-09-13,0x4200000000000000000000000000000000000021,2,-0.0,out,-0.0,0.0,0.0
2024-09-14,0xe40714459d9493994be025f04afc38d2bcf42f8e,1,200000000000000.0,in,0.2,200000000000000.0,0.2
2024-09-14,0x4200000000000000000000000000000000000042,1,-0.0,out,-0.0,0.0,0.0
2024-09-17,0x4200000000000000000000000000000000000021,3,-0.0,out,-0.0,0.0,0.0
2024-09-18,0x4200000000000000000000000000000000000021,5,-0.0,out,-0.0,0.0,0.0
2024-09-19,0x4200000000000000000000000000000000000021,1,-0.0,out,-0.0,0.0,0.0
2024-09-24,0x4200000000000000000000000000000000000021,1,-0.0,out,-0.0,0.0,0.0
2024-09-30,0x4200000000000000000000000000000000000021,1,-0.0,out,-0.0,0.0,0.0
2024-10-06,0x4200000000000000000000000000000000000021,1,-0.0,out,-0.0,0.0,0.0
2024-10-07,0x579a18207242c250addb67cc4d49f34a5f659449,1,4000000000000000.0,in,4.0,6100000000000000.0,6.1
2024-10-08,0x4200000000000000000000000000000000000021,1,-0.0,out,-0.0,0.0,0.0
2024-10-14,0x4200000000000000000000000000000000000021,1,-0.0,out,-0.0,0.0,0.0
2024-10-15,0x4200000000000000000000000000000000000021,1,-0.0,out,-0.0,0.0,0.0
2024-10-17,0x4200000000000000000000000000000000000021,1,-0.0,out,-0.0,0.0,0.0
2024-10-22,0x4200000000000000000000000000000000000021,4,-0.0,out,-0.0,0.0,0.0
2024-10-25,0x4200000000000000000000000000000000000021,1,-0.0,out,-0.0,0.0,0.0
2024-11-02,0x4200000000000000000000000000000000000021,2,-0.0,out,-0.0,0.0,0.0
2024-11-03,0x4200000000000000000000000000000000000021,1,-0.0,out,-0.0,0.0,0.0
2024-11-06,0x4200000000000000000000000000000000000021,2,-0.0,out,-0.0,0.0,0.0
2024-11-06,0x4200000000000000000000000000000000000042,1,-0.0,out,-0.0,0.0,0.0
2024-11-06,0xe40714459d9493994be025f04afc38d2bcf42f8e,1,5000000000000000.0,in,5.0,5200000000000000.0,5.2
2024-11-07,0x4200000000000000000000000000000000000021,1,-0.0,out,-0.0,0.0,0.0
2024-11-07,0xcff878b6673bcbc3525e2c6432d2e9698738ef34,1,-4800000000000000.0,out,-4.8,-4800000000000000.0,-4.8
2024-11-08,0x4200000000000000000000000000000000000021,2,-0.0,out,-0.0,0.0,0.0
2024-11-11,0x4200000000000000000000000000000000000021,1,-0.0,out,-0.0,0.0,0.0
2024-11-12,0x4200000000000000000000000000000000000021,1,-0.0,out,-0.0,0.0,0.0
2024-12-09,0x4200000000000000000000000000000000000021,1,-0.0,out,-0.0,0.0,0.0
2024-12-13,0x4200000000000000000000000000000000000021,1,-0.0,out,-0.0,0.0,0.0
2024-12-29,0x4200000000000000000000000000000000000021,1,-0.0,out,-0.0,0.0,0.0
2025-01-07,0x4200000000000000000000000000000000000021,1,-0.0,out,-0.0,0.0,0.0
