chain,date,token,value,readable_date
Arbitrum,1675123200,USDC,2098182.97585,2023-01-31 00:00:00
Arbitrum,1675209600,USDC,6239025.6494,2023-02-01 00:00:00
Arbitrum,1675209600,WETH,1.0,2023-02-01 00:00:00
Arbitrum,1675296000,USDC,7947172.26161,2023-02-02 00:00:00
Arbitrum,1675296000,WETH,11.7071,2023-02-02 00:00:00
Arbitrum,1675382400,USDC,8619722.7536,2023-02-03 00:00:00
Arbitrum,1675382400,WETH,132.0571,2023-02-03 00:00:00
Arbitrum,1675468800,USDC,9958074.3749,2023-02-04 00:00:00
Arbitrum,1675468800,WETH,205.7311,2023-02-04 00:00:00
Arbitrum,1675555200,USDC,10192777.84373,2023-02-05 00:00:00
Arbitrum,1675555200,WETH,214.3611,2023-02-05 00:00:00
Arbitrum,1675641600,USDC,10636002.29652,2023-02-06 00:00:00
Arbitrum,1675641600,WETH,212.09356,2023-02-06 00:00:00
Arbitrum,1675728000,USDC,11428172.23851,2023-02-07 00:00:00
Arbitrum,1675728000,WETH,227.22356,2023-02-07 00:00:00
Arbitrum,1675814400,USDC,12114941.70447,2023-02-08 00:00:00
Arbitrum,1675814400,WETH,282.65015,2023-02-08 00:00:00
Arbitrum,1675900800,USDC,14148846.86102,2023-02-09 00:00:00
Arbitrum,1675900800,WETH,314.07529,2023-02-09 00:00:00
Arbitrum,1675987200,USDC,14728354.44843,2023-02-10 00:00:00
Arbitrum,1675987200,WETH,303.1047,2023-02-10 00:00:00
Arbitrum,1676073600,USDC,14626841.34907,2023-02-11 00:00:00
Arbitrum,1676073600,WETH,225.96318,2023-02-11 00:00:00
Arbitrum,1676160000,USDC,14928647.5833,2023-02-12 00:00:00
Arbitrum,1676160000,WETH,228.872,2023-02-12 00:00:00
Arbitrum,1676246400,USDC,14754176.13634,2023-02-13 00:00:00
Arbitrum,1676246400,WETH,252.362,2023-02-13 00:00:00
Arbitrum,1676332800,USDC,15343956.88499,2023-02-14 00:00:00
Arbitrum,1676332800,WETH,257.38164,2023-02-14 00:00:00
Arbitrum,1676419200,USDC,15681034.04142,2023-02-15 00:00:00
Arbitrum,1676419200,WETH,290.68238,2023-02-15 00:00:00
Arbitrum,1676505600,USDC,15769695.72363,2023-02-16 00:00:00
Arbitrum,1676505600,WETH,354.83644,2023-02-16 00:00:00
Arbitrum,1676592000,USDC,16088977.64203,2023-02-17 00:00:00
Arbitrum,1676592000,WETH,302.74795,2023-02-17 00:00:00
Arbitrum,1676678400,USDC,16237176.52909,2023-02-18 00:00:00
Arbitrum,1676678400,WETH,286.21181,2023-02-18 00:00:00
Arbitrum,1676764800,USDC,16179477.92896,2023-02-19 00:00:00
Arbitrum,1676764800,WETH,296.13181,2023-02-19 00:00:00
Arbitrum,1676851200,USDC,16477301.64672,2023-02-20 00:00:00
Arbitrum,1676851200,WETH,302.39919,2023-02-20 00:00:00
Arbitrum,1676937600,USDC,16625221.51787,2023-02-21 00:00:00
Arbitrum,1676937600,WETH,298.99384,2023-02-21 00:00:00
Arbitrum,1677024000,USDC,16729455.4282,2023-02-22 00:00:00
Arbitrum,1677024000,WETH,304.32384,2023-02-22 00:00:00
Arbitrum,1677110400,USDC,16820554.98992,2023-02-23 00:00:00
Arbitrum,1677110400,WETH,371.63782,2023-02-23 00:00:00
Arbitrum,1677196800,USDC,16768741.18926,2023-02-24 00:00:00
Arbitrum,1677196800,WETH,405.55737,2023-02-24 00:00:00
Arbitrum,1677283200,USDC,16675483.7654,2023-02-25 00:00:00
Arbitrum,1677283200,WETH,388.07764,2023-02-25 00:00:00
Arbitrum,1677369600,USDC,16767491.82981,2023-02-26 00:00:00
Arbitrum,1677369600,WETH,423.0756,2023-02-26 00:00:00
Arbitrum,1677456000,USDC,16600150.2665,2023-02-27 00:00:00
Arbitrum,1677456000,WETH,423.0756,2023-02-27 00:00:00
Arbitrum,1677542400,USDC,20097795.93078,2023-02-28 00:00:00
Arbitrum,1677542400,WBTC,0.01,2023-02-28 00:00:00
Arbitrum,1677542400,WETH,481.1956,2023-02-28 00:00:00
Arbitrum,1677628800,USDC,22406436.49871,2023-03-01 00:00:00
Arbitrum,1677628800,WBTC,0.01,2023-03-01 00:00:00
Arbitrum,1677628800,WETH,547.85315,2023-03-01 00:00:00
Arbitrum,1677715200,USDC,22544498.76502,2023-03-02 00:00:00
Arbitrum,1677715200,WBTC,0.21,2023-03-02 00:00:00
Arbitrum,1677715200,WETH,548.13934,2023-03-02 00:00:00
Arbitrum,1677801600,USDC,22488594.15115,2023-03-03 00:00:00
Arbitrum,1677801600,WBTC,0.21,2023-03-03 00:00:00
Arbitrum,1677801600,WETH,604.21038,2023-03-03 00:00:00
Arbitrum,1677888000,USDC,22834783.5456,2023-03-04 00:00:00
Arbitrum,1677888000,WBTC,1.0,2023-03-04 00:00:00
Arbitrum,1677888000,WETH,501.88095,2023-03-04 00:00:00
Arbitrum,1677974400,USDC,22720305.01811,2023-03-05 00:00:00
Arbitrum,1677974400,WBTC,1.28,2023-03-05 00:00:00
Arbitrum,1677974400,WETH,536.00438,2023-03-05 00:00:00
Arbitrum,1678060800,USDC,23142719.16429,2023-03-06 00:00:00
Arbitrum,1678060800,WBTC,1.28,2023-03-06 00:00:00
Arbitrum,1678060800,WETH,532.09766,2023-03-06 00:00:00
Arbitrum,1678147200,USDC,23244000.34831,2023-03-07 00:00:00
Arbitrum,1678147200,WBTC,1.28,2023-03-07 00:00:00
Arbitrum,1678147200,WETH,549.08036,2023-03-07 00:00:00
Arbitrum,1678233600,USDC,23497405.5232,2023-03-08 00:00:00
Arbitrum,1678233600,WBTC,1.28,2023-03-08 00:00:00
Arbitrum,1678233600,WETH,557.08036,2023-03-08 00:00:00
Arbitrum,1678320000,USDC,23596480.41166,2023-03-09 00:00:00
Arbitrum,1678320000,WBTC,1.28,2023-03-09 00:00:00
Arbitrum,1678320000,WETH,563.86511,2023-03-09 00:00:00
Arbitrum,1678406400,USDC,23976189.94775,2023-03-10 00:00:00
Arbitrum,1678406400,WBTC,2.00969,2023-03-10 00:00:00
Arbitrum,1678406400,WETH,544.89918,2023-03-10 00:00:00
Arbitrum,1678492800,USDC,23537959.27254,2023-03-11 00:00:00
Arbitrum,1678492800,WBTC,2.00969,2023-03-11 00:00:00
Arbitrum,1678492800,WETH,351.90112,2023-03-11 00:00:00
Arbitrum,1678579200,USDC,22680623.311,2023-03-12 00:00:00
