transaction_date,transaction_cnt,active_users,total_transferred,unique_users,retained_percent,daa_to_maa_ratio,total_transferred_in_tokens,cum_transferred
2024-06-02,22.0,16.0,1.1e+18,2.0,0.9375,0.48,1100.0,1.1e+18
2024-06-03,17.0,15.0,0.0,0.0,1.0,0.45,0.0,1.1e+18
2024-06-04,21.0,18.0,3.117357532737538e+17,3.0,0.8333333333333334,0.55,311.7357532737538,1.4117357532737539e+18
2024-06-05,22.0,18.0,5e+17,1.0,1.0,0.55,500.0,1.9117357532737539e+18
2024-06-06,130.0,20.0,1.7e+17,59.0,0.85,0.61,170.0,2.0817357532737539e+18
2024-06-07,44.0,19.0,7e+18,22.0,0.9473684210526315,0.58,7000.0,9.081735753273754e+18
2024-06-08,44.0,17.0,3e+17,0.0,1.0,0.52,300.0,9.381735753273754e+18
2024-06-09,19.0,16.0,0.0,0.0,1.0,0.48,0.0,9.381735753273754e+18
2024-06-10,18.0,15.0,0.0,0.0,1.0,0.45,0.0,9.381735753273754e+18
2024-06-11,31.0,21.0,5e+17,6.0,0.7142857142857143,0.64,500.0,9.881735753273754e+18
2024-06-12,21.0,18.0,3e+17,1.0,1.0,0.55,300.0,1.0181735753273754e+19
2024-06-13,23.0,17.0,1.3e+18,0.0,0.9411764705882353,0.52,1300.0,1.1481735753273754e+19
2024-06-14,31.0,18.0,3938623817735295.0,1.0,0.8888888888888888,0.55,3.938623817735295,1.148567437709149e+19
2024-06-15,25.0,19.0,4e+17,2.0,0.8947368421052632,0.58,400.0,1.188567437709149e+19
2024-06-16,23.0,18.0,1.5e+17,1.0,1.0,0.55,150.0,1.203567437709149e+19
2024-06-17,24.0,20.0,5e+17,1.0,0.9,0.61,500.0,1.253567437709149e+19
2024-06-18,27.0,22.0,3.381794980150081e+16,4.0,0.8636363636363636,0.67,33.81794980150081,1.256949232689299e+19
2024-06-19,24.0,18.0,0.0,1.0,1.0,0.55,0.0,1.256949232689299e+19
2024-06-20,24.0,19.0,9.06e+17,0.0,0.8947368421052632,0.58,906.0,1.347549232689299e+19
2024-06-21,23.0,19.0,0.0,0.0,0.9473684210526315,0.58,0.0,1.347549232689299e+19
2024-06-22,22.0,17.0,0.0,0.0,0.9411764705882353,0.52,0.0,1.347549232689299e+19
2024-06-23,23.0,17.0,0.0,0.0,0.8823529411764706,0.52,0.0,1.347549232689299e+19
2024-06-24,25.0,19.0,0.0,0.0,0.8947368421052632,0.58,0.0,1.347549232689299e+19
2024-06-25,33.0,18.0,0.0,7.0,0.8888888888888888,0.55,0.0,1.347549232689299e+19
2024-06-26,28.0,18.0,9e+17,0.0,0.9444444444444444,0.55,900.0,1.437549232689299e+19
2024-06-27,35.0,19.0,0.0,6.0,0.9473684210526315,0.58,0.0,1.437549232689299e+19
2024-06-28,39.0,22.0,2.804489759502792e+18,7.0,0.8636363636363636,0.67,2804.4897595027924,1.7179982086395783e+19
2024-06-29,27.0,21.0,0.0,0.0,1.0,0.64,0.0,1.7179982086395783e+19
2024-06-30,25.0,20.0,0.0,0.0,1.0,0.61,0.0,1.7179982086395783e+19
2024-07-01,42.0,20.0,0.0,16.0,0.95,0.53,0.0,1.7179982086395783e+19
2024-07-02,25.0,20.0,0.0,0.0,0.95,0.53,0.0,1.7179982086395783e+19
