date,token,value,readable_date
1630454400,SETH,163295.26025,2021-09-01 00:00:00
1630454400,SUSD,474695.75375,2021-09-01 00:00:00
1630540800,SETH,182270.29509,2021-09-02 00:00:00
1630540800,SUSD,458439.58928,2021-09-02 00:00:00
1630627200,SETH,177559.62448,2021-09-03 00:00:00
1630627200,SUSD,467465.92815,2021-09-03 00:00:00
1630713600,SETH,206968.46238,2021-09-04 00:00:00
1630713600,SUSD,451254.98543,2021-09-04 00:00:00
1630800000,SETH,233673.21228,2021-09-05 00:00:00
1630800000,SUSD,460139.13532,2021-09-05 00:00:00
1630886400,SETH,256644.8076,2021-09-06 00:00:00
1630886400,SUSD,444856.87857,2021-09-06 00:00:00
1630972800,SETH,217334.38993,2021-09-07 00:00:00
1630972800,SUSD,445177.96003,2021-09-07 00:00:00
1631059200,SETH,206899.59683,2021-09-08 00:00:00
1631059200,SUSD,428455.77703,2021-09-08 00:00:00
1631145600,SETH,313985.56894,2021-09-09 00:00:00
1631145600,SUSD,379668.05863,2021-09-09 00:00:00
1631232000,SETH,336997.56146,2021-09-10 00:00:00
1631232000,SUSD,372682.39244,2021-09-10 00:00:00
1631318400,SETH,391976.01401,2021-09-11 00:00:00
1631318400,SUSD,344551.50521,2021-09-11 00:00:00
1631404800,SETH,391379.09766,2021-09-12 00:00:00
1631404800,SUSD,296230.8669,2021-09-12 00:00:00
1631491200,SETH,380385.28657,2021-09-13 00:00:00
1631491200,SUSD,278249.68748,2021-09-13 00:00:00
1631577600,SETH,391890.12126,2021-09-14 00:00:00
1631577600,SUSD,278322.09863,2021-09-14 00:00:00
1631664000,SETH,409310.16778,2021-09-15 00:00:00
1631664000,SUSD,649455.79192,2021-09-15 00:00:00
1631750400,SETH,407910.66968,2021-09-16 00:00:00
1631750400,SUSD,2915977.9614,2021-09-16 00:00:00
1631836800,SETH,199492.8645,2021-09-17 00:00:00
1631836800,SUSD,5949578.40293,2021-09-17 00:00:00
1631923200,SETH,260465.25537,2021-09-18 00:00:00
1631923200,SUSD,5844133.43839,2021-09-18 00:00:00
1632009600,SETH,281862.15606,2021-09-19 00:00:00
1632009600,SUSD,5718209.99226,2021-09-19 00:00:00
1632096000,SETH,362489.61346,2021-09-20 00:00:00
1632096000,SUSD,5207041.41784,2021-09-20 00:00:00
1632182400,SETH,503708.18666,2021-09-21 00:00:00
1632182400,SUSD,5557187.78421,2021-09-21 00:00:00
1632268800,SUSD,5512469.36583,2021-09-22 00:00:00
1632268800,SETH,671662.84872,2021-09-22 00:00:00
1632355200,SUSD,5483373.04204,2021-09-23 00:00:00
1632355200,SETH,817927.13248,2021-09-23 00:00:00
1632441600,SUSD,5841174.06222,2021-09-24 00:00:00
1632441600,SETH,421447.41629,2021-09-24 00:00:00
1632528000,SUSD,5814425.44599,2021-09-25 00:00:00
1632528000,SETH,445065.12784,2021-09-25 00:00:00
1632614400,SUSD,5840029.64466,2021-09-26 00:00:00
1632614400,SETH,501100.55161,2021-09-26 00:00:00
1632700800,SUSD,6250333.28856,2021-09-27 00:00:00
1632700800,SETH,496802.62781,2021-09-27 00:00:00
1632787200,SUSD,6250936.52562,2021-09-28 00:00:00
1632787200,SETH,494523.2169,2021-09-28 00:00:00
1632873600,SUSD,6310674.79956,2021-09-29 00:00:00
1632873600,SETH,553062.02841,2021-09-29 00:00:00
1632960000,SUSD,5831893.68764,2021-09-30 00:00:00
1632960000,SETH,615626.48971,2021-09-30 00:00:00
1633046400,SUSD,3154788.28465,2021-10-01 00:00:00
1633046400,SETH,46514.64141,2021-10-01 00:00:00
1633132800,SUSD,2103420.2923,2021-10-02 00:00:00
1633132800,SETH,35521.50814,2021-10-02 00:00:00
1633219200,SUSD,1479804.93579,2021-10-03 00:00:00
1633219200,SETH,34927.18168,2021-10-03 00:00:00
1633305600,SUSD,8182948.88605,2021-10-04 00:00:00
1633305600,SETH,43393.82444,2021-10-04 00:00:00
1633392000,SUSD,7954786.05392,2021-10-05 00:00:00
1633392000,SETH,131951.91757,2021-10-05 00:00:00
1633478400,SUSD,7943568.72318,2021-10-06 00:00:00
1633478400,SETH,141920.53736,2021-10-06 00:00:00
1633564800,SUSD,7866646.59818,2021-10-07 00:00:00
1633564800,SETH,196566.74482,2021-10-07 00:00:00
1633651200,SUSD,7882469.85872,2021-10-08 00:00:00
1633651200,SETH,268832.18223,2021-10-08 00:00:00
1633737600,SUSD,7729438.47921,2021-10-09 00:00:00
1633737600,SETH,333027.21663,2021-10-09 00:00:00
1633824000,SUSD,7239989.25841,2021-10-10 00:00:00
1633824000,SETH,767732.16332,2021-10-10 00:00:00
1633910400,SUSD,6940852.67395,2021-10-11 00:00:00
1633910400,SETH,1032488.3375,2021-10-11 00:00:00
1633996800,SUSD,6638974.74146,2021-10-12 00:00:00
1633996800,SETH,1405938.85759,2021-10-12 00:00:00
1634083200,SUSD,6549212.41613,2021-10-13 00:00:00
1634083200,SETH,1535120.55523,2021-10-13 00:00:00
1634169600,SUSD,6356332.81686,2021-10-14 00:00:00
1634169600,SETH,1723556.83734,2021-10-14 00:00:00
1634256000,SUSD,6281563.02809,2021-10-15 00:00:00
1634256000,SETH,1887530.7798,2021-10-15 00:00:00
1634342400,SUSD,7472640.65988,2021-10-16 00:00:00
1634342400,SETH,821147.46192,2021-10-16 00:00:00
1634428800,SUSD,7370016.20626,2021-10-17 00:00:00
1634428800,SETH,913220.87331,2021-10-17 00:00:00
1634515200,SUSD,7374221.02486,2021-10-18 00:00:00
1634515200,SETH,980535.06993,2021-10-18 00:00:00
1634601600,SUSD,7199105.88697,2021-10-19 00:00:00
1634601600,SETH,1142947.04698,2021-10-19 00:00:00
1634688000,SUSD,7130053.72902,2021-10-20 00:00:00
1634688000,SETH,1277084.33567,2021-10-20 00:00:00
1634774400,SUSD,7057481.06208,2021-10-21 00:00:00
1634774400,SETH,1390679.6865,2021-10-21 00:00:00
1634860800,SUSD,6805521.2637,2021-10-22 00:00:00
1634860800,SETH,1682485.92947,2021-10-22 00:00:00
1634947200,SUSD,7220688.25064,2021-10-23 00:00:00
1634947200,SETH,1389966.84736,2021-10-23 00:00:00
1635033600,SUSD,7264001.29984,2021-10-24 00:00:00
1635033600,SETH,1511009.52868,2021-10-24 00:00:00
1635120000,SUSD,7256875.2364,2021-10-25 00:00:00
1635120000,SETH,1507510.34661,2021-10-25 00:00:00
1635206400,SUSD,7324749.38509,2021-10-26 00:00:00
1635206400,SETH,1587467.64787,2021-10-26 00:00:00
1635292800,SUSD,7387049.64196,2021-10-27 00:00:00
1635292800,SETH,9195.80876,2021-10-27 00:00:00
1635379200,SUSD,6560888.77265,2021-10-28 00:00:00
1635379200,SETH,8688.21234,2021-10-28 00:00:00
1635465600,SUSD,6551778.48737,2021-10-29 00:00:00
1635465600,SETH,9379.81827,2021-10-29 00:00:00
1635552000,SUSD,6697088.01237,2021-10-30 00:00:00
1635552000,SETH,5297.44266,2021-10-30 00:00:00
1635638400,SUSD,6582005.98559,2021-10-31 00:00:00
1635638400,SETH,5293.11706,2021-10-31 00:00:00
1635724800,SUSD,7319815.18109,2021-11-01 00:00:00
1635724800,SETH,5161.96777,2021-11-01 00:00:00
1635811200,SUSD,6739390.07992,2021-11-02 00:00:00
1635811200,SETH,5283.92061,2021-11-02 00:00:00
1635897600,SUSD,9543340.23756,2021-11-03 00:00:00
1635897600,SETH,5597.67809,2021-11-03 00:00:00
1635897600,USDC,9467383.03855,2021-11-03 00:00:00
1635984000,SUSD,12206463.85792,2021-11-04 00:00:00
1635984000,SETH,5579.2125,2021-11-04 00:00:00
1635984000,USDC,11614413.6815,2021-11-04 00:00:00
1636070400,SUSD,22105680.93968,2021-11-05 00:00:00
1636070400,SETH,5474.97401,2021-11-05 00:00:00
1636070400,USDC,13768632.07164,2021-11-05 00:00:00
1636156800,SUSD,23204820.16194,2021-11-06 00:00:00
1636156800,SETH,307835.96022,2021-11-06 00:00:00
1636156800,USDC,16519015.54285,2021-11-06 00:00:00
1636243200,SUSD,23987738.70996,2021-11-07 00:00:00
1636243200,SETH,723055.03823,2021-11-07 00:00:00
1636243200,USDC,20134184.96269,2021-11-07 00:00:00
1636329600,SUSD,23991659.88725,2021-11-08 00:00:00
1636329600,SETH,807844.20858,2021-11-08 00:00:00
1636329600,USDC,24015831.2825,2021-11-08 00:00:00
1636416000,SUSD,23248916.81472,2021-11-09 00:00:00
1636416000,SETH,968028.62568,2021-11-09 00:00:00
1636416000,USDC,25509300.09173,2021-11-09 00:00:00
1636502400,SUSD,23088363.31573,2021-11-10 00:00:00
1636502400,SETH,2212354.40447,2021-11-10 00:00:00
1636502400,USDC,26698440.10439,2021-11-10 00:00:00
1636588800,SUSD,23238446.07402,2021-11-11 00:00:00
1636588800,SETH,2651423.28662,2021-11-11 00:00:00
1636588800,USDC,31479874.84679,2021-11-11 00:00:00
1636675200,SUSD,22987509.94454,2021-11-12 00:00:00
1636675200,SETH,3118175.22502,2021-11-12 00:00:00
1636675200,USDC,31824588.44535,2021-11-12 00:00:00
1636761600,SUSD,22940532.62341,2021-11-13 00:00:00
1636761600,SETH,3176909.34295,2021-11-13 00:00:00
1636761600,USDC,34429039.01791,2021-11-13 00:00:00
1636848000,SUSD,23387618.29817,2021-11-14 00:00:00
1636848000,SETH,3260686.87912,2021-11-14 00:00:00
1636848000,USDC,34598388.36259,2021-11-14 00:00:00
1636934400,SUSD,24158912.70852,2021-11-15 00:00:00
1636934400,SETH,3427338.59615,2021-11-15 00:00:00
1636934400,USDC,37379484.89869,2021-11-15 00:00:00
1637020800,SUSD,25242131.42542,2021-11-16 00:00:00
