date,forecasted_transaction_cnt,forecasted_active_users,forecasted_unique_users,forecasted_total_op_transferred,forecasted_cum_op_transferred_in_tokens
2024-09-01,9.082154949711155,12.668206338727387,5.266804259555504,6427438292.372574,-1130.8929029961091
2024-09-02,7.449471309250422,5.1166043099497545,6.103483873100735,7294466971.348544,-4363.317641236696
2024-09-03,7.828808492211137,8.727721850784524,6.113544044693391,8121023703.162917,3737.1156560780073
2024-09-04,10.198060636313445,6.51810269551941,5.515800758159595,36335863631.08774,-2790.151811386837
2024-09-05,10.817799107102356,8.401255444983134,6.55557310482293,34660998855.006195,-4758.423378677548
2024-09-06,2.3678855760265693,8.783880290959656,3.7135550121994942,40476043552.12361,3640.866082224864
2024-09-07,7.585149380128357,8.150546957044028,6.104858990092422,6941730691.438221,-7500.181819576486
2024-09-08,7.188475806473757,7.012319668299877,5.711065167721254,9065088924.512165,-6168.412602778764
2024-09-09,9.60736508774592,8.554683394552468,5.844859274710762,7890221034.402909,-4089.3648196898666
2024-09-10,15.153743896547908,6.387073957534779,6.475215938886134,883352086034.686,-11564.007433961127
2024-09-11,11.248584750248165,4.546913937111054,4.788225266115247,987014631.440086,-5306.595587409563
2024-09-12,18.063387923366516,5.18567818701139,3.874884413577892,2136005421869.2122,-7913.590673160176
2024-09-13,9.465676756879809,9.057540337856263,5.538067220264836,39193755.54129783,-9966.160725414717
2024-09-14,6.465163867137009,11.368422187086244,3.1618711905535486,338721420.2823949,-10029.11123068682
2024-09-15,7.853230641575219,3.1530283815869797,4.6502524621570664,3197329007.027665,-10941.076780869556
2024-09-16,11.972154018640884,5.684991207260447,4.380682570043,20236924200.014877,-12948.431202912097
2024-09-17,25.668665416607045,13.881323275594783,2.5188213713577055,420672658.54419816,-12166.411681206631
2024-09-18,6.911488643772496,3.4143399124869074,5.396346283981542,19406044779.734283,-11493.94353889098
2024-09-19,7.434560821503556,4.790094898452555,9.757885279676069,7035589815.51414,-10808.65077174419
2024-09-20,5.727112227557987,13.391254370441784,6.1569695203643136,5193421180.033979,-11258.46203938979
2024-09-21,8.157277682467361,5.344445435515448,8.969177720246329,6325728650.99733,-14170.31438029566
2024-09-22,5.283153663992494,6.803092771991759,6.9320514370886865,185362125.3687967,-10412.95005621336
2024-09-23,5.54711718784637,8.108983031655603,6.816286497287002,98756807265.00049,-10725.464263161277
2024-09-24,4.264871779784213,6.496723952264099,7.680477501799414,1060225888.9569781,-10309.480151005471
2024-09-25,4.88185531271961,7.583390705093561,6.60547828203512,289356668.01795334,-13060.896034039102
2024-09-26,7.481213170951262,7.752225313660361,4.426192113288349,16105410544.258121,-14530.009052135156
2024-09-27,9.408030357278868,6.5114970374509635,4.897176404909132,14294962686.772339,-13506.552762803974
2024-09-28,18.269407972229555,6.509939229181258,10.15094326955137,43764632916.74931,-12799.504184907528
2024-09-29,4.252420235296875,4.144823216104493,5.375852321028666,38208038639.57309,-12205.247785222784
2024-09-30,8.496401041221102,6.462082700308408,3.221330322694867,39942912429.2273,-12863.38870744956
2024-10-01,13.7293565775426,9.301619536000677,4.829147734422463,6479935392.970885,-12633.177644152855
2024-10-02,13.104359008042564,9.097309169656356,5.83762235155126,6372000824.468564,-13736.42448970929
2024-10-03,9.170610042433594,6.468083542341804,4.129326856416084,9650199727.701757,-13070.410331697058
2024-10-04,5.492932070510212,10.664069313855656,10.587593288300027,19766600614.756096,-13708.27432683498
2024-10-05,7.523077333244057,5.22652267449226,6.7603521261523225,142282149324.85263,-13711.553318274438
2024-10-06,6.912474770996954,6.370571191727729,5.393974840415544,61961460206.179596,-14517.390272752218
2024-10-07,5.7000184987064895,4.950261397364299,8.95149551619587,6235091441.55561,-14208.610761437483
2024-10-08,8.207807979856645,10.910400043881786,7.417054232272812,9226812077.742628,-13965.470354579253
2024-10-09,14.117284941678973,6.017229657698957,5.395482905769396,8999165516.186728,-13867.87683759807
2024-10-10,10.316642838463252,6.232577468631588,5.7201929713905075,37119944328.462715,-14184.660705100143
