date,token,value,readable_date
1703116800,ETHX,45162412.87145,2023-12-21 00:00:00
1703116800,STETH,54860833.74829,2023-12-21 00:00:00
1703203200,ETHX,48380535.90888,2023-12-22 00:00:00
1703203200,STETH,55274224.78903,2023-12-22 00:00:00
1703289600,ETHX,58287452.09995,2023-12-23 00:00:00
1703289600,STETH,57480028.91807,2023-12-23 00:00:00
1703376000,ETHX,65770891.80912,2023-12-24 00:00:00
1703376000,STETH,57325097.33123,2023-12-24 00:00:00
1703462400,ETHX,67344568.27506,2023-12-25 00:00:00
1703462400,STETH,56275888.34175,2023-12-25 00:00:00
1703548800,ETHX,68438669.98713,2023-12-26 00:00:00
1703548800,STETH,56757042.19722,2023-12-26 00:00:00
1703635200,ETHX,69561720.25983,2023-12-27 00:00:00
1703635200,STETH,55651294.03393,2023-12-27 00:00:00
1703721600,ETHX,78182703.28537,2023-12-28 00:00:00
1703721600,STETH,60770024.15363,2023-12-28 00:00:00
1703808000,ETHX,76834546.2382,2023-12-29 00:00:00
1703808000,STETH,58662152.6887,2023-12-29 00:00:00
1703894400,ETHX,79329240.76736,2023-12-30 00:00:00
1703894400,STETH,57442610.89505,2023-12-30 00:00:00
1703980800,ETHX,81213971.85011,2023-12-31 00:00:00
1703980800,STETH,57507806.5879,2023-12-31 00:00:00
1704067200,ETHX,82784609.64522,2024-01-01 00:00:00
1704067200,STETH,57241492.75209,2024-01-01 00:00:00
1704153600,ETHX,88061948.77412,2024-01-02 00:00:00
1704153600,STETH,59662512.28912,2024-01-02 00:00:00
1704240000,ETHX,89124995.52636,2024-01-03 00:00:00
1704240000,STETH,58972622.06259,2024-01-03 00:00:00
1704326400,ETHX,83975074.9952,2024-01-04 00:00:00
1704326400,STETH,55387824.63885,2024-01-04 00:00:00
1704412800,ETHX,86425354.13927,2024-01-05 00:00:00
1704412800,STETH,56902435.90893,2024-01-05 00:00:00
1704499200,ETHX,85954346.7219,2024-01-06 00:00:00
1704499200,STETH,56860359.0841,2024-01-06 00:00:00
1704585600,ETHX,85498435.31582,2024-01-07 00:00:00
1704585600,STETH,56578696.49023,2024-01-07 00:00:00
1704672000,ETHX,84515369.54308,2024-01-08 00:00:00
1704672000,STETH,57274574.87958,2024-01-08 00:00:00
1704758400,ETHX,88482208.68751,2024-01-09 00:00:00
1704758400,STETH,60783579.39645,2024-01-09 00:00:00
1704844800,ETHX,91238721.20092,2024-01-10 00:00:00
1704844800,STETH,62791754.33208,2024-01-10 00:00:00
1704931200,ETHX,98351206.45156,2024-01-11 00:00:00
1704931200,STETH,69174356.78105,2024-01-11 00:00:00
1705017600,ETHX,99881625.40534,2024-01-12 00:00:00
1705017600,STETH,69927659.8784,2024-01-12 00:00:00
1705104000,ETHX,97350709.8322,2024-01-13 00:00:00
1705104000,STETH,68090714.76778,2024-01-13 00:00:00
