transaction_date,address,transaction_cnt,active_users,total_transferred,gas_fee,unique_users,cum_transferred
2024-06-01,0x00000000fc04c910a0b5fea33b03e0447ad0b0aa,4199.0,19.0,3.330454810137944e+18,0.0059815121363646405,19.0,3.330454810137944e+18
2024-06-02,0x00000000fc04c910a0b5fea33b03e0447ad0b0aa,4730.0,38.0,3.740147579464848e+18,0.005497319275279892,27.0,7.070602389602791e+18
2024-06-03,0x00000000fc04c910a0b5fea33b03e0447ad0b0aa,4423.0,59.0,3.5173794341269453e+18,0.037921651782649515,48.0,1.0587981823729738e+19
2024-06-04,0x00000000fc04c910a0b5fea33b03e0447ad0b0aa,4338.0,24.0,3.4339737564888663e+18,0.06824267025541046,12.0,1.4021955580218604e+19
2024-06-05,0x00000000fc04c910a0b5fea33b03e0447ad0b0aa,4583.0,20.0,3.5961743040909235e+18,0.10891330777618954,8.0,1.7618129884309527e+19
2024-06-06,0x00000000fc04c910a0b5fea33b03e0447ad0b0aa,3816.0,18.0,2.979152612792872e+18,0.09055961076579674,5.0,2.0597282497102397e+19
2024-06-07,0x00000000fc04c910a0b5fea33b03e0447ad0b0aa,4097.0,26.0,3.2239822907395256e+18,0.12310385720195419,11.0,2.3821264787841925e+19
2024-06-08,0x00000000fc04c910a0b5fea33b03e0447ad0b0aa,2960.0,15.0,2.4122415233178373e+18,0.070265571820318,4.0,2.6233506311159763e+19
2024-06-09,0x00000000fc04c910a0b5fea33b03e0447ad0b0aa,3241.0,14.0,2.6328536315191685e+18,0.0766779600721504,3.0,2.886635994267893e+19
2024-06-10,0x00000000fc04c910a0b5fea33b03e0447ad0b0aa,3211.0,14.0,2.602222136951275e+18,0.07198442273854778,2.0,3.1468582079630205e+19
2024-06-11,0x00000000fc04c910a0b5fea33b03e0447ad0b0aa,4394.0,16.0,3.6062805324491894e+18,0.10868800313924078,2.0,3.5074862612079395e+19
2024-06-12,0x00000000fc04c910a0b5fea33b03e0447ad0b0aa,4865.0,17.0,4.1711866113766497e+18,0.048656770376153215,6.0,3.924604922345605e+19
2024-06-13,0x00000000fc04c910a0b5fea33b03e0447ad0b0aa,5678.0,17.0,4.799653261598129e+18,0.008625271632130027,1.0,4.404570248505418e+19
2024-06-14,0x00000000fc04c910a0b5fea33b03e0447ad0b0aa,5921.0,13.0,5.132184969171782e+18,0.009613361891368804,2.0,4.917788745422596e+19
2024-06-15,0x00000000fc04c910a0b5fea33b03e0447ad0b0aa,4957.0,12.0,4.3627019835316654e+18,0.0053853771104566675,1.0,5.354058943775762e+19
2024-06-16,0x00000000fc04c910a0b5fea33b03e0447ad0b0aa,4324.0,11.0,3.639291952537123e+18,0.003815065348238944,0.0,5.7179881390294745e+19
2024-06-17,0x00000000fc04c910a0b5fea33b03e0447ad0b0aa,3483.0,16.0,2.913090718204267e+18,0.03877456226905049,4.0,6.009297210849901e+19
2024-06-18,0x00000000fc04c910a0b5fea33b03e0447ad0b0aa,4428.0,15.0,3.768136394792186e+18,0.11622219515053474,1.0,6.38611085032912e+19
2024-06-19,0x00000000fc04c910a0b5fea33b03e0447ad0b0aa,4915.0,14.0,4.306309238369624e+18,0.11652243612865247,1.0,6.816741774166082e+19
2024-06-20,0x00000000fc04c910a0b5fea33b03e0447ad0b0aa,3601.0,13.0,3.040943955951372e+18,0.1570543936527242,0.0,7.120836169761219e+19
2024-06-21,0x00000000fc04c910a0b5fea33b03e0447ad0b0aa,3528.0,14.0,3.004397580359643e+18,0.08501244228642467,0.0,7.421275927797183e+19
2024-06-22,0x00000000fc04c910a0b5fea33b03e0447ad0b0aa,3024.0,12.0,2.5796795013046707e+18,0.07287629386051278,0.0,7.679243877927651e+19
2024-06-23,0x00000000fc04c910a0b5fea33b03e0447ad0b0aa,3312.0,14.0,2.8477799805998915e+18,0.07965714140563945,1.0,7.96402187598764e+19
2024-06-24,0x00000000fc04c910a0b5fea33b03e0447ad0b0aa,4615.0,13.0,4.0180318858103276e+18,0.11407411540516464,0.0,8.365825064568671e+19
2024-06-25,0x00000000fc04c910a0b5fea33b03e0447ad0b0aa,4745.0,13.0,4.287646886922409e+18,0.11498985981281587,0.0,8.794589753260912e+19
2024-06-26,0x00000000fc04c910a0b5fea33b03e0447ad0b0aa,4975.0,16.0,4.377740394184962e+18,0.10667590429434909,0.0,9.232363792679408e+19
2024-06-27,0x00000000fc04c910a0b5fea33b03e0447ad0b0aa,4146.0,15.0,3.6883453765797693e+18,0.004777740483967628,1.0,9.601198330337385e+19
2024-06-28,0x00000000fc04c910a0b5fea33b03e0447ad0b0aa,5433.0,13.0,4.739031584629524e+18,0.007552591736917993,1.0,1.0075101488800337e+20
2024-06-29,0x00000000fc04c910a0b5fea33b03e0447ad0b0aa,4052.0,12.0,3.5973370558403937e+18,0.0028973786970057777,0.0,1.0434835194384376e+20
2024-06-30,0x00000000fc04c910a0b5fea33b03e0447ad0b0aa,3415.0,12.0,3.0250618692563277e+18,0.0039699679762616406,0.0,1.0737341381310009e+20
2024-07-01,0x00000000fc04c910a0b5fea33b03e0447ad0b0aa,3620.0,13.0,3.1696384478518154e+18,0.025904902018757628,0.0,1.105430522609519e+20
2024-07-02,0x00000000fc04c910a0b5fea33b03e0447ad0b0aa,3648.0,13.0,3.153474821655255e+18,0.03936290280402671,0.0,1.1369652708260715e+20
2024-07-03,0x00000000fc04c910a0b5fea33b03e0447ad0b0aa,3738.0,16.0,3.2880959255082906e+18,0.08892754506805474,3.0,1.1698462300811544e+20
2024-07-04,0x00000000fc04c910a0b5fea33b03e0447ad0b0aa,3980.0,14.0,3.6370485660822764e+18,0.09793631730363234,2.0,1.2062167157419771e+20
