transaction_date,transaction_cnt,active_users,total_transferred,gas_fee,unique_users,retained_percent,daa_to_maa_ratio,cum_transferred
2024-06-02,650.0,258.0,5.6540485264300155e+19,0.0488101168347803,230.0,0.24031007751937986,0.02,5.6540485264300155e+19
2024-06-03,725.0,299.0,8.389521680585798e+19,0.061575902638432364,247.0,0.18394648829431437,0.02,1.4043570207015813e+20
2024-06-04,613.0,287.0,5.109989185704328e+19,0.11100505774740631,233.0,0.22996515679442509,0.02,1.9153559392720142e+20
2024-06-05,645.0,288.0,1.556984251101653e+19,0.06337143262419813,236.0,0.22569444444444445,0.02,2.0710543643821795e+20
2024-06-06,655.0,307.0,9.023360902317433e+18,0.054421112642931764,221.0,0.23452768729641693,0.02,2.161287973405354e+20
2024-06-07,641.0,236.0,6.632543863468187e+19,0.10743564913342066,137.0,0.2966101694915254,0.02,2.8245423597521725e+20
2024-06-08,498.0,197.0,5.7060885792589455e+19,0.2912147984964154,93.0,0.3401015228426396,0.01,3.395151217678067e+20
2024-06-09,545.0,190.0,9.655317400514982e+18,0.05707772834039886,104.0,0.34210526315789475,0.01,3.491704391683217e+20
2024-06-10,438.0,184.0,1.9614515001770885e+19,0.08493020733475336,87.0,0.3641304347826087,0.01,3.687849541700926e+20
2024-06-11,814.0,420.0,4.567141672952305e+19,0.11109036072955697,321.0,0.1619047619047619,0.03,4.144563708996157e+20
2024-06-12,2235.0,1508.0,1.315164653392905e+19,0.09576012849289252,1375.0,0.04442970822281167,0.1,4.2760801743354475e+20
2024-06-13,2204.0,1430.0,4.444685259327205e+19,0.3628701484912583,1296.0,0.06293706293706294,0.1,4.720548700268168e+20
2024-06-14,1656.0,949.0,8.196509100791533e+19,0.16541163740445605,766.0,0.08324552160168598,0.06,5.540199610347321e+20
2024-06-15,1929.0,1316.0,1.467556477822652e+19,0.1284716725411922,1066.0,0.05167173252279635,0.09,5.686955258129586e+20
2024-06-16,1599.0,1015.0,2.377883325496729e+19,0.15340007077452636,884.0,0.06600985221674877,0.07,5.92474359067926e+20
2024-06-17,3547.0,1139.0,2.571337597583236e+19,1.1946791666237147,2556.0,0.0553116769095698,0.08,6.181877350437584e+20
2024-06-18,1993.0,1368.0,1.0515920691394224e+19,0.3370403211750842,773.0,0.05263157894736842,0.09,6.287036557351526e+20
2024-06-19,2450.0,1890.0,2.80586441889732e+19,0.1313369000942573,534.0,0.04021164021164021,0.13,6.567622999241258e+20
2024-06-20,831.0,459.0,4.457045704603213e+19,0.15094737067425407,326.0,0.13507625272331156,0.03,7.01332756970158e+20
2024-06-21,1238.0,646.0,3.0759300793093853e+19,0.6637253222441425,591.0,0.09907120743034056,0.04,7.320920577632519e+20
2024-06-22,1570.0,885.0,1.8992698459295076e+19,0.08689201530085351,805.0,0.0576271186440678,0.06,7.51084756222547e+20
2024-06-23,1654.0,779.0,2.0913411462914306e+19,0.0620697762588412,685.0,0.07188703465982028,0.05,7.719981676854612e+20
2024-06-24,1434.0,723.0,4.44711745805257e+19,0.17902909433393174,570.0,0.08852005532503458,0.05,8.164693422659869e+20
2024-06-25,840.0,445.0,1.5702311579851012e+19,0.09774098404010667,294.0,0.14606741573033707,0.03,8.32171653845838e+20
