transaction_date,address,transaction_cnt,active_users,total_transferred,gas_fee,unique_users,cum_transferred
2024-06-01,0xd152f549545093347a162dce210e7293f1452150,68.0,4.0,2.8521656802050182e+17,0.00043940997180241104,4.0,2.8521656802050182e+17
2024-06-02,0xd152f549545093347a162dce210e7293f1452150,60.0,5.0,8.513981984368811e+16,0.000252399315203869,4.0,3.7035638786418995e+17
2024-06-03,0xd152f549545093347a162dce210e7293f1452150,73.0,5.0,3351586461412725.0,0.0011823794672349331,3.0,3.737079743256027e+17
2024-06-04,0xd152f549545093347a162dce210e7293f1452150,84.0,9.0,5713244638197409.0,0.0019494264710004424,6.0,3.794212189638001e+17
2024-06-05,0xd152f549545093347a162dce210e7293f1452150,81.0,8.0,1.0052044183518656e+17,0.0028070500335299845,5.0,4.799416607989867e+17
2024-06-06,0xd152f549545093347a162dce210e7293f1452150,84.0,6.0,6.117735814127062e+16,0.0030878502587775854,2.0,5.411190189402573e+17
2024-06-07,0xd152f549545093347a162dce210e7293f1452150,75.0,7.0,4.8661483074037696e+17,0.006579137239516802,5.0,1.0277338496806342e+18
2024-06-08,0xd152f549545093347a162dce210e7293f1452150,79.0,7.0,1.1841309622856516e+16,0.003552138573704812,5.0,1.0395751593034908e+18
2024-06-09,0xd152f549545093347a162dce210e7293f1452150,80.0,8.0,7.404290856964005e+16,0.0029421160273926457,5.0,1.1136180678731309e+18
2024-06-10,0xd152f549545093347a162dce210e7293f1452150,81.0,8.0,7.227958492974566e+16,0.003284009805174739,6.0,1.1858976528028764e+18
2024-06-11,0xd152f549545093347a162dce210e7293f1452150,83.0,8.0,3.0344440365104346e+17,0.003831722821055078,4.0,1.4893420564539197e+18
2024-06-12,0xd152f549545093347a162dce210e7293f1452150,89.0,14.0,1.609059637617948e+17,0.003115464359491576,9.0,1.6502480202157146e+18
2024-06-13,0xd152f549545093347a162dce210e7293f1452150,66.0,3.0,4548601695608857.0,0.00034299649710716607,2.0,1.6547966219113234e+18
2024-06-14,0xd152f549545093347a162dce210e7293f1452150,72.0,2.0,519139646063813.0,0.000284671751868922,0.0,1.6553157615573873e+18
2024-06-15,0xd152f549545093347a162dce210e7293f1452150,62.0,4.0,6180428855859760.0,0.00017088462582310094,2.0,1.661496190413247e+18
2024-06-16,0xd152f549545093347a162dce210e7293f1452150,75.0,9.0,7.57556834364587e+16,0.00030325028542897405,6.0,1.7372518738497057e+18
2024-06-17,0xd152f549545093347a162dce210e7293f1452150,55.0,3.0,3563039183652614.0,0.0006354189916634178,1.0,1.7408149130333583e+18
2024-06-18,0xd152f549545093347a162dce210e7293f1452150,71.0,3.0,2.454629898673576e+17,0.0020824236784011438,1.0,1.986277902900716e+18
2024-06-19,0xd152f549545093347a162dce210e7293f1452150,73.0,3.0,5005967057415384.0,0.0017310756916204372,1.0,1.9912838699581315e+18
2024-06-20,0xd152f549545093347a162dce210e7293f1452150,100.0,19.0,3.5006152042980576e+17,0.004342295874380563,15.0,2.3413453903879373e+18
2024-06-21,0xd152f549545093347a162dce210e7293f1452150,73.0,6.0,1.1351798190492821e+17,0.0018107825585354266,5.0,2.4548633722928655e+18
2024-06-22,0xd152f549545093347a162dce210e7293f1452150,72.0,4.0,1.2630159303977301e+17,0.0027840563047274347,3.0,2.5811649653326387e+18
2024-06-23,0xd152f549545093347a162dce210e7293f1452150,79.0,7.0,2.6098478356082794e+17,0.003255918149979376,4.0,2.8421497488934666e+18
2024-06-24,0xd152f549545093347a162dce210e7293f1452150,75.0,6.0,2.48262148483063e+17,0.00278698499235933,3.0,3.0904118973765294e+18
2024-06-25,0xd152f549545093347a162dce210e7293f1452150,57.0,5.0,2.1747163868782544e+16,0.002831280377385112,4.0,3.112159061245312e+18
2024-06-26,0xd152f549545093347a162dce210e7293f1452150,88.0,13.0,7.0460117465666856e+16,0.003179112122275886,6.0,3.182619178710979e+18
2024-06-27,0xd152f549545093347a162dce210e7293f1452150,89.0,12.0,1.5568323923727446e+19,0.00042655135921283727,7.0,1.8750943102438425e+19
2024-06-28,0xd152f549545093347a162dce210e7293f1452150,76.0,7.0,3113966694534862.0,0.00028260335875756297,4.0,1.875405706913296e+19
2024-06-29,0xd152f549545093347a162dce210e7293f1452150,74.0,11.0,2.1807923270982042e+18,0.000236800840779555,9.0,2.0934849396231164e+19
2024-06-30,0xd152f549545093347a162dce210e7293f1452150,67.0,12.0,1.2085423829894157e+17,0.00010496158544654401,10.0,2.1055703634530107e+19
2024-07-01,0xd152f549545093347a162dce210e7293f1452150,72.0,11.0,1.5187500904373924e+16,0.001178465521861428,9.0,2.107089113543448e+19
2024-07-02,0xd152f549545093347a162dce210e7293f1452150,72.0,7.0,1.246183370569837e+16,0.0013625921855750787,5.0,2.108335296914018e+19
2024-07-03,0xd152f549545093347a162dce210e7293f1452150,85.0,13.0,2.7308074484863898e+17,0.0026861091779189234,10.0,2.1356433713988817e+19
2024-07-04,0xd152f549545093347a162dce210e7293f1452150,86.0,9.0,1.665343381739918e+16,0.002115764807805796,5.0,2.1373087147806216e+19
2024-07-05,0xd152f549545093347a162dce210e7293f1452150,72.0,6.0,1.2568891043901522e+18,0.002445654615206893,3.0,2.262997625219637e+19
2024-07-06,0xd152f549545093347a162dce210e7293f1452150,72.0,4.0,5245698224810503.0,0.0015279101254400262,2.0,2.263522195042118e+19
2024-07-07,0xd152f549545093347a162dce210e7293f1452150,75.0,5.0,7.619449431138114e+16,0.0020511965764099605,2.0,2.2711416444732563e+19
2024-07-08,0xd152f549545093347a162dce210e7293f1452150,72.0,2.0,5866464227371834.0,0.0019064380402172229,0.0,2.2717282908959937e+19
2024-07-09,0xd152f549545093347a162dce210e7293f1452150,60.0,5.0,5.6042549941157805e+17,0.002298975467624233,2.0,2.3277708408371515e+19
2024-07-10,0xd152f549545093347a162dce210e7293f1452150,84.0,8.0,2.910181510251671e+16,0.002155658849722615,4.0,2.3306810223474033e+19
2024-07-11,0xd152f549545093347a162dce210e7293f1452150,73.0,4.0,1.092865058393506e+16,0.00026502349104957603,2.0,2.331773887405797e+19
2024-07-12,0xd152f549545093347a162dce210e7293f1452150,52.0,1.0,432094447913437.0,0.00013446037164151298,0.0,2.3318170968505885e+19
2024-07-13,0xd152f549545093347a162dce210e7293f1452150,36.0,5.0,1910208661135347.0,0.00014361890151748602,3.0,2.332008117716702e+19
2024-07-14,0xd152f549545093347a162dce210e7293f1452150,66.0,5.0,5.874391813214607e+16,0.00015359986007977398,2.0,2.3378825095299166e+19
2024-07-15,0xd152f549545093347a162dce210e7293f1452150,112.0,10.0,4.1343754505393736e+16,0.0009890890067959692,7.0,2.342016884980456e+19
2024-07-16,0xd152f549545093347a162dce210e7293f1452150,74.0,10.0,3.161174094338449e+17,0.0021382410870814162,5.0,2.3736286259238404e+19
2024-07-17,0xd152f549545093347a162dce210e7293f1452150,74.0,3.0,7838545998919062.0,0.0024734333129078734,1.0,2.374412480523732e+19
2024-07-18,0xd152f549545093347a162dce210e7293f1452150,76.0,4.0,7811644874250455.0,0.0023824659557235626,1.0,2.3751936450111574e+19
2024-07-19,0xd152f549545093347a162dce210e7293f1452150,82.0,4.0,4.1171107357069574e+17,0.00318010301291024,0.0,2.416364752368227e+19
2024-07-20,0xd152f549545093347a162dce210e7293f1452150,90.0,6.0,1.0184846885314064e+16,0.002471309388577141,3.0,2.4173832370567586e+19
2024-07-21,0xd152f549545093347a162dce210e7293f1452150,79.0,5.0,1.9426742847305616e+17,0.0032815025674867333,1.0,2.4368099799040643e+19
2024-07-22,0xd152f549545093347a162dce210e7293f1452150,76.0,5.0,1.7280983534983053e+17,0.002329915191559835,0.0,2.4540909634390475e+19
2024-07-23,0xd152f549545093347a162dce210e7293f1452150,85.0,9.0,6.034383386101699e+17,0.005068024268809745,4.0,2.5144347973000643e+19
2024-07-24,0xd152f549545093347a162dce210e7293f1452150,72.0,7.0,1.1430621819452716e+16,0.002177914707431431,3.0,2.5155778594820096e+19
2024-07-25,0xd152f549545093347a162dce210e7293f1452150,42.0,4.0,2.2192943885748342e+17,0.000727357610241808,1.0,2.537770803367758e+19
2024-07-26,0xd152f549545093347a162dce210e7293f1452150,74.0,7.0,3.634083442114542e+17,0.0010566825838014716,3.0,2.5741116377889034e+19
2024-07-27,0xd152f549545093347a162dce210e7293f1452150,52.0,6.0,2651268766130000.0,0.00022815469897561797,3.0,2.5743767646655164e+19
2024-07-28,0xd152f549545093347a162dce210e7293f1452150,57.0,8.0,7.231445770667314e+16,0.00023376647044049908,6.0,2.5816082104361837e+19
2024-07-29,0xd152f549545093347a162dce210e7293f1452150,53.0,7.0,2.0611484270451088e+17,0.00015989591301188098,4.0,2.6022196947066348e+19
2024-07-30,0xd152f549545093347a162dce210e7293f1452150,79.0,9.0,2.109675420311873e+17,0.00012855129536470697,5.0,2.6233164489097535e+19
2024-07-31,0xd152f549545093347a162dce210e7293f1452150,50.0,6.0,1.1933419408530544e+16,0.00012045057472791,4.0,2.6245097908506067e+19
2024-08-01,0xd152f549545093347a162dce210e7293f1452150,48.0,8.0,2.4963762868800867e+17,0.00019643160816085499,3.0,2.6494735537194074e+19
2024-08-02,0xd152f549545093347a162dce210e7293f1452150,39.0,2.0,3.62496146165726e+17,0.000151270329902426,1.0,2.68572316833598e+19
2024-08-03,0xd152f549545093347a162dce210e7293f1452150,37.0,1.0,391566543675859.0,0.000133210842078582,0.0,2.6857623249903477e+19
2024-08-04,0xd152f549545093347a162dce210e7293f1452150,47.0,6.0,5.528249730398381e+17,0.0007929535886380502,1.0,2.7410448222943314e+19
2024-08-05,0xd152f549545093347a162dce210e7293f1452150,52.0,6.0,1.696545202065398e+18,0.006362077736578832,1.0,2.9106993425008714e+19
2024-08-06,0xd152f549545093347a162dce210e7293f1452150,45.0,2.0,548639722147391.0,0.00018513757641814302,0.0,2.910754206473086e+19
2024-08-07,0xd152f549545093347a162dce210e7293f1452150,49.0,7.0,1.546593352271133e+17,0.00014845773184388696,2.0,2.9262201399957975e+19
2024-08-08,0xd152f549545093347a162dce210e7293f1452150,49.0,5.0,6181908305402106.0,0.00020356439964959498,1.0,2.926838330826338e+19
2024-08-09,0xd152f549545093347a162dce210e7293f1452150,59.0,6.0,2.5361021440759665e+18,0.00021248692863073704,1.0,3.1804485452339347e+19
2024-08-10,0xd152f549545093347a162dce210e7293f1452150,52.0,4.0,1005727140448160.0,0.000152971153315266,2.0,3.1805491179479794e+19
2024-08-11,0xd152f549545093347a162dce210e7293f1452150,50.0,5.0,2.0461955072207258e+17,0.000135662070739249,1.0,3.2010110730201866e+19
2024-08-12,0xd152f549545093347a162dce210e7293f1452150,62.0,8.0,9.748705286070995e+16,0.00039266016927893004,3.0,3.2107597783062577e+19
2024-08-13,0xd152f549545093347a162dce210e7293f1452150,75.0,6.0,6.08238578982401e+17,0.00017893619280311292,2.0,3.2715836362044977e+19
2024-08-14,0xd152f549545093347a162dce210e7293f1452150,52.0,5.0,1.883390603364283e+17,0.000194351426190275,1.0,3.2904175422381404e+19
2024-08-15,0xd152f549545093347a162dce210e7293f1452150,51.0,3.0,690285820934714.0,0.000204324617113026,0.0,3.290486570820234e+19
2024-08-16,0xd152f549545093347a162dce210e7293f1452150,53.0,7.0,1.1964375652484324e+16,0.00020664533400653403,3.0,3.2916830083854823e+19
2024-08-17,0xd152f549545093347a162dce210e7293f1452150,46.0,5.0,4506588959711159.0,0.000201908716424915,3.0,3.2921336672814535e+19
2024-08-18,0xd152f549545093347a162dce210e7293f1452150,54.0,5.0,2.2190179570914336e+17,0.00020198054903816897,1.0,3.314323846852368e+19
2024-08-19,0xd152f549545093347a162dce210e7293f1452150,58.0,7.0,5.6724700158832474e+17,0.00027089286804631696,3.0,3.3710485470112006e+19
2024-08-20,0xd152f549545093347a162dce210e7293f1452150,57.0,6.0,1.8454747634375296e+16,0.000289430896378583,4.0,3.3728940217746383e+19
2024-08-21,0xd152f549545093347a162dce210e7293f1452150,56.0,7.0,8.927974702837206e+17,0.000251687265930386,3.0,3.46217376880301e+19
2024-08-22,0xd152f549545093347a162dce210e7293f1452150,52.0,6.0,3.6421095393304595e+17,0.0008295249023777059,1.0,3.4985948641963147e+19
2024-08-23,0xd152f549545093347a162dce210e7293f1452150,55.0,6.0,3.0044592190883117e+17,0.00032330680762239803,1.0,3.5286394563871977e+19
2024-08-24,0xd152f549545093347a162dce210e7293f1452150,58.0,5.0,3.239349551190449e+17,0.000260613870402678,1.0,3.5610329518991024e+19
2024-08-25,0xd152f549545093347a162dce210e7293f1452150,64.0,6.0,1.0676921045503106e+17,0.00022944469103086803,1.0,3.5717098729446056e+19
2024-08-26,0xd152f549545093347a162dce210e7293f1452150,51.0,3.0,1408347784277241.0,0.00048776050863790204,0.0,3.5718507077230334e+19
2024-08-27,0xd152f549545093347a162dce210e7293f1452150,49.0,2.0,1182060922008377.0,0.000394439209108386,0.0,3.571968913815234e+19
2024-08-28,0xd152f549545093347a162dce210e7293f1452150,55.0,7.0,8.448701256855939e+17,0.001773221053579042,3.0,3.6564559263837934e+19
2024-08-29,0xd152f549545093347a162dce210e7293f1452150,52.0,6.0,4964001576510324.0,0.0005767090370035631,2.0,3.6569523265414443e+19
2024-08-30,0xd152f549545093347a162dce210e7293f1452150,76.0,6.0,1.4786733640103613e+17,0.00025100024398111605,3.0,3.671739060181548e+19
2024-08-31,0xd152f549545093347a162dce210e7293f1452150,57.0,3.0,2.409479518045116e+17,0.000806464908849093,0.0,3.695833855361999e+19
2024-09-01,0xd152f549545093347a162dce210e7293f1452150,52.0,3.0,6.378004124440439e+16,0.00024222075204739506,1.0,3.702211859486439e+19
2024-09-02,0xd152f549545093347a162dce210e7293f1452150,56.0,7.0,7145977074050241.0,0.00024372005587729607,3.0,3.702926457193844e+19
2024-09-03,0xd152f549545093347a162dce210e7293f1452150,84.0,10.0,1.1687841616882776e+16,0.0002790295374970909,7.0,3.704095241355532e+19
2024-09-04,0xd152f549545093347a162dce210e7293f1452150,93.0,8.0,1.895902532880553e+16,0.0006627651183865389,5.0,3.705991143888413e+19
2024-09-05,0xd152f549545093347a162dce210e7293f1452150,54.0,6.0,2.44073264638894e+17,0.0009582323009881931,0.0,3.730398470352302e+19
2024-09-06,0xd152f549545093347a162dce210e7293f1452150,66.0,9.0,1.1431241472954532e+18,0.0017539226876779022,3.0,3.844710885081847e+19
2024-09-07,0xd152f549545093347a162dce210e7293f1452150,59.0,4.0,3143636154096300.0,0.00027565217507957403,0.0,3.845025248697257e+19
2024-09-08,0xd152f549545093347a162dce210e7293f1452150,69.0,7.0,3.863063022543844e+17,0.000899864964982932,1.0,3.8836558789226955e+19
2024-09-09,0xd152f549545093347a162dce210e7293f1452150,70.0,10.0,1.440578389295652e+16,0.0006055946646344372,6.0,3.885096457311991e+19
2024-09-10,0xd152f549545093347a162dce210e7293f1452150,49.0,3.0,2.4065444955805344e+17,0.0009029423696724932,0.0,3.909161902267797e+19
2024-09-11,0xd152f549545093347a162dce210e7293f1452150,47.0,4.0,3330860700687762.0,0.00042344583007556107,2.0,3.9094949883378655e+19
2024-09-12,0xd152f549545093347a162dce210e7293f1452150,46.0,3.0,2.5462017178014388e+16,0.000374926331473108,1.0,3.912041190055667e+19
2024-09-13,0xd152f549545093347a162dce210e7293f1452150,55.0,7.0,7.921757419650879e+17,0.0010242952950287928,3.0,3.991258764252176e+19
2024-09-14,0xd152f549545093347a162dce210e7293f1452150,44.0,1.0,558394489593110.0,0.00022628494649364804,0.0,3.991314603701136e+19
2024-09-15,0xd152f549545093347a162dce210e7293f1452150,59.0,5.0,2.938491838222862e+17,0.0009795137167074232,1.0,4.020699522083364e+19
2024-09-16,0xd152f549545093347a162dce210e7293f1452150,56.0,9.0,1.0873307084316022e+16,0.0005427160526897732,6.0,4.021786852791796e+19
2024-09-17,0xd152f549545093347a162dce210e7293f1452150,50.0,5.0,3.78990973104947e+17,0.001189119135561137,1.0,4.0596859501022904e+19
2024-09-18,0xd152f549545093347a162dce210e7293f1452150,57.0,3.0,3.9325663718472045e+17,0.0027454832468373856,0.0,4.0990116138207625e+19
2024-09-19,0xd152f549545093347a162dce210e7293f1452150,68.0,6.0,4059656802751334.0,0.0008548893555538421,2.0,4.099417579501038e+19
2024-09-20,0xd152f549545093347a162dce210e7293f1452150,129.0,6.0,7021972817044306.0,0.0018780956112171587,5.0,4.100119776782742e+19
2024-09-21,0xd152f549545093347a162dce210e7293f1452150,115.0,2.0,2920795287607286.0,0.0011932664640891247,0.0,4.100411856311503e+19
2024-09-22,0xd152f549545093347a162dce210e7293f1452150,95.0,3.0,1.2382694110032832e+17,0.001467716971035837,1.0,4.112794550421536e+19
2024-09-23,0xd152f549545093347a162dce210e7293f1452150,133.0,7.0,4.820539454480346e+17,0.002867946664278415,2.0,4.16099994496634e+19
2024-09-24,0xd152f549545093347a162dce210e7293f1452150,112.0,6.0,5.529303038378488e+16,0.0005588332856107571,2.0,4.166529248004719e+19
2024-09-25,0xd152f549545093347a162dce210e7293f1452150,123.0,5.0,2.2055121286395658e+17,0.0005511330672862031,1.0,4.188584369291114e+19
2024-09-26,0xd152f549545093347a162dce210e7293f1452150,150.0,8.0,8287325815993847.0,0.0008278766849897268,2.0,4.189413101872714e+19
2024-09-27,0xd152f549545093347a162dce210e7293f1452150,195.0,3.0,8423878032743313.0,0.0012435063268738634,0.0,4.190255489675988e+19
2024-09-28,0xd152f549545093347a162dce210e7293f1452150,89.0,1.0,4666009369651969.0,0.001396299718763388,0.0,4.190722090612953e+19
2024-09-29,0xd152f549545093347a162dce210e7293f1452150,90.0,2.0,1.0587255381672547e+17,0.000507761392692491,0.0,4.201309345994626e+19
2024-09-30,0xd152f549545093347a162dce210e7293f1452150,106.0,7.0,4.663889968240072e+17,0.001565470503958648,2.0,4.2479482456770265e+19
2024-10-01,0xd152f549545093347a162dce210e7293f1452150,110.0,5.0,1.4462367549453232e+19,0.002269379893877444,2.0,5.6941850006223495e+19
2024-10-02,0xd152f549545093347a162dce210e7293f1452150,114.0,5.0,5263243673087456.0,0.0018129040350517156,2.0,5.694711324989658e+19
2024-10-03,0xd152f549545093347a162dce210e7293f1452150,168.0,4.0,5.133946172241447e+17,0.002826922582210011,0.0,5.746050786712072e+19
2024-10-04,0xd152f549545093347a162dce210e7293f1452150,149.0,4.0,1.664335488434651e+17,0.0008706510492331201,1.0,5.762694141596419e+19
2024-10-05,0xd152f549545093347a162dce210e7293f1452150,94.0,5.0,1703781107477937.0,0.0005145988491475172,1.0,5.762864519707166e+19
2024-10-06,0xd152f549545093347a162dce210e7293f1452150,82.0,4.0,6.582095829911554e+16,0.000479622748004208,0.0,5.769446615537078e+19
2024-10-07,0xd152f549545093347a162dce210e7293f1452150,102.0,4.0,2219656332003796.0,0.0006382516179244159,0.0,5.769668581170278e+19
2024-10-08,0xd152f549545093347a162dce210e7293f1452150,91.0,4.0,1.157690137217479e+16,0.000654979767760587,0.0,5.770826271307496e+19
