transaction_date,transaction_cnt,active_users,total_transferred,unique_users,retained_percent,daa_to_maa_ratio,total_transferred_in_tokens,cum_transferred
2024-06-02,2597.0,1405.0,3.230847135848377e+19,1098.0,0.26334519572953735,0.04,32308.47135848377,3.230847135848377e+19
2024-06-03,3147.0,1674.0,4.158660304452103e+19,1259.0,0.23835125448028674,0.05,41586.603044521034,7.389507440300481e+19
2024-06-04,2795.0,1445.0,2.636922326564205e+19,991.0,0.2948096885813149,0.04,26369.22326564205,1.0026429766864686e+20
2024-06-05,2707.0,1561.0,3.836016109017731e+19,1033.0,0.27738629083920563,0.05,38360.16109017731,1.3862445875882417e+20
2024-06-06,1585.0,1057.0,3.10571355283959e+19,616.0,0.315042573320719,0.03,31057.1355283959,1.6968159428722006e+20
2024-06-07,1930.0,1035.0,2.412466600568403e+19,505.0,0.30241545893719807,0.03,24124.66600568403,1.938062602929041e+20
2024-06-08,1795.0,987.0,1.2925821577524378e+19,418.0,0.3708206686930091,0.03,12925.821577524377,2.0673208187042847e+20
2024-06-09,1875.0,1034.0,1.4666062396484674e+19,409.0,0.3665377176015474,0.03,14666.062396484673,2.2139814426691315e+20
2024-06-10,1767.0,1100.0,2.0662864655838278e+19,493.0,0.3372727272727273,0.03,20662.86465583828,2.4206100892275143e+20
2024-06-11,1818.0,1010.0,1.3165241272990497e+19,436.0,0.35148514851485146,0.03,13165.241272990497,2.5522625019574193e+20
2024-06-12,2173.0,1305.0,2.9956992721662525e+19,682.0,0.2973180076628352,0.04,29956.992721662526,2.8518324291740448e+20
2024-06-13,2276.0,1253.0,1.2572618159121304e+19,623.0,0.3192338387869114,0.04,12572.618159121304,2.977558610765258e+20
2024-06-14,1786.0,1082.0,1.6060668274863954e+19,507.0,0.34842883548983367,0.03,16060.668274863954,3.1381652935138974e+20
2024-06-15,2206.0,1095.0,1.995558276502653e+19,422.0,0.31232876712328766,0.03,19955.58276502653,3.3377211211641625e+20
2024-06-16,2785.0,1628.0,3.1278081021628744e+19,955.0,0.2751842751842752,0.05,31278.081021628743,3.65050193138045e+20
2024-06-17,2335.0,1229.0,2.633943855416546e+19,537.0,0.33848657445077296,0.04,26339.43855416546,3.913896316922105e+20
2024-06-18,2418.0,1273.0,2.671514357423886e+19,452.0,0.36370777690494893,0.04,26715.14357423886,4.1810477526644936e+20
2024-06-19,2530.0,1481.0,3.3656754715040158e+19,728.0,0.312626603646185,0.05,33656.75471504016,4.517615299814895e+20
