date,forecasted_Transaction Count,forecasted_Active Users,forecasted_Unique Users,forecasted_Total Transferred,forecasted_Net Transferred,forecasted_TVL,forecasted_TVL_opchain
2024-09-01 00:00:00,0.0,0.0,0.0,0.0,0.0,2496243.878820194,3128775.8841163097
2024-09-02 00:00:00,0.0,0.0,0.0,0.0,0.0,2688034.6410662658,2330623.934694472
2024-09-03 00:00:00,0.0,0.0,0.0,0.0,0.0,2574181.9114750978,2779835.0278026303
2024-09-04 00:00:00,0.0,0.0,0.0,0.0,0.0,2480138.2480129907,2904420.905479555
2024-09-05 00:00:00,0.0,0.0,0.0,0.0,0.0,2606501.83129971,2927336.0023265784
2024-09-06 00:00:00,0.0,0.0,0.0,0.0,0.0,2698752.6497507133,2493495.601566194
2024-09-07 00:00:00,0.0,0.0,0.0,0.0,0.0,2559117.6407660805,2654944.101784286
2024-09-08 00:00:00,0.0,0.0,0.0,0.0,0.0,2617898.4341297885,2940084.081165536
2024-09-09 00:00:00,0.0,0.0,0.0,0.0,0.0,2699991.1304489695,2767769.151136322
2024-09-10 00:00:00,0.0,0.0,0.0,0.0,0.0,2831268.2052923427,2916108.590296902
2024-09-11 00:00:00,0.0,0.0,0.0,0.0,0.0,2882269.065044829,3224127.762779837
2024-09-12 00:00:00,0.0,0.0,0.0,0.0,0.0,2655435.20702561,2829339.417594376
2024-09-13 00:00:00,0.0,0.0,0.0,0.0,0.0,2662493.906203132,3023236.658609039
2024-09-14 00:00:00,0.0,0.0,0.0,0.0,0.0,2574665.501041267,3126355.953897929
2024-09-15 00:00:00,0.0,0.0,0.0,0.0,0.0,2366786.85949252,3102977.079172675
2024-09-16 00:00:00,0.0,0.0,0.0,0.0,0.0,2283558.712885174,3308967.0785855195
2024-09-17 00:00:00,0.0,0.0,0.0,0.0,0.0,2557380.9557378185,3020330.3166698976
2024-09-18 00:00:00,0.0,0.0,0.0,0.0,0.0,2280000.8271600194,3181556.583028889
2024-09-19 00:00:00,0.0,0.0,0.0,0.0,0.0,2182458.4324023826,2919625.618776435
2024-09-20 00:00:00,0.0,0.0,0.0,0.0,0.0,2180593.530138827,3020576.7291500894
2024-09-21 00:00:00,0.0,0.0,0.0,0.0,0.0,2315682.073824585,3009341.8589182273
2024-09-22 00:00:00,0.0,0.0,0.0,0.0,0.0,2122530.913551416,3408797.028819572
2024-09-23 00:00:00,0.0,0.0,0.0,0.0,0.0,2460460.185324072,3039130.2423985857
2024-09-24 00:00:00,0.0,0.0,0.0,0.0,0.0,2263464.0170954075,3405086.1335870037
2024-09-25 00:00:00,0.0,0.0,0.0,0.0,0.0,2364313.6242545317,3667159.6436731885
2024-09-26 00:00:00,0.0,0.0,0.0,0.0,0.0,2303880.7914264607,3485110.2393712513
2024-09-27 00:00:00,0.0,0.0,0.0,0.0,0.0,2325894.991287714,3423162.3714518338
2024-09-28 00:00:00,0.0,0.0,0.0,0.0,0.0,2060066.5014288349,3619190.490487873
2024-09-29 00:00:00,0.0,0.0,0.0,0.0,0.0,2336767.5230214624,3567340.5836563776
2024-09-30 00:00:00,0.0,0.0,0.0,0.0,0.0,2427076.2492424217,3556466.9249002617
2024-10-01 00:00:00,0.0,0.0,0.0,0.0,0.0,2548365.444881568,3473656.3610329833
2024-10-02 00:00:00,0.0,0.0,0.0,0.0,0.0,2397447.7575920164,3223232.875173092
2024-10-03 00:00:00,0.0,0.0,0.0,0.0,0.0,2448027.0184142613,3008215.923632117
2024-10-04 00:00:00,0.0,0.0,0.0,0.0,0.0,2247431.8990388564,2855491.7822859697
2024-10-05 00:00:00,0.0,0.0,0.0,0.0,0.0,2244654.9768679026,2904025.813657371
2024-10-06 00:00:00,0.0,0.0,0.0,0.0,0.0,2376945.523204211,3045569.444011058
2024-10-07 00:00:00,0.0,0.0,0.0,0.0,0.0,2554442.125524702,3229572.419928912
2024-10-08 00:00:00,0.0,0.0,0.0,0.0,0.0,2604321.737856153,3509082.0999103356
2024-10-09 00:00:00,0.0,0.0,0.0,0.0,0.0,2535854.9188490617,3000713.9469056507
2024-10-10 00:00:00,0.0,0.0,0.0,0.0,0.0,2630451.5220176955,2849450.0240125093
2024-10-11 00:00:00,0.0,0.0,0.0,0.0,0.0,2357659.4058432723,2966448.389477741
2024-10-12 00:00:00,0.0,0.0,0.0,0.0,0.0,2316608.3676626845,3058437.0041402685
2024-10-13 00:00:00,0.0,0.0,0.0,0.0,0.0,2333538.4197328193,3200237.7845615325
2024-10-14 00:00:00,0.0,0.0,0.0,0.0,0.0,2423796.528939858,2870794.305203214
2024-10-15 00:00:00,0.0,0.0,0.0,0.0,0.0,2341463.6674684,3381621.290364634
2024-10-16 00:00:00,0.0,0.0,0.0,0.0,0.0,2211411.6447833297,3493621.163364107
2024-10-17 00:00:00,0.0,0.0,0.0,0.0,0.0,2122728.9012699374,3077349.672576676
2024-10-18 00:00:00,0.0,0.0,0.0,0.0,0.0,2351194.583152801,3535892.088792747
2024-10-19 00:00:00,0.0,0.0,0.0,0.0,0.0,2504810.525848755,3254932.0160566117
2024-10-20 00:00:00,0.0,0.0,0.0,0.0,0.0,2577305.1233253367,3168028.726982564
2024-10-21 00:00:00,0.0,0.0,0.0,0.0,0.0,2112212.6042345935,3551143.163495349
2024-10-22 00:00:00,0.0,0.0,0.0,0.0,0.0,2152461.090254161,3244517.7929451982
2024-10-23 00:00:00,0.0,0.0,0.0,0.0,0.0,2076602.3857494984,3054141.22776509
2024-10-24 00:00:00,0.0,0.0,0.0,0.0,0.0,1959476.6079498928,2894668.180886272
2024-10-25 00:00:00,0.0,0.0,0.0,0.0,0.0,1833809.9071897164,2965806.1779105263
2024-10-26 00:00:00,0.0,0.0,0.0,0.0,0.0,1934626.3528431826,2765901.4757090583
2024-10-27 00:00:00,0.0,0.0,0.0,0.0,0.0,1885985.4871489264,2953080.9990456784
2024-10-28 00:00:00,0.0,0.0,0.0,0.0,0.0,1907798.198937051,3392499.27325291
2024-10-29 00:00:00,0.0,0.0,0.0,0.0,0.0,1876522.8856475465,3016204.4808884636
2024-10-30 00:00:00,0.0,0.0,0.0,0.0,0.0,1823682.7954010705,3017264.685536844
