date,token,value,readable_date
1710374400,OP,662852.18984,2024-03-14 00:00:00
1710374400,WETH,1241222.31129,2024-03-14 00:00:00
1710460800,OP,690743.27979,2024-03-15 00:00:00
1710460800,WETH,1244487.34103,2024-03-15 00:00:00
1710547200,OP,676160.05812,2024-03-16 00:00:00
1710547200,WETH,1227004.58186,2024-03-16 00:00:00
1710547200,WSTETH,447761.54839,2024-03-16 00:00:00
1710633600,OP,700129.84206,2024-03-17 00:00:00
1710633600,WETH,1146444.09275,2024-03-17 00:00:00
1710633600,WSTETH,490629.59466,2024-03-17 00:00:00
1710720000,OP,706310.51847,2024-03-18 00:00:00
1710720000,WETH,1126716.32326,2024-03-18 00:00:00
1710720000,WSTETH,566810.11404,2024-03-18 00:00:00
1710806400,OP,660027.11976,2024-03-19 00:00:00
1710806400,WETH,1075763.74312,2024-03-19 00:00:00
1710806400,WSTETH,556727.40801,2024-03-19 00:00:00
1710892800,OP,747430.31694,2024-03-20 00:00:00
1710892800,WETH,964276.16529,2024-03-20 00:00:00
1710892800,WSTETH,533072.06351,2024-03-20 00:00:00
1710979200,OP,770346.44473,2024-03-21 00:00:00
1710979200,WETH,1076766.00203,2024-03-21 00:00:00
1710979200,WSTETH,603134.00088,2024-03-21 00:00:00
1711065600,OP,786302.07029,2024-03-22 00:00:00
1711065600,WETH,1068746.23499,2024-03-22 00:00:00
1711065600,WSTETH,618133.2245,2024-03-22 00:00:00
1711152000,OP,781813.14626,2024-03-23 00:00:00
1711152000,WETH,1012577.82679,2024-03-23 00:00:00
1711152000,WSTETH,585788.79637,2024-03-23 00:00:00
1711238400,OP,788691.26778,2024-03-24 00:00:00
1711238400,WETH,1279946.2973,2024-03-24 00:00:00
1711238400,WSTETH,710065.11553,2024-03-24 00:00:00
1711324800,OP,848898.89147,2024-03-25 00:00:00
1711324800,WETH,1326215.77673,2024-03-25 00:00:00
1711324800,WSTETH,727961.69073,2024-03-25 00:00:00
1711411200,OP,891501.60087,2024-03-26 00:00:00
1711411200,WETH,1475327.06004,2024-03-26 00:00:00
1711411200,WSTETH,763645.25116,2024-03-26 00:00:00
1711497600,OP,988805.96481,2024-03-27 00:00:00
1711497600,WETH,1439370.35661,2024-03-27 00:00:00
1711497600,WSTETH,773467.62649,2024-03-27 00:00:00
1711584000,OP,908862.35991,2024-03-28 00:00:00
1711584000,WETH,1404213.14376,2024-03-28 00:00:00
1711584000,WSTETH,767056.12626,2024-03-28 00:00:00
1711670400,OP,960223.75378,2024-03-29 00:00:00
1711670400,WETH,1444281.25845,2024-03-29 00:00:00
1711670400,WSTETH,931438.95301,2024-03-29 00:00:00
1711756800,OP,934885.87867,2024-03-30 00:00:00
1711756800,WETH,1430636.70735,2024-03-30 00:00:00
1711756800,WSTETH,922362.20056,2024-03-30 00:00:00
