transaction_date,transaction_cnt,active_users,total_transferred,unique_users,retained_percent,daa_to_maa_ratio,total_transferred_in_tokens,cum_transferred
2024-09-13,53718.0,49299.0,1.84303642781656e+20,6254.0,0.8748859003225218,0.63,184303.642781656,1.84303642781656e+20
2024-09-14,51887.0,47900.0,1.6485951106510104e+20,3151.0,0.88741127348643,0.61,164859.51106510105,3.49163153846757e+20
2024-09-15,53361.0,48459.0,1.5418845627257717e+20,3030.0,0.8765760746197817,0.62,154188.45627257717,5.033516101193342e+20
2024-09-16,54137.0,48314.0,1.6288297533022496e+20,2396.0,0.8727077037711637,0.62,162882.97533022496,6.662345854495592e+20
2024-09-17,50993.0,47696.0,1.442558172714391e+20,1846.0,0.8871603488762161,0.61,144255.8172714391,8.104904027209984e+20
2024-09-18,54631.0,46422.0,5.12212516611719e+19,2163.0,0.8834604282452285,0.59,51221.251661171904,8.617116543821703e+20
2024-09-19,49716.0,44412.0,4.4665825461406425e+19,1443.0,0.8838151850851121,0.57,44665.82546140643,9.063774798435768e+20
2024-09-20,50548.0,43390.0,4.438651531745833e+19,1404.0,0.8721364369670431,0.56,44386.51531745833,9.50763995161035e+20
2024-09-21,49059.0,41347.0,3.256749894943876e+19,1410.0,0.8617553873316081,0.53,32567.49894943876,9.833314941104736e+20
2024-09-22,49740.0,41616.0,3.849505819520541e+19,2491.0,0.837778738946559,0.53,38495.058195205405,1.0218265523056792e+21
2024-09-23,48074.0,40257.0,5.427596854757669e+19,2253.0,0.8411207988672778,0.52,54275.96854757669,1.076102520853256e+21
2024-09-24,44690.0,38096.0,6.955577862975313e+19,1212.0,0.8680963880722385,0.49,69555.77862975313,1.145658299483009e+21
2024-09-25,41868.0,36564.0,4.198833442507164e+19,950.0,0.8756427086751997,0.47,41988.33442507164,1.1876466339080807e+21
2024-09-26,39999.0,35584.0,3.739103021735638e+19,790.0,0.8660915017985612,0.46,37391.030217356376,1.225037664125437e+21
2024-09-27,39282.0,34978.0,2.642489518352034e+19,712.0,0.8650008576819715,0.45,26424.895183520348,1.2514625593089574e+21
2024-09-28,39403.0,35080.0,2.318763038104807e+19,750.0,0.8403648802736602,0.45,23187.630381048075,1.2746501896900054e+21
2024-09-29,39434.0,34882.0,2.9113207203193262e+19,731.0,0.8575483057164154,0.45,29113.207203193266,1.3037633968931985e+21
2024-09-30,39598.0,34575.0,3.692333356849268e+19,660.0,0.8666666666666667,0.44,36923.333568492686,1.3406867304616912e+21
2024-10-01,40159.0,34210.0,5.192783544385699e+19,1190.0,0.8604209295527624,0.39,51927.83544385699,1.3926145659055482e+21
2024-10-02,40552.0,34927.0,4.416089166205197e+19,662.0,0.8381767686889798,0.4,44160.89166205197,1.4367754575676e+21
2024-10-03,40830.0,34665.0,3.7493467865509265e+19,705.0,0.8549834126640704,0.39,37493.467865509265,1.4742689254331093e+21
2024-10-04,39303.0,35611.0,3.80166156933144e+19,984.0,0.8365392715733903,0.4,38016.6156933144,1.5122855411264237e+21
2024-10-05,38283.0,34786.0,2.7856261999767556e+19,1252.0,0.8493359397458747,0.4,27856.261999767557,1.5401418031261913e+21
2024-10-06,37337.0,33937.0,2.429180795096725e+19,773.0,0.8660164422311931,0.39,24291.80795096725,1.5644336110771584e+21
2024-10-07,35957.0,32996.0,3.383032885263296e+19,385.0,0.8775306097708813,0.38,33830.32885263296,1.5982639399297913e+21
2024-10-08,35550.0,32219.0,3.4157998480193815e+19,501.0,0.8738011732207703,0.37,34157.99848019381,1.632421938409985e+21
2024-10-09,34554.0,31150.0,2.4038721956941627e+19,474.0,0.8793579454253612,0.35,24038.721956941627,1.6564606603669267e+21
2024-10-10,34832.0,31230.0,2.9625077039389348e+19,693.0,0.8435478706372078,0.35,29625.077039389347,1.6860857374063162e+21
2024-10-11,33227.0,29855.0,2.519578690144857e+19,513.0,0.8654161781946073,0.34,25195.78690144857,1.7112815243077647e+21
2024-10-12,32930.0,29544.0,2.646620904005534e+19,465.0,0.8516788518819388,0.34,26466.209040055342,1.73774773334782e+21
2024-10-13,34409.0,30445.0,1.9962486375121744e+19,526.0,0.8405977993102316,0.35,19962.486375121745,1.7577102197229418e+21
2024-10-14,33915.0,30359.0,3.4762092727465124e+19,418.0,0.8540136368128067,0.35,34762.092727465126,1.792472312450407e+21
2024-10-15,33646.0,29922.0,2.417801709353648e+19,463.0,0.862041307399238,0.34,24178.01709353648,1.816650329543943e+21
2024-10-16,45870.0,34186.0,2.3643230899308794e+19,7373.0,0.7633826712689405,0.39,23643.230899308794,1.840293560443252e+21
2024-10-17,34210.0,29604.0,1.711509481386755e+19,655.0,0.876773408998784,0.34,17115.094813867552,1.85740865525712e+21
