transaction_date,transaction_cnt,active_users,total_transferred,gas_fee,unique_users,retained_percent,daa_to_maa_ratio,cum_transferred
2024-06-02,24295.0,12029.0,2.7974783187331596e+20,0.4127242186968991,5189.0,0.5874968825338764,0.15,2.7974783187331596e+20
2024-06-03,25695.0,13049.0,3.235056678242257e+20,0.1275489427730154,5058.0,0.5649475055559813,0.16,6.032534996975417e+20
2024-06-04,24184.0,12495.0,3.0092795230063985e+20,0.9296653670239625,3970.0,0.6099239695878351,0.15,9.041814519981815e+20
2024-06-05,23272.0,12400.0,3.2018132627124716e+20,0.45136743354472253,3712.0,0.6175,0.15,1.2243627782694287e+21
2024-06-06,24635.0,12513.0,3.515250426404697e+20,0.3813336016883869,3567.0,0.6070486693838408,0.15,1.5758878209098984e+21
2024-06-07,23634.0,12763.0,2.420966170289493e+20,1.2144389120053538,3291.0,0.5991538039645852,0.16,1.8179844379388477e+21
2024-06-08,21705.0,11621.0,2.8377148084118887e+20,0.17716518413873672,2471.0,0.6318733327596593,0.14,2.1017559187800365e+21
2024-06-09,22731.0,11698.0,2.612875454286631e+20,0.5587832216408657,2374.0,0.6317319199863225,0.14,2.3630434642086996e+21
2024-06-10,21419.0,11493.0,2.73180802023316e+20,0.11699529096012158,2175.0,0.6445662577220918,0.14,2.6362242662320156e+21
2024-06-11,19847.0,10236.0,4.95522563467499e+20,0.34905843079675863,2046.0,0.6114693239546698,0.13,3.1317468296995144e+21
2024-06-12,21614.0,11265.0,3.951293860416846e+20,0.24153013742460516,2145.0,0.5447847314691523,0.14,3.526876215741199e+21
2024-06-13,20732.0,11196.0,3.118995718950529e+20,0.16065155727526045,1995.0,0.6478206502322258,0.14,3.838775787636252e+21
2024-06-14,20852.0,11184.0,3.243774027296529e+20,0.41713324452466266,2001.0,0.6489628040057225,0.14,4.163153190365905e+21
2024-06-15,25772.0,11558.0,3.013145006659256e+20,0.20200403335793532,2108.0,0.6178404568264405,0.14,4.46446769103183e+21
2024-06-16,44349.0,13676.0,2.9453352689917716e+20,0.13839638750688651,2462.0,0.5822608949985376,0.17,4.759001217931008e+21
2024-06-17,27003.0,11736.0,3.101499149606878e+20,0.15142051597554984,2038.0,0.6473244717109747,0.14,5.069151132891696e+21
2024-06-18,25124.0,12192.0,3.8761715562798586e+20,0.2821255200751337,3068.0,0.5355971128608924,0.15,5.456768288519681e+21
2024-06-19,27690.0,12680.0,4.915904811568233e+20,0.5809655863426136,2554.0,0.5322555205047319,0.16,5.948358769676505e+21
2024-06-20,27278.0,12666.0,4.200685303270382e+20,0.31451822736911494,2478.0,0.5930838465182378,0.16,6.368427300003543e+21
2024-06-21,27396.0,12223.0,5.0535777589439424e+20,0.7504268813497791,2385.0,0.5884807330442609,0.15,6.873785075897937e+21
2024-06-22,23063.0,11496.0,5.0853476448607424e+20,0.2591458381485669,1907.0,0.6114300626304802,0.14,7.382319840384011e+21
2024-06-23,21675.0,11128.0,4.231359944896006e+20,0.1377857578122753,1915.0,0.6107117181883537,0.14,7.805455834873612e+21
