date,forecasted_Transaction Count,forecasted_Active Users,forecasted_Unique Users,forecasted_Gas Fees,forecasted_Total Transferred,forecasted_Net Transferred
2024-09-01,0.0,0.0,0.0,0.0,0.0,0.0
2024-09-02,0.0,0.0,0.0,0.0,0.0,0.0
2024-09-03,0.0,0.0,0.0,0.0,0.0,0.0
2024-09-04,0.0,0.0,0.0,0.0,0.0,0.0
2024-09-05,0.0,0.0,0.0,0.0,0.0,0.0
2024-09-06,0.0,0.0,0.0,0.0,0.0,0.0
2024-09-07,0.0,0.0,0.0,0.0,0.0,0.0
2024-09-08,0.0,0.0,0.0,0.0,0.0,0.0
2024-09-09,0.0,0.0,0.0,0.0,0.0,0.0
2024-09-10,0.0,0.0,0.0,0.0,0.0,0.0016169749984710205
2024-09-11,0.0,0.0,0.0,0.0,0.0,0.0010076703066149
2024-09-12,0.0,0.0,0.0,0.0,0.0,0.0017288311992742103
2024-09-13,0.0,0.0,0.0,0.0,0.0,0.0007918751696510722
2024-09-14,0.0,0.0,0.0,0.0,0.0,0.0012363085793702338
2024-09-15,0.0,0.0,0.0,0.0,0.0,0.0008250976059616115
2024-09-16,0.0,0.0,0.0,0.0,0.0,0.0
2024-09-17,0.0,0.0,0.0,0.0,0.0,0.0
2024-09-18,0.0,0.0,0.0,0.0,0.0,0.0
2024-09-19,0.0,0.0,0.0,0.0,0.0,0.0
2024-09-20,0.0,0.0,0.0,0.0,0.0,0.0
2024-09-21,0.0,0.0,0.0,0.0,0.0,0.0
2024-09-22,0.0,0.0,0.0,0.0,0.0,0.0
2024-09-23,0.0,0.0,0.0,0.0,0.0,0.0
2024-09-24,0.0,0.0,0.0,0.0,0.0,0.0
2024-09-25,0.0,0.0,0.0,0.0,0.0,0.0
2024-09-26,0.0,0.0,0.0,0.0,0.0,0.0
2024-09-27,0.0,0.0,0.0,0.0,0.0,0.0
2024-09-28,0.0,0.0,0.0,0.0,0.0,0.0
2024-09-29,0.0,0.0,0.0,0.0,0.0,0.0
2024-09-30,0.0,0.0,0.0,0.0,0.0,0.0
2024-10-01,0.0,0.0,0.0,0.0,0.0,0.00010785673505538882
2024-10-02,0.0,0.0,0.0,0.0,0.0,0.0001681959531371132
2024-10-03,0.0,0.0,0.0,0.0,0.0,0.00015004671004525234
2024-10-04,0.0,0.0,0.0,0.0,0.0,9.760653390589226e-05
2024-10-05,0.0,0.0,0.0,0.0,0.0,3.949300404443251e-05
2024-10-06,0.0,0.0,0.0,0.0,0.0,9.516597678487462e-05
2024-10-07,0.0,0.0,0.0,0.0,0.0,0.0
2024-10-08,0.0,0.0,0.0,0.0,0.0,0.0
2024-10-09,0.0,0.0,0.0,0.0,0.0,0.0
2024-10-10,0.0,0.0,0.0,0.0,0.0,0.0006410672830797646
2024-10-11,0.0,0.0,0.0,0.0,0.0,0.0009312644787600656
2024-10-12,0.0,0.0,0.0,0.0,0.0,0.0010314311744394607
2024-10-13,0.0,0.0,0.0,0.0,0.0,0.0002695455242463167
2024-10-14,0.0,0.0,0.0,0.0,0.0,0.0005566132556048564
2024-10-15,0.0,0.0,0.0,0.0,0.0,0.00022695859257378494
2024-10-16,0.0,0.0,0.0,0.0,0.0,0.00018540630743282718
2024-10-17,0.0,0.0,0.0,0.0,0.0,0.0001936882234384095
2024-10-18,0.0,0.0,0.0,0.0,0.0,0.00015492881060153637
2024-10-19,0.0,0.0,0.0,0.0,0.0,0.0
2024-10-20,0.0,0.0,0.0,0.0,0.0,0.0
2024-10-21,0.0,0.0,0.0,0.0,0.0,0.0
2024-10-22,0.0,0.0,0.0,0.0,0.0,0.0012919579471761184
2024-10-23,0.0,0.0,0.0,0.0,0.0,0.0008404086433384149
2024-10-24,0.0,0.0,0.0,0.0,0.0,0.0009118813358580903
2024-10-25,0.0,0.0,0.0,0.0,0.0,0.0
2024-10-26,0.0,0.0,0.0,0.0,0.0,0.0
2024-10-27,0.0,0.0,0.0,0.0,0.0,0.0
2024-10-28,0.0,0.0,0.0,0.0,0.0,0.0017149851720064363
2024-10-29,0.0,0.0,0.0,0.0,0.0,0.001296576529451685
2024-10-30,0.0,0.0,0.0,0.0,0.0,0.0016787091337939874
2024-10-31,0.0,0.0,0.0,0.0,0.0,0.0008964253092854695
2024-11-01,0.0,0.0,0.0,0.0,0.0,0.0005720720342873511
2024-11-02,0.0,0.0,0.0,0.0,0.0,0.00048765192678766123
2024-11-03,0.0,0.0,0.0,0.0,0.0,0.0
